"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","HM Treasury (excl. agencies)","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Department for Work and Pensions","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Home Office","London","25","25","27530","26400"
"In post","2023","16-19","Home Office","Home Office","Outside London","105","100","23040","22400"
"In post","2023","16-19","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","40","40","23090","22220"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Ministry of Justice","Outside London","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Ministry of Defence","Unknown","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Scottish Government","Outside London","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","Scottish Government","Outside London","15","15","23460","24710"
"In post","2023","16-19","Scottish Public Pensions Agency","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Scottish Government","Outside London","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Ministry of Defence","Outside London","20","20","19220","18280"
"In post","2023","16-19","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","UK Statistics Authority","Outside London","30","30","23120","24840"
"In post","2023","16-19","Valuation Office Agency","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","HM Revenue and Customs","Outside London","20","20","23300","22520"
"In post","2023","16-19","Vehicle Certification Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Welsh Government","Outside London","10","10","22670","22150"
"In post","2023","20-29","Accountant in Bankruptcy","Scottish Government","Outside London","20","20","26630","24890"
"In post","2023","20-29","Active Travel England","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Department for Transport","Outside London","10","10","37740","39430"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","10","10","32990","29330"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","55","55","27460","25160"
"In post","2023","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","15","15","33330","32720"
"In post","2023","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","555","545","26900","25920"
"In post","2023","20-29","Attorney General's Office","Attorney General's Departments","London","15","15","37600","32890"
"In post","2023","20-29","Building Digital UK","Department for Digital, Culture, Media and Sport","London","40","40","40270","36010"
"In post","2023","20-29","Building Digital UK","Department for Digital, Culture, Media and Sport","Outside London","30","30","37200","33130"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","London","815","810","41550","38460"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","375","370","31230","32640"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","55","55","34910","32640"
"In post","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","London","1105","1100","30720","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","Outside London","360","360","30470","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","110","110","27390","25970"
"In post","2023","20-29","Charity Commission","Charity Commission","London","10","10","32100","30170"
"In post","2023","20-29","Charity Commission","Charity Commission","Outside London","60","60","27100","25300"
"In post","2023","20-29","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","155","150","28030","25610"
"In post","2023","20-29","Competition and Markets Authority","Competition and Markets Authority","London","155","150","38660","34110"
"In post","2023","20-29","Competition and Markets Authority","Competition and Markets Authority","Outside London","20","20","37570","34110"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","50","45","24760","21780"
"In post","2023","20-29","Crown Commercial Service","Cabinet Office","London","10","10","44230","42040"
"In post","2023","20-29","Crown Commercial Service","Cabinet Office","Outside London","105","105","30830","31640"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","565","555","31750","28700"
"In post","2023","20-29","Crown Prosecution Service","Attorney General's Departments","London","320","320","29440","28200"
"In post","2023","20-29","Crown Prosecution Service","Attorney General's Departments","Outside London","925","915","28320","26900"
"In post","2023","20-29","Defence Electronics and Components Agency","Ministry of Defence","Outside London","50","50","22990","22210"
"In post","2023","20-29","Defence Equipment and Support","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2023","20-29","Defence Equipment and Support","Ministry of Defence","Outside London","1800","1790","29480","28850"
"In post","2023","20-29","Defence Equipment and Support","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","1170","1165","31440","30650"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","1640","1635","44780","41360"
"In post","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","405","405","35390","31350"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","520","515","41290","36260"
"In post","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Outside London","75","75","35000","32560"
"In post","2023","20-29","Department for Education (excl. agencies)","Department for Education","London","505","500","43010","41440"
"In post","2023","20-29","Department for Education (excl. agencies)","Department for Education","Outside London","885","880","34790","31080"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","770","765","38760","33830"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","510","505","33490","30320"
"In post","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for International Trade","Department for International Trade","London","1015","1010","41680","41550"
"In post","2023","20-29","Department for International Trade","Department for International Trade","Outside London","115","115","33570","31440"
"In post","2023","20-29","Department for International Trade","Department for International Trade","Overseas","25","25","43400","39700"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","635","630","42050","40390"
"In post","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","215","215","36270","31510"
"In post","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","London","785","780","43090","43320"
"In post","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","Outside London","190","190","34990","31660"
"In post","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","1300","1280","34960","32520"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","7310","7145","26880","28120"
"In post","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","45","45","28790","28120"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","775","775","41470","41950"
"In post","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","235","235","36010","32280"
"In post","2023","20-29","Disclosure Scotland","Scottish Government","Outside London","70","65","27060","23340"
"In post","2023","20-29","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","775","730","23500","22500"
"In post","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","London","5","5","[c]","[c]"
"In post","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","Outside London","290","290","27410","26960"
"In post","2023","20-29","Education Scotland","Scottish Government","Outside London","20","20","29110","27410"
"In post","2023","20-29","Education and Skills Funding Agency","Department for Education","London","10","10","[c]","[c]"
"In post","2023","20-29","Education and Skills Funding Agency","Department for Education","Outside London","100","100","33760","30330"
"In post","2023","20-29","Estyn","Estyn","Outside London","10","10","[c]","[c]"
"In post","2023","20-29","FCDO Services","Foreign, Commonwealth and Development Office","London","15","15","35610","32830"
"In post","2023","20-29","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","140","140","29880","28540"
"In post","2023","20-29","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Food Standards Agency","Food Standards Agency","London","35","35","38050","33800"
"In post","2023","20-29","Food Standards Agency","Food Standards Agency","Outside London","125","125","33700","31260"
"In post","2023","20-29","Food Standards Scotland","Scottish Government","Outside London","35","35","32000","29450"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","985","980","39810","37560"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","195","195","29720","26780"
"In post","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","230","230","37150","33620"
"In post","2023","20-29","Forestry and Land Scotland","Scottish Government","Outside London","135","135","28300","28140"
"In post","2023","20-29","Government Actuary's Department","Chancellor's other departments","London","55","55","38830","36130"
"In post","2023","20-29","Government Actuary's Department","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Government Commercial Organisation","Cabinet Office","London","60","60","62370","65500"
"In post","2023","20-29","Government Commercial Organisation","Cabinet Office","Outside London","30","30","60290","65500"
"In post","2023","20-29","Government Internal Audit Agency","HM Treasury","London","25","25","34500","33420"
"In post","2023","20-29","Government Internal Audit Agency","HM Treasury","Outside London","10","10","32960","32000"
"In post","2023","20-29","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Government Legal Department","Attorney General's Departments","London","350","350","37440","32710"
"In post","2023","20-29","Government Legal Department","Attorney General's Departments","Outside London","35","35","37270","34460"
"In post","2023","20-29","Government Property Agency","Cabinet Office","London","15","15","40210","36180"
"In post","2023","20-29","Government Property Agency","Cabinet Office","Outside London","40","40","36390","32960"
"In post","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","London","545","535","30050","29660"
"In post","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","Outside London","1535","1485","24270","21780"
"In post","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","HM Land Registry","HM Land Registry","London","60","60","34670","31680"
"In post","2023","20-29","HM Land Registry","HM Land Registry","Outside London","975","955","27460","28080"
"In post","2023","20-29","HM Prison and Probation Service","Ministry of Justice","London","1595","1575","32860","33800"
"In post","2023","20-29","HM Prison and Probation Service","Ministry of Justice","Outside London","11980","11780","27960","28880"
"In post","2023","20-29","HM Prison and Probation Service","Ministry of Justice","Unknown","20","20","26490","27750"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","1385","1375","40290","39450"
"In post","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","9385","9200","28700","27890"
"In post","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","London","770","765","39590","33820"
"In post","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","Outside London","80","80","32490","29970"
"In post","2023","20-29","Health and Safety Executive","Department for Work and Pensions","London","15","15","40850","37180"
"In post","2023","20-29","Health and Safety Executive","Department for Work and Pensions","Outside London","340","340","29680","27320"
"In post","2023","20-29","Home Office","Home Office","London","2485","2475","36760","36000"
"In post","2023","20-29","Home Office","Home Office","Outside London","5270","5175","25870","25750"
"In post","2023","20-29","Home Office","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Home Office","Home Office","Unknown","25","25","25090","25750"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","London","15","15","37280","35480"
"In post","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","25","25","32840","30700"
"In post","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","10","10","44090","45040"
"In post","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","255","250","31230","28300"
"In post","2023","20-29","Legal Aid Agency","Ministry of Justice","London","5","5","[c]","[c]"
"In post","2023","20-29","Legal Aid Agency","Ministry of Justice","Outside London","125","115","23470","21780"
"In post","2023","20-29","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Maritime and Coastguard Agency","Department for Transport","Outside London","160","160","28080","26960"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","170","170","35180","33500"
"In post","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","25","25","34110","33940"
"In post","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","London","10","10","30300","30930"
"In post","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","350","350","27690","26650"
"In post","2023","20-29","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","15","15","31100","30930"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","London","825","825","39950","38020"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","2970","2945","29980","27470"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","40","40","47710","46820"
"In post","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","London","975","970","40090","35410"
"In post","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","445","440","32360","31270"
"In post","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","National Crime Agency","National Crime Agency","London","275","275","39560","39630"
"In post","2023","20-29","National Crime Agency","National Crime Agency","Outside London","475","475","34450","34670"
"In post","2023","20-29","National Crime Agency","National Crime Agency","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","National Infrastructure Commission","HM Treasury","London","15","10","37990","32320"
"In post","2023","20-29","National Infrastructure Commission","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","National Records of Scotland","Scottish Government","Outside London","55","55","30080","29100"
"In post","2023","20-29","National Savings and Investments","Chancellor's other departments","London","10","10","34890","33640"
"In post","2023","20-29","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland Office","Northern Ireland Office","London","25","25","47260","43650"
"In post","2023","20-29","Northern Ireland Office","Northern Ireland Office","Outside London","15","15","33330","37680"
"In post","2023","20-29","Office for Budget Responsibility","HM Treasury","London","20","20","40070","38030"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","40","40","35610","36000"
"In post","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","135","135","28800","27010"
"In post","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","220","220","34210","33400"
"In post","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","160","160","29400","26420"
"In post","2023","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","55","55","31350","31310"
"In post","2023","20-29","Office of Rail and Road","Office of Rail and Road","London","20","20","36970","35330"
"In post","2023","20-29","Office of Rail and Road","Office of Rail and Road","Outside London","15","15","33240","31230"
"In post","2023","20-29","Office of the Public Guardian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Public Guardian","Ministry of Justice","Outside London","410","390","22980","21780"
"In post","2023","20-29","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Scottish Charity Regulator","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","20","20","39840","35410"
"In post","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","15","15","35760","34840"
"In post","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","10","10","33690","31270"
"In post","2023","20-29","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","70","70","28050","26590"
"In post","2023","20-29","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","10","10","30000","29000"
"In post","2023","20-29","Registers of Scotland","Scottish Government","Outside London","155","155","30320","30260"
"In post","2023","20-29","Revenue Scotland","Scottish Government","Outside London","15","15","32010","29270"
"In post","2023","20-29","Royal Fleet Auxiliary","Ministry of Defence","Unknown","375","375","32320","33320"
"In post","2023","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","430","420","23860","22150"
"In post","2023","20-29","Scottish Courts and Tribunals Service","Scottish Government","Outside London","295","290","26630","25060"
"In post","2023","20-29","Scottish Fiscal Commission","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Scottish Forestry","Scottish Government","Outside London","15","15","31810","31180"
"In post","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","Outside London","1535","1520","34300","33520"
"In post","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scottish Prison Service","Scottish Government","Outside London","655","650","28600","26930"
"In post","2023","20-29","Scottish Public Pensions Agency","Scottish Government","Outside London","55","50","27810","26600"
"In post","2023","20-29","Serious Fraud Office","Attorney General's Departments","London","75","75","34120","34500"
"In post","2023","20-29","Social Security Scotland","Scottish Government","Outside London","830","810","27580","27740"
"In post","2023","20-29","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Standards and Testing Agency","Department for Education","Outside London","10","10","31600","30330"
"In post","2023","20-29","Student Awards Agency for Scotland","Scottish Government","Outside London","75","75","25770","24890"
"In post","2023","20-29","Submarine Delivery Agency","Ministry of Defence","Outside London","475","475","30360","31530"
"In post","2023","20-29","Submarine Delivery Agency","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Teaching Regulation Agency","Department for Education","Outside London","25","25","28540","26730"
"In post","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","25","25","31070","31060"
