"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","Female","Heterosexual / straight","2750","2650","48810","44450"
"In post","2023","Foreign, Commonwealth and Development Office","Female","LGBO","165","160","44200","39500"
"In post","2023","Foreign, Commonwealth and Development Office","Female","Undeclared","60","55","46930","40600"
"In post","2023","Foreign, Commonwealth and Development Office","Female","Unknown","1300","1270","48630","45960"
"In post","2023","Foreign, Commonwealth and Development Office","Male","Heterosexual / straight","2810","2775","50400","46950"
"In post","2023","Foreign, Commonwealth and Development Office","Male","LGBO","275","270","51560","53500"
"In post","2023","Foreign, Commonwealth and Development Office","Male","Undeclared","85","85","49880","47480"
"In post","2023","Foreign, Commonwealth and Development Office","Male","Unknown","1360","1345","49750","47950"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Female","Heterosexual / straight","2420","2130","32690","28080"
"In post","2023","HM Land Registry","Female","LGBO","95","90","29780","28080"
"In post","2023","HM Land Registry","Female","Undeclared","375","320","33300","28080"
"In post","2023","HM Land Registry","Female","Unknown","1190","1070","29550","28080"
"In post","2023","HM Land Registry","Male","Heterosexual / straight","1450","1365","34870","34850"
"In post","2023","HM Land Registry","Male","LGBO","95","90","31610","28080"
"In post","2023","HM Land Registry","Male","Undeclared","260","235","35940","34850"
"In post","2023","HM Land Registry","Male","Unknown","830","795","31390","28080"
"In post","2023","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","HM Revenue and Customs","Female","Heterosexual / straight","23195","20990","35790","34400"
"In post","2023","HM Revenue and Customs","Female","LGBO","1375","1310","34800","34400"
"In post","2023","HM Revenue and Customs","Female","Undeclared","2360","2080","35600","34370"
"In post","2023","HM Revenue and Customs","Female","Unknown","10790","9570","30630","27890"
"In post","2023","HM Revenue and Customs","Male","Heterosexual / straight","20145","19535","37900","34700"
"In post","2023","HM Revenue and Customs","Male","LGBO","1730","1690","36160","34370"
"In post","2023","HM Revenue and Customs","Male","Undeclared","2525","2405","38620","35000"
"In post","2023","HM Revenue and Customs","Male","Unknown","10255","9900","33250","28130"
"In post","2023","HM Revenue and Customs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","HM Treasury","Female","Heterosexual / straight","1035","990","47640","46620"
"In post","2023","HM Treasury","Female","LGBO","95","95","44560","36730"
