"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Outside London","AA","Heterosexual / straight","330","295","21780","21380"
"In post","2023","Asian","Outside London","AA","LGBO","15","10","[c]","[c]"
"In post","2023","Asian","Outside London","AA","Undeclared","35","30","21200","19930"
"In post","2023","Asian","Outside London","AA","Unknown","40","30","22100","22520"
"In post","2023","Asian","Outside London","AO","Heterosexual / straight","5025","4500","22880","22400"
"In post","2023","Asian","Outside London","AO","LGBO","125","115","23100","22520"
"In post","2023","Asian","Outside London","AO","Undeclared","350","305","22700","22330"
"In post","2023","Asian","Outside London","AO","Unknown","665","550","22560","22520"
"In post","2023","Asian","Outside London","EO","Heterosexual / straight","5075","4790","28000","28120"
"In post","2023","Asian","Outside London","EO","LGBO","110","100","28110","28120"
"In post","2023","Asian","Outside London","EO","Undeclared","285","255","27730","28120"
"In post","2023","Asian","Outside London","EO","Unknown","580","515","28210","28120"
"In post","2023","Asian","Outside London","G6","Heterosexual / straight","235","230","70550","69910"
"In post","2023","Asian","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Outside London","G6","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Outside London","G7","Heterosexual / straight","1065","1035","55010","54260"
"In post","2023","Asian","Outside London","G7","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Outside London","G7","Undeclared","40","40","55330","54500"
"In post","2023","Asian","Outside London","G7","Unknown","105","100","57130","56120"
"In post","2023","Asian","Outside London","HEO","Heterosexual / straight","2730","2630","34140","34400"
"In post","2023","Asian","Outside London","HEO","LGBO","50","50","34090","34700"
"In post","2023","Asian","Outside London","HEO","Undeclared","135","130","34320","34400"
"In post","2023","Asian","Outside London","HEO","Unknown","270","260","34290","34700"
"In post","2023","Asian","Outside London","SCS level","Heterosexual / straight","85","80","96600","95190"
"In post","2023","Asian","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","SEO","Heterosexual / straight","1620","1580","41910","41530"
"In post","2023","Asian","Outside London","SEO","LGBO","40","35","41970","40710"
"In post","2023","Asian","Outside London","SEO","Undeclared","75","70","42280","41780"
"In post","2023","Asian","Outside London","SEO","Unknown","120","115","42740","42140"
"In post","2023","Asian","Outside London","Unknown","Heterosexual / straight","755","700","29300","26840"
"In post","2023","Asian","Outside London","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Outside London","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Overseas","G7","Heterosexual / straight","30","30","56960","56140"
"In post","2023","Asian","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Overseas","HEO","Heterosexual / straight","40","40","35730","34400"
"In post","2023","Asian","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Asian","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","EO","Heterosexual / straight","30","30","27900","28120"
"In post","2023","Asian","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Asian","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","London","AA","Heterosexual / straight","225","215","25120","23670"
"In post","2023","Black","London","AA","LGBO","5","5","[c]","[c]"
"In post","2023","Black","London","AA","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","London","AA","Unknown","45","40","24930","23670"
"In post","2023","Black","London","AO","Heterosexual / straight","1550","1450","28040","26400"
"In post","2023","Black","London","AO","LGBO","35","30","27730","25610"
"In post","2023","Black","London","AO","Undeclared","115","100","27260","25610"
"In post","2023","Black","London","AO","Unknown","185","160","28430","26920"
"In post","2023","Black","London","EO","Heterosexual / straight","2655","2545","31520","32300"
"In post","2023","Black","London","EO","LGBO","60","60","31070","32040"
"In post","2023","Black","London","EO","Undeclared","160","150","31390","31330"
"In post","2023","Black","London","EO","Unknown","330","300","32130","32520"
"In post","2023","Black","London","G6","Heterosexual / straight","170","170","70850","69850"
"In post","2023","Black","London","G6","LGBO","5","5","[c]","[c]"
"In post","2023","Black","London","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","London","G6","Unknown","20","20","[c]","[c]"
"In post","2023","Black","London","G7","Heterosexual / straight","860","850","58430","56610"
"In post","2023","Black","London","G7","LGBO","30","30","59080","56840"
"In post","2023","Black","London","G7","Undeclared","35","35","59060","58160"
"In post","2023","Black","London","G7","Unknown","60","55","58960","57700"
"In post","2023","Black","London","HEO","Heterosexual / straight","1540","1520","37260","36310"
"In post","2023","Black","London","HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Black","London","HEO","Undeclared","80","80","37350","36740"
"In post","2023","Black","London","HEO","Unknown","145","140","37130","39150"
"In post","2023","Black","London","SCS level","Heterosexual / straight","65","65","91010","82460"
"In post","2023","Black","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","London","SEO","Heterosexual / straight","1035","1025","44350","43650"
"In post","2023","Black","London","SEO","LGBO","35","35","44490","43750"
"In post","2023","Black","London","SEO","Undeclared","55","55","44230","43650"
"In post","2023","Black","London","SEO","Unknown","55","50","45370","45560"
"In post","2023","Black","London","Unknown","Heterosexual / straight","645","620","34430","33050"
"In post","2023","Black","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Black","London","Unknown","Undeclared","30","30","34950","33820"
"In post","2023","Black","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Outside London","AA","Heterosexual / straight","190","180","22720","23230"
"In post","2023","Black","Outside London","AA","LGBO","5","5","[c]","[c]"
"In post","2023","Black","Outside London","AA","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","Outside London","AA","Unknown","25","25","[c]","[c]"
"In post","2023","Black","Outside London","AO","Heterosexual / straight","1610","1500","24340","22520"
"In post","2023","Black","Outside London","AO","LGBO","45","45","24220","22520"
"In post","2023","Black","Outside London","AO","Undeclared","85","75","23660","21780"
"In post","2023","Black","Outside London","AO","Unknown","130","115","24040","22520"
"In post","2023","Black","Outside London","EO","Heterosexual / straight","1665","1580","28390","28120"
"In post","2023","Black","Outside London","EO","LGBO","45","45","28450","28120"
"In post","2023","Black","Outside London","EO","Undeclared","75","70","29140","28120"
"In post","2023","Black","Outside London","EO","Unknown","135","120","28810","28120"
"In post","2023","Black","Outside London","G6","Heterosexual / straight","55","50","70590","67260"
"In post","2023","Black","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Outside London","G7","Heterosexual / straight","315","310","54640","53000"
"In post","2023","Black","Outside London","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Black","Outside London","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Outside London","G7","Unknown","35","30","56320","56450"
"In post","2023","Black","Outside London","HEO","Heterosexual / straight","935","915","34000","34170"
"In post","2023","Black","Outside London","HEO","LGBO","30","30","[c]","[c]"
"In post","2023","Black","Outside London","HEO","Undeclared","35","35","34240","34170"
"In post","2023","Black","Outside London","HEO","Unknown","60","60","34370","34400"
"In post","2023","Black","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Black","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Outside London","SEO","Heterosexual / straight","640","630","42280","41500"
"In post","2023","Black","Outside London","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Outside London","SEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Black","Outside London","SEO","Unknown","40","40","41780","41780"
"In post","2023","Black","Outside London","Unknown","Heterosexual / straight","595","560","29280","26840"
"In post","2023","Black","Outside London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2023","Black","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Black","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Overseas","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Black","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Black","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","London","AA","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Mixed","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","London","AO","Heterosexual / straight","270","255","28500","26400"
"In post","2023","Mixed","London","AO","LGBO","30","30","[c]","[c]"
"In post","2023","Mixed","London","AO","Undeclared","30","25","[c]","[c]"
"In post","2023","Mixed","London","AO","Unknown","25","20","[c]","[c]"
"In post","2023","Mixed","London","EO","Heterosexual / straight","555","530","31340","31310"
"In post","2023","Mixed","London","EO","LGBO","50","50","31180","31340"
"In post","2023","Mixed","London","EO","Undeclared","65","60","31220","31380"
"In post","2023","Mixed","London","EO","Unknown","35","30","31490","31980"
"In post","2023","Mixed","London","G6","Heterosexual / straight","205","200","70360","68090"
"In post","2023","Mixed","London","G6","LGBO","25","25","[c]","[c]"
"In post","2023","Mixed","London","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Mixed","London","G6","Unknown","25","25","[c]","[c]"
"In post","2023","Mixed","London","G7","Heterosexual / straight","550","535","57690","56430"
"In post","2023","Mixed","London","G7","LGBO","70","70","57520","56430"
"In post","2023","Mixed","London","G7","Undeclared","45","45","58000","55910"
"In post","2023","Mixed","London","G7","Unknown","35","30","59410","60220"
"In post","2023","Mixed","London","HEO","Heterosexual / straight","560","550","36890","36180"
"In post","2023","Mixed","London","HEO","LGBO","75","70","35520","35410"
"In post","2023","Mixed","London","HEO","Undeclared","50","50","37350","36240"
"In post","2023","Mixed","London","HEO","Unknown","100","100","33160","30130"
"In post","2023","Mixed","London","SCS level","Heterosexual / straight","75","75","87290","80130"
"In post","2023","Mixed","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Mixed","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","London","SEO","Heterosexual / straight","415","410","43870","43420"
"In post","2023","Mixed","London","SEO","LGBO","55","55","43610","43280"
"In post","2023","Mixed","London","SEO","Undeclared","30","30","43370","43210"
"In post","2023","Mixed","London","SEO","Unknown","15","15","[c]","[c]"
"In post","2023","Mixed","London","Unknown","Heterosexual / straight","120","115","34600","33050"
"In post","2023","Mixed","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Mixed","London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Mixed","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Outside London","AA","Heterosexual / straight","125","120","22160","23230"
"In post","2023","Mixed","Outside London","AA","LGBO","20","20","[c]","[c]"
"In post","2023","Mixed","Outside London","AA","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2023","Mixed","Outside London","AO","Heterosexual / straight","1175","1080","24580","22500"
"In post","2023","Mixed","Outside London","AO","LGBO","135","130","25310","22520"
"In post","2023","Mixed","Outside London","AO","Undeclared","110","100","24290","22400"
"In post","2023","Mixed","Outside London","AO","Unknown","95","80","23320","22400"
"In post","2023","Mixed","Outside London","EO","Heterosexual / straight","1150","1085","28450","28120"
"In post","2023","Mixed","Outside London","EO","LGBO","165","160","28350","28120"
"In post","2023","Mixed","Outside London","EO","Undeclared","130","115","28190","28120"
"In post","2023","Mixed","Outside London","EO","Unknown","90","75","28480","28120"
"In post","2023","Mixed","Outside London","G6","Heterosexual / straight","105","100","70920","68220"
"In post","2023","Mixed","Outside London","G6","LGBO","15","15","[c]","[c]"
"In post","2023","Mixed","Outside London","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Outside London","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","Outside London","G7","Heterosexual / straight","380","365","55190","54260"
"In post","2023","Mixed","Outside London","G7","LGBO","40","40","53330","51530"
"In post","2023","Mixed","Outside London","G7","Undeclared","30","30","[c]","[c]"
"In post","2023","Mixed","Outside London","G7","Unknown","30","25","[c]","[c]"
"In post","2023","Mixed","Outside London","HEO","Heterosexual / straight","710","690","34080","34170"
"In post","2023","Mixed","Outside London","HEO","LGBO","85","85","34040","34170"
"In post","2023","Mixed","Outside London","HEO","Undeclared","60","55","34520","34170"
"In post","2023","Mixed","Outside London","HEO","Unknown","75","70","33190","34170"
"In post","2023","Mixed","Outside London","SCS level","Heterosexual / straight","40","40","86330","81600"
"In post","2023","Mixed","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Outside London","SEO","Heterosexual / straight","475","465","42240","41300"
"In post","2023","Mixed","Outside London","SEO","LGBO","60","55","41270","40120"
"In post","2023","Mixed","Outside London","SEO","Undeclared","35","35","43240","42570"
"In post","2023","Mixed","Outside London","SEO","Unknown","35","35","41310","41780"
