"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Finance","Unknown","15","10","[c]","[c]"
"In post","2023","16-19","Grants Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Legal","Heterosexual / straight","50","50","21360","20980"
"In post","2023","16-19","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Heterosexual / straight","430","420","23740","22520"
"In post","2023","16-19","No function","LGBO","50","50","24480","23180"
"In post","2023","16-19","No function","Undeclared","25","25","[c]","[c]"
"In post","2023","16-19","No function","Unknown","410","390","23270","22500"
"In post","2023","16-19","Project Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Property","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Unknown","30","30","22780","22520"
"In post","2023","16-19","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Heterosexual / straight","40","40","22690","22460"
"In post","2023","16-19","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","65","65","21360","22180"
"In post","2023","20-29","Analysis","Heterosexual / straight","2275","2265","38290","36180"
"In post","2023","20-29","Analysis","LGBO","385","385","37450","35000"
"In post","2023","20-29","Analysis","Undeclared","210","210","36750","35000"
"In post","2023","20-29","Analysis","Unknown","825","825","36080","35000"
"In post","2023","20-29","Commercial","Heterosexual / straight","735","730","35250","33500"
"In post","2023","20-29","Commercial","LGBO","85","85","37450","35530"
"In post","2023","20-29","Commercial","Undeclared","65","65","37260","35410"
"In post","2023","20-29","Commercial","Unknown","325","320","35520","31270"
"In post","2023","20-29","Communications","Heterosexual / straight","475","475","36020","34400"
"In post","2023","20-29","Communications","LGBO","80","80","36300","34410"
"In post","2023","20-29","Communications","Undeclared","60","60","35890","34550"
"In post","2023","20-29","Communications","Unknown","235","230","37490","36960"
"In post","2023","20-29","Counter Fraud","Heterosexual / straight","1315","1305","30450","28120"
"In post","2023","20-29","Counter Fraud","LGBO","140","140","30080","28120"
"In post","2023","20-29","Counter Fraud","Undeclared","85","85","31150","28130"
"In post","2023","20-29","Counter Fraud","Unknown","460","455","31440","28130"
"In post","2023","20-29","Debt","Heterosexual / straight","925","895","23420","22520"
"In post","2023","20-29","Debt","LGBO","125","125","23520","22520"
"In post","2023","20-29","Debt","Undeclared","55","50","23040","22520"
"In post","2023","20-29","Debt","Unknown","615","595","23480","22520"
"In post","2023","20-29","Digital, Data & Technology","Heterosexual / straight","2280","2260","35510","34170"
"In post","2023","20-29","Digital, Data & Technology","LGBO","315","315","35030","34150"
"In post","2023","20-29","Digital, Data & Technology","Undeclared","275","275","34370","32770"
"In post","2023","20-29","Digital, Data & Technology","Unknown","1140","1135","35290","34370"
"In post","2023","20-29","Finance","Heterosexual / straight","1070","1060","33830","32300"
"In post","2023","20-29","Finance","LGBO","110","110","33790","32300"
"In post","2023","20-29","Finance","Undeclared","100","100","33760","31950"
"In post","2023","20-29","Finance","Unknown","445","430","31890","28840"
"In post","2023","20-29","Grants Management","Heterosexual / straight","255","245","24600","22150"
"In post","2023","20-29","Grants Management","LGBO","50","50","23230","22150"
"In post","2023","20-29","Grants Management","Undeclared","30","30","23430","22150"
"In post","2023","20-29","Grants Management","Unknown","95","90","24670","22150"
"In post","2023","20-29","Human Resources","Heterosexual / straight","1110","1100","33280","31070"
"In post","2023","20-29","Human Resources","LGBO","150","145","34640","31760"
"In post","2023","20-29","Human Resources","Undeclared","100","100","33390","30220"
"In post","2023","20-29","Human Resources","Unknown","315","310","31120","28130"
"In post","2023","20-29","Internal Audit","Heterosexual / straight","35","35","33540","33420"
"In post","2023","20-29","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Legal","Heterosexual / straight","1485","1470","32420","27760"
"In post","2023","20-29","Legal","LGBO","180","180","32550","27890"
"In post","2023","20-29","Legal","Undeclared","100","100","33590","28130"
"In post","2023","20-29","Legal","Unknown","215","215","34250","30680"
"In post","2023","20-29","No function","Heterosexual / straight","31865","31340","30570","28700"
"In post","2023","20-29","No function","LGBO","4470","4415","31150","28720"
"In post","2023","20-29","No function","Undeclared","2610","2570","32690","30410"
"In post","2023","20-29","No function","Unknown","15250","14980","29080","26940"
"In post","2023","20-29","Project Delivery","Heterosexual / straight","2125","2115","35270","33620"
"In post","2023","20-29","Project Delivery","LGBO","235","230","35670","33500"
"In post","2023","20-29","Project Delivery","Undeclared","140","140","34620","32810"
"In post","2023","20-29","Project Delivery","Unknown","835","830","34430","32500"
"In post","2023","20-29","Property","Heterosexual / straight","570","565","30940","29400"
"In post","2023","20-29","Property","LGBO","70","70","29340","26890"
"In post","2023","20-29","Property","Undeclared","35","35","30370","27140"
"In post","2023","20-29","Property","Unknown","430","425","29000","27080"
"In post","2023","20-29","Security","Heterosexual / straight","700","700","30470","28560"
"In post","2023","20-29","Security","LGBO","90","90","31840","29840"
"In post","2023","20-29","Security","Undeclared","40","40","34490","30980"
"In post","2023","20-29","Security","Unknown","475","475","29500","27480"
"In post","2023","20-29","Unknown","Heterosexual / straight","2700","2675","32350","30650"
"In post","2023","20-29","Unknown","LGBO","480","470","32140","30650"
"In post","2023","20-29","Unknown","Undeclared","230","225","31810","31180"
"In post","2023","20-29","Unknown","Unknown","2445","2420","30480","29450"
"In post","2023","30-39","Analysis","Heterosexual / straight","1985","1905","48320","45960"
"In post","2023","30-39","Analysis","LGBO","215","210","46250","43490"
"In post","2023","30-39","Analysis","Undeclared","185","180","49090","48200"
"In post","2023","30-39","Analysis","Unknown","490","480","43220","39890"
"In post","2023","30-39","Commercial","Heterosexual / straight","1250","1210","44360","40750"
"In post","2023","30-39","Commercial","LGBO","85","85","42700","39150"
"In post","2023","30-39","Commercial","Undeclared","100","100","44500","42620"
"In post","2023","30-39","Commercial","Unknown","330","325","46690","42620"
"In post","2023","30-39","Communications","Heterosexual / straight","775","750","45790","43180"
"In post","2023","30-39","Communications","LGBO","90","90","46440","43840"
"In post","2023","30-39","Communications","Undeclared","85","85","48640","45470"
"In post","2023","30-39","Communications","Unknown","270","265","45620","43330"
"In post","2023","30-39","Counter Fraud","Heterosexual / straight","2375","2290","34170","32520"
"In post","2023","30-39","Counter Fraud","LGBO","220","220","35030","32620"
"In post","2023","30-39","Counter Fraud","Undeclared","180","175","35290","34080"
"In post","2023","30-39","Counter Fraud","Unknown","760","735","33410","32520"
"In post","2023","30-39","Debt","Heterosexual / straight","935","845","24560","22520"
"In post","2023","30-39","Debt","LGBO","100","95","24580","22520"
"In post","2023","30-39","Debt","Undeclared","65","60","23550","22520"
"In post","2023","30-39","Debt","Unknown","495","450","23850","22520"
"In post","2023","30-39","Digital, Data & Technology","Heterosexual / straight","4090","4005","42930","40000"
"In post","2023","30-39","Digital, Data & Technology","LGBO","470","460","43550","41050"
"In post","2023","30-39","Digital, Data & Technology","Undeclared","475","470","43470","41050"
"In post","2023","30-39","Digital, Data & Technology","Unknown","1370","1345","43040","39510"
"In post","2023","30-39","Finance","Heterosexual / straight","1875","1810","42390","38470"
"In post","2023","30-39","Finance","LGBO","120","120","42230","37920"
"In post","2023","30-39","Finance","Undeclared","165","160","44140","41800"
"In post","2023","30-39","Finance","Unknown","475","455","40910","37770"
"In post","2023","30-39","Grants Management","Heterosexual / straight","300","280","26320","22150"
"In post","2023","30-39","Grants Management","LGBO","50","50","27870","22150"
"In post","2023","30-39","Grants Management","Undeclared","30","30","[c]","[c]"
"In post","2023","30-39","Grants Management","Unknown","110","105","25710","22150"
"In post","2023","30-39","Human Resources","Heterosexual / straight","2155","2060","39020","35020"
"In post","2023","30-39","Human Resources","LGBO","235","230","39380","35410"
"In post","2023","30-39","Human Resources","Undeclared","140","135","39230","36380"
"In post","2023","30-39","Human Resources","Unknown","490","465","38810","35000"
"In post","2023","30-39","Internal Audit","Heterosexual / straight","100","95","44470","42700"
"In post","2023","30-39","Internal Audit","LGBO","10","5","[c]","[c]"
"In post","2023","30-39","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2023","30-39","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2023","30-39","Legal","Heterosexual / straight","2370","2250","48800","52020"
"In post","2023","30-39","Legal","LGBO","190","190","47740","52020"
"In post","2023","30-39","Legal","Undeclared","160","160","50420","52190"
"In post","2023","30-39","Legal","Unknown","430","410","48270","52020"
"In post","2023","30-39","No function","Heterosexual / straight","49000","46450","34690","31510"
"In post","2023","30-39","No function","LGBO","4645","4540","35280","32050"
"In post","2023","30-39","No function","Undeclared","4565","4360","36130","32520"
"In post","2023","30-39","No function","Unknown","15215","14365","32650","28130"
"In post","2023","30-39","Project Delivery","Heterosexual / straight","3680","3570","44680","41800"
"In post","2023","30-39","Project Delivery","LGBO","325","320","46660","42510"
"In post","2023","30-39","Project Delivery","Undeclared","310","305","45470","42140"
"In post","2023","30-39","Project Delivery","Unknown","890","865","44360","42090"
"In post","2023","30-39","Property","Heterosexual / straight","930","900","37370","34300"
"In post","2023","30-39","Property","LGBO","70","70","34750","32970"
"In post","2023","30-39","Property","Undeclared","65","60","38520","34440"
"In post","2023","30-39","Property","Unknown","360","350","33760","32260"
"In post","2023","30-39","Security","Heterosexual / straight","1170","1155","35410","33570"
"In post","2023","30-39","Security","LGBO","95","90","35790","34020"
"In post","2023","30-39","Security","Undeclared","125","125","37240","37240"
"In post","2023","30-39","Security","Unknown","520","515","35490","33830"
"In post","2023","30-39","Unknown","Heterosexual / straight","4385","4205","41230","38530"
"In post","2023","30-39","Unknown","LGBO","535","525","40280","38330"
"In post","2023","30-39","Unknown","Undeclared","335","325","41990","39690"
"In post","2023","30-39","Unknown","Unknown","2300","2230","38200","34730"
"In post","2023","40-49","Analysis","Heterosexual / straight","1455","1360","52680","51460"
"In post","2023","40-49","Analysis","LGBO","85","85","52060","49870"
"In post","2023","40-49","Analysis","Undeclared","140","130","50270","49030"
"In post","2023","40-49","Analysis","Unknown","355","340","46890","46810"
"In post","2023","40-49","Commercial","Heterosexual / straight","1415","1370","51940","44230"
"In post","2023","40-49","Commercial","LGBO","50","45","48330","46910"
"In post","2023","40-49","Commercial","Undeclared","140","135","48990","42790"
"In post","2023","40-49","Commercial","Unknown","295","290","55700","56000"
"In post","2023","40-49","Communications","Heterosexual / straight","750","710","49010","43900"
"In post","2023","40-49","Communications","LGBO","45","40","51940","51350"
"In post","2023","40-49","Communications","Undeclared","70","65","45930","41850"
"In post","2023","40-49","Communications","Unknown","185","175","51480","47900"
"In post","2023","40-49","Counter Fraud","Heterosexual / straight","2535","2405","35600","34170"
"In post","2023","40-49","Counter Fraud","LGBO","140","135","34260","32260"
"In post","2023","40-49","Counter Fraud","Undeclared","320","305","35800","34170"
"In post","2023","40-49","Counter Fraud","Unknown","770","725","33980","32540"
"In post","2023","40-49","Debt","Heterosexual / straight","910","805","25100","22520"
"In post","2023","40-49","Debt","LGBO","55","50","25720","22520"
"In post","2023","40-49","Debt","Undeclared","100","90","24870","22520"
"In post","2023","40-49","Debt","Unknown","395","350","24440","22520"
"In post","2023","40-49","Digital, Data & Technology","Heterosexual / straight","4900","4785","46790","42670"
"In post","2023","40-49","Digital, Data & Technology","LGBO","240","235","47290","43470"
"In post","2023","40-49","Digital, Data & Technology","Undeclared","660","640","46080","42140"
"In post","2023","40-49","Digital, Data & Technology","Unknown","1200","1175","46590","42920"
"In post","2023","40-49","Finance","Heterosexual / straight","2405","2300","44440","40450"
"In post","2023","40-49","Finance","LGBO","105","100","46400","40800"
"In post","2023","40-49","Finance","Undeclared","245","235","43980","39510"
"In post","2023","40-49","Finance","Unknown","485","465","43170","39130"
"In post","2023","40-49","Grants Management","Heterosexual / straight","535","485","26670","22150"
"In post","2023","40-49","Grants Management","LGBO","25","25","[c]","[c]"
"In post","2023","40-49","Grants Management","Undeclared","80","75","27350","25920"
"In post","2023","40-49","Grants Management","Unknown","135","120","26680","22150"
"In post","2023","40-49","Human Resources","Heterosexual / straight","2680","2555","41910","38130"
"In post","2023","40-49","Human Resources","LGBO","155","155","46460","41000"
"In post","2023","40-49","Human Resources","Undeclared","210","200","39070","34850"
"In post","2023","40-49","Human Resources","Unknown","500","485","42670","38020"
"In post","2023","40-49","Internal Audit","Heterosexual / straight","145","140","50060","49260"
"In post","2023","40-49","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2023","40-49","Internal Audit","Undeclared","15","10","[c]","[c]"
"In post","2023","40-49","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Legal","Heterosexual / straight","2420","2240","52070","54040"
"In post","2023","40-49","Legal","LGBO","125","125","53870","54320"
"In post","2023","40-49","Legal","Undeclared","185","175","57660","62590"
"In post","2023","40-49","Legal","Unknown","765","685","51990","55170"
"In post","2023","40-49","No function","Heterosexual / straight","50760","47430","35900","31280"
"In post","2023","40-49","No function","LGBO","2845","2755","37760","32160"
"In post","2023","40-49","No function","Undeclared","5955","5555","35310","30910"
"In post","2023","40-49","No function","Unknown","13045","11970","33000","28120"
"In post","2023","40-49","Project Delivery","Heterosexual / straight","4145","4005","49270","44180"
"In post","2023","40-49","Project Delivery","LGBO","230","225","51360","48840"
"In post","2023","40-49","Project Delivery","Undeclared","435","425","49430","45150"
"In post","2023","40-49","Project Delivery","Unknown","780","750","48700","44450"
"In post","2023","40-49","Property","Heterosexual / straight","1365","1325","40510","38180"
"In post","2023","40-49","Property","LGBO","55","50","42060","38340"
"In post","2023","40-49","Property","Undeclared","170","160","40500","38320"
"In post","2023","40-49","Property","Unknown","355","340","35850","32260"
"In post","2023","40-49","Security","Heterosexual / straight","1495","1470","37570","36310"
"In post","2023","40-49","Security","LGBO","60","60","39160","38790"
"In post","2023","40-49","Security","Undeclared","230","225","38860","40880"
"In post","2023","40-49","Security","Unknown","345","340","38740","39190"
"In post","2023","40-49","Unknown","Heterosexual / straight","5060","4830","47750","44890"
"In post","2023","40-49","Unknown","LGBO","285","280","49050","44890"
"In post","2023","40-49","Unknown","Undeclared","390","375","47680","43660"
"In post","2023","40-49","Unknown","Unknown","1925","1840","42760","38480"
"In post","2023","50-59","Analysis","Heterosexual / straight","910","870","51170","49260"
"In post","2023","50-59","Analysis","LGBO","40","40","47770","39770"
"In post","2023","50-59","Analysis","Undeclared","100","90","52160","49330"
"In post","2023","50-59","Analysis","Unknown","245","235","49570","49260"
"In post","2023","50-59","Commercial","Heterosexual / straight","1400","1370","53820","45320"
"In post","2023","50-59","Commercial","LGBO","50","50","56730","55500"
"In post","2023","50-59","Commercial","Undeclared","190","185","50220","43360"
"In post","2023","50-59","Commercial","Unknown","240","230","58260","56000"
"In post","2023","50-59","Communications","Heterosexual / straight","550","535","44510","40130"
"In post","2023","50-59","Communications","LGBO","30","30","49240","42530"
"In post","2023","50-59","Communications","Undeclared","90","85","41230","36540"
"In post","2023","50-59","Communications","Unknown","120","120","44780","39780"
"In post","2023","50-59","Counter Fraud","Heterosexual / straight","3690","3495","35260","32540"
"In post","2023","50-59","Counter Fraud","LGBO","140","135","34850","32520"
"In post","2023","50-59","Counter Fraud","Undeclared","650","605","35350","32520"
"In post","2023","50-59","Counter Fraud","Unknown","1090","1015","33770","32520"
"In post","2023","50-59","Debt","Heterosexual / straight","1215","1090","26010","22520"
"In post","2023","50-59","Debt","LGBO","60","60","25840","22520"
"In post","2023","50-59","Debt","Undeclared","185","165","24910","22520"
"In post","2023","50-59","Debt","Unknown","475","425","25170","22520"
"In post","2023","50-59","Digital, Data & Technology","Heterosexual / straight","4890","4775","45680","42140"
"In post","2023","50-59","Digital, Data & Technology","LGBO","155","155","47450","42510"
"In post","2023","50-59","Digital, Data & Technology","Undeclared","840","820","44210","41480"
"In post","2023","50-59","Digital, Data & Technology","Unknown","990","965","47420","42510"
"In post","2023","50-59","Finance","Heterosexual / straight","2870","2740","43230","38470"
"In post","2023","50-59","Finance","LGBO","80","80","40760","35000"
"In post","2023","50-59","Finance","Undeclared","415","395","40850","38130"
"In post","2023","50-59","Finance","Unknown","565","525","38530","33990"
"In post","2023","50-59","Grants Management","Heterosexual / straight","450","415","28430","25920"
"In post","2023","50-59","Grants Management","LGBO","20","20","[c]","[c]"
"In post","2023","50-59","Grants Management","Undeclared","70","65","25930","22150"
"In post","2023","50-59","Grants Management","Unknown","110","105","28260","25920"
"In post","2023","50-59","Human Resources","Heterosexual / straight","3510","3400","41240","36540"
"In post","2023","50-59","Human Resources","LGBO","115","115","43840","39050"
"In post","2023","50-59","Human Resources","Undeclared","400","390","38350","34170"
"In post","2023","50-59","Human Resources","Unknown","480","470","42530","37680"
"In post","2023","50-59","Internal Audit","Heterosexual / straight","205","200","51370","48710"
"In post","2023","50-59","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Internal Audit","Undeclared","40","40","50600","46200"
"In post","2023","50-59","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2023","50-59","Legal","Heterosexual / straight","2390","2255","50670","52060"
"In post","2023","50-59","Legal","LGBO","115","110","57300","56450"
"In post","2023","50-59","Legal","Undeclared","195","185","53410","54320"
"In post","2023","50-59","Legal","Unknown","915","840","49980","55290"
"In post","2023","50-59","No function","Heterosexual / straight","63005","58900","34100","28670"
"In post","2023","50-59","No function","LGBO","2450","2345","35370","30200"
"In post","2023","50-59","No function","Undeclared","9645","8950","33580","28480"
"In post","2023","50-59","No function","Unknown","15290","13915","31700","28120"
"In post","2023","50-59","Project Delivery","Heterosexual / straight","4740","4605","50170","45320"
"In post","2023","50-59","Project Delivery","LGBO","120","120","50090","47840"
"In post","2023","50-59","Project Delivery","Undeclared","595","580","50320","43650"
"In post","2023","50-59","Project Delivery","Unknown","800","775","50140","44930"
"In post","2023","50-59","Property","Heterosexual / straight","2165","2105","41040","37680"
"In post","2023","50-59","Property","LGBO","50","50","41850","37570"
"In post","2023","50-59","Property","Undeclared","300","290","40390","36920"
"In post","2023","50-59","Property","Unknown","485","465","35940","32260"
"In post","2023","50-59","Security","Heterosexual / straight","2565","2525","35270","31720"
"In post","2023","50-59","Security","LGBO","55","55","37510","35300"
"In post","2023","50-59","Security","Undeclared","360","355","38080","40880"
"In post","2023","50-59","Security","Unknown","400","390","36470","33680"
"In post","2023","50-59","Unknown","Heterosexual / straight","4455","4300","48660","45970"
"In post","2023","50-59","Unknown","LGBO","195","190","49840","49370"
"In post","2023","50-59","Unknown","Undeclared","430","415","47720","47280"
"In post","2023","50-59","Unknown","Unknown","2150","2085","44210","39650"
"In post","2023","60-64","Analysis","Heterosexual / straight","195","170","46430","46460"
"In post","2023","60-64","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","Undeclared","20","20","[c]","[c]"
"In post","2023","60-64","Analysis","Unknown","50","45","46050","46170"
"In post","2023","60-64","Commercial","Heterosexual / straight","290","260","51560","43530"
"In post","2023","60-64","Commercial","LGBO","10","5","[c]","[c]"
"In post","2023","60-64","Commercial","Undeclared","65","60","41580","37470"
"In post","2023","60-64","Commercial","Unknown","50","45","48180","41880"
"In post","2023","60-64","Communications","Heterosexual / straight","130","120","41000","36920"
"In post","2023","60-64","Communications","LGBO","5","5","[c]","[c]"
"In post","2023","60-64","Communications","Undeclared","20","15","[c]","[c]"
"In post","2023","60-64","Communications","Unknown","30","25","[c]","[c]"
"In post","2023","60-64","Counter Fraud","Heterosexual / straight","1090","845","33680","29730"
"In post","2023","60-64","Counter Fraud","LGBO","45","35","35700","32520"
"In post","2023","60-64","Counter Fraud","Undeclared","215","160","33390","28660"
"In post","2023","60-64","Counter Fraud","Unknown","380","295","32800","29730"
"In post","2023","60-64","Debt","Heterosexual / straight","485","385","25760","22520"
"In post","2023","60-64","Debt","LGBO","15","15","[c]","[c]"
"In post","2023","60-64","Debt","Undeclared","65","50","25170","22520"
"In post","2023","60-64","Debt","Unknown","190","155","24920","22520"
"In post","2023","60-64","Digital, Data & Technology","Heterosexual / straight","1100","985","41950","38570"
"In post","2023","60-64","Digital, Data & Technology","LGBO","40","35","46630","42390"
"In post","2023","60-64","Digital, Data & Technology","Undeclared","200","175","41680","39420"
"In post","2023","60-64","Digital, Data & Technology","Unknown","225","205","43940","39460"
"In post","2023","60-64","Finance","Heterosexual / straight","670","570","39560","34970"
"In post","2023","60-64","Finance","LGBO","15","15","[c]","[c]"
"In post","2023","60-64","Finance","Undeclared","125","105","38790","36300"
"In post","2023","60-64","Finance","Unknown","185","150","33590","28130"
"In post","2023","60-64","Grants Management","Heterosexual / straight","135","110","26140","22150"
"In post","2023","60-64","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Grants Management","Undeclared","25","20","[c]","[c]"
"In post","2023","60-64","Grants Management","Unknown","40","30","27840","24030"
"In post","2023","60-64","Human Resources","Heterosexual / straight","1015","905","37860","34300"
"In post","2023","60-64","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2023","60-64","Human Resources","Undeclared","135","125","35180","34170"
"In post","2023","60-64","Human Resources","Unknown","110","100","36370","34710"
"In post","2023","60-64","Internal Audit","Heterosexual / straight","75","60","47740","46290"
"In post","2023","60-64","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","Undeclared","5","5","[c]","[c]"
"In post","2023","60-64","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Legal","Heterosexual / straight","510","435","49850","54100"
"In post","2023","60-64","Legal","LGBO","30","30","50530","57210"
"In post","2023","60-64","Legal","Undeclared","60","45","49690","53230"
"In post","2023","60-64","Legal","Unknown","220","180","48450","55010"
"In post","2023","60-64","No function","Heterosexual / straight","20565","16970","31230","28120"
"In post","2023","60-64","No function","LGBO","555","470","31390","28120"
"In post","2023","60-64","No function","Undeclared","3415","2740","31250","28120"
"In post","2023","60-64","No function","Unknown","4925","3875","30010","28080"
"In post","2023","60-64","Project Delivery","Heterosexual / straight","1100","935","47100","42510"
"In post","2023","60-64","Project Delivery","LGBO","25","25","[c]","[c]"
"In post","2023","60-64","Project Delivery","Undeclared","155","130","47310","42060"
"In post","2023","60-64","Project Delivery","Unknown","200","170","47490","42060"
"In post","2023","60-64","Property","Heterosexual / straight","700","620","36550","34300"
"In post","2023","60-64","Property","LGBO","25","20","[c]","[c]"
"In post","2023","60-64","Property","Undeclared","95","80","37290","34440"
"In post","2023","60-64","Property","Unknown","175","155","33320","28130"
"In post","2023","60-64","Security","Heterosexual / straight","750","685","30170","23500"
"In post","2023","60-64","Security","LGBO","10","10","[c]","[c]"
"In post","2023","60-64","Security","Undeclared","105","95","32290","27510"
"In post","2023","60-64","Security","Unknown","95","90","34100","30150"
"In post","2023","60-64","Unknown","Heterosexual / straight","1010","880","45000","39690"
"In post","2023","60-64","Unknown","LGBO","35","30","44920","39080"
"In post","2023","60-64","Unknown","Undeclared","105","90","47370","45430"
"In post","2023","60-64","Unknown","Unknown","665","605","41350","37760"
"In post","2023","65+","Analysis","Heterosexual / straight","65","50","47120","42520"
"In post","2023","65+","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","Undeclared","10","10","[c]","[c]"
"In post","2023","65+","Analysis","Unknown","20","15","[c]","[c]"
"In post","2023","65+","Commercial","Heterosexual / straight","80","70","48600","43650"
"In post","2023","65+","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2023","65+","Commercial","Unknown","15","15","[c]","[c]"
"In post","2023","65+","Communications","Heterosexual / straight","35","30","35940","32990"
"In post","2023","65+","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","Unknown","5","5","[c]","[c]"
"In post","2023","65+","Counter Fraud","Heterosexual / straight","330","230","32020","28130"
"In post","2023","65+","Counter Fraud","LGBO","5","5","[c]","[c]"
"In post","2023","65+","Counter Fraud","Undeclared","65","50","33080","29730"
"In post","2023","65+","Counter Fraud","Unknown","140","90","31240","28120"
"In post","2023","65+","Debt","Heterosexual / straight","145","105","25050","22520"
"In post","2023","65+","Debt","LGBO","10","5","[c]","[c]"
"In post","2023","65+","Debt","Undeclared","25","15","[c]","[c]"
"In post","2023","65+","Debt","Unknown","60","45","25800","22520"
"In post","2023","65+","Digital, Data & Technology","Heterosexual / straight","310","260","41520","36990"
"In post","2023","65+","Digital, Data & Technology","LGBO","10","5","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","Undeclared","55","45","38090","36950"
"In post","2023","65+","Digital, Data & Technology","Unknown","70","60","37910","36520"
