"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","Unknown","30","30","92500","78750"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","775","765","34820","34670"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","LGBO","80","80","34710","34670"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Undeclared","80","80","36830","34670"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","Unknown","170","170","35070","34410"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","1005","990","42550","41360"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","LGBO","150","150","41780","41360"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Undeclared","130","125","42740","41360"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","Unknown","180","180","41310","41060"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","Heterosexual / straight","90","90","28250","27780"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","Heterosexual / straight","145","145","65520","64440"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","Heterosexual / straight","450","445","54810","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","LGBO","75","75","54740","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","Undeclared","40","40","54450","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","Unknown","45","45","54960","54300"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","Heterosexual / straight","95","90","87090","78340"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","425","420","37140","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","LGBO","85","80","36200","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","Undeclared","55","55","36600","35620"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","Unknown","60","60","37620","35620"
"In post","2023","Department for Education (excl. agencies)","AA/AO","AO","Heterosexual / straight","55","50","22830","22020"
"In post","2023","Department for Education (excl. agencies)","AA/AO","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","AA/AO","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","AA/AO","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","EO","EO","Heterosexual / straight","505","480","27500","26940"
"In post","2023","Department for Education (excl. agencies)","EO","EO","LGBO","45","45","27090","25900"
"In post","2023","Department for Education (excl. agencies)","EO","EO","Undeclared","50","50","28040","26940"
"In post","2023","Department for Education (excl. agencies)","EO","EO","Unknown","75","70","27840","26940"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G6","Heterosexual / straight","675","645","66150","65780"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G6","LGBO","45","45","66920","65780"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G6","Undeclared","65","60","67230","66630"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G6","Unknown","95","90","66770","66210"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G7","Heterosexual / straight","1490","1440","53610","52150"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G7","LGBO","120","115","54300","55020"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G7","Undeclared","165","160","54030","52150"
"In post","2023","Department for Education (excl. agencies)","G6/G7","G7","Unknown","190","185","54180","52980"
"In post","2023","Department for Education (excl. agencies)","SCS level","SCS level","Heterosexual / straight","205","195","83520","76510"
"In post","2023","Department for Education (excl. agencies)","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","SCS level","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","SCS level","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","1000","965","32170","31080"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","HEO","LGBO","95","95","32030","30330"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","HEO","Undeclared","110","110","32640","31200"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","HEO","Unknown","135","130","32680","33100"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","1490","1440","39900","38070"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","SEO","LGBO","135","135","40020","38070"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","SEO","Undeclared","145","140","40480","38210"
"In post","2023","Department for Education (excl. agencies)","SEO/HEO","SEO","Unknown","180","175","40620","39670"
"In post","2023","Department for Education (excl. agencies)","Unknown","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","Heterosexual / straight","80","75","23350","22150"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","Undeclared","10","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","Heterosexual / straight","400","380","27200","25920"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","Undeclared","35","30","27100","26040"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","Unknown","80","80","27500","26720"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","Heterosexual / straight","475","460","62590","62360"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","LGBO","35","35","63060","64110"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","Undeclared","35","35","62280","62260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","Unknown","75","75","62780","64110"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","Heterosexual / straight","1315","1270","51940","50330"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","LGBO","125","120","52240","51550"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","Undeclared","130","130","51720","50650"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","Unknown","205","200","52500","54330"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","Heterosexual / straight","165","160","83670","78260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","960","935","31970","30900"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","LGBO","95","95","32270","33830"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","Undeclared","110","110","32050","31180"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","Unknown","165","160","32480","33830"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","1275","1230","38870","37710"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","LGBO","130","125","39130","38610"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","Undeclared","125","125","38960","38400"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","Unknown","195","185","39210","39180"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Department for International Trade","EO","EO","Heterosexual / straight","170","165","29030","29280"
"In post","2023","Department for International Trade","EO","EO","LGBO","25","25","[c]","[c]"
"In post","2023","Department for International Trade","EO","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Department for International Trade","EO","EO","Unknown","85","85","29230","29280"
"In post","2023","Department for International Trade","G6/G7","G6","Heterosexual / straight","230","225","67660","65980"
"In post","2023","Department for International Trade","G6/G7","G6","LGBO","20","20","[c]","[c]"
"In post","2023","Department for International Trade","G6/G7","G6","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for International Trade","G6/G7","G6","Unknown","80","80","68660","67180"
"In post","2023","Department for International Trade","G6/G7","G7","Heterosexual / straight","610","600","56180","55470"
"In post","2023","Department for International Trade","G6/G7","G7","LGBO","70","70","56700","55500"
"In post","2023","Department for International Trade","G6/G7","G7","Undeclared","65","65","56480","55500"
"In post","2023","Department for International Trade","G6/G7","G7","Unknown","260","260","56260","55370"
"In post","2023","Department for International Trade","SCS level","SCS level","Heterosexual / straight","125","120","88840","78350"
"In post","2023","Department for International Trade","SCS level","SCS level","LGBO","15","10","[c]","[c]"
"In post","2023","Department for International Trade","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for International Trade","SCS level","SCS level","Unknown","45","40","88100","78300"
"In post","2023","Department for International Trade","SEO/HEO","HEO","Heterosexual / straight","425","420","34860","35010"
"In post","2023","Department for International Trade","SEO/HEO","HEO","LGBO","65","65","34940","35010"
"In post","2023","Department for International Trade","SEO/HEO","HEO","Undeclared","30","30","[c]","[c]"
"In post","2023","Department for International Trade","SEO/HEO","HEO","Unknown","180","180","35340","35010"
"In post","2023","Department for International Trade","SEO/HEO","SEO","Heterosexual / straight","610","605","42030","41550"
"In post","2023","Department for International Trade","SEO/HEO","SEO","LGBO","60","60","42060","41550"
"In post","2023","Department for International Trade","SEO/HEO","SEO","Undeclared","40","40","42090","41650"
"In post","2023","Department for International Trade","SEO/HEO","SEO","Unknown","250","245","42160","41550"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","Heterosexual / straight","40","40","26270","27870"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","Heterosexual / straight","175","170","29200","28850"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","LGBO","30","30","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","Heterosexual / straight","315","305","65840","64970"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","LGBO","40","40","65560","64970"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","Unknown","30","30","64710","64970"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","Heterosexual / straight","790","765","54340","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","LGBO","90","90","53910","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","Undeclared","70","65","54610","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","Unknown","75","75","55450","54630"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","Heterosexual / straight","135","130","86170","79290"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","490","475","33650","33880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","LGBO","60","55","33130","33880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","Undeclared","60","55","34490","34310"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","Unknown","65","65","33030","33880"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","505","495","40360","40390"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","LGBO","65","65","40750","40800"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","Undeclared","45","45","41970","40800"
"In post","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","Unknown","45","45","40550","40800"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AO","Heterosexual / straight","65","55","27790","26510"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","AA/AO","AO","Unknown","75","70","32940","34390"
"In post","2023","Department for Transport (excl. agencies)","EO","EO","Heterosexual / straight","205","200","30250","30920"
"In post","2023","Department for Transport (excl. agencies)","EO","EO","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","EO","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","EO","EO","Unknown","80","80","30690","30920"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G6","Heterosexual / straight","340","330","69870","68020"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G6","LGBO","30","30","68560","67460"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G6","Undeclared","40","40","74890","69430"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G6","Unknown","70","70","67880","67420"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G7","Heterosexual / straight","745","730","57710","55740"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G7","LGBO","90","90","56190","55740"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G7","Undeclared","85","80","60440","57410"
"In post","2023","Department for Transport (excl. agencies)","G6/G7","G7","Unknown","190","185","57470","55740"
"In post","2023","Department for Transport (excl. agencies)","SCS level","SCS level","Heterosexual / straight","185","175","90040","81250"
"In post","2023","Department for Transport (excl. agencies)","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","SCS level","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Transport (excl. agencies)","SCS level","SCS level","Unknown","30","30","83880","78860"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","460","450","35610","35760"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","HEO","LGBO","50","50","35240","35760"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","HEO","Undeclared","50","45","36870","36410"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","HEO","Unknown","165","160","35460","35760"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","470","465","43860","43750"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","SEO","LGBO","65","65","43400","43750"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","SEO","Undeclared","55","55","44560","44140"
"In post","2023","Department for Transport (excl. agencies)","SEO/HEO","SEO","Unknown","145","145","43280","43750"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AA","Heterosexual / straight","160","125","21300","21250"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AA","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AA","Undeclared","30","25","21340","21250"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AA","Unknown","50","40","21320","21250"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AO","Heterosexual / straight","16920","14630","22010","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AO","LGBO","1055","990","22040","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AO","Undeclared","2350","2000","22050","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","AA/AO","AO","Unknown","4985","4095","22030","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","EO","Heterosexual / straight","30605","27500","28800","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","EO","LGBO","1860","1765","28740","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","EO","Undeclared","3510","3095","28750","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","EO","EO","Unknown","6865","5945","28880","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G6","Heterosexual / straight","750","720","70510","68000"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G6","LGBO","35","35","69950","68440"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G6","Undeclared","70","65","71690","72550"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G6","Unknown","175","165","70400","67110"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G7","Heterosexual / straight","2085","2000","53550","50950"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G7","LGBO","130","125","54400","54830"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G7","Undeclared","190","185","54130","53310"
"In post","2023","Department for Work and Pensions (excl. agencies)","G6/G7","G7","Unknown","395","385","54230","53190"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","Heterosexual / straight","215","210","90520","82570"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","Undeclared","10","5","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","Unknown","45","45","95030","82000"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","6350","5950","35130","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","LGBO","475","465","35140","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","Undeclared","660","625","35210","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","Unknown","1085","1030","35370","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","2875","2740","40120","38470"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","LGBO","165","160","40010","38470"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","Undeclared","285","275","40260","38470"
"In post","2023","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","Unknown","530","510","40880","38470"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","AA/AO","AO","Undeclared","25","20","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","EO","Heterosexual / straight","180","175","28180","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","EO","LGBO","30","30","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","EO","EO","Undeclared","155","150","27820","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G6","Heterosexual / straight","305","290","68540","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G6","LGBO","25","25","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G6","Undeclared","165","160","67990","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G7","Heterosexual / straight","655","625","54230","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G7","LGBO","70","70","54190","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","G6/G7","G7","Undeclared","390","380","54560","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","Heterosexual / straight","180","170","89470","80510"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","Undeclared","60","60","89810","84310"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","350","340","33430","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","LGBO","50","45","33490","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","Undeclared","220","215","33450","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","465","450","41000","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","LGBO","65","65","40980","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","Undeclared","240","230","41290","41950"
"In post","2023","Disclosure Scotland","AA/AO","AA","Heterosexual / straight","100","90","23990","23340"
"In post","2023","Disclosure Scotland","AA/AO","AA","LGBO","10","10","[c]","[c]"
"In post","2023","Disclosure Scotland","AA/AO","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","Disclosure Scotland","AA/AO","AA","Unknown","80","75","24000","24890"
"In post","2023","Disclosure Scotland","AA/AO","AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Disclosure Scotland","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","AA/AO","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Disclosure Scotland","EO","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Disclosure Scotland","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Disclosure Scotland","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","EO","EO","Unknown","25","20","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
