"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Corporate Finance","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","Female","1045","855","23160","21690"
"In post","2023","Counter Fraud","AA/AO","Male","575","545","23060","21690"
"In post","2023","Counter Fraud","EO","Female","2885","2600","28950","28120"
"In post","2023","Counter Fraud","EO","Male","2025","1910","29050","28120"
"In post","2023","Counter Fraud","G6/G7","Female","120","110","61510","57970"
"In post","2023","Counter Fraud","G6/G7","Male","225","215","62840","61590"
"In post","2023","Counter Fraud","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","Female","1325","1255","36960","35000"
"In post","2023","Counter Fraud","SEO/HEO","Male","1375","1325","37880","36990"
"In post","2023","Digital, Data and Technology","AA/AO","Female","210","195","23340","22500"
"In post","2023","Digital, Data and Technology","AA/AO","Male","370","365","23100","22330"
"In post","2023","Digital, Data and Technology","EO","Female","1170","1080","28430","28120"
"In post","2023","Digital, Data and Technology","EO","Male","2190","2125","28800","28120"
"In post","2023","Digital, Data and Technology","G6/G7","Female","2515","2430","58600","56450"
"In post","2023","Digital, Data and Technology","G6/G7","Male","4765","4715","60370","59000"
"In post","2023","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","SCS level","Female","135","130","91860","85000"
"In post","2023","Digital, Data and Technology","SCS level","Male","255","255","97510","92510"
"In post","2023","Digital, Data and Technology","SEO/HEO","Female","4085","3920","38190","38200"
"In post","2023","Digital, Data and Technology","SEO/HEO","Male","7385","7280","39200","38600"
"In post","2023","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Female","20","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Male","55","55","37920","38790"
"In post","2023","Economics","AA/AO","Female","30","30","[c]","[c]"
"In post","2023","Economics","AA/AO","Male","35","35","22730","21820"
"In post","2023","Economics","EO","Female","90","90","28110","28720"
"In post","2023","Economics","EO","Male","90","90","27610","27890"
"In post","2023","Economics","G6/G7","Female","330","305","61370","59370"
"In post","2023","Economics","G6/G7","Male","595","585","61640","59370"
"In post","2023","Economics","SCS level","Female","45","40","88740","85550"
"In post","2023","Economics","SCS level","Male","65","65","92010","81900"
"In post","2023","Economics","SEO/HEO","Female","320","315","37870","36450"
"In post","2023","Economics","SEO/HEO","Male","570","565","37360","36230"
"In post","2023","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA/AO","Female","665","580","23190","22520"
"In post","2023","Finance","AA/AO","Male","400","385","23190","22520"
"In post","2023","Finance","EO","Female","1000","930","28290","27590"
"In post","2023","Finance","EO","Male","610","605","28350","28120"
"In post","2023","Finance","G6/G7","Female","1300","1250","59770","58120"
"In post","2023","Finance","G6/G7","Male","1310","1290","60980","59290"
"In post","2023","Finance","SCS level","Female","145","135","89840","83370"
"In post","2023","Finance","SCS level","Male","180","175","95450","86280"
"In post","2023","Finance","SEO/HEO","Female","2455","2325","38700","38450"
"In post","2023","Finance","SEO/HEO","Male","2090","2050","39470","39000"
"In post","2023","Finance","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Finance","Unknown","Male","35","35","56160","49410"
"In post","2023","Geography","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Geography","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Geography","EO","Female","70","65","28080","27610"
"In post","2023","Geography","EO","Male","115","110","28540","27610"
"In post","2023","Geography","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","Female","80","75","36990","34370"
"In post","2023","Geography","SEO/HEO","Male","165","160","37070","34370"
"In post","2023","Human Resources","AA/AO","Female","905","820","22750","22220"
"In post","2023","Human Resources","AA/AO","Male","370","360","22750","22220"
"In post","2023","Human Resources","EO","Female","1505","1410","28050","27470"
"In post","2023","Human Resources","EO","Male","1355","1330","29330","28130"
"In post","2023","Human Resources","G6/G7","Female","1785","1720","58960","57260"
"In post","2023","Human Resources","G6/G7","Male","805","795","60050","58610"
"In post","2023","Human Resources","SCS level","Female","170","165","90400","82400"
"In post","2023","Human Resources","SCS level","Male","90","85","89890","83610"
"In post","2023","Human Resources","SEO/HEO","Female","3835","3645","38150","37680"
"In post","2023","Human Resources","SEO/HEO","Male","2095","2055","38970","37710"
"In post","2023","Human Resources","Unknown","Female","55","50","38550","38290"
"In post","2023","Human Resources","Unknown","Male","35","35","37280","30590"
"In post","2023","Inspector of Education and Training","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","Female","390","385","76750","77470"
"In post","2023","Inspector of Education and Training","G6/G7","Male","235","230","78650","77470"
"In post","2023","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","Female","400","385","50990","52750"
"In post","2023","Inspector of Education and Training","SEO/HEO","Male","55","55","49770","52750"
"In post","2023","Intelligence Analysis","AA/AO","Female","60","50","24790","25060"
"In post","2023","Intelligence Analysis","AA/AO","Male","30","30","24090","23580"
"In post","2023","Intelligence Analysis","EO","Female","840","780","28440","28480"
"In post","2023","Intelligence Analysis","EO","Male","775","745","28610","27650"
"In post","2023","Intelligence Analysis","G6/G7","Female","75","75","62270","60220"
"In post","2023","Intelligence Analysis","G6/G7","Male","165","165","61470","59980"
"In post","2023","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","SEO/HEO","Female","485","470","37560","36620"
"In post","2023","Intelligence Analysis","SEO/HEO","Male","775","765","39040","38020"
"In post","2023","Intelligence Analysis","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","EO","Female","25","25","[c]","[c]"
"In post","2023","Internal Audit","EO","Male","15","15","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","Female","100","95","59140","57060"
"In post","2023","Internal Audit","G6/G7","Male","125","120","59590","59310"
"In post","2023","Internal Audit","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Internal Audit","SEO/HEO","Female","260","240","41190","41780"
"In post","2023","Internal Audit","SEO/HEO","Male","190","180","42130","42700"
"In post","2023","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","EO","Female","75","70","28480","29280"
"In post","2023","International Trade","EO","Male","55","55","28590","29280"
"In post","2023","International Trade","G6/G7","Female","385","380","58050","55500"
"In post","2023","International Trade","G6/G7","Male","455","450","59130","56340"
"In post","2023","International Trade","SCS level","Female","55","55","82740","76180"
"In post","2023","International Trade","SCS level","Male","75","75","85880","77950"
"In post","2023","International Trade","SEO/HEO","Female","505","490","38940","39790"
"In post","2023","International Trade","SEO/HEO","Male","545","545","39370","41550"
"In post","2023","Knowledge and Information Management","AA/AO","Female","255","235","23060","22220"
"In post","2023","Knowledge and Information Management","AA/AO","Male","155","150","23470","22220"
"In post","2023","Knowledge and Information Management","EO","Female","385","360","28330","28120"
"In post","2023","Knowledge and Information Management","EO","Male","260","255","28680","28120"
"In post","2023","Knowledge and Information Management","G6/G7","Female","180","165","58110","56930"
"In post","2023","Knowledge and Information Management","G6/G7","Male","200","180","59390","58820"
"In post","2023","Knowledge and Information Management","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Knowledge and Information Management","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Knowledge and Information Management","SEO/HEO","Female","555","530","37090","35990"
"In post","2023","Knowledge and Information Management","SEO/HEO","Male","475","470","37810","36940"
"In post","2023","Knowledge and Information Management","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Legal","AA/AO","Female","135","115","23230","22520"
"In post","2023","Legal","AA/AO","Male","90","85","23560","22520"
"In post","2023","Legal","EO","Female","770","720","29500","28130"
"In post","2023","Legal","EO","Male","585","575","29600","28130"
"In post","2023","Legal","G6/G7","Female","4400","4000","60140","58140"
"In post","2023","Legal","G6/G7","Male","2450","2375","61530","59690"
"In post","2023","Legal","SCS level","Female","255","240","88170","83910"
"In post","2023","Legal","SCS level","Male","210","205","91850","86070"
"In post","2023","Legal","SEO/HEO","Female","1540","1415","40060","39600"
"In post","2023","Legal","SEO/HEO","Male","1115","1080","39720","39450"
"In post","2023","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Medicine","AA/AO","Female","295","265","24290","24680"
"In post","2023","Medicine","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Medicine","EO","Female","225","200","33120","32930"
"In post","2023","Medicine","EO","Male","95","90","32390","32930"
"In post","2023","Medicine","G6/G7","Female","475","395","75180","79240"
"In post","2023","Medicine","G6/G7","Male","255","230","80270","82390"
"In post","2023","Medicine","SCS level","Female","175","150","109980","105280"
"In post","2023","Medicine","SCS level","Male","140","120","114250","112570"
"In post","2023","Medicine","SEO/HEO","Female","595","525","41410","40590"
"In post","2023","Medicine","SEO/HEO","Male","185","175","42520","41030"
"In post","2023","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","AA/AO","Female","63815","54735","23530","22500"
"In post","2023","Operational Delivery","AA/AO","Male","45400","43150","25330","22520"
"In post","2023","Operational Delivery","EO","Female","50765","45185","28750","28120"
"In post","2023","Operational Delivery","EO","Male","36365","34805","29550","28120"
"In post","2023","Operational Delivery","G6/G7","Female","4575","4425","59070","56850"
"In post","2023","Operational Delivery","G6/G7","Male","4335","4260","60920","58110"
"In post","2023","Operational Delivery","SCS level","Female","415","405","89860","81600"
"In post","2023","Operational Delivery","SCS level","Male","475","465","94410","86690"
"In post","2023","Operational Delivery","SEO/HEO","Female","23995","22675","37310","35240"
"In post","2023","Operational Delivery","SEO/HEO","Male","20380","19750","38910","37760"
"In post","2023","Operational Delivery","Unknown","Female","16445","15210","30310","29050"
"In post","2023","Operational Delivery","Unknown","Male","5465","5175","31410","29050"
"In post","2023","Operational Research","AA/AO","Female","60","60","22470","22520"
"In post","2023","Operational Research","AA/AO","Male","50","50","22370","22520"
"In post","2023","Operational Research","EO","Female","15","15","[c]","[c]"
"In post","2023","Operational Research","EO","Male","25","25","[c]","[c]"
"In post","2023","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","G6/G7","Female","155","145","58040","57970"
"In post","2023","Operational Research","G6/G7","Male","265","260","57100","56870"
"In post","2023","Operational Research","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Operational Research","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Operational Research","SEO/HEO","Female","255","245","37800","38300"
"In post","2023","Operational Research","SEO/HEO","Male","305","300","38500","39820"
"In post","2023","Other","AA/AO","Female","2715","2345","22220","21690"
"In post","2023","Other","AA/AO","Male","2880","2795","21820","21600"
"In post","2023","Other","EO","Female","1985","1795","28570","28120"
"In post","2023","Other","EO","Male","1205","1170","28870","28120"
"In post","2023","Other","G6/G7","Female","770","725","60340","58540"
"In post","2023","Other","G6/G7","Male","865","840","62610","59510"
"In post","2023","Other","SCS level","Female","100","95","94610","84240"
"In post","2023","Other","SCS level","Male","115","115","107670","100810"
"In post","2023","Other","SEO/HEO","Female","2330","2195","37790","36940"
"In post","2023","Other","SEO/HEO","Male","1550","1495","38750","38320"
"In post","2023","Other","Unknown","Female","175","175","37870","36860"
"In post","2023","Other","Unknown","Male","1530","1530","42380","40530"
"In post","2023","Planning","AA/AO","Female","10","5","[c]","[c]"
"In post","2023","Planning","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Planning","EO","Female","15","15","[c]","[c]"
"In post","2023","Planning","EO","Male","10","10","[c]","[c]"
"In post","2023","Planning","G6/G7","Female","35","30","61490","58610"
"In post","2023","Planning","G6/G7","Male","40","40","60350","57700"
"In post","2023","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Planning","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Planning","SEO/HEO","Female","55","50","38880","39690"
"In post","2023","Planning","SEO/HEO","Male","50","50","40850","40300"
"In post","2023","Planning Inspectors","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Planning Inspectors","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Planning Inspectors","G6/G7","Female","175","155","58140","60050"
"In post","2023","Planning Inspectors","G6/G7","Male","275","245","60490","60050"
"In post","2023","Planning Inspectors","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Planning Inspectors","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Planning Inspectors","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Planning Inspectors","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Policy","AA/AO","Female","345","320","24400","25120"
"In post","2023","Policy","AA/AO","Male","185","185","25160","25610"
"In post","2023","Policy","EO","Female","1395","1340","28970","29000"
"In post","2023","Policy","EO","Male","875","865","29160","29260"
"In post","2023","Policy","G6/G7","Female","7220","6920","59230","57220"
"In post","2023","Policy","G6/G7","Male","6755","6660","59900","58630"
"In post","2023","Policy","SCS level","Female","1030","975","85090","78610"
"In post","2023","Policy","SCS level","Male","970","960","87340","79860"
"In post","2023","Policy","SEO/HEO","Female","7930","7675","38440","38210"
"In post","2023","Policy","SEO/HEO","Male","6280","6215","38660","38470"
"In post","2023","Policy","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Policy","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Project Delivery","AA/AO","Female","160","150","23210","23200"
"In post","2023","Project Delivery","AA/AO","Male","125","125","23310","23200"
"In post","2023","Project Delivery","EO","Female","880","815","28090","27980"
"In post","2023","Project Delivery","EO","Male","480","470","28060","28080"
"In post","2023","Project Delivery","G6/G7","Female","2890","2780","58790","57250"
"In post","2023","Project Delivery","G6/G7","Male","3105","3055","59870","57970"
"In post","2023","Project Delivery","SCS level","Female","205","195","90300","81740"
"In post","2023","Project Delivery","SCS level","Male","275","270","92780","85000"
"In post","2023","Project Delivery","SEO/HEO","Female","5265","5005","37880","38070"
"In post","2023","Project Delivery","SEO/HEO","Male","4210","4130","38880","39190"
"In post","2023","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Unknown","Female","195","185","40940","39500"
"In post","2023","Project Delivery","Unknown","Male","335","330","48980","46560"
"In post","2023","Property","AA/AO","Female","420","375","21600","22150"
"In post","2023","Property","AA/AO","Male","610","595","21040","19770"
"In post","2023","Property","EO","Female","675","610","28290","27810"
"In post","2023","Property","EO","Male","670","650","28110","27740"
"In post","2023","Property","G6/G7","Female","420","405","57700","56180"
"In post","2023","Property","G6/G7","Male","785","770","59530","58970"
"In post","2023","Property","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Property","SCS level","Male","55","55","95120","91500"
"In post","2023","Property","SEO/HEO","Female","1330","1260","38000","36300"
"In post","2023","Property","SEO/HEO","Male","1920","1865","39160","38470"
"In post","2023","Property","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Property","Unknown","Male","30","30","[c]","[c]"
"In post","2023","Psychology","AA/AO","Female","70","60","24870","24910"
"In post","2023","Psychology","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Psychology","EO","Female","390","380","29290","28480"
"In post","2023","Psychology","EO","Male","80","80","28810","28480"
"In post","2023","Psychology","G6/G7","Female","105","100","66880","67070"
"In post","2023","Psychology","G6/G7","Male","30","30","[c]","[c]"
"In post","2023","Psychology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","SEO/HEO","Female","810","770","39390","36690"
"In post","2023","Psychology","SEO/HEO","Male","95","90","38680","36690"
"In post","2023","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","AA/AO","Female","295","275","23330","23720"
"In post","2023","Science and Engineering","AA/AO","Male","795","785","22850","22860"
"In post","2023","Science and Engineering","EO","Female","520","495","27320","27320"
"In post","2023","Science and Engineering","EO","Male","900","880","27690","27250"
"In post","2023","Science and Engineering","G6/G7","Female","1030","965","56990","55220"
"In post","2023","Science and Engineering","G6/G7","Male","2365","2265","57380","56180"
"In post","2023","Science and Engineering","SCS level","Female","40","35","87190","81830"
"In post","2023","Science and Engineering","SCS level","Male","55","50","94650","90260"
"In post","2023","Science and Engineering","SEO/HEO","Female","2095","1975","37230","37420"
"In post","2023","Science and Engineering","SEO/HEO","Male","4410","4320","38910","39890"
"In post","2023","Science and Engineering","Unknown","Female","85","80","43490","42620"
"In post","2023","Science and Engineering","Unknown","Male","730","725","44290","43360"
"In post","2023","Security","AA/AO","Female","820","785","26580","22500"
"In post","2023","Security","AA/AO","Male","4520","4425","29320","26100"
"In post","2023","Security","EO","Female","375","355","30110","28120"
"In post","2023","Security","EO","Male","850","835","35480","30700"
"In post","2023","Security","G6/G7","Female","230","225","59360","58020"
"In post","2023","Security","G6/G7","Male","485","480","62330","60070"
"In post","2023","Security","SCS level","Female","35","35","92730","81860"
"In post","2023","Security","SCS level","Male","50","50","96520","91750"
"In post","2023","Security","SEO/HEO","Female","810","780","38620","38470"
"In post","2023","Security","SEO/HEO","Male","1280","1260","40980","39000"
"In post","2023","Security","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Security","Unknown","Male","35","35","40930","39500"
"In post","2023","Social Research","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Social Research","EO","Female","15","15","[c]","[c]"
"In post","2023","Social Research","EO","Male","10","10","[c]","[c]"
"In post","2023","Social Research","G6/G7","Female","325","300","58850","57970"
"In post","2023","Social Research","G6/G7","Male","160","160","59890","58370"
"In post","2023","Social Research","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Social Research","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Social Research","SEO/HEO","Female","775","735","38440","39190"
"In post","2023","Social Research","SEO/HEO","Male","270","265","37700","39190"
"In post","2023","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Statistics","AA/AO","Female","40","35","23470","23500"
"In post","2023","Statistics","AA/AO","Male","30","30","[c]","[c]"
"In post","2023","Statistics","EO","Female","95","90","28740","28540"
"In post","2023","Statistics","EO","Male","140","140","28940","28690"
"In post","2023","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Statistics","G6/G7","Female","440","410","59030","57970"
"In post","2023","Statistics","G6/G7","Male","455","440","60080","59200"
"In post","2023","Statistics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Statistics","SCS level","Female","35","30","84450","80520"
"In post","2023","Statistics","SCS level","Male","40","40","87470","80150"
"In post","2023","Statistics","SEO/HEO","Female","750","710","38190","38470"
"In post","2023","Statistics","SEO/HEO","Male","915","905","38550","38660"
"In post","2023","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Tax","AA/AO","Female","1120","995","22650","22520"
"In post","2023","Tax","AA/AO","Male","930","895","22630","22520"
"In post","2023","Tax","EO","Female","2215","2030","28860","28130"
"In post","2023","Tax","EO","Male","2180","2120","28630","28130"
"In post","2023","Tax","G6/G7","Female","1140","1070","61600","57970"
"In post","2023","Tax","G6/G7","Male","1750","1680","62430","57970"
"In post","2023","Tax","SCS level","Female","30","30","81850","78340"
"In post","2023","Tax","SCS level","Male","35","35","82520","80730"
"In post","2023","Tax","SEO/HEO","Female","3730","3485","37860","35000"
"In post","2023","Tax","SEO/HEO","Male","4255","4125","37820","35000"
"In post","2023","Unknown","AA/AO","Female","2560","2355","24250","23340"
"In post","2023","Unknown","AA/AO","Male","2325","2265","25180","24890"
"In post","2023","Unknown","EO","Female","3265","3085","29630","29100"
"In post","2023","Unknown","EO","Male","2405","2370","30080","29450"
"In post","2023","Unknown","G6/G7","Female","3805","3625","63360","63960"
"In post","2023","Unknown","G6/G7","Male","3085","3040","64340","65230"
"In post","2023","Unknown","SCS level","Female","425","405","91010","83910"
"In post","2023","Unknown","SCS level","Male","435","430","96590","85200"
"In post","2023","Unknown","SEO/HEO","Female","6710","6430","39100","38330"
"In post","2023","Unknown","SEO/HEO","Male","5120","5050","40100","39110"
"In post","2023","Unknown","Unknown","Female","60","55","[c]","[c]"
"In post","2023","Unknown","Unknown","Male","75","75","[c]","[c]"
"In post","2023","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Veterinarian","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Veterinarian","EO","Female","10","10","[c]","[c]"
"In post","2023","Veterinarian","EO","Male","15","15","[c]","[c]"
"In post","2023","Veterinarian","G6/G7","Female","75","75","54350","54170"
"In post","2023","Veterinarian","G6/G7","Male","65","65","57090","55860"
"In post","2023","Veterinarian","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Veterinarian","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Veterinarian","SEO/HEO","Female","135","125","39320","37980"
"In post","2023","Veterinarian","SEO/HEO","Male","90","85","40270","38550"
"Leaver CS","2023","Commercial","AA/AO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","AA/AO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","EO","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","EO","Male","35","[c]","27040","26840"
"Leaver CS","2023","Commercial","G6/G7","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","G6/G7","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","SEO/HEO","Female","105","[c]","37100","36950"
"Leaver CS","2023","Commercial","SEO/HEO","Male","120","[c]","38970","39820"
"Leaver CS","2023","Commercial","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Communications","AA/AO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Communications","AA/AO","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Communications","EO","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Communications","EO","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Communications","G6/G7","Female","50","[c]","58330","56050"
"Leaver CS","2023","Communications","G6/G7","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Communications","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","SEO/HEO","Female","130","[c]","38760","39230"
"Leaver CS","2023","Communications","SEO/HEO","Male","90","[c]","38500","38760"
"Leaver CS","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","AA/AO","Female","75","[c]","22720","21690"
"Leaver CS","2023","Counter Fraud","AA/AO","Male","55","[c]","22890","21690"
"Leaver CS","2023","Counter Fraud","EO","Female","130","[c]","28660","28120"
