"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","Barnet","London","15","15","46120","42040"
"In post","2023","Commercial","London","Bexley and Greenwich","London","10","10","[c]","[c]"
"In post","2023","Commercial","London","Brent","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Croydon","London","145","145","48810","43660"
"In post","2023","Commercial","London","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Hackney and Newham","London","10","10","60210","65500"
"In post","2023","Commercial","London","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Hounslow and Richmond upon Thames","London","45","45","35560","25210"
"In post","2023","Commercial","London","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Lambeth","London","10","10","[c]","[c]"
"In post","2023","Commercial","London","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Tower Hamlets","London","160","160","52770","43650"
"In post","2023","Commercial","London","Wandsworth","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Westminster","London","1290","1270","61600","56200"
"In post","2023","Commercial","North East (England)","Darlington","Outside London","45","45","45640","39090"
"In post","2023","Commercial","North East (England)","Durham","Outside London","25","25","42880","43660"
"In post","2023","Commercial","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Tyneside","Outside London","105","100","44320","38470"
"In post","2023","Commercial","North West (England)","Blackpool","Outside London","170","165","43040","38470"
"In post","2023","Commercial","North West (England)","Cheshire East","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Chorley and West Lancashire","Outside London","10","10","48220","45810"
"In post","2023","Commercial","North West (England)","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","East Merseyside","Outside London","20","20","47190","40030"
"In post","2023","Commercial","North West (England)","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester North West","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester South West","Outside London","135","130","47930","42510"
"In post","2023","Commercial","North West (England)","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Liverpool","Outside London","240","240","42680","40450"
"In post","2023","Commercial","North West (England)","Manchester","Outside London","220","220","50420","40850"
"In post","2023","Commercial","North West (England)","Mid Lancashire","Outside London","10","10","44770","44410"
"In post","2023","Commercial","North West (England)","Sefton","Outside London","20","20","43720","37490"
"In post","2023","Commercial","North West (England)","Warrington","Outside London","30","25","41050","38640"
"In post","2023","Commercial","North West (England)","West Cumbria","Outside London","20","15","42720","42620"
"In post","2023","Commercial","North West (England)","Wirral","Outside London","30","30","29700","21690"
"In post","2023","Commercial","Northern Ireland","Lisburn and Castlereagh","Outside London","10","10","31690","28800"
"In post","2023","Commercial","Northern Ireland","Mid and East Antrim","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Scotland","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","City of Edinburgh","Outside London","60","60","41840","38170"
"In post","2023","Commercial","Scotland","Clackmannanshire and Fife","Outside London","15","10","35610","32800"
"In post","2023","Commercial","Scotland","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","15","10","34720","31920"
"In post","2023","Commercial","Scotland","Falkirk","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Glasgow City","Outside London","190","190","41600","35650"
"In post","2023","Commercial","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Perth and Kinross, and Stirling","Outside London","10","10","33050","28490"
"In post","2023","Commercial","Scotland","South Ayrshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","South Lanarkshire","Outside London","65","65","50440","49230"
"In post","2023","Commercial","Scotland","West Lothian","Outside London","10","10","37510","42590"
"In post","2023","Commercial","South East (England)","Berkshire","Outside London","15","15","43670","39470"
"In post","2023","Commercial","South East (England)","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Buckinghamshire","Outside London","70","70","41480","43200"
"In post","2023","Commercial","South East (England)","Central Hampshire","Outside London","190","185","42920","39890"
"In post","2023","Commercial","South East (England)","East Kent","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Medway","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Milton Keynes","Outside London","70","70","46940","43020"
"In post","2023","Commercial","South East (England)","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Oxfordshire CC","Outside London","35","35","40940","34930"
"In post","2023","Commercial","South East (England)","Portsmouth","Outside London","65","60","40350","35800"
"In post","2023","Commercial","South East (England)","South Hampshire","Outside London","20","20","47450","41170"
"In post","2023","Commercial","South East (England)","Southampton","Outside London","20","20","40770","40370"
"In post","2023","Commercial","South East (England)","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Surrey","Outside London","25","25","53420","49510"
"In post","2023","Commercial","South East (England)","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","West Sussex (South West)","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1250","1200","43250","42620"
"In post","2023","Commercial","South West (England)","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Bristol, City of","Outside London","95","90","48210","39880"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon CC","Outside London","50","50","45840","40420"
"In post","2023","Commercial","South West (England)","Dorset","Outside London","10","10","51840","52020"
"In post","2023","Commercial","South West (England)","Gloucestershire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Plymouth","Outside London","30","30","42240","41940"
"In post","2023","Commercial","South West (England)","Somerset CC","Outside London","45","45","39020","35610"
"In post","2023","Commercial","South West (England)","Swindon","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Wiltshire","Outside London","245","235","43260","35800"
"In post","2023","Commercial","Unknown","Unknown","Unknown","10","10","56290","38470"
"In post","2023","Commercial","Wales","Bridgend and Neath Port Talbot","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Wales","Cardiff and Vale of Glamorgan","Outside London","60","55","44110","38470"
"In post","2023","Commercial","Wales","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Flintshire and Wrexham","Outside London","25","25","35300","34680"
"In post","2023","Commercial","Wales","Isle of Anglesey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Monmouthshire and Newport","Outside London","115","115","39540","36190"
"In post","2023","Commercial","Wales","Powys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Swansea","Outside London","210","190","35000","31660"
"In post","2023","Commercial","West Midlands (England)","Birmingham","Outside London","120","120","52020","40660"
"In post","2023","Commercial","West Midlands (England)","Coventry","Outside London","45","45","50820","45820"
"In post","2023","Commercial","West Midlands (England)","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Sandwell","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Shropshire","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Solihull","Outside London","15","15","66280","65500"
"In post","2023","Commercial","West Midlands (England)","Staffordshire CC","Outside London","135","135","36020","32420"
"In post","2023","Commercial","West Midlands (England)","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Telford and Wrekin","Outside London","40","35","54350","44930"
"In post","2023","Commercial","West Midlands (England)","Walsall","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Wolverhampton","Outside London","10","10","52460","54800"
"In post","2023","Commercial","West Midlands (England)","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Outside London","10","10","42020","41330"
"In post","2023","Commercial","Yorkshire and The Humber","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","East Riding of Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Leeds","Outside London","370","355","46270","38470"
"In post","2023","Commercial","Yorkshire and The Humber","North Yorkshire CC","Outside London","25","20","47420","41200"
"In post","2023","Commercial","Yorkshire and The Humber","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Sheffield","Outside London","275","260","42470","38470"
"In post","2023","Commercial","Yorkshire and The Humber","Wakefield","Outside London","15","15","49860","44140"
"In post","2023","Commercial","Yorkshire and The Humber","York","Outside London","75","75","46650","49400"
"In post","2023","Communications","East Midlands (England)","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Lincolnshire CC","Outside London","20","15","33240","34300"
"In post","2023","Communications","East Midlands (England)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Nottingham","Outside London","85","85","42060","41960"
"In post","2023","Communications","East Midlands (England)","South Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Cambridgeshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","East of England","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Hertfordshire CC","Outside London","20","20","40910","41460"
"In post","2023","Communications","East of England","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Peterborough","Outside London","10","10","35180","31700"
"In post","2023","Communications","East of England","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Suffolk CC","Outside London","15","15","33260","30820"
"In post","2023","Communications","London","Barnet","London","10","10","[c]","[c]"
"In post","2023","Communications","London","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Camden and City of London","London","5","5","[c]","[c]"
"In post","2023","Communications","London","Croydon","London","35","30","46100","43150"
"In post","2023","Communications","London","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Hackney and Newham","London","30","30","49810","44180"
"In post","2023","Communications","London","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Hounslow and Richmond upon Thames","London","20","20","36630","35000"
"In post","2023","Communications","London","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Lambeth","London","20","20","48310","50980"
"In post","2023","Communications","London","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Tower Hamlets","London","180","175","48560","42060"
"In post","2023","Communications","London","Wandsworth","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Westminster","London","1685","1650","49460","45670"
"In post","2023","Communications","North East (England)","Darlington","Outside London","35","35","31730","30510"
"In post","2023","Communications","North East (England)","Durham","Outside London","10","10","38030","34330"
"In post","2023","Communications","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Northumberland","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","North East (England)","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Tyneside","Outside London","65","60","40950","39940"
"In post","2023","Communications","North West (England)","Blackpool","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","North West (England)","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","Chorley and West Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","East Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","North West (England)","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","Greater Manchester South West","Outside London","30","25","46320","42510"
"In post","2023","Communications","North West (England)","Lancaster and Wyre","Outside London","15","15","35050","33990"
"In post","2023","Communications","North West (England)","Liverpool","Outside London","25","25","43680","40750"
"In post","2023","Communications","North West (England)","Manchester","Outside London","85","80","36440","33950"
"In post","2023","Communications","North West (England)","Mid Lancashire","Outside London","10","10","41530","37710"
"In post","2023","Communications","North West (England)","Sefton","Outside London","60","55","39710","36630"
"In post","2023","Communications","North West (England)","Warrington","Outside London","15","15","37430","37300"
"In post","2023","Communications","North West (England)","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Belfast","Outside London","20","15","41530","40230"
"In post","2023","Communications","Northern Ireland","Fermanagh and Omagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Lisburn and Castlereagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","City of Edinburgh","Outside London","45","45","44430","39590"
"In post","2023","Communications","Scotland","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Glasgow City","Outside London","40","40","36140","32340"
"In post","2023","Communications","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","South Ayrshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","South Lanarkshire","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","South East (England)","Berkshire","Outside London","25","20","32310","27740"
"In post","2023","Communications","South East (England)","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Buckinghamshire","Outside London","40","40","37990","35990"
"In post","2023","Communications","South East (England)","Central Hampshire","Outside London","60","55","34550","33990"
"In post","2023","Communications","South East (England)","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","Milton Keynes","Outside London","10","10","36810","31140"
"In post","2023","Communications","South East (England)","North Hampshire","Outside London","10","10","37350","34300"
"In post","2023","Communications","South East (England)","Oxfordshire CC","Outside London","20","20","31270","29570"
"In post","2023","Communications","South East (England)","Portsmouth","Outside London","45","45","36340","34300"
"In post","2023","Communications","South East (England)","South Hampshire","Outside London","30","30","36090","31060"
"In post","2023","Communications","South East (England)","Southampton","Outside London","20","15","35880","31660"
"In post","2023","Communications","South East (England)","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South East (England)","West Sussex (North East)","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","South East (England)","West Sussex (South West)","Outside London","10","5","[c]","[c]"
"In post","2023","Communications","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","55","55","41620","38890"
"In post","2023","Communications","South West (England)","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","South West (England)","Bristol, City of","Outside London","85","80","40090","37300"
"In post","2023","Communications","South West (England)","Cornwall and Isles of Scilly","Outside London","10","10","24330","22220"
"In post","2023","Communications","South West (England)","Devon CC","Outside London","40","40","35600","32770"
"In post","2023","Communications","South West (England)","Dorset","Outside London","20","20","29460","29570"
"In post","2023","Communications","South West (England)","Gloucestershire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","South West (England)","Plymouth","Outside London","10","10","31930","33050"
"In post","2023","Communications","South West (England)","Somerset CC","Outside London","25","20","40150","34690"
"In post","2023","Communications","South West (England)","Swindon","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","South West (England)","Wiltshire","Outside London","65","60","34970","30650"
"In post","2023","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Cardiff and Vale of Glamorgan","Outside London","210","195","41640","39690"
"In post","2023","Communications","Wales","Central Valleys","Outside London","15","15","41390","39690"
"In post","2023","Communications","Wales","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Flintshire and Wrexham","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Wales","Gwent Valleys","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Wales","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Isle of Anglesey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Wales","Monmouthshire and Newport","Outside London","85","85","39460","37760"
"In post","2023","Communications","Wales","Powys","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Wales","South West Wales","Outside London","10","10","[c]","[c]"
"In post","2023","Communications","Wales","Swansea","Outside London","80","75","31480","27450"
"In post","2023","Communications","West Midlands (England)","Birmingham","Outside London","40","35","43170","40890"
"In post","2023","Communications","West Midlands (England)","Coventry","Outside London","55","55","43220","41190"
"In post","2023","Communications","West Midlands (England)","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Shropshire","Outside London","15","10","28840","27470"
"In post","2023","Communications","West Midlands (England)","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Staffordshire CC","Outside London","40","40","37360","34140"
"In post","2023","Communications","West Midlands (England)","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Warwickshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Midlands (England)","Worcestershire CC","Outside London","10","10","42090","37980"
"In post","2023","Communications","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","Leeds","Outside London","70","65","45830","43700"
"In post","2023","Communications","Yorkshire and The Humber","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","Sheffield","Outside London","80","75","42090","41190"
"In post","2023","Communications","Yorkshire and The Humber","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Yorkshire and The Humber","York","Outside London","15","15","35720","35030"
"In post","2023","Corporate Finance","London","Camden and City of London","London","20","20","64550","52900"
"In post","2023","Corporate Finance","London","Tower Hamlets","London","20","20","46910","43700"
"In post","2023","Corporate Finance","London","Westminster","London","35","30","58100","55740"
"In post","2023","Corporate Finance","North West (England)","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Northern Ireland","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Scotland","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","South East (England)","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","South East (England)","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","South West (England)","Somerset CC","Outside London","5","5","[c]","[c]"
"In post","2023","Corporate Finance","South West (England)","Swindon","Outside London","5","5","[c]","[c]"
"In post","2023","Corporate Finance","West Midlands (England)","Birmingham","Outside London","10","10","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","Derby","Outside London","10","5","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","East Derbyshire","Outside London","20","15","28550","28120"
"In post","2023","Counter Fraud","East Midlands (England)","Leicester","Outside London","45","40","28080","28120"
"In post","2023","Counter Fraud","East Midlands (England)","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","East Midlands (England)","Lincolnshire CC","Outside London","40","35","29090","28120"
"In post","2023","Counter Fraud","East Midlands (England)","North Northamptonshire","Outside London","20","20","29430","28120"
"In post","2023","Counter Fraud","East Midlands (England)","North Nottinghamshire","Outside London","15","10","30790","28120"
