"Status","Year","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Heterosexual / straight","435","415","46520","44210"
"In post","2023","Analysis","Department for Education (excl. agencies)","LGBO","45","40","43920","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Undeclared","50","45","48760","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Unknown","45","45","49730","46600"
"In post","2023","Analysis","Department for International Trade","Heterosexual / straight","165","165","49080","55370"
"In post","2023","Analysis","Department for International Trade","LGBO","30","30","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Unknown","55","55","47870","43210"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","205","200","48900","51550"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Heterosexual / straight","230","220","50800","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","LGBO","30","30","48200","44160"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Unknown","75","75","46490","43950"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","460","435","46230","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","LGBO","45","40","41240","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Undeclared","45","45","42630","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","65","65","44930","39150"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","120","115","50200","51920"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Undeclared","30","30","47220","48410"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Heterosexual / straight","40","35","31810","32670"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Heterosexual / straight","35","35","40260","38670"
"In post","2023","Analysis","Food Standards Agency","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Heterosexual / straight","145","135","73610","68110"
"In post","2023","Analysis","Government Actuary's Department","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Heterosexual / straight","45","40","47080","43650"
"In post","2023","Analysis","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","545","520","50610","45560"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","LGBO","70","70","48090","42510"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Undeclared","45","45","47920","42510"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","115","110","42960","41780"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Heterosexual / straight","140","135","45010","38660"
"In post","2023","Analysis","HM Treasury (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Heterosexual / straight","50","45","43670","40820"
"In post","2023","Analysis","Health and Safety Executive","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","Heterosexual / straight","330","320","48900","44710"
"In post","2023","Analysis","Home Office","LGBO","30","30","44590","43250"
"In post","2023","Analysis","Home Office","Undeclared","30","30","51270","54260"
"In post","2023","Analysis","Home Office","Unknown","185","185","38710","36640"
"In post","2023","Analysis","Intellectual Property Office","Heterosexual / straight","40","40","42650","38210"
"In post","2023","Analysis","Intellectual Property Office","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Unknown","15","10","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","60","60","37000","28500"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Unknown","10","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Heterosexual / straight","235","225","42960","41000"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Unknown","50","50","39860","38850"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Heterosexual / straight","425","410","47930","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","LGBO","55","55","43720","39000"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Undeclared","55","55","48280","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Unknown","155","150","43550","37680"
"In post","2023","Analysis","National Infrastructure Commission","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","135","130","43530","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","105","105","47240","40000"
"In post","2023","Analysis","Office of Gas and Electricity Markets","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Unknown","35","35","49800","47620"
"In post","2023","Analysis","Office of Rail and Road","Heterosexual / straight","45","45","54440","53410"
"In post","2023","Analysis","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Heterosexual / straight","1305","1245","39870","37760"
"In post","2023","Analysis","UK Statistics Authority","LGBO","155","155","36880","32170"
"In post","2023","Analysis","UK Statistics Authority","Undeclared","100","95","37510","34800"
"In post","2023","Analysis","UK Statistics Authority","Unknown","365","350","40040","37760"
"In post","2023","Analysis","Valuation Office Agency","Heterosexual / straight","35","35","46680","41500"
"In post","2023","Analysis","Valuation Office Agency","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Heterosexual / straight","30","30","60000","52830"
"In post","2023","Analysis","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Heterosexual / straight","65","60","35370","33830"
"In post","2023","Commercial","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Heterosexual / straight","145","140","51380","51290"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Undeclared","20","20","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Unknown","30","25","[c]","[c]"
"In post","2023","Commercial","Central Civil Service Fast Stream","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","Central Civil Service Fast Stream","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Civil Service Fast Stream","Unknown","80","80","30280","30130"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Heterosexual / straight","245","240","37270","37770"
"In post","2023","Commercial","Crown Commercial Service","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Undeclared","20","15","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Unknown","60","55","37610","39860"
"In post","2023","Commercial","Crown Prosecution Service","Heterosexual / straight","40","40","40910","38940"
"In post","2023","Commercial","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Heterosexual / straight","710","670","42610","42620"
"In post","2023","Commercial","Defence Equipment and Support","LGBO","30","25","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Undeclared","85","80","43560","42620"
"In post","2023","Commercial","Defence Equipment and Support","Unknown","100","100","37910","33720"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Heterosexual / straight","70","65","33110","30650"
"In post","2023","Commercial","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Unknown","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Heterosexual / straight","220","220","43750","39160"
"In post","2023","Commercial","Department for Education (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","Department for Education (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","115","115","36430","37300"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","20","15","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Heterosexual / straight","35","35","39400","35790"
"In post","2023","Commercial","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Heterosexual / straight","105","105","50940","43750"
"In post","2023","Commercial","Department for Transport (excl. agencies)","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Undeclared","5","5","[c]","[c]"
"In post","2023","Commercial","Department for Transport (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","50","50","44020","39600"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Department of Health and Social Care (excl. agencies)","Undeclared","30","30","41870","41950"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Heterosexual / straight","135","120","34530","31660"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","LGBO","5","5","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Undeclared","35","30","31960","31660"
"In post","2023","Commercial","Driver and Vehicle Licensing Agency","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Driver and Vehicle Standards Agency","Undeclared","10","10","[c]","[c]"
