"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","London","Inner London - East","SEO/HEO","455","450","40460","39790"
"In post","2023","Analysis","London","Inner London - West","AA/AO","55","55","24740","23500"
"In post","2023","Analysis","London","Inner London - West","EO","225","225","29920","29890"
"In post","2023","Analysis","London","Inner London - West","G6/G7","1330","1280","63390","60290"
"In post","2023","Analysis","London","Inner London - West","SCS level","120","115","89120","81300"
"In post","2023","Analysis","London","Inner London - West","SEO/HEO","1495","1475","39430","39090"
"In post","2023","Analysis","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - East and North East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - South","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","London","Outer London - South","EO","30","25","30860","30410"
"In post","2023","Analysis","London","Outer London - South","G6/G7","50","45","67040","65230"
"In post","2023","Analysis","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - South","SEO/HEO","95","90","41090","40400"
"In post","2023","Analysis","London","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Outer London - West and North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","EO","15","15","27660","28130"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","G6/G7","55","55","56890","53190"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","110","105","36420","37680"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","AA/AO","15","15","21610","21200"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","EO","20","20","25280","24840"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","G6/G7","35","35","55710","52150"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","Tees Valley and Durham","SEO/HEO","95","95","35670","33630"
"In post","2023","Analysis","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","EO","10","10","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Cumbria","SEO/HEO","10","10","35120","37300"
"In post","2023","Analysis","North West (England)","Greater Manchester","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester","EO","35","35","26940","26940"
"In post","2023","Analysis","North West (England)","Greater Manchester","G6/G7","95","90","58840","57970"
"In post","2023","Analysis","North West (England)","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Greater Manchester","SEO/HEO","270","270","37350","35000"
"In post","2023","Analysis","North West (England)","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Lancashire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Merseyside","EO","20","15","27350","27650"
"In post","2023","Analysis","North West (England)","Merseyside","G6/G7","60","55","58340","57970"
"In post","2023","Analysis","North West (England)","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","Merseyside","SEO/HEO","120","115","37280","37680"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","G6/G7","25","25","66420","66270"
"In post","2023","Analysis","Scotland","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Eastern Scotland","SEO/HEO","35","35","38500","37760"
"In post","2023","Analysis","Scotland","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","Southern Scotland","SEO/HEO","10","5","[c]","[c]"
"In post","2023","Analysis","Scotland","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","West Central Scotland","EO","10","10","26430","26000"
"In post","2023","Analysis","Scotland","West Central Scotland","G6/G7","30","30","57590","56200"
"In post","2023","Analysis","Scotland","West Central Scotland","SEO/HEO","55","50","35030","34170"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","10","10","38280","38540"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","AA/AO","10","10","21200","21200"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","EO","55","50","26080","25100"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","G6/G7","410","390","54220","51460"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","SCS level","15","10","82430","73330"
"In post","2023","Analysis","South East (England)","Hampshire and Isle of Wight","SEO/HEO","625","605","35590","36920"
"In post","2023","Analysis","South East (England)","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Kent","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","G6/G7","10","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","Surrey, East and West Sussex","SEO/HEO","10","10","36930","36340"
"In post","2023","Analysis","South West (England)","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Devon","EO","10","10","26270","25920"
"In post","2023","Analysis","South West (England)","Devon","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Devon","SEO/HEO","20","20","36080","34510"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","EO","40","40","25940","25970"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","G6/G7","20","20","54270","50970"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Dorset and Somerset","SEO/HEO","75","70","33510","30820"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","30","30","23540","23340"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","65","65","27260","26940"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","310","295","56020","53180"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","405","390","36380","38170"
"In post","2023","Analysis","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","East Wales","AA/AO","40","35","21480","21200"
"In post","2023","Analysis","Wales","East Wales","EO","110","105","25610","25040"
"In post","2023","Analysis","Wales","East Wales","G6/G7","260","250","54660","51460"
"In post","2023","Analysis","Wales","East Wales","SCS level","15","15","84180","73940"
"In post","2023","Analysis","Wales","East Wales","SEO/HEO","715","695","35510","37680"
"In post","2023","Analysis","Wales","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Wales","West Wales and The Valleys","SEO/HEO","10","10","37430","37760"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","Shropshire and Staffordshire","SEO/HEO","15","15","36300","34300"
"In post","2023","Analysis","West Midlands (England)","West Midlands","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","EO","20","20","26570","25860"
"In post","2023","Analysis","West Midlands (England)","West Midlands","G6/G7","35","35","62960","53970"
"In post","2023","Analysis","West Midlands (England)","West Midlands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","West Midlands","SEO/HEO","90","90","37660","37590"
"In post","2023","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","G6/G7","10","10","57170","52010"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","North Yorkshire","SEO/HEO","20","20","35210","34580"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","AA/AO","5","5","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","G6/G7","130","120","57650","53450"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","South Yorkshire","SEO/HEO","205","195","38180","38470"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","AA/AO","10","10","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","EO","30","25","27150","27280"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","G6/G7","85","80","56160","53190"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","West Yorkshire","SEO/HEO","135","130","36630","37680"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","10","10","22130","22150"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","EO","15","15","27320","27320"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","40","35","63310","56130"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","50","45","38170","39490"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","SEO/HEO","10","10","38760","39890"
"In post","2023","Commercial","East of England","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","EO","20","15","27100","27430"
"In post","2023","Commercial","East of England","East Anglia","G6/G7","60","60","62100","62300"
"In post","2023","Commercial","East of England","East Anglia","SCS level","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","SEO/HEO","130","125","37970","39860"
"In post","2023","Commercial","East of England","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","EO","25","20","29930","29190"
"In post","2023","Commercial","London","Inner London - East","G6/G7","90","85","62960","59660"
"In post","2023","Commercial","London","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","SEO/HEO","105","105","39130","36810"
"In post","2023","Commercial","London","Inner London - West","AA/AO","15","15","25410","25650"
"In post","2023","Commercial","London","Inner London - West","EO","75","75","30590","31000"
"In post","2023","Commercial","London","Inner London - West","G6/G7","720","710","66160","65760"
"In post","2023","Commercial","London","Inner London - West","SCS level","155","150","122600","118080"
"In post","2023","Commercial","London","Inner London - West","SEO/HEO","465","460","40000","41240"
"In post","2023","Commercial","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","EO","10","10","30410","29890"
"In post","2023","Commercial","London","Outer London - South","G6/G7","30","30","69420","67450"
"In post","2023","Commercial","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","SEO/HEO","45","45","42210","43210"
"In post","2023","Commercial","London","Outer London - West and North West","AA/AO","20","20","23800","23460"
"In post","2023","Commercial","London","Outer London - West and North West","EO","10","10","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","G6/G7","15","15","59330","56070"
"In post","2023","Commercial","London","Outer London - West and North West","SEO/HEO","15","15","37830","38760"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","EO","5","5","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","G6/G7","30","30","63890","65500"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","35","35","35370","37300"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","EO","5","5","[c]","[c]"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","G6/G7","25","25","61100","56000"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","SEO/HEO","35","35","37460","39090"
"In post","2023","Commercial","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","SEO/HEO","20","20","36260","37500"
"In post","2023","Commercial","North West (England)","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","Unknown","15","15","39930","42620"
"In post","2023","Commercial","North West (England)","Greater Manchester","AA/AO","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester","EO","40","35","27380","27650"
"In post","2023","Commercial","North West (England)","Greater Manchester","G6/G7","135","135","65100","65500"
"In post","2023","Commercial","North West (England)","Greater Manchester","SCS level","10","10","96890","89580"
"In post","2023","Commercial","North West (England)","Greater Manchester","SEO/HEO","170","170","37490","37680"
"In post","2023","Commercial","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancashire","EO","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancashire","G6/G7","35","35","63700","65500"
"In post","2023","Commercial","North West (England)","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancashire","SEO/HEO","15","15","38970","38050"
"In post","2023","Commercial","North West (England)","Merseyside","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Merseyside","EO","35","30","26690","26410"
"In post","2023","Commercial","North West (England)","Merseyside","G6/G7","70","70","62630","65500"
"In post","2023","Commercial","North West (England)","Merseyside","SCS level","10","10","97610","89220"
"In post","2023","Commercial","North West (England)","Merseyside","SEO/HEO","185","180","36620","38650"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","G6/G7","10","10","78870","85900"
"In post","2023","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","SEO/HEO","15","15","59390","58690"
"In post","2023","Commercial","Scotland","Eastern Scotland","AA/AO","35","30","26220","28490"
"In post","2023","Commercial","Scotland","Eastern Scotland","EO","15","15","33470","33290"
"In post","2023","Commercial","Scotland","Eastern Scotland","G6/G7","15","15","65090","62260"
"In post","2023","Commercial","Scotland","Eastern Scotland","SEO/HEO","35","35","42340","41790"
"In post","2023","Commercial","Scotland","Eastern Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","G6/G7","35","35","62120","58980"
"In post","2023","Commercial","Scotland","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Southern Scotland","SEO/HEO","25","25","40070","40810"
"In post","2023","Commercial","Scotland","West Central Scotland","AA/AO","20","20","25820","28490"
"In post","2023","Commercial","Scotland","West Central Scotland","EO","35","30","27710","27080"
"In post","2023","Commercial","Scotland","West Central Scotland","G6/G7","40","40","65550","66270"
"In post","2023","Commercial","Scotland","West Central Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","West Central Scotland","SEO/HEO","100","100","37500","36170"
"In post","2023","Commercial","Scotland","West Central Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","40","40","28220","28540"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","35","35","63240","59660"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","105","100","39610","40670"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","EO","60","60","26850","27140"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","G6/G7","65","65","64290","66240"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Hampshire and Isle of Wight","SEO/HEO","170","165","38220","39820"
"In post","2023","Commercial","South East (England)","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Kent","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","AA/AO","10","10","26530","25680"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","EO","15","10","28560","28710"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","G6/G7","15","15","65730","60550"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","Surrey, East and West Sussex","SEO/HEO","25","25","36540","35810"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","EO","10","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","G6/G7","95","90","52680","48080"
"In post","2023","Commercial","South West (England)","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Devon","SEO/HEO","85","80","36380","37420"
"In post","2023","Commercial","South West (England)","Devon","Unknown","10","10","41150","42620"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","G6/G7","15","15","56560","55470"
"In post","2023","Commercial","South West (England)","Dorset and Somerset","SEO/HEO","25","25","38680","35840"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","130","125","23460","22220"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","125","120","26740","27080"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","375","360","60340","56000"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","45","45","108150","102820"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","795","760","38030","37060"
"In post","2023","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","125","125","44040","42620"
"In post","2023","Commercial","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
