"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Project Delivery","EO","Female","290","285","27430","27140"
"In post","2023","20-29","Project Delivery","EO","Male","175","175","27510","27510"
"In post","2023","20-29","Project Delivery","G6/G7","Female","180","180","55250","55020"
"In post","2023","20-29","Project Delivery","G6/G7","Male","135","135","56740","55550"
"In post","2023","20-29","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","SEO/HEO","Female","1105","1095","35790","34700"
"In post","2023","20-29","Project Delivery","SEO/HEO","Male","815","815","36030","34700"
"In post","2023","20-29","Project Delivery","Unknown","Female","120","115","30330","31920"
"In post","2023","20-29","Project Delivery","Unknown","Male","300","300","30380","30110"
"In post","2023","20-29","Property","AA/AO","Female","180","170","22220","22520"
"In post","2023","20-29","Property","AA/AO","Male","150","145","22980","22520"
"In post","2023","20-29","Property","EO","Female","135","130","27520","26890"
"In post","2023","20-29","Property","EO","Male","160","155","27750","26890"
"In post","2023","20-29","Property","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","20-29","Property","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","20-29","Property","SEO/HEO","Female","205","200","34990","33960"
"In post","2023","20-29","Property","SEO/HEO","Male","235","235","35610","33960"
"In post","2023","20-29","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Property","Unknown","Male","10","10","[c]","[c]"
"In post","2023","20-29","Security","AA/AO","Female","175","170","25310","24430"
"In post","2023","20-29","Security","AA/AO","Male","580","575","27640","27450"
"In post","2023","20-29","Security","EO","Female","95","95","27670","27140"
"In post","2023","20-29","Security","EO","Male","145","145","28610","27650"
"In post","2023","20-29","Security","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","20-29","Security","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","20-29","Security","SEO/HEO","Female","135","135","37600","36620"
"In post","2023","20-29","Security","SEO/HEO","Male","125","125","37260","36620"
"In post","2023","20-29","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Security","Unknown","Male","10","10","[c]","[c]"
"In post","2023","20-29","Unknown","AA/AO","Female","725","695","24010","23340"
"In post","2023","20-29","Unknown","AA/AO","Male","680","670","24110","23340"
"In post","2023","20-29","Unknown","EO","Female","725","715","29530","29100"
"In post","2023","20-29","Unknown","EO","Male","465","460","29490","29100"
"In post","2023","20-29","Unknown","G6/G7","Female","105","105","55040","54870"
"In post","2023","20-29","Unknown","G6/G7","Male","70","70","55330","54870"
"In post","2023","20-29","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","SEO/HEO","Female","1535","1525","34620","33520"
"In post","2023","20-29","Unknown","SEO/HEO","Male","1180","1175","34670","33520"
"In post","2023","20-29","Unknown","Unknown","Female","60","60","33010","34180"
"In post","2023","20-29","Unknown","Unknown","Male","315","315","32190","32610"
"In post","2023","30-39","Analysis","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","30-39","Analysis","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","30-39","Analysis","EO","Female","80","75","27350","25970"
"In post","2023","30-39","Analysis","EO","Male","70","65","27370","26400"
"In post","2023","30-39","Analysis","G6/G7","Female","570","535","58850","56620"
"In post","2023","30-39","Analysis","G6/G7","Male","680","665","59740","57030"
"In post","2023","30-39","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Analysis","SCS level","Female","20","15","[c]","[c]"
"In post","2023","30-39","Analysis","SCS level","Male","20","20","[c]","[c]"
"In post","2023","30-39","Analysis","SEO/HEO","Female","685","645","38100","39150"
"In post","2023","30-39","Analysis","SEO/HEO","Male","730","725","38300","38760"
"In post","2023","30-39","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","AA/AO","Female","45","40","22950","22220"
"In post","2023","30-39","Commercial","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","30-39","Commercial","EO","Female","110","100","27420","27080"
"In post","2023","30-39","Commercial","EO","Male","55","55","27230","27000"
"In post","2023","30-39","Commercial","G6/G7","Female","275","265","60560","56430"
"In post","2023","30-39","Commercial","G6/G7","Male","285","285","62970","65500"
"In post","2023","30-39","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Commercial","SCS level","Male","15","15","[c]","[c]"
"In post","2023","30-39","Commercial","SEO/HEO","Female","515","495","37590","37680"
"In post","2023","30-39","Commercial","SEO/HEO","Male","400","400","38480","38460"
"In post","2023","30-39","Commercial","Unknown","Female","20","20","[c]","[c]"
"In post","2023","30-39","Commercial","Unknown","Male","25","25","[c]","[c]"
"In post","2023","30-39","Communications","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","30-39","Communications","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","30-39","Communications","EO","Female","60","55","28410","28030"
"In post","2023","30-39","Communications","EO","Male","30","30","28050","27260"
"In post","2023","30-39","Communications","G6/G7","Female","270","260","58870","57240"
"In post","2023","30-39","Communications","G6/G7","Male","150","150","59580","58470"
"In post","2023","30-39","Communications","SCS level","Female","15","15","[c]","[c]"
"In post","2023","30-39","Communications","SCS level","Male","10","10","[c]","[c]"
"In post","2023","30-39","Communications","SEO/HEO","Female","410","390","39150","39650"
"In post","2023","30-39","Communications","SEO/HEO","Male","255","250","40150","41020"
"In post","2023","30-39","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Communications","Unknown","Male","5","5","[c]","[c]"
"In post","2023","30-39","Counter Fraud","AA/AO","Female","175","150","23080","22520"
"In post","2023","30-39","Counter Fraud","AA/AO","Male","110","110","23090","22520"
"In post","2023","30-39","Counter Fraud","EO","Female","825","770","28840","28120"
"In post","2023","30-39","Counter Fraud","EO","Male","755","755","29000","28130"
"In post","2023","30-39","Counter Fraud","G6/G7","Female","115","110","58890","57970"
"In post","2023","30-39","Counter Fraud","G6/G7","Male","170","165","60560","57970"
"In post","2023","30-39","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Counter Fraud","SEO/HEO","Female","625","595","36950","35000"
"In post","2023","30-39","Counter Fraud","SEO/HEO","Male","755","750","37130","35000"
"In post","2023","30-39","Debt","AA/AO","Female","695","585","22440","22520"
"In post","2023","30-39","Debt","AA/AO","Male","525","510","22460","22520"
"In post","2023","30-39","Debt","EO","Female","150","140","28110","28120"
"In post","2023","30-39","Debt","EO","Male","140","135","28210","28120"
"In post","2023","30-39","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Debt","SEO/HEO","Female","50","45","36340","34700"
"In post","2023","30-39","Debt","SEO/HEO","Male","35","35","36170","34700"
"In post","2023","30-39","Digital, Data & Technology","AA/AO","Female","55","50","22660","22220"
"In post","2023","30-39","Digital, Data & Technology","AA/AO","Male","85","85","22570","22220"
"In post","2023","30-39","Digital, Data & Technology","EO","Female","320","305","28100","27890"
"In post","2023","30-39","Digital, Data & Technology","EO","Male","495","495","28570","28080"
"In post","2023","30-39","Digital, Data & Technology","G6/G7","Female","745","720","57390","56430"
"In post","2023","30-39","Digital, Data & Technology","G6/G7","Male","1175","1170","58340","56430"
"In post","2023","30-39","Digital, Data & Technology","SCS level","Female","30","30","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","SCS level","Male","25","25","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","SEO/HEO","Female","1370","1315","37940","37780"
"In post","2023","30-39","Digital, Data & Technology","SEO/HEO","Male","2085","2075","38540","38360"
"In post","2023","30-39","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Digital, Data & Technology","Unknown","Male","15","15","[c]","[c]"
"In post","2023","30-39","Finance","AA/AO","Female","170","145","22970","22520"
"In post","2023","30-39","Finance","AA/AO","Male","100","95","22800","22520"
"In post","2023","30-39","Finance","EO","Female","215","205","27910","27650"
"In post","2023","30-39","Finance","EO","Male","155","155","28190","28120"
"In post","2023","30-39","Finance","G6/G7","Female","360","345","59200","57770"
"In post","2023","30-39","Finance","G6/G7","Male","355","355","61200","59330"
"In post","2023","30-39","Finance","SCS level","Female","20","20","[c]","[c]"
"In post","2023","30-39","Finance","SCS level","Male","30","30","[c]","[c]"
"In post","2023","30-39","Finance","SEO/HEO","Female","625","595","38370","38020"
"In post","2023","30-39","Finance","SEO/HEO","Male","585","585","38630","38470"
"In post","2023","30-39","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2023","30-39","Finance","Unknown","Male","5","5","[c]","[c]"
"In post","2023","30-39","Grants Management","AA/AO","Female","150","130","22120","22150"
"In post","2023","30-39","Grants Management","AA/AO","Male","125","125","22150","22150"
"In post","2023","30-39","Grants Management","EO","Female","65","60","25970","25920"
"In post","2023","30-39","Grants Management","EO","Male","55","55","26020","25920"
"In post","2023","30-39","Grants Management","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","30-39","Grants Management","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","30-39","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Grants Management","SEO/HEO","Female","45","45","33120","30480"
"In post","2023","30-39","Grants Management","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","30-39","Human Resources","AA/AO","Female","150","130","22630","22220"
"In post","2023","30-39","Human Resources","AA/AO","Male","65","65","22850","22490"
"In post","2023","30-39","Human Resources","EO","Female","425","395","27740","27650"
"In post","2023","30-39","Human Resources","EO","Male","205","200","28030","28120"
"In post","2023","30-39","Human Resources","G6/G7","Female","395","380","58700","57620"
"In post","2023","30-39","Human Resources","G6/G7","Male","165","165","58510","56870"
"In post","2023","30-39","Human Resources","SCS level","Female","25","25","[c]","[c]"
"In post","2023","30-39","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2023","30-39","Human Resources","SEO/HEO","Female","1035","985","37640","37110"
"In post","2023","30-39","Human Resources","SEO/HEO","Male","510","510","38330","37910"
"In post","2023","30-39","Human Resources","Unknown","Female","20","20","[c]","[c]"
"In post","2023","30-39","Human Resources","Unknown","Male","5","5","[c]","[c]"
"In post","2023","30-39","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","30-39","Internal Audit","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","30-39","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Internal Audit","SEO/HEO","Female","55","50","39340","39430"
"In post","2023","30-39","Internal Audit","SEO/HEO","Male","35","35","41070","42180"
"In post","2023","30-39","Legal","AA/AO","Female","170","150","23360","22870"
"In post","2023","30-39","Legal","AA/AO","Male","65","65","23590","22870"
"In post","2023","30-39","Legal","EO","Female","280","265","28470","28120"
"In post","2023","30-39","Legal","EO","Male","120","120","28800","28130"
"In post","2023","30-39","Legal","G6/G7","Female","1315","1235","57830","54230"
"In post","2023","30-39","Legal","G6/G7","Male","650","645","58370","55430"
"In post","2023","30-39","Legal","SCS level","Female","15","15","[c]","[c]"
"In post","2023","30-39","Legal","SCS level","Male","20","20","[c]","[c]"
"In post","2023","30-39","Legal","SEO/HEO","Female","310","300","38260","38760"
"In post","2023","30-39","Legal","SEO/HEO","Male","200","200","37690","38760"
"In post","2023","30-39","No function","AA/AO","Female","10640","9165","24080","22520"
"In post","2023","30-39","No function","AA/AO","Male","9705","9525","26300","23390"
"In post","2023","30-39","No function","EO","Female","10780","9860","28840","28120"
"In post","2023","30-39","No function","EO","Male","9145","9075","29330","28120"
