"Status","Year","Age","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Science and Engineering","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Departments","Operational Delivery","40","40","20980","20270"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Operational Delivery","15","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Policy","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Operational Delivery","45","40","20960","22500"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Operational Delivery","35","35","23110","21690"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Other","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Property","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Finance","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Operational Delivery","70","65","23040","22520"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Property","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Science and Engineering","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Operational Delivery","200","200","25740","24070"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
