"Status","Year","Age","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Inspector of Education and Training","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Inspector of Education and Training","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","London","Heterosexual / straight","145","145","36670","36620"
"In post","2023","20-29","Intelligence Analysis","London","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","London","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","London","Unknown","80","80","36200","37400"
"In post","2023","20-29","Intelligence Analysis","Outside London","Heterosexual / straight","170","165","29710","28480"
"In post","2023","20-29","Intelligence Analysis","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","Outside London","Unknown","60","60","27580","25880"
"In post","2023","20-29","Intelligence Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","20-29","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","International Trade","London","Heterosexual / straight","275","275","41510","41550"
"In post","2023","20-29","International Trade","London","LGBO","50","50","41330","41550"
"In post","2023","20-29","International Trade","London","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","International Trade","London","Unknown","160","160","42120","41550"
"In post","2023","20-29","International Trade","Outside London","Heterosexual / straight","50","50","33540","32840"
"In post","2023","20-29","International Trade","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","International Trade","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","International Trade","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","International Trade","Overseas","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","London","Heterosexual / straight","70","70","34780","34000"
"In post","2023","20-29","Knowledge and Information Management","London","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","London","Undeclared","10","10","[c]","[c]"
