"Status","Year","Age","Disability","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","East Midlands (England)","AA/AO","45","45","25000","23230"
"In post","2023","16-19","Declared non-disabled","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","East of England","AA/AO","40","35","25180","23230"
"In post","2023","16-19","Declared non-disabled","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","AA/AO","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","EO","25","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","North East (England)","AA/AO","35","35","23410","22520"
"In post","2023","16-19","Declared non-disabled","North East (England)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","North West (England)","AA/AO","55","55","23470","22520"
"In post","2023","16-19","Declared non-disabled","North West (England)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scotland","AA/AO","50","45","22750","22520"
"In post","2023","16-19","Declared non-disabled","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","South East (England)","AA/AO","40","40","25200","23230"
"In post","2023","16-19","Declared non-disabled","South East (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","South West (England)","AA/AO","55","55","22020","21090"
"In post","2023","16-19","Declared non-disabled","South West (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Wales","AA/AO","90","85","21400","22150"
"In post","2023","16-19","Declared non-disabled","Wales","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","West Midlands (England)","AA/AO","40","35","23220","22700"
"In post","2023","16-19","Declared non-disabled","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","AA/AO","60","60","23570","22520"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","AA/AO","30","30","24270","23230"
"In post","2023","16-19","Unknown","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","AA/AO","30","25","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","AA/AO","45","40","26720","26400"
"In post","2023","16-19","Unknown","London","EO","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","AA/AO","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","AA/AO","55","50","23150","22400"
"In post","2023","16-19","Unknown","North West (England)","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","AA/AO","80","75","22510","22220"
"In post","2023","16-19","Unknown","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","AA/AO","75","75","22890","22400"
"In post","2023","16-19","Unknown","South East (England)","EO","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","AA/AO","115","115","20330","19460"
"In post","2023","16-19","Unknown","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
