"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office","Unknown","EO","EO","50","50","25130","24610"
"In post","2023","Cabinet Office","Unknown","G6/G7","G6","15","15","66690","65790"
"In post","2023","Cabinet Office","Unknown","G6/G7","G7","35","35","54540","55790"
"In post","2023","Cabinet Office","Unknown","SCS level","SCS level","10","10","105150","86840"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","HEO","45","40","33340","33020"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","SEO","20","20","39710","38460"
"In post","2023","Chancellor's other departments","London","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","EO","40","40","30500","30090"
"In post","2023","Chancellor's other departments","London","G6/G7","G6","115","105","91270","83750"
"In post","2023","Chancellor's other departments","London","G6/G7","G7","65","65","56960","58170"
"In post","2023","Chancellor's other departments","London","SCS level","SCS level","15","15","117210","112710"
"In post","2023","Chancellor's other departments","London","SEO/HEO","HEO","55","55","37090","36780"
"In post","2023","Chancellor's other departments","London","SEO/HEO","SEO","55","55","48290","46860"
"In post","2023","Chancellor's other departments","Outside London","EO","EO","10","10","25690","25420"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","G6","15","15","76770","71780"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","G7","20","20","52830","50500"
"In post","2023","Chancellor's other departments","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","SEO","20","20","43490","42820"
"In post","2023","Charity Commission","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","G6","10","10","65280","63870"
"In post","2023","Charity Commission","London","G6/G7","G7","20","20","53260","52240"
"In post","2023","Charity Commission","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SEO/HEO","HEO","25","25","30480","30170"
"In post","2023","Charity Commission","London","SEO/HEO","SEO","20","15","39910","38800"
"In post","2023","Charity Commission","Outside London","AA/AO","AO","20","20","21510","21100"
"In post","2023","Charity Commission","Outside London","EO","EO","115","110","25710","25300"
"In post","2023","Charity Commission","Outside London","G6/G7","G6","10","10","64430","63870"
"In post","2023","Charity Commission","Outside London","G6/G7","G7","35","35","53120","52240"
"In post","2023","Charity Commission","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Outside London","SEO/HEO","HEO","145","140","30500","30170"
"In post","2023","Charity Commission","Outside London","SEO/HEO","SEO","85","85","39320","38800"
"In post","2023","Competition and Markets Authority","London","AA/AO","AO","25","25","23320","23200"
"In post","2023","Competition and Markets Authority","London","EO","EO","55","55","28820","28760"
"In post","2023","Competition and Markets Authority","London","G6/G7","G6","195","190","77580","77250"
"In post","2023","Competition and Markets Authority","London","G6/G7","G7","215","205","58470","57540"
"In post","2023","Competition and Markets Authority","London","SCS level","SCS level","115","110","110610","102320"
"In post","2023","Competition and Markets Authority","London","SEO/HEO","HEO","135","135","35590","34620"
"In post","2023","Competition and Markets Authority","London","SEO/HEO","SEO","55","55","44890","44120"
"In post","2023","Competition and Markets Authority","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","EO","EO","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","G6","30","30","75190","73510"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","G7","30","30","57240","56070"
"In post","2023","Competition and Markets Authority","Outside London","SCS level","SCS level","10","10","100100","102080"
"In post","2023","Competition and Markets Authority","Outside London","SEO/HEO","HEO","25","25","34730","34110"
"In post","2023","Competition and Markets Authority","Outside London","SEO/HEO","SEO","15","10","44660","42920"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","AA","10","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","AO","120","115","25690","25810"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","EO","EO","330","320","29530","28740"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","G6","720","695","69180","66790"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","G7","1935","1890","56920","55350"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SCS level","SCS level","330","315","85720","78220"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","HEO","955","940","36090","34740"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","SEO","1330","1315","42970","41360"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","AA","100","100","19470","19420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","AO","1140","1035","22400","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","EO","EO","1500","1415","26570","25610"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","G6","405","385","64620","63670"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","G7","1370","1315","53360","50930"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","SCS level","80","80","87080","78310"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","HEO","2015","1915","33630","32410"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","SEO","2040","1950","41910","41070"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","SEO","20","15","38170","37420"
"In post","2023","Department for Digital, Culture, Media and Sport","London","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","London","EO","EO","135","135","28420","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","G6","215","210","65730","64700"
"In post","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","G7","605","595","54990","53130"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SCS level","SCS level","110","105","87300","79000"
"In post","2023","Department for Digital, Culture, Media and Sport","London","SEO/HEO","HEO","570","560","37390","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","EO","EO","35","35","25670","24780"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","G6","15","15","61450","62450"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","G7","100","95","52750","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","HEO","135","135","34410","34380"
"In post","2023","Department for Education","London","AA/AO","AO","25","25","25040","25120"
"In post","2023","Department for Education","London","EO","EO","185","185","30310","30560"
"In post","2023","Department for Education","London","G6/G7","G6","380","360","68060","66950"
"In post","2023","Department for Education","London","G6/G7","G7","740","715","56560","55380"
"In post","2023","Department for Education","London","SCS level","SCS level","180","170","86310","77470"
"In post","2023","Department for Education","London","SEO/HEO","HEO","345","330","35530","34550"
"In post","2023","Department for Education","London","SEO/HEO","SEO","540","525","43210","41880"
"In post","2023","Department for Education","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Outside London","AA/AO","AO","65","60","21950","22020"
"In post","2023","Department for Education","Outside London","EO","EO","595","575","26600","25900"
"In post","2023","Department for Education","Outside London","G6/G7","G6","600","580","65090","63220"
"In post","2023","Department for Education","Outside London","G6/G7","G7","1570","1520","52220","51460"
"In post","2023","Department for Education","Outside London","SCS level","SCS level","120","115","83030","76510"
"In post","2023","Department for Education","Outside London","SEO/HEO","HEO","1285","1240","31280","30330"
"In post","2023","Department for Education","Outside London","SEO/HEO","SEO","1835","1775","39000","37590"
"In post","2023","Department for Education","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","London","AA/AO","AO","60","55","25360","25340"
"In post","2023","Department for Environment, Food and Rural Affairs","London","EO","EO","265","255","29310","29080"
"In post","2023","Department for Environment, Food and Rural Affairs","London","G6/G7","G6","255","245","65280","64720"
"In post","2023","Department for Environment, Food and Rural Affairs","London","G6/G7","G7","715","695","55040","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","London","SCS level","SCS level","125","125","85260","78260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","SEO/HEO","HEO","580","570","33970","33830"
"In post","2023","Department for Environment, Food and Rural Affairs","London","SEO/HEO","SEO","635","620","40880","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","AO","2470","2275","22460","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","EO","EO","1975","1865","26480","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","G6","515","500","61430","60060"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","G7","1510","1455","50480","49400"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","SCS level","SCS level","110","110","81920","76260"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","HEO","1820","1745","31060","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","SEO","1990","1900","38320","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","Unknown","Unknown","25","20","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","London","AA/AO","AO","20","20","28660","28660"
"In post","2023","Department for International Trade","London","EO","EO","230","230","29910","29280"
"In post","2023","Department for International Trade","London","G6/G7","G6","275","270","68160","66000"
"In post","2023","Department for International Trade","London","G6/G7","G7","795","780","56870","55500"
"In post","2023","Department for International Trade","London","SCS level","SCS level","145","140","89020","78760"
"In post","2023","Department for International Trade","London","SEO/HEO","HEO","565","560","35600","35010"
"In post","2023","Department for International Trade","London","SEO/HEO","SEO","660","655","42530","41550"
"In post","2023","Department for International Trade","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Outside London","EO","EO","70","65","26180","25660"
"In post","2023","Department for International Trade","Outside London","G6/G7","G6","40","40","67680","63530"
"In post","2023","Department for International Trade","Outside London","G6/G7","G7","150","145","53380","52140"
"In post","2023","Department for International Trade","Outside London","SCS level","SCS level","15","15","84950","74740"
"In post","2023","Department for International Trade","Outside London","SEO/HEO","HEO","120","115","32130","31440"
"In post","2023","Department for International Trade","Outside London","SEO/HEO","SEO","270","260","41080","41230"
"In post","2023","Department for International Trade","Overseas","G6/G7","G6","30","30","64990","65100"
"In post","2023","Department for International Trade","Overseas","G6/G7","G7","65","65","55340","55220"
"In post","2023","Department for International Trade","Overseas","SCS level","SCS level","30","30","85980","77940"
"In post","2023","Department for International Trade","Overseas","SEO/HEO","HEO","15","15","35930","35460"
"In post","2023","Department for International Trade","Overseas","SEO/HEO","SEO","30","30","40910","40580"
"In post","2023","Department for Levelling Up, Housing and Communities","London","AA/AO","AO","25","25","27890","27870"
"In post","2023","Department for Levelling Up, Housing and Communities","London","EO","EO","170","170","30210","28850"
"In post","2023","Department for Levelling Up, Housing and Communities","London","G6/G7","G6","345","330","66860","64970"
"In post","2023","Department for Levelling Up, Housing and Communities","London","G6/G7","G7","710","695","55800","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","London","SCS level","SCS level","145","140","87400","79920"
"In post","2023","Department for Levelling Up, Housing and Communities","London","SEO/HEO","HEO","395","385","35140","34310"
"In post","2023","Department for Levelling Up, Housing and Communities","London","SEO/HEO","SEO","390","385","41850","40800"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","AO","165","150","22720","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","EO","EO","180","165","27030","26590"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","G6","365","330","65980","62190"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","G7","515","490","50090","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","SCS level","SCS level","35","35","88400","77630"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","HEO","400","385","32370","31420"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","SEO","335","325","39360","37540"
"In post","2023","Department for Transport","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","London","AA/AO","AO","160","145","31840","34390"
"In post","2023","Department for Transport","London","EO","EO","485","465","31740","31400"
"In post","2023","Department for Transport","London","G6/G7","G6","425","415","69200","68020"
"In post","2023","Department for Transport","London","G6/G7","G7","900","880","57060","55740"
"In post","2023","Department for Transport","London","SCS level","SCS level","230","220","88550","80240"
"In post","2023","Department for Transport","London","SEO/HEO","HEO","590","585","36570","35760"
"In post","2023","Department for Transport","London","SEO/HEO","SEO","595","585","44530","43750"
"In post","2023","Department for Transport","Outside London","AA/AO","AA","1160","925","19310","19000"
"In post","2023","Department for Transport","Outside London","AA/AO","AO","4245","3795","23270","22500"
"In post","2023","Department for Transport","Outside London","EO","EO","3650","3410","28020","27400"
"In post","2023","Department for Transport","Outside London","G6/G7","G6","220","210","74450","68880"
"In post","2023","Department for Transport","Outside London","G6/G7","G7","675","665","57570","53600"
"In post","2023","Department for Transport","Outside London","SCS level","SCS level","50","45","95570","92630"
"In post","2023","Department for Transport","Outside London","SEO/HEO","HEO","1745","1690","33220","32240"
"In post","2023","Department for Transport","Outside London","SEO/HEO","SEO","1235","1205","42590","41130"
"In post","2023","Department for Transport","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Department for Transport","Overseas","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Department for Transport","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","London","AA/AO","AA","15","10","21720","21720"
"In post","2023","Department for Work and Pensions","London","AA/AO","AO","1335","1160","25230","25610"
"In post","2023","Department for Work and Pensions","London","EO","EO","5100","4700","32360","32520"
"In post","2023","Department for Work and Pensions","London","G6/G7","G6","225","215","74090","72550"
"In post","2023","Department for Work and Pensions","London","G6/G7","G7","530","510","57530","55150"
"In post","2023","Department for Work and Pensions","London","SCS level","SCS level","125","120","94910","84850"
"In post","2023","Department for Work and Pensions","London","SEO/HEO","HEO","1245","1210","39040","39150"
"In post","2023","Department for Work and Pensions","London","SEO/HEO","SEO","610","590","44840","43760"
"In post","2023","Department for Work and Pensions","Outside London","AA/AO","AA","240","190","21280","21250"
"In post","2023","Department for Work and Pensions","Outside London","AA/AO","AO","24200","20760","21850","21690"
"In post","2023","Department for Work and Pensions","Outside London","EO","EO","38105","33950","28330","28120"
"In post","2023","Department for Work and Pensions","Outside London","G6/G7","G6","905","875","69780","66860"
"In post","2023","Department for Work and Pensions","Outside London","G6/G7","G7","2715","2610","53960","50950"
"In post","2023","Department for Work and Pensions","Outside London","SCS level","SCS level","190","190","88080","80080"
"In post","2023","Department for Work and Pensions","Outside London","SEO/HEO","HEO","7755","7270","34460","34170"
"In post","2023","Department for Work and Pensions","Outside London","SEO/HEO","SEO","4130","3930","41670","38470"
"In post","2023","Department for Work and Pensions","Unknown","AA/AO","AO","70","65","21620","21690"
"In post","2023","Department for Work and Pensions","Unknown","EO","EO","140","135","28170","28120"
"In post","2023","Department for Work and Pensions","Unknown","G6/G7","G6","10","10","70020","66860"
"In post","2023","Department for Work and Pensions","Unknown","G6/G7","G7","30","30","54770","51210"
"In post","2023","Department for Work and Pensions","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","Unknown","SEO/HEO","HEO","50","45","36280","34170"
"In post","2023","Department for Work and Pensions","Unknown","SEO/HEO","SEO","35","35","42850","41320"
"In post","2023","Department of Health and Social Care","London","AA/AO","AA","35","30","23270","23470"
"In post","2023","Department of Health and Social Care","London","AA/AO","AO","165","150","24910","24780"
"In post","2023","Department of Health and Social Care","London","EO","EO","655","635","28930","28770"
"In post","2023","Department of Health and Social Care","London","G6/G7","G6","720","685","70630","67890"
"In post","2023","Department of Health and Social Care","London","G6/G7","G7","1315","1270","55570","54690"
"In post","2023","Department of Health and Social Care","London","SCS level","SCS level","455","425","95770","86450"
"In post","2023","Department of Health and Social Care","London","SEO/HEO","HEO","940","920","34440","34190"
"In post","2023","Department of Health and Social Care","London","SEO/HEO","SEO","1170","1140","42390","41950"
"In post","2023","Department of Health and Social Care","Outside London","AA/AO","AA","40","35","20450","20100"
"In post","2023","Department of Health and Social Care","Outside London","AA/AO","AO","380","340","21940","21480"
"In post","2023","Department of Health and Social Care","Outside London","EO","EO","560","535","26020","25190"
"In post","2023","Department of Health and Social Care","Outside London","G6/G7","G6","495","470","68940","66260"
"In post","2023","Department of Health and Social Care","Outside London","G6/G7","G7","1155","1110","52830","51630"
"In post","2023","Department of Health and Social Care","Outside London","SCS level","SCS level","275","255","104840","102530"
"In post","2023","Department of Health and Social Care","Outside London","SEO/HEO","HEO","845","805","32140","31070"
"In post","2023","Department of Health and Social Care","Outside London","SEO/HEO","SEO","1060","1015","40050","39170"
"In post","2023","Department of Health and Social Care","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","AA/AO","AO","15","10","24680","25620"
"In post","2023","Estyn","Outside London","EO","EO","25","20","29990","30610"
"In post","2023","Estyn","Outside London","G6/G7","G6","70","65","78150","78500"
"In post","2023","Estyn","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Estyn","Outside London","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","London","EO","EO","25","25","30550","30540"
"In post","2023","Food Standards Agency","London","G6/G7","G6","15","15","69620","67890"
"In post","2023","Food Standards Agency","London","G6/G7","G7","50","50","57370","57250"
"In post","2023","Food Standards Agency","London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","London","SEO/HEO","HEO","60","55","34010","33820"
"In post","2023","Food Standards Agency","London","SEO/HEO","SEO","65","65","42190","41470"
"In post","2023","Food Standards Agency","Outside London","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","Outside London","EO","EO","410","385","28200","28090"
"In post","2023","Food Standards Agency","Outside London","G6/G7","G6","55","50","63380","62430"
"In post","2023","Food Standards Agency","Outside London","G6/G7","G7","185","180","53690","53110"
"In post","2023","Food Standards Agency","Outside London","SCS level","SCS level","20","20","84980","79830"
"In post","2023","Food Standards Agency","Outside London","SEO/HEO","HEO","315","310","32000","31730"
"In post","2023","Food Standards Agency","Outside London","SEO/HEO","SEO","365","360","39470","38670"
"In post","2023","Food Standards Agency","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","London","AA/AO","AO","185","180","29330","28950"
"In post","2023","Foreign, Commonwealth and Development Office","London","EO","EO","450","440","32600","32560"
"In post","2023","Foreign, Commonwealth and Development Office","London","G6/G7","G6","660","640","70100","69430"
"In post","2023","Foreign, Commonwealth and Development Office","London","G6/G7","G7","1305","1265","58180","57430"
"In post","2023","Foreign, Commonwealth and Development Office","London","SCS level","SCS level","315","310","87300","79470"
"In post","2023","Foreign, Commonwealth and Development Office","London","SEO/HEO","HEO","1145","1135","38280","38540"
"In post","2023","Foreign, Commonwealth and Development Office","London","SEO/HEO","SEO","505","500","45570","44450"
"In post","2023","Foreign, Commonwealth and Development Office","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","AA/AO","AO","295","285","25580","25700"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","EO","EO","375","355","28610","28540"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","G6/G7","G6","135","130","67680","66500"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","G6/G7","G7","340","315","55480","54660"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","SCS level","SCS level","30","30","91390","80850"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","HEO","405","390","35910","34950"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","SEO","365","355","44190","43500"
"In post","2023","Foreign, Commonwealth and Development Office","Outside London","Unknown","Unknown","65","65","24190","23800"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","AA/AO","AO","20","20","26330","23950"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","EO","EO","65","65","28430","28630"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","G6/G7","G6","350","350","66800","66440"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","G6/G7","G7","695","690","55760","55590"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","SCS level","SCS level","245","245","87200","77480"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","SEO/HEO","HEO","655","655","35040","34880"
"In post","2023","Foreign, Commonwealth and Development Office","Overseas","SEO/HEO","SEO","200","200","42690","41870"
"In post","2023","HM Land Registry","London","AA/AO","AO","45","45","26770","26760"
"In post","2023","HM Land Registry","London","EO","EO","110","100","31860","31680"
"In post","2023","HM Land Registry","London","G6/G7","G6","20","20","75620","75690"
"In post","2023","HM Land Registry","London","G6/G7","G7","30","30","65670","66240"
"In post","2023","HM Land Registry","London","SCS level","SCS level","10","10","100730","90780"
"In post","2023","HM Land Registry","London","SEO/HEO","HEO","105","95","39390","38410"
"In post","2023","HM Land Registry","London","SEO/HEO","SEO","75","75","45990","44350"
"In post","2023","HM Land Registry","Outside London","AA/AO","AA","25","25","21500","20380"
"In post","2023","HM Land Registry","Outside London","AA/AO","AO","1520","1415","23400","23390"
"In post","2023","HM Land Registry","Outside London","EO","EO","2350","2095","28270","28080"
"In post","2023","HM Land Registry","Outside London","G6/G7","G6","45","45","70470","69870"
"In post","2023","HM Land Registry","Outside London","G6/G7","G7","230","215","59190","57880"
"In post","2023","HM Land Registry","Outside London","SCS level","SCS level","15","15","81020","83000"
"In post","2023","HM Land Registry","Outside London","SEO/HEO","HEO","1355","1185","35380","34850"
"In post","2023","HM Land Registry","Outside London","SEO/HEO","SEO","775","725","42550","41680"
"In post","2023","HM Revenue and Customs","London","AA/AO","AA","10","5","[c]","[c]"
"In post","2023","HM Revenue and Customs","London","AA/AO","AO","1035","935","26750","26920"
"In post","2023","HM Revenue and Customs","London","EO","EO","2085","1965","32670","32540"
"In post","2023","HM Revenue and Customs","London","G6/G7","G6","805","760","78010","78600"
"In post","2023","HM Revenue and Customs","London","G6/G7","G7","1715","1655","64360","65230"
"In post","2023","HM Revenue and Customs","London","SCS level","SCS level","260","255","91140","84260"
"In post","2023","HM Revenue and Customs","London","SEO/HEO","HEO","2715","2610","39720","39790"
"In post","2023","HM Revenue and Customs","London","SEO/HEO","SEO","1660","1600","46490","45960"
"In post","2023","HM Revenue and Customs","Outside London","AA/AO","AA","615","460","22530","22520"
"In post","2023","HM Revenue and Customs","Outside London","AA/AO","AO","18615","16465","22540","22520"
