"Status","Year","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Communications","10","10","33660","34250"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","155","155","30760","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Finance","90","90","31290","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","260","260","30730","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Property","40","40","29690","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","100","100","30250","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Statistics","115","110","31120","30130"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","800","800","30670","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","20","15","45610","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","55","50","34350","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","10","10","36270","30330"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","10","10","36600","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","45","40","37820","31050"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","55","50","34730","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","455","435","35600","30820"
"In post","2023","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Communications","25","25","41680","38800"
"In post","2023","Charity Commission","Charity Commission","Digital, Data and Technology","60","55","36980","31360"
"In post","2023","Charity Commission","Charity Commission","Finance","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Human Resources","20","20","37160","30170"
"In post","2023","Charity Commission","Charity Commission","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Legal","25","25","58530","55820"
"In post","2023","Charity Commission","Charity Commission","Operational Delivery","325","310","33090","30170"
"In post","2023","Charity Commission","Charity Commission","Policy","15","15","42190","38800"
"In post","2023","Charity Commission","Charity Commission","Project Delivery","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Statistics","5","5","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Communications","25","25","39420","40680"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","185","170","26170","25610"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","260","250","41010","38000"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Finance","80","70","33100","29710"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","60","55","37890","34840"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Legal","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","480","435","26160","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Other","20","20","49490","40740"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Policy","35","35","44490","40680"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","25","25","43170","44460"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Property","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Commercial","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Communications","30","30","47490","42920"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","15","15","48390","44670"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","70","70","55870","55130"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Economics","110","100","64660","59230"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Human Resources","35","35","50290","45000"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","30","30","56990","55950"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Legal","140","135","72530","73510"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Policy","20","20","64950","59480"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","435","425","62110","57540"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","330","305","27620","25830"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Crown Commercial Service","Cabinet Office","Commercial","340","330","37480","39860"
"In post","2023","Crown Commercial Service","Cabinet Office","Communications","20","20","41100","40160"
"In post","2023","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","125","125","46050","41230"
"In post","2023","Crown Commercial Service","Cabinet Office","Finance","35","35","50460","47920"
"In post","2023","Crown Commercial Service","Cabinet Office","Human Resources","35","30","44390","40820"
"In post","2023","Crown Commercial Service","Cabinet Office","Operational Delivery","175","170","42260","40620"
"In post","2023","Crown Commercial Service","Cabinet Office","Policy","20","15","52020","48020"
"In post","2023","Crown Commercial Service","Cabinet Office","Project Delivery","15","15","55560","52990"
"In post","2023","Crown Commercial Service","Cabinet Office","Property","5","5","[c]","[c]"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","10","10","40570","35420"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","65","65","44710","39730"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","25","25","42120","42540"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","45","45","38100","33920"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","25","25","37890","31540"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","700","665","62400","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","1560","1465","29510","28700"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","20","20","59280","58850"
"In post","2023","Crown Office and Procurator Fiscal Service","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Commercial","35","30","40620","38940"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Communications","70","65","41980","40540"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","125","125","42550","38940"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Finance","180","170","31050","27440"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Human Resources","170","165","39780","33280"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Internal Audit","5","5","[c]","[c]"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","60","60","40470","36970"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Legal","3385","3155","55930","55290"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","3235","3020","27850","26900"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Other","15","15","42990","28850"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Policy","110","105","51250","53140"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Project Delivery","80","75","38420","38940"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Property","25","25","35060","33000"
"In post","2023","Crown Prosecution Service","Attorney General's Departments","Security","15","15","32410","32660"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Commercial","25","25","33530","34680"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Finance","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","5","5","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Medicine","15","15","30500","30060"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","70","70","31000","28710"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Other","25","25","27050","27130"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","15","15","36670","34680"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Property","15","15","30970","27250"
"In post","2023","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","245","235","28240","30060"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Commercial","925","880","41990","42620"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Communications","35","30","42330","38890"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","435","425","38790","34810"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Finance","445","430","40600","32920"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Human Resources","205","195","40000","38790"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Operational Delivery","2535","2450","33770","31920"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Other","1210","1130","37220","32500"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Project Delivery","2145","2065","42680","40270"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Science and Engineering","2715","2650","41790","42620"
"In post","2023","Defence Equipment and Support","Ministry of Defence","Security","70","70","38480","38790"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","80","75","32460","30650"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Communications","35","35","38320","35500"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Finance","55","50","42540","45690"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","120","115","37650","38070"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","15","15","37590","30650"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","55","50","41320","39890"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Legal","10","10","51660","49260"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","415","400","41810","39890"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","310","300","42490","39890"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Other","510","495","48260","49260"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","460","435","40320","39890"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","30","25","47210","49260"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","2775","2680","42540","39890"
"In post","2023","Defence Science and Technology Laboratory","Ministry of Defence","Security","90","90","40880","39890"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","115","110","49420","46110"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","120","120","48720","43560"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","250","245","47130","40670"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","155","150","53800","55120"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","145","140","49540","50680"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","25","25","41370","36430"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","550","540","48630","43630"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","10","10","50350","45610"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","4730","4630","50720","53490"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","110","105","50610","51560"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","15","15","51270","46960"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","15","15","41750","37740"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","40","40","51660","54710"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Commercial","20","20","54640","54980"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Communications","50","50","54870","58180"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","25","25","59590","54500"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Economics","70","70","52420","56760"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Finance","80","80","54990","54200"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Human Resources","65","65","45010","37120"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","International Trade","10","10","52490","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Operational Research","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Other","65","65","32380","28030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Policy","1130","1110","49110","52760"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Project Delivery","115","115","51270","53030"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Security","10","10","47640","45580"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Social Research","25","25","49480","56760"
"In post","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Statistics","15","15","46390","39960"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Commercial","230","225","42310","39090"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Communications","265","255","41180","37870"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","880","860","43830","38490"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Economics","90","85","49690","46600"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Finance","415","400","44600","41720"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Human Resources","165","155","38840","33700"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Knowledge and Information Management","25","25","37290","33910"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Legal","60","55","56880","62540"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Operational Delivery","1315","1270","43880","37880"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Operational Research","100","95","47620","46600"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Policy","2200","2100","47370","42170"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Project Delivery","950","925","49420","51360"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Property","20","20","56330","55380"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Security","15","15","50390","51360"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Social Research","140","130","47020","45610"
"In post","2023","Department for Education (excl. agencies)","Department for Education","Statistics","280","270","45160","43250"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","150","145","36560","37300"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","220","210","42080","37980"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","865","845","44780","49400"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Economics","60","60","46890","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","430","415","43550","38140"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Human Resources","300","285","44600","41000"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","55","55","35750","30990"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Operational Delivery","100","100","47640","46480"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Other","45","45","33810","29880"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","3680","3560","44220","40260"
"In post","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","425","405","40470","37300"
"In post","2023","Department for International Trade","Department for International Trade","Commercial","40","35","39250","37090"
"In post","2023","Department for International Trade","Department for International Trade","Communications","120","115","48240","42530"
"In post","2023","Department for International Trade","Department for International Trade","Digital, Data and Technology","200","200","52050","52200"
"In post","2023","Department for International Trade","Department for International Trade","Economics","170","165","48560","51020"
"In post","2023","Department for International Trade","Department for International Trade","Finance","85","85","51300","55370"
"In post","2023","Department for International Trade","Department for International Trade","Human Resources","135","135","44220","38850"
"In post","2023","Department for International Trade","Department for International Trade","International Trade","1960","1930","49080","44040"
"In post","2023","Department for International Trade","Department for International Trade","Knowledge and Information Management","25","25","40680","36360"
"In post","2023","Department for International Trade","Department for International Trade","Operational Delivery","160","160","43440","35790"
"In post","2023","Department for International Trade","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Department for International Trade","Other","140","140","47680","41550"
"In post","2023","Department for International Trade","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
