"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Counter Fraud","Outside London","Male","90","85","30320","28130"
"In post","2023","Black","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","London","Female","70","60","30160","26920"
"In post","2023","Black","Debt","London","Male","35","35","29790","26920"
"In post","2023","Black","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","Outside London","Female","110","100","23180","22520"
"In post","2023","Black","Debt","Outside London","Male","65","60","23290","22520"
"In post","2023","Black","Debt","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","London","Female","225","220","43380","40540"
"In post","2023","Black","Digital, Data & Technology","London","Male","240","240","45720","43210"
"In post","2023","Black","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Outside London","Female","170","170","37720","36990"
"In post","2023","Black","Digital, Data & Technology","Outside London","Male","250","245","38720","37300"
"In post","2023","Black","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","London","Female","190","190","42560","39210"
"In post","2023","Black","Finance","London","Male","115","115","46350","43760"
"In post","2023","Black","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Outside London","Female","90","90","36590","34300"
"In post","2023","Black","Finance","Outside London","Male","75","75","36040","34640"
"In post","2023","Black","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Black","Grants Management","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Black","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","London","Female","235","230","41320","37860"
"In post","2023","Black","Human Resources","London","Male","55","55","37200","34350"
"In post","2023","Black","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
