"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","North East (England)","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","North East (England)","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","North East (England)","EO","Female","15","15","[c]","[c]"
"In post","2023","Analysis","North East (England)","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","North East (England)","G6/G7","Female","45","40","55880","53190"
"In post","2023","Analysis","North East (England)","G6/G7","Male","50","50","56890","53190"
"In post","2023","Analysis","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","SEO/HEO","Female","100","95","36140","37110"
"In post","2023","Analysis","North East (England)","SEO/HEO","Male","105","105","36010","34400"
"In post","2023","Analysis","North West (England)","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","North West (England)","EO","Female","20","15","[c]","[c]"
"In post","2023","Analysis","North West (England)","EO","Male","45","45","26940","26940"
"In post","2023","Analysis","North West (England)","G6/G7","Female","75","70","57980","57450"
"In post","2023","Analysis","North West (England)","G6/G7","Male","85","85","58820","57970"
"In post","2023","Analysis","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","SEO/HEO","Female","185","175","37340","36560"
"In post","2023","Analysis","North West (England)","SEO/HEO","Male","225","225","37190","35000"
"In post","2023","Analysis","North West (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Scotland","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Scotland","G6/G7","Female","25","20","[c]","[c]"
"In post","2023","Analysis","Scotland","G6/G7","Male","30","30","61850","63470"
"In post","2023","Analysis","Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","SEO/HEO","Female","45","45","35890","34170"
"In post","2023","Analysis","Scotland","SEO/HEO","Male","50","50","36870","34900"
"In post","2023","Analysis","South East (England)","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","EO","Female","30","25","26540","25100"
"In post","2023","Analysis","South East (England)","EO","Male","35","35","26750","25660"
"In post","2023","Analysis","South East (England)","G6/G7","Female","145","135","54290","51460"
"In post","2023","Analysis","South East (England)","G6/G7","Male","280","270","54540","51460"
"In post","2023","Analysis","South East (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","South East (England)","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Analysis","South East (England)","SEO/HEO","Female","305","290","35520","35600"
"In post","2023","Analysis","South East (England)","SEO/HEO","Male","350","345","35810","36990"
"In post","2023","Analysis","South East (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","South West (England)","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Analysis","South West (England)","EO","Female","55","50","26800","25970"
"In post","2023","Analysis","South West (England)","EO","Male","70","65","26670","26310"
"In post","2023","Analysis","South West (England)","G6/G7","Female","100","95","55840","56060"
"In post","2023","Analysis","South West (England)","G6/G7","Male","235","230","55850","51180"
"In post","2023","Analysis","South West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West (England)","SEO/HEO","Female","230","215","35560","34530"
"In post","2023","Analysis","South West (England)","SEO/HEO","Male","280","275","36160","37310"
"In post","2023","Analysis","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","AA/AO","Female","25","20","[c]","[c]"
"In post","2023","Analysis","Wales","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Wales","EO","Female","65","60","25650","25070"
"In post","2023","Analysis","Wales","EO","Male","45","40","25650","24840"
"In post","2023","Analysis","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","G6/G7","Female","140","135","53560","51460"
"In post","2023","Analysis","Wales","G6/G7","Male","125","120","56120","52490"
"In post","2023","Analysis","Wales","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Wales","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Wales","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Wales","SEO/HEO","Female","405","385","35680","37690"
"In post","2023","Analysis","Wales","SEO/HEO","Male","325","320","35380","35290"
"In post","2023","Analysis","Wales","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","EO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","EO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","G6/G7","Male","30","30","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","West Midlands (England)","SEO/HEO","Female","60","55","36410","34240"
"In post","2023","Analysis","West Midlands (England)","SEO/HEO","Male","55","55","38460","37680"
"In post","2023","Analysis","Yorkshire and The Humber","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","EO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","EO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","G6/G7","Female","105","95","56730","53190"
"In post","2023","Analysis","Yorkshire and The Humber","G6/G7","Male","125","120","57360","53800"
"In post","2023","Analysis","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Yorkshire and The Humber","SEO/HEO","Female","185","170","37880","38210"
"In post","2023","Analysis","Yorkshire and The Humber","SEO/HEO","Male","180","175","36990","37680"
"In post","2023","Commercial","East Midlands (England)","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","Female","40","40","38200","39060"
"In post","2023","Commercial","East Midlands (England)","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Commercial","East of England","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","G6/G7","Female","45","40","59640","57360"
"In post","2023","Commercial","East of England","G6/G7","Male","30","25","[c]","[c]"
"In post","2023","Commercial","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","SEO/HEO","Female","80","75","38320","39720"
"In post","2023","Commercial","East of England","SEO/HEO","Male","60","60","37790","39860"
"In post","2023","Commercial","London","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Commercial","London","EO","Female","60","60","30120","29890"
"In post","2023","Commercial","London","EO","Male","55","55","30550","30740"
"In post","2023","Commercial","London","G6/G7","Female","380","370","65110","65500"
"In post","2023","Commercial","London","G6/G7","Male","475","470","66390","65500"
"In post","2023","Commercial","London","SCS level","Female","60","55","112970","103430"
"In post","2023","Commercial","London","SCS level","Male","105","100","126370","123010"
"In post","2023","Commercial","London","SEO/HEO","Female","350","345","39360","39980"
"In post","2023","Commercial","London","SEO/HEO","Male","290","285","40650","41740"
"In post","2023","Commercial","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Commercial","North East (England)","G6/G7","Male","30","30","[c]","[c]"
"In post","2023","Commercial","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","SEO/HEO","Female","40","40","36200","37590"
"In post","2023","Commercial","North East (England)","SEO/HEO","Male","30","30","36650","37590"
"In post","2023","Commercial","North West (England)","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","EO","Female","50","50","27160","27140"
"In post","2023","Commercial","North West (England)","EO","Male","25","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","G6/G7","Female","135","135","62570","65500"
"In post","2023","Commercial","North West (England)","G6/G7","Male","120","120","65800","65500"
"In post","2023","Commercial","North West (England)","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Commercial","North West (England)","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","SEO/HEO","Female","205","200","36580","37700"
"In post","2023","Commercial","North West (England)","SEO/HEO","Male","185","185","37590","38050"
"In post","2023","Commercial","North West (England)","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Commercial","North West (England)","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","EO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Scotland","AA/AO","Male","30","30","25690","24710"
"In post","2023","Commercial","Scotland","EO","Female","35","35","28980","27140"
"In post","2023","Commercial","Scotland","EO","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Scotland","G6/G7","Female","40","40","62570","58620"
"In post","2023","Commercial","Scotland","G6/G7","Male","50","50","65170","65500"
"In post","2023","Commercial","Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","SEO/HEO","Female","90","90","38200","38050"
"In post","2023","Commercial","Scotland","SEO/HEO","Male","75","75","39610","39590"
"In post","2023","Commercial","Scotland","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","AA/AO","Female","15","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South East (England)","EO","Female","70","65","27790","27470"
"In post","2023","Commercial","South East (England)","EO","Male","45","45","27150","27140"
"In post","2023","Commercial","South East (England)","G6/G7","Female","50","50","60610","58280"
"In post","2023","Commercial","South East (England)","G6/G7","Male","70","70","66860","66270"
"In post","2023","Commercial","South East (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Commercial","South East (England)","SEO/HEO","Female","190","185","38380","39600"
"In post","2023","Commercial","South East (England)","SEO/HEO","Male","110","110","38890","39890"
"In post","2023","Commercial","South West (England)","AA/AO","Female","85","80","23460","22320"
"In post","2023","Commercial","South West (England)","AA/AO","Male","55","55","23640","22220"
"In post","2023","Commercial","South West (England)","EO","Female","85","75","27080","27080"
"In post","2023","Commercial","South West (England)","EO","Male","55","55","26220","27000"
"In post","2023","Commercial","South West (England)","G6/G7","Female","220","205","57450","55500"
"In post","2023","Commercial","South West (England)","G6/G7","Male","260","255","59850","56000"
"In post","2023","Commercial","South West (England)","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Commercial","South West (England)","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Commercial","South West (England)","SEO/HEO","Female","520","480","37700","37180"
"In post","2023","Commercial","South West (England)","SEO/HEO","Male","385","380","38150","37420"
"In post","2023","Commercial","South West (England)","Unknown","Female","60","60","40310","42620"
"In post","2023","Commercial","South West (England)","Unknown","Male","75","75","46700","43400"
"In post","2023","Commercial","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","Commercial","Wales","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Wales","EO","Female","40","35","27050","27250"
"In post","2023","Commercial","Wales","EO","Male","35","35","27490","27190"
"In post","2023","Commercial","Wales","G6/G7","Female","30","30","56370","53740"
"In post","2023","Commercial","Wales","G6/G7","Male","35","35","60260","59240"
"In post","2023","Commercial","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","SEO/HEO","Female","120","110","36500","34680"
"In post","2023","Commercial","Wales","SEO/HEO","Male","95","95","36860","37300"
"In post","2023","Commercial","West Midlands (England)","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","EO","Female","30","30","27130","27010"
"In post","2023","Commercial","West Midlands (England)","EO","Male","30","30","26530","26350"
"In post","2023","Commercial","West Midlands (England)","G6/G7","Female","55","55","63840","65500"
"In post","2023","Commercial","West Midlands (England)","G6/G7","Male","55","55","66380","65500"
"In post","2023","Commercial","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","SEO/HEO","Female","90","90","37470","37420"
"In post","2023","Commercial","West Midlands (England)","SEO/HEO","Male","70","70","36870","36550"
"In post","2023","Commercial","Yorkshire and The Humber","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","EO","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","EO","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","G6/G7","Female","120","115","62040","62440"
"In post","2023","Commercial","Yorkshire and The Humber","G6/G7","Male","105","105","63430","65500"
"In post","2023","Commercial","Yorkshire and The Humber","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","SCS level","Male","10","5","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","SEO/HEO","Female","145","140","36570","37680"
"In post","2023","Commercial","Yorkshire and The Humber","SEO/HEO","Male","105","105","36770","37640"
"In post","2023","Communications","East Midlands (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","EO","Female","10","10","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","G6/G7","Female","20","15","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","SEO/HEO","Female","45","45","36800","35000"
"In post","2023","Communications","East Midlands (England)","SEO/HEO","Male","30","30","39470","40570"
"In post","2023","Communications","East Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","EO","Female","10","10","[c]","[c]"
"In post","2023","Communications","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","G6/G7","Female","10","5","[c]","[c]"
"In post","2023","Communications","East of England","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Communications","East of England","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Communications","East of England","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Communications","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Communications","London","EO","Female","130","125","30410","30060"
"In post","2023","Communications","London","EO","Male","70","70","30460","30210"
"In post","2023","Communications","London","G6/G7","Female","455","435","61130","59510"
"In post","2023","Communications","London","G6/G7","Male","270","270","61800","59290"
"In post","2023","Communications","London","SCS level","Female","55","55","90550","84770"
"In post","2023","Communications","London","SCS level","Male","60","60","96370","89000"
"In post","2023","Communications","London","SEO/HEO","Female","655","640","40950","41410"
"In post","2023","Communications","London","SEO/HEO","Male","460","455","41230","41480"
"In post","2023","Communications","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Communications","North East (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","EO","Female","15","10","[c]","[c]"
"In post","2023","Communications","North East (England)","EO","Male","5","5","[c]","[c]"
"In post","2023","Communications","North East (England)","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Communications","North East (England)","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","SEO/HEO","Female","50","50","37100","37300"
"In post","2023","Communications","North East (England)","SEO/HEO","Male","35","35","36670","35000"
"In post","2023","Communications","North East (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Communications","North West (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Communications","North West (England)","EO","Female","30","25","[c]","[c]"
"In post","2023","Communications","North West (England)","EO","Male","15","15","[c]","[c]"
"In post","2023","Communications","North West (England)","G6/G7","Female","35","35","58430","57110"
"In post","2023","Communications","North West (England)","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Communications","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","SEO/HEO","Female","110","105","36080","34510"
"In post","2023","Communications","North West (England)","SEO/HEO","Male","50","50","37520","36510"
"In post","2023","Communications","North West (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North West (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Northern Ireland","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Communications","Northern Ireland","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Scotland","AA/AO","Male","[c]","[c]","[c]","[c]"
