"Status","Year","Ethnicity","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Animal and Plant Health Agency","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South East (England)","Surrey, East and West Sussex","45","45","32270","29200"
"In post","2023","Asian","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","Inner London - West","20","20","[c]","[c]"
"In post","2023","Asian","Building Digital UK","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Inner London - East","145","140","52670","56430"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Inner London - West","195","195","44580","41870"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","10","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","North Yorkshire","15","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","Inner London - East","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","Inner London - West","125","125","30670","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Inner London - West","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Wales","East Wales","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Inner London - East","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","Inner London - East","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scotland","Eastern Scotland","25","20","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scotland","Southern Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scotland","West Central Scotland","25","25","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East Midlands (England)","Derbyshire and Nottinghamshire","20","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","60","55","36120","28850"
"In post","2023","Asian","Crown Prosecution Service","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East of England","Bedfordshire and Hertfordshire","30","30","46390","54100"
"In post","2023","Asian","Crown Prosecution Service","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","East of England","Essex","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Inner London - East","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Inner London - West","365","340","41810","33780"
"In post","2023","Asian","Crown Prosecution Service","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North West (England)","Greater Manchester","35","35","39310","38760"
"In post","2023","Asian","Crown Prosecution Service","North West (England)","Lancashire","25","25","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South East (England)","Kent","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Wales","East Wales","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","West Midlands (England)","West Midlands","130","120","36230","28850"
"In post","2023","Asian","Crown Prosecution Service","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Yorkshire and The Humber","South Yorkshire","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Yorkshire and The Humber","West Yorkshire","45","40","43350","49050"
"In post","2023","Asian","Defence Electronics and Components Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
