"Status","Year","Age","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","60-64","Unknown","1990","1760","34280","29590"
"In post","2023","65+","AA/AO","5800","4470","23270","22400"
"In post","2023","65+","EO","3630","2680","29440","28120"
"In post","2023","65+","G6/G7","1060","840","64200","62130"
"In post","2023","65+","SCS level","115","95","113990","107670"
"In post","2023","65+","SEO/HEO","2560","2025","40280","39000"
"In post","2023","65+","Unknown","700","545","32810","29050"
"In post","2023","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","10","10","28500","28120"
"In post","2023","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","15","15","36330","34390"
"In post","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","150","[c]","21690","21780"
"Leaver CS","2023","16-19","EO","10","[c]","21140","18370"
"Leaver CS","2023","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","15","[c]","17790","16960"
"Leaver CS","2023","20-29","AA/AO","5545","[c]","22380","21780"
"Leaver CS","2023","20-29","EO","2540","[c]","27960","27760"
"Leaver CS","2023","20-29","G6/G7","385","[c]","55340","54630"
"Leaver CS","2023","20-29","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SEO/HEO","2330","[c]","35600","34310"
"Leaver CS","2023","20-29","Unknown","640","[c]","27710","28850"
"Leaver CS","2023","30-39","AA/AO","2950","[c]","22800","21780"
"Leaver CS","2023","30-39","EO","1855","[c]","28590","28120"
"Leaver CS","2023","30-39","G6/G7","1445","[c]","58240","55740"
"Leaver CS","2023","30-39","SCS level","85","[c]","81300","78110"
"Leaver CS","2023","30-39","SEO/HEO","2360","[c]","38050","38160"
"Leaver CS","2023","30-39","Unknown","500","[c]","38550","37650"
"Leaver CS","2023","40-49","AA/AO","1940","[c]","22710","21690"
"Leaver CS","2023","40-49","EO","1380","[c]","28530","27950"
"Leaver CS","2023","40-49","G6/G7","1205","[c]","61640","59740"
"Leaver CS","2023","40-49","SCS level","225","[c]","94620","89470"
"Leaver CS","2023","40-49","SEO/HEO","1425","[c]","38890","38680"
"Leaver CS","2023","40-49","Unknown","335","[c]","41110","36720"
"Leaver CS","2023","50-59","AA/AO","2670","[c]","22740","21690"
"Leaver CS","2023","50-59","EO","2035","[c]","28690","28120"
"Leaver CS","2023","50-59","G6/G7","1080","[c]","62310","60560"
"Leaver CS","2023","50-59","SCS level","235","[c]","105570","97090"
"Leaver CS","2023","50-59","SEO/HEO","1770","[c]","39750","39200"
"Leaver CS","2023","50-59","Unknown","375","[c]","45970","42760"
"Leaver CS","2023","60-64","AA/AO","1885","[c]","22630","21690"
"Leaver CS","2023","60-64","EO","1365","[c]","29000","28120"
"Leaver CS","2023","60-64","G6/G7","760","[c]","63670","61720"
"Leaver CS","2023","60-64","SCS level","135","[c]","106260","99200"
"Leaver CS","2023","60-64","SEO/HEO","1390","[c]","39810","38640"
"Leaver CS","2023","60-64","Unknown","275","[c]","50370","39980"
"Leaver CS","2023","65+","AA/AO","2105","[c]","22420","21690"
"Leaver CS","2023","65+","EO","1160","[c]","28820","28120"
"Leaver CS","2023","65+","G6/G7","300","[c]","63610","61430"
"Leaver CS","2023","65+","SCS level","40","[c]","110920","106000"
"Leaver CS","2023","65+","SEO/HEO","780","[c]","39500","38330"
"Leaver CS","2023","65+","Unknown","240","[c]","40970","35030"
"Leaver CS","2023","Unknown","AA/AO","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","90","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","AA/AO","1010","[c]","22440","21780"
"Leaver Dept.","2023","20-29","EO","1330","[c]","28180","28120"
"Leaver Dept.","2023","20-29","G6/G7","340","[c]","55370","54700"
"Leaver Dept.","2023","20-29","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","SEO/HEO","2455","[c]","35180","34250"
"Leaver Dept.","2023","20-29","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","AA/AO","695","[c]","22300","21780"
"Leaver Dept.","2023","30-39","EO","990","[c]","28100","28120"
"Leaver Dept.","2023","30-39","G6/G7","1130","[c]","57640","56040"
"Leaver Dept.","2023","30-39","SCS level","85","[c]","76930","74630"
"Leaver Dept.","2023","30-39","SEO/HEO","1835","[c]","37290","37060"
"Leaver Dept.","2023","30-39","Unknown","65","[c]","41790","41630"
"Leaver Dept.","2023","40-49","AA/AO","495","[c]","22210","21690"
"Leaver Dept.","2023","40-49","EO","670","[c]","28130","28120"
"Leaver Dept.","2023","40-49","G6/G7","680","[c]","59820","58740"
"Leaver Dept.","2023","40-49","SCS level","170","[c]","88480","79920"
"Leaver Dept.","2023","40-49","SEO/HEO","990","[c]","37870","37860"
"Leaver Dept.","2023","40-49","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","AA/AO","410","[c]","22120","21690"
"Leaver Dept.","2023","50-59","EO","490","[c]","28050","28120"
"Leaver Dept.","2023","50-59","G6/G7","390","[c]","59810","58530"
"Leaver Dept.","2023","50-59","SCS level","120","[c]","98610","93000"
"Leaver Dept.","2023","50-59","SEO/HEO","555","[c]","37590","37560"
"Leaver Dept.","2023","50-59","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","AA/AO","75","[c]","22330","21690"
"Leaver Dept.","2023","60-64","EO","65","[c]","28030","27730"
"Leaver Dept.","2023","60-64","G6/G7","35","[c]","57380","55310"
"Leaver Dept.","2023","60-64","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","SEO/HEO","60","[c]","37680","37540"
"Leaver Dept.","2023","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","AA/AO","15","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","G6/G7","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SEO/HEO","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","AA/AO","985","[c]","23110","22500"
"New entrant CS","2023","16-19","EO","125","[c]","26270","25750"
"New entrant CS","2023","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Unknown","70","[c]","18880","19090"
"New entrant CS","2023","20-29","AA/AO","11360","[c]","24000","22520"
"New entrant CS","2023","20-29","EO","4625","[c]","27480","27650"
"New entrant CS","2023","20-29","G6/G7","330","[c]","54950","54330"
"New entrant CS","2023","20-29","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","SEO/HEO","4520","[c]","34370","33880"
"New entrant CS","2023","20-29","Unknown","2170","[c]","22860","23640"
"New entrant CS","2023","30-39","AA/AO","5775","[c]","24370","22520"
"New entrant CS","2023","30-39","EO","2635","[c]","27750","27610"
"New entrant CS","2023","30-39","G6/G7","1255","[c]","57630","54690"
"New entrant CS","2023","30-39","SCS level","45","[c]","88260","85000"
"New entrant CS","2023","30-39","SEO/HEO","3230","[c]","37380","37300"
"New entrant CS","2023","30-39","Unknown","950","[c]","24060","23640"
"New entrant CS","2023","40-49","AA/AO","3620","[c]","24090","22520"
"New entrant CS","2023","40-49","EO","1610","[c]","27680","27090"
"New entrant CS","2023","40-49","G6/G7","1130","[c]","59730","56360"
"New entrant CS","2023","40-49","SCS level","125","[c]","98710","90000"
"New entrant CS","2023","40-49","SEO/HEO","2135","[c]","38330","37830"
"New entrant CS","2023","40-49","Unknown","650","[c]","25020","23640"
"New entrant CS","2023","50-59","AA/AO","3195","[c]","23350","22400"
"New entrant CS","2023","50-59","EO","1450","[c]","28410","27530"
"New entrant CS","2023","50-59","G6/G7","725","[c]","60320","57610"
"New entrant CS","2023","50-59","SCS level","110","[c]","109780","105000"
"New entrant CS","2023","50-59","SEO/HEO","1340","[c]","38790","38190"
"New entrant CS","2023","50-59","Unknown","520","[c]","25700","23640"
"New entrant CS","2023","60-64","AA/AO","775","[c]","22840","22400"
"New entrant CS","2023","60-64","EO","270","[c]","28980","28120"
"New entrant CS","2023","60-64","G6/G7","120","[c]","58970","56340"
"New entrant CS","2023","60-64","SCS level","15","[c]","106010","119130"
"New entrant CS","2023","60-64","SEO/HEO","240","[c]","38500","37580"
"New entrant CS","2023","60-64","Unknown","110","[c]","25250","23640"
"New entrant CS","2023","65+","AA/AO","225","[c]","22620","22400"
"New entrant CS","2023","65+","EO","55","[c]","28700","27830"
"New entrant CS","2023","65+","G6/G7","30","[c]","59960","59290"
"New entrant CS","2023","65+","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2023","65+","SEO/HEO","75","[c]","40130","40980"
"New entrant CS","2023","65+","Unknown","20","[c]","26370","23640"
"New entrant CS","2023","Unknown","AA/AO","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","EO","75","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","G6/G7","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","SEO/HEO","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
