"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Internal Audit","North West (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","South East (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","South West (England)","15","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Yorkshire and The Humber","10","5","[c]","[c]"
"In post","2023","Declared disabled","Legal","East Midlands (England)","90","80","37920","31740"
"In post","2023","Declared disabled","Legal","East of England","65","55","42140","38760"
"In post","2023","Declared disabled","Legal","London","480","450","51530","53670"
"In post","2023","Declared disabled","Legal","North East (England)","55","45","37280","29730"
"In post","2023","Declared disabled","Legal","North West (England)","185","165","40080","34700"
"In post","2023","Declared disabled","Legal","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Scotland","60","55","58490","55990"
"In post","2023","Declared disabled","Legal","South East (England)","120","110","42900","40340"
"In post","2023","Declared disabled","Legal","South West (England)","70","65","42800","37680"
"In post","2023","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Wales","50","45","42140","40720"
"In post","2023","Declared disabled","Legal","West Midlands (England)","85","80","43070","49050"
"In post","2023","Declared disabled","Legal","Yorkshire and The Humber","120","115","39870","33810"
"In post","2023","Declared disabled","No function","East Midlands (England)","2620","2380","29420","28120"
"In post","2023","Declared disabled","No function","East of England","2300","2085","30280","28120"
"In post","2023","Declared disabled","No function","London","6635","6280","40480","35230"
"In post","2023","Declared disabled","No function","North East (England)","3130","2740","27730","26650"
"In post","2023","Declared disabled","No function","North West (England)","6420","5760","28780","28120"
"In post","2023","Declared disabled","No function","Northern Ireland","260","240","30480","27890"
"In post","2023","Declared disabled","No function","Overseas","145","145","49450","44740"
"In post","2023","Declared disabled","No function","Scotland","2850","2555","29060","28120"
"In post","2023","Declared disabled","No function","South East (England)","3690","3345","30370","28120"
"In post","2023","Declared disabled","No function","South West (England)","3210","2925","31670","28120"
"In post","2023","Declared disabled","No function","Unknown","75","70","30690","28120"
"In post","2023","Declared disabled","No function","Wales","2970","2655","28010","27390"
"In post","2023","Declared disabled","No function","West Midlands (England)","3350","3025","30030","28120"
"In post","2023","Declared disabled","No function","Yorkshire and The Humber","3360","3030","30460","28120"
"In post","2023","Declared disabled","Project Delivery","East Midlands (England)","55","55","41480","35690"
"In post","2023","Declared disabled","Project Delivery","East of England","55","55","39610","37850"
"In post","2023","Declared disabled","Project Delivery","London","510","495","50450","45560"
"In post","2023","Declared disabled","Project Delivery","North East (England)","155","145","41610","38850"
"In post","2023","Declared disabled","Project Delivery","North West (England)","300","280","41410","38470"
"In post","2023","Declared disabled","Project Delivery","Northern Ireland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Scotland","85","80","40790","35000"
"In post","2023","Declared disabled","Project Delivery","South East (England)","200","195","41380","40270"
"In post","2023","Declared disabled","Project Delivery","South West (England)","665","640","41300","39890"
"In post","2023","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Wales","70","65","42870","37760"
"In post","2023","Declared disabled","Project Delivery","West Midlands (England)","115","110","39740","37590"
"In post","2023","Declared disabled","Project Delivery","Yorkshire and The Humber","140","130","42330","37880"
"In post","2023","Declared disabled","Property","East Midlands (England)","50","50","38270","34440"
"In post","2023","Declared disabled","Property","East of England","50","45","35320","34300"
"In post","2023","Declared disabled","Property","London","130","125","48220","41910"
"In post","2023","Declared disabled","Property","North East (England)","60","55","32930","27380"
"In post","2023","Declared disabled","Property","North West (England)","75","70","36290","33960"
"In post","2023","Declared disabled","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Scotland","35","35","34040","32930"
"In post","2023","Declared disabled","Property","South East (England)","90","85","38350","34370"
"In post","2023","Declared disabled","Property","South West (England)","100","95","34140","32260"
"In post","2023","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Wales","40","40","32740","31800"
"In post","2023","Declared disabled","Property","West Midlands (England)","65","65","37780","34300"
"In post","2023","Declared disabled","Property","Yorkshire and The Humber","85","80","38360","34850"
"In post","2023","Declared disabled","Security","East Midlands (England)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Security","East of England","50","50","37670","35010"
"In post","2023","Declared disabled","Security","London","160","155","44940","40580"
"In post","2023","Declared disabled","Security","North East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","North West (England)","35","30","34660","29140"
"In post","2023","Declared disabled","Security","Northern Ireland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","Scotland","95","90","32690","30200"
"In post","2023","Declared disabled","Security","South East (England)","165","160","33280","31060"
"In post","2023","Declared disabled","Security","South West (England)","140","135","32530","29890"
"In post","2023","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Wales","20","20","[c]","[c]"
"In post","2023","Declared disabled","Security","West Midlands (England)","40","40","35310","35000"
"In post","2023","Declared disabled","Security","Yorkshire and The Humber","95","90","31500","28120"
"In post","2023","Declared disabled","Unknown","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","East of England","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","270","265","40990","32960"
"In post","2023","Declared disabled","Unknown","North East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","North West (England)","30","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Scotland","1495","1420","39900","34730"
"In post","2023","Declared disabled","Unknown","South East (England)","120","110","43230","40980"
"In post","2023","Declared disabled","Unknown","South West (England)","300","290","40850","39890"
"In post","2023","Declared disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Wales","370","350","41050","39690"
"In post","2023","Declared disabled","Unknown","West Midlands (England)","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Yorkshire and The Humber","60","60","38950","34170"
