"Status","Year","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Communications","25","25","41680","38800"
"In post","2023","Charity Commission","Digital, Data and Technology","60","55","36980","31360"
"In post","2023","Charity Commission","Finance","10","10","[c]","[c]"
"In post","2023","Charity Commission","Human Resources","20","20","37160","30170"
"In post","2023","Charity Commission","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Legal","25","25","58530","55820"
"In post","2023","Charity Commission","Operational Delivery","325","310","33090","30170"
"In post","2023","Charity Commission","Policy","15","15","42190","38800"
"In post","2023","Charity Commission","Project Delivery","5","5","[c]","[c]"
"In post","2023","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Statistics","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Commercial","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Communications","30","30","47490","42920"
"In post","2023","Competition and Markets Authority","Corporate Finance","15","15","48390","44670"
"In post","2023","Competition and Markets Authority","Digital, Data and Technology","70","70","55870","55130"
"In post","2023","Competition and Markets Authority","Economics","110","100","64660","59230"
"In post","2023","Competition and Markets Authority","Human Resources","35","35","50290","45000"
"In post","2023","Competition and Markets Authority","Intelligence Analysis","30","30","56990","55950"
"In post","2023","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Legal","140","135","72530","73510"
"In post","2023","Competition and Markets Authority","Policy","20","20","64950","59480"
"In post","2023","Competition and Markets Authority","Project Delivery","435","425","62110","57540"
"In post","2023","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Commercial","70","70","44290","44320"
"In post","2023","Department for Business, Energy and Industrial Strategy","Communications","255","245","44150","41070"
"In post","2023","Department for Business, Energy and Industrial Strategy","Corporate Finance","10","10","42470","36690"
"In post","2023","Department for Business, Energy and Industrial Strategy","Counter Fraud","425","400","34300","34870"
"In post","2023","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","1085","1060","43550","41070"
"In post","2023","Department for Business, Energy and Industrial Strategy","Economics","270","265","48110","42160"
"In post","2023","Department for Business, Energy and Industrial Strategy","Finance","350","335","45160","42610"
"In post","2023","Department for Business, Energy and Industrial Strategy","Human Resources","415","395","43020","40680"
"In post","2023","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","50","45","37650","39670"
"In post","2023","Department for Business, Energy and Industrial Strategy","Internal Audit","10","10","41050","40440"
"In post","2023","Department for Business, Energy and Industrial Strategy","International Trade","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","60","60","40170","36930"
"In post","2023","Department for Business, Energy and Industrial Strategy","Legal","140","130","51100","47890"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Delivery","4105","3845","33380","30030"
"In post","2023","Department for Business, Energy and Industrial Strategy","Operational Research","20","20","48660","48150"
"In post","2023","Department for Business, Energy and Industrial Strategy","Other","335","320","36880","37420"
"In post","2023","Department for Business, Energy and Industrial Strategy","Policy","5065","4955","50860","53310"
"In post","2023","Department for Business, Energy and Industrial Strategy","Project Delivery","430","420","46130","45150"
"In post","2023","Department for Business, Energy and Industrial Strategy","Property","30","30","35710","33240"
"In post","2023","Department for Business, Energy and Industrial Strategy","Science and Engineering","1150","1080","44180","42760"
"In post","2023","Department for Business, Energy and Industrial Strategy","Security","65","65","44160","43650"
"In post","2023","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","Statistics","65","60","47630","46260"
"In post","2023","Department for Digital, Culture, Media and Sport","Commercial","20","20","54640","54980"
"In post","2023","Department for Digital, Culture, Media and Sport","Communications","50","50","54870","58180"
"In post","2023","Department for Digital, Culture, Media and Sport","Counter Fraud","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","30","30","58750","54250"
"In post","2023","Department for Digital, Culture, Media and Sport","Economics","70","70","52420","56760"
"In post","2023","Department for Digital, Culture, Media and Sport","Finance","100","95","54130","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Human Resources","75","75","44980","37120"
"In post","2023","Department for Digital, Culture, Media and Sport","International Trade","10","10","52490","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Operational Research","25","25","45020","39040"
"In post","2023","Department for Digital, Culture, Media and Sport","Other","115","115","36020","31880"
"In post","2023","Department for Digital, Culture, Media and Sport","Policy","1130","1110","49110","52760"
"In post","2023","Department for Digital, Culture, Media and Sport","Project Delivery","235","230","49870","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","Security","10","10","47640","45580"
"In post","2023","Department for Digital, Culture, Media and Sport","Social Research","25","25","49480","56760"
"In post","2023","Department for Digital, Culture, Media and Sport","Statistics","15","15","46390","39960"
"In post","2023","Department for Education","Commercial","255","250","43110","39090"
"In post","2023","Department for Education","Communications","290","275","41670","37870"
"In post","2023","Department for Education","Counter Fraud","20","20","43440","38210"
"In post","2023","Department for Education","Digital, Data and Technology","1020","995","43820","38540"
"In post","2023","Department for Education","Economics","90","85","49690","46600"
"In post","2023","Department for Education","Finance","580","560","44740","41510"
"In post","2023","Department for Education","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Human Resources","185","175","39390","36000"
"In post","2023","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Department for Education","Knowledge and Information Management","25","25","37290","33910"
"In post","2023","Department for Education","Legal","70","65","55040","59320"
"In post","2023","Department for Education","Operational Delivery","1935","1870","43170","37880"
"In post","2023","Department for Education","Operational Research","105","100","47880","46600"
"In post","2023","Department for Education","Policy","2250","2150","47470","42170"
"In post","2023","Department for Education","Project Delivery","1125","1100","48560","51360"
"In post","2023","Department for Education","Property","20","20","56330","55380"
"In post","2023","Department for Education","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Department for Education","Security","15","15","49620","51360"
"In post","2023","Department for Education","Social Research","140","130","47050","46310"
"In post","2023","Department for Education","Statistics","320","305","44760","43250"
"In post","2023","Department for Education","Unknown","25","25","48980","39000"
"In post","2023","Department for Environment, Food and Rural Affairs","Commercial","180","175","37630","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Communications","230","220","41770","37710"
"In post","2023","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","940","915","43970","49400"
"In post","2023","Department for Environment, Food and Rural Affairs","Economics","60","60","46890","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","Finance","445","430","43170","37820"
"In post","2023","Department for Environment, Food and Rural Affairs","Human Resources","310","295","44320","40410"
"In post","2023","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","55","55","35750","30990"
"In post","2023","Department for Environment, Food and Rural Affairs","Operational Delivery","4930","4620","27940","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","Other","115","110","35980","30350"
"In post","2023","Department for Environment, Food and Rural Affairs","Policy","3695","3570","44230","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","Project Delivery","255","235","37610","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Property","425","405","40470","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Science and Engineering","1045","1005","34500","30350"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","50","50","42650","40260"
"In post","2023","Department for Environment, Food and Rural Affairs","Veterinarian","330","310","44090","39290"
"In post","2023","Department for International Trade","Commercial","40","35","39250","37090"
"In post","2023","Department for International Trade","Communications","120","115","48240","42530"
"In post","2023","Department for International Trade","Digital, Data and Technology","200","200","52050","52200"
"In post","2023","Department for International Trade","Economics","170","165","48560","51020"
"In post","2023","Department for International Trade","Finance","85","85","51300","55370"
"In post","2023","Department for International Trade","Human Resources","135","135","44220","38850"
"In post","2023","Department for International Trade","International Trade","1960","1930","49080","44040"
"In post","2023","Department for International Trade","Knowledge and Information Management","25","25","40680","36360"
"In post","2023","Department for International Trade","Operational Delivery","160","160","43440","35790"
"In post","2023","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Other","140","140","47680","41550"
"In post","2023","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Policy","230","230","48730","41870"
"In post","2023","Department for International Trade","Project Delivery","110","110","48680","52000"
"In post","2023","Department for International Trade","Property","5","5","[c]","[c]"
"In post","2023","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","Security","25","25","48280","44450"
"In post","2023","Department for International Trade","Social Research","30","30","46780","41730"
"In post","2023","Department for International Trade","Statistics","60","60","47920","43870"
"In post","2023","Department for International Trade","Unknown","25","25","45650","35010"
"In post","2023","Department for Levelling Up, Housing and Communities","Commercial","40","40","42870","41370"
"In post","2023","Department for Levelling Up, Housing and Communities","Communications","100","95","47910","42690"
"In post","2023","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","185","180","51660","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","Economics","60","55","49680","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","Finance","140","135","49670","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","Human Resources","100","100","42710","37280"
"In post","2023","Department for Levelling Up, Housing and Communities","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","75","70","38620","33450"
"In post","2023","Department for Levelling Up, Housing and Communities","Operational Delivery","785","745","37040","33720"
"In post","2023","Department for Levelling Up, Housing and Communities","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Planning","105","100","47260","44180"
"In post","2023","Department for Levelling Up, Housing and Communities","Planning Inspectors","470","420","58330","60050"
"In post","2023","Department for Levelling Up, Housing and Communities","Policy","1740","1700","49640","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","Project Delivery","180","175","48330","49700"
"In post","2023","Department for Levelling Up, Housing and Communities","Security","5","5","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","Social Research","35","35","51790","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","Statistics","160","155","46590","44180"
"In post","2023","Department for Transport","Commercial","390","365","40890","36890"
"In post","2023","Department for Transport","Communications","240","230","39300","35760"
"In post","2023","Department for Transport","Corporate Finance","15","15","69820","76420"
"In post","2023","Department for Transport","Counter Fraud","55","55","32140","31450"
"In post","2023","Department for Transport","Digital, Data and Technology","1210","1185","41350","39430"
"In post","2023","Department for Transport","Economics","170","165","51080","55740"
"In post","2023","Department for Transport","Finance","465","450","42050","39820"
"In post","2023","Department for Transport","Human Resources","445","420","37970","33850"
"In post","2023","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Department for Transport","Internal Audit","20","20","39080","34530"
"In post","2023","Department for Transport","International Trade","50","50","60020","56340"
"In post","2023","Department for Transport","Knowledge and Information Management","75","75","37710","35030"
"In post","2023","Department for Transport","Legal","5","5","[c]","[c]"
"In post","2023","Department for Transport","Medicine","55","45","78180","88020"
"In post","2023","Department for Transport","Operational Delivery","9500","8590","26740","26780"
"In post","2023","Department for Transport","Operational Research","70","70","35860","33640"
"In post","2023","Department for Transport","Other","40","40","56490","55740"
"In post","2023","Department for Transport","Planning","45","40","40990","36410"
"In post","2023","Department for Transport","Policy","1530","1485","48100","44420"
"In post","2023","Department for Transport","Project Delivery","555","540","51690","50850"
"In post","2023","Department for Transport","Property","150","140","35980","31940"
"In post","2023","Department for Transport","Science and Engineering","185","180","48070","44370"
"In post","2023","Department for Transport","Security","265","260","38820","36410"
"In post","2023","Department for Transport","Social Research","50","50","52400","55190"
"In post","2023","Department for Transport","Statistics","80","75","45090","43750"
"In post","2023","Department for Transport","Unknown","730","700","50860","39820"
"In post","2023","Department for Work and Pensions","Commercial","770","725","39060","38470"
"In post","2023","Department for Work and Pensions","Communications","140","135","45630","43700"
"In post","2023","Department for Work and Pensions","Counter Fraud","6235","5625","29240","28120"
"In post","2023","Department for Work and Pensions","Digital, Data and Technology","4250","4085","43500","38470"
"In post","2023","Department for Work and Pensions","Economics","45","45","48430","43760"
"In post","2023","Department for Work and Pensions","Finance","1115","1035","40000","38470"
"In post","2023","Department for Work and Pensions","Human Resources","715","670","41950","38470"
"In post","2023","Department for Work and Pensions","Knowledge and Information Management","455","425","36490","34170"
"In post","2023","Department for Work and Pensions","Legal","30","30","55130","57570"
"In post","2023","Department for Work and Pensions","Operational Delivery","64490","57145","27850","28120"
"In post","2023","Department for Work and Pensions","Operational Research","25","20","47830","43880"
"In post","2023","Department for Work and Pensions","Other","4720","4195","27520","25610"
"In post","2023","Department for Work and Pensions","Policy","1155","1100","46590","43760"
"In post","2023","Department for Work and Pensions","Project Delivery","1535","1405","40050","34970"
"In post","2023","Department for Work and Pensions","Property","295","280","43910","39210"
"In post","2023","Department for Work and Pensions","Psychology","60","55","36270","36690"
"In post","2023","Department for Work and Pensions","Science and Engineering","515","485","39970","36630"
"In post","2023","Department for Work and Pensions","Security","530","505","40660","38470"
"In post","2023","Department for Work and Pensions","Social Research","45","45","47950","43760"
"In post","2023","Department for Work and Pensions","Statistics","220","210","46050","39630"
"In post","2023","Department for Work and Pensions","Unknown","425","395","33340","28120"
"In post","2023","Department of Health and Social Care","Commercial","180","175","47070","41920"
"In post","2023","Department of Health and Social Care","Communications","180","175","47830","42260"
"In post","2023","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care","Digital, Data and Technology","450","440","49630","49590"
"In post","2023","Department of Health and Social Care","Economics","35","35","47990","54670"
"In post","2023","Department of Health and Social Care","Finance","280","275","45380","41950"
"In post","2023","Department of Health and Social Care","Human Resources","285","280","43160","37060"
"In post","2023","Department of Health and Social Care","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Knowledge and Information Management","40","35","44600","41190"
"In post","2023","Department of Health and Social Care","Legal","40","40","46250","41770"
"In post","2023","Department of Health and Social Care","Medicine","600","530","80710","79590"
"In post","2023","Department of Health and Social Care","Operational Delivery","2990","2840","41620","37060"
"In post","2023","Department of Health and Social Care","Operational Research","65","65","50100","50830"
"In post","2023","Department of Health and Social Care","Other","150","145","46090","42480"
"In post","2023","Department of Health and Social Care","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Policy","390","375","52090","53050"
"In post","2023","Department of Health and Social Care","Project Delivery","70","65","47810","50830"
"In post","2023","Department of Health and Social Care","Property","45","45","40620","38650"
"In post","2023","Department of Health and Social Care","Science and Engineering","1850","1770","44370","41280"
"In post","2023","Department of Health and Social Care","Security","15","15","56620","46390"
"In post","2023","Department of Health and Social Care","Social Research","20","20","52980","54690"
"In post","2023","Department of Health and Social Care","Statistics","80","75","51640","51320"
"In post","2023","Department of Health and Social Care","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Unknown","2490","2400","49660","50830"
"In post","2023","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Communications","10","5","[c]","[c]"
"In post","2023","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Inspector of Education and Training","65","65","78210","78500"
"In post","2023","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Operational Delivery","30","30","32180","30610"
"In post","2023","Estyn","Project Delivery","5","5","[c]","[c]"
"In post","2023","Estyn","Property","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Commercial","15","15","36960","37720"
"In post","2023","Food Standards Agency","Communications","55","55","41440","38100"
"In post","2023","Food Standards Agency","Counter Fraud","45","45","39050","36820"
"In post","2023","Food Standards Agency","Digital, Data and Technology","55","55","45950","41200"
"In post","2023","Food Standards Agency","Economics","15","15","42440","41160"
"In post","2023","Food Standards Agency","Finance","50","50","43660","38100"
"In post","2023","Food Standards Agency","Human Resources","45","40","41340","38100"
"In post","2023","Food Standards Agency","Intelligence Analysis","15","15","34970","32700"
"In post","2023","Food Standards Agency","Internal Audit","10","10","42380","38670"
"In post","2023","Food Standards Agency","International Trade","10","10","52590","52330"
"In post","2023","Food Standards Agency","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","Legal","25","25","55240","58530"
"In post","2023","Food Standards Agency","Operational Delivery","650","625","33660","29430"
"In post","2023","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Policy","315","305","42430","38100"
"In post","2023","Food Standards Agency","Project Delivery","40","40","44770","41250"
"In post","2023","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Science and Engineering","135","130","40670","38100"
"In post","2023","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Food Standards Agency","Social Research","10","10","[c]","[c]"
"In post","2023","Food Standards Agency","Statistics","5","5","[c]","[c]"
"In post","2023","Food Standards Agency","Veterinarian","60","55","45830","39910"
"In post","2023","Foreign, Commonwealth and Development Office","Commercial","150","145","45560","43500"
"In post","2023","Foreign, Commonwealth and Development Office","Communications","130","125","49080","46450"
"In post","2023","Foreign, Commonwealth and Development Office","Digital, Data and Technology","470","465","45280","42660"
"In post","2023","Foreign, Commonwealth and Development Office","Economics","45","45","49550","47600"
"In post","2023","Foreign, Commonwealth and Development Office","Finance","600","580","41130","35970"
"In post","2023","Foreign, Commonwealth and Development Office","Human Resources","380","365","47190","40810"
"In post","2023","Foreign, Commonwealth and Development Office","Intelligence Analysis","165","160","48210","43500"
"In post","2023","Foreign, Commonwealth and Development Office","Internal Audit","80","80","44830","41660"
"In post","2023","Foreign, Commonwealth and Development Office","Knowledge and Information Management","70","50","50710","57910"
"In post","2023","Foreign, Commonwealth and Development Office","Legal","105","100","61310","65730"
"In post","2023","Foreign, Commonwealth and Development Office","Operational Delivery","215","210","42900","38540"
"In post","2023","Foreign, Commonwealth and Development Office","Other","180","175","44420","38430"
"In post","2023","Foreign, Commonwealth and Development Office","Policy","4515","4455","52530","53500"
"In post","2023","Foreign, Commonwealth and Development Office","Project Delivery","555","530","51630","53050"
"In post","2023","Foreign, Commonwealth and Development Office","Property","245","245","43460","42150"
"In post","2023","Foreign, Commonwealth and Development Office","Security","700","690","43880","38920"
"In post","2023","Foreign, Commonwealth and Development Office","Unknown","200","195","49880","51460"
"In post","2023","HM Land Registry","Commercial","20","20","45870","39520"
"In post","2023","HM Land Registry","Communications","30","30","41430","38410"
"In post","2023","HM Land Registry","Counter Fraud","5","5","[c]","[c]"
"In post","2023","HM Land Registry","Digital, Data and Technology","700","665","39580","39460"
"In post","2023","HM Land Registry","Economics","5","5","[c]","[c]"
"In post","2023","HM Land Registry","Finance","75","75","48110","43150"
"In post","2023","HM Land Registry","Human Resources","100","95","40250","37190"
"In post","2023","HM Land Registry","Internal Audit","10","10","[c]","[c]"
"In post","2023","HM Land Registry","Legal","285","260","50640","56190"
"In post","2023","HM Land Registry","Operational Delivery","5240","4700","29690","28080"
"In post","2023","HM Land Registry","Other","30","30","50150","38940"
"In post","2023","HM Land Registry","Project Delivery","195","190","39150","39520"
"In post","2023","HM Land Registry","Property","20","20","42020","39520"
"In post","2023","HM Revenue and Customs","Commercial","80","70","41460","42140"
"In post","2023","HM Revenue and Customs","Communications","285","275","47020","42510"
"In post","2023","HM Revenue and Customs","Counter Fraud","2305","2215","35690","34700"
"In post","2023","HM Revenue and Customs","Digital, Data and Technology","2720","2640","43730","42060"
"In post","2023","HM Revenue and Customs","Economics","170","165","49490","42510"
"In post","2023","HM Revenue and Customs","Finance","1145","1070","43580","41780"
"In post","2023","HM Revenue and Customs","Human Resources","975","915","42590","39020"
"In post","2023","HM Revenue and Customs","Intelligence Analysis","230","225","40810","39450"
"In post","2023","HM Revenue and Customs","Internal Audit","60","55","50030","44930"
"In post","2023","HM Revenue and Customs","International Trade","115","110","39110","35000"
"In post","2023","HM Revenue and Customs","Knowledge and Information Management","50","50","44550","42510"
"In post","2023","HM Revenue and Customs","Legal","2500","2375","38750","35000"
"In post","2023","HM Revenue and Customs","Operational Delivery","31470","28485","28610","26020"
"In post","2023","HM Revenue and Customs","Operational Research","250","240","39920","39450"
"In post","2023","HM Revenue and Customs","Other","410","370","48830","44930"
"In post","2023","HM Revenue and Customs","Policy","1170","1110","58050","57970"
"In post","2023","HM Revenue and Customs","Project Delivery","3035","2920","48320","42510"
"In post","2023","HM Revenue and Customs","Property","2625","2440","37070","32970"
"In post","2023","HM Revenue and Customs","Security","215","205","45100","42510"
"In post","2023","HM Revenue and Customs","Social Research","145","135","50150","45170"
"In post","2023","HM Revenue and Customs","Statistics","345","335","49770","45560"
"In post","2023","HM Revenue and Customs","Tax","17380","16460","37930","35000"
"In post","2023","HM Revenue and Customs","Unknown","4715","4600","39990","35000"
"In post","2023","HM Treasury","Commercial","5","5","[c]","[c]"
"In post","2023","HM Treasury","Communications","50","50","45670","40800"
"In post","2023","HM Treasury","Corporate Finance","20","20","64550","52900"
"In post","2023","HM Treasury","Digital, Data and Technology","60","60","51860","51180"
"In post","2023","HM Treasury","Economics","215","215","46740","43320"
"In post","2023","HM Treasury","Finance","100","95","48850","51930"
"In post","2023","HM Treasury","Human Resources","115","110","43920","42830"
"In post","2023","HM Treasury","Internal Audit","350","330","51790","49880"
"In post","2023","HM Treasury","Knowledge and Information Management","15","15","39430","35710"
"In post","2023","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2023","HM Treasury","Operational Delivery","170","170","34070","29500"
"In post","2023","HM Treasury","Other","60","60","46110","42700"
"In post","2023","HM Treasury","Policy","1475","1445","50720","54090"
"In post","2023","HM Treasury","Project Delivery","40","40","48740","46200"
"In post","2023","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2023","HM Treasury","Statistics","10","10","39840","33630"
"In post","2023","Home Office","Commercial","135","130","41090","40750"
"In post","2023","Home Office","Communications","145","145","50680","46430"
"In post","2023","Home Office","Counter Fraud","195","180","28100","26180"
"In post","2023","Home Office","Digital, Data and Technology","1820","1790","52130","48300"
"In post","2023","Home Office","Economics","160","160","49480","44170"
"In post","2023","Home Office","Finance","320","305","48090","43420"
"In post","2023","Home Office","Human Resources","650","620","43510","39190"
"In post","2023","Home Office","Intelligence Analysis","1470","1390","30310","27650"
"In post","2023","Home Office","Knowledge and Information Management","95","90","42590","39190"
"In post","2023","Home Office","Operational Delivery","31020","28845","28920","26290"
"In post","2023","Home Office","Operational Research","105","100","49520","44170"
"In post","2023","Home Office","Other","1650","1570","34540","31620"
"In post","2023","Home Office","Policy","2580","2530","51830","47220"
"In post","2023","Home Office","Project Delivery","1790","1755","46520","43210"
"In post","2023","Home Office","Property","25","25","45900","43420"
"In post","2023","Home Office","Science and Engineering","110","105","50950","43840"
"In post","2023","Home Office","Security","360","345","33360","30020"
