"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Commercial","London","150","150","56580","54800"
"In post","2023","Declared disabled","Commercial","Commercial","North East (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","North West (England)","70","70","45350","39880"
"In post","2023","Declared disabled","Commercial","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","Scotland","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","South East (England)","60","55","46760","40580"
"In post","2023","Declared disabled","Commercial","Commercial","South West (England)","185","175","44450","42620"
"In post","2023","Declared disabled","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Commercial","Wales","40","35","36050","32670"
"In post","2023","Declared disabled","Commercial","Commercial","West Midlands (England)","35","35","48650","41570"
"In post","2023","Declared disabled","Commercial","Commercial","Yorkshire and The Humber","50","50","46280","39090"
"In post","2023","Declared disabled","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","South West (England)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Statistics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Veterinarian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Veterinarian","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Veterinarian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","East Midlands (England)","15","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","East of England","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","London","120","115","47240","44070"
"In post","2023","Declared disabled","Communications","Communications","North East (England)","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","North West (England)","25","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","Scotland","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","South East (England)","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","South West (England)","35","30","35660","31270"
"In post","2023","Declared disabled","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","Wales","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","West Midlands (England)","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Communications","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
