"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","White","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","EO","EO","Female","49655","44305","28540","28120"
"In post","2023","White","EO","EO","Male","35625","34175","29420","28120"
"In post","2023","White","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","G6/G7","G6","Female","7680","7260","70510","69060"
"In post","2023","White","G6/G7","G6","Male","8110","7925","71200","70300"
"In post","2023","White","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","G6/G7","G7","Female","19805","18770","56240","55450"
"In post","2023","White","G6/G7","G7","Male","19680","19270","57010","56180"
"In post","2023","White","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","SCS level","SCS level","Female","2740","2605","89380","81890"
"In post","2023","White","SCS level","SCS level","Male","2980","2925","94220","85200"
"In post","2023","White","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","SEO/HEO","HEO","Female","31980","30100","34580","34300"
"In post","2023","White","SEO/HEO","HEO","Male","27205","26555","35440","34700"
"In post","2023","White","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","SEO/HEO","SEO","Female","23540","22325","42650","41870"
"In post","2023","White","SEO/HEO","SEO","Male","21840","21345","43520","42510"
"In post","2023","White","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Unknown","Unknown","Female","12090","11220","31060","29050"
"In post","2023","White","Unknown","Unknown","Male","4570","4400","35480","31920"
"In post","2023","White","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AA","Female","40","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AA","Male","55","[c]","20320","20750"
"Leaver CS","2023","Asian","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","AO","Female","440","[c]","22740","21780"
"Leaver CS","2023","Asian","AA/AO","AO","Male","400","[c]","22860","21840"
"Leaver CS","2023","Asian","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","EO","EO","Female","440","[c]","28800","28220"
"Leaver CS","2023","Asian","EO","EO","Male","350","[c]","28820","28200"
"Leaver CS","2023","Asian","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G6","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G6","Male","45","[c]","69590","66580"
"Leaver CS","2023","Asian","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","G7","Female","100","[c]","55080","54080"
"Leaver CS","2023","Asian","G6/G7","G7","Male","105","[c]","57100","56060"
"Leaver CS","2023","Asian","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","HEO","Female","195","[c]","34510","34020"
"Leaver CS","2023","Asian","SEO/HEO","HEO","Male","190","[c]","34650","33990"
"Leaver CS","2023","Asian","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","SEO","Female","140","[c]","42150","41640"
"Leaver CS","2023","Asian","SEO/HEO","SEO","Male","135","[c]","43750","42210"
"Leaver CS","2023","Asian","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","AO","Female","280","[c]","23540","23720"
"Leaver CS","2023","Black","AA/AO","AO","Male","145","[c]","22640","22020"
"Leaver CS","2023","Black","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","EO","Female","430","[c]","29500","29660"
"Leaver CS","2023","Black","EO","EO","Male","185","[c]","29470","29660"
"Leaver CS","2023","Black","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","G7","Female","65","[c]","55310","54750"
"Leaver CS","2023","Black","G6/G7","G7","Male","50","[c]","55420","54860"
"Leaver CS","2023","Black","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","HEO","Female","155","[c]","34880","34720"
"Leaver CS","2023","Black","SEO/HEO","HEO","Male","105","[c]","34710","34020"
"Leaver CS","2023","Black","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","SEO","Female","115","[c]","42340","41660"
"Leaver CS","2023","Black","SEO/HEO","SEO","Male","95","[c]","42410","41780"
"Leaver CS","2023","Black","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","Female","115","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","Male","35","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","AO","Female","160","[c]","22390","21780"
"Leaver CS","2023","Mixed","AA/AO","AO","Male","125","[c]","22820","21840"
"Leaver CS","2023","Mixed","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","EO","EO","Female","140","[c]","28580","28120"
"Leaver CS","2023","Mixed","EO","EO","Male","100","[c]","28700","28120"
"Leaver CS","2023","Mixed","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","G7","Female","60","[c]","55200","54700"
"Leaver CS","2023","Mixed","G6/G7","G7","Male","40","[c]","56230","54670"
"Leaver CS","2023","Mixed","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SEO/HEO","HEO","Female","80","[c]","34340","33570"
"Leaver CS","2023","Mixed","SEO/HEO","HEO","Male","50","[c]","33900","34000"
"Leaver CS","2023","Mixed","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SEO/HEO","SEO","Female","55","[c]","42240","42030"
"Leaver CS","2023","Mixed","SEO/HEO","SEO","Male","50","[c]","43450","42160"
"Leaver CS","2023","Mixed","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Unknown","Female","45","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Unknown","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","AA","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","AO","Female","50","[c]","22360","22400"
"Leaver CS","2023","Other ethnicity","AA/AO","AO","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","EO","EO","Female","50","[c]","28140","27850"
"Leaver CS","2023","Other ethnicity","EO","EO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","HEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","HEO","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","SEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","SEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","AA","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","AA","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","AO","Female","220","[c]","22160","21690"
"Leaver CS","2023","Undeclared","AA/AO","AO","Male","235","[c]","23730","21840"
"Leaver CS","2023","Undeclared","EO","EO","Female","155","[c]","28640","28120"
"Leaver CS","2023","Undeclared","EO","EO","Male","225","[c]","29460","28120"
"Leaver CS","2023","Undeclared","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","G6/G7","G6","Male","45","[c]","69710","69690"
"Leaver CS","2023","Undeclared","G6/G7","G7","Female","55","[c]","56470","55990"
"Leaver CS","2023","Undeclared","G6/G7","G7","Male","110","[c]","56560","56840"
"Leaver CS","2023","Undeclared","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SEO/HEO","HEO","Female","65","[c]","34870","34220"
"Leaver CS","2023","Undeclared","SEO/HEO","HEO","Male","135","[c]","35780","34820"
"Leaver CS","2023","Undeclared","SEO/HEO","SEO","Female","80","[c]","41730","41660"
"Leaver CS","2023","Undeclared","SEO/HEO","SEO","Male","135","[c]","43520","42520"
"Leaver CS","2023","Undeclared","Unknown","Unknown","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Unknown","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","AA","Female","450","[c]","21470","22080"
"Leaver CS","2023","Unknown","AA/AO","AA","Male","410","[c]","22000","22180"
"Leaver CS","2023","Unknown","AA/AO","AO","Female","1810","[c]","22620","21780"
"Leaver CS","2023","Unknown","AA/AO","AO","Male","1655","[c]","23360","22220"
"Leaver CS","2023","Unknown","EO","EO","Female","800","[c]","28260","28120"
"Leaver CS","2023","Unknown","EO","EO","Male","960","[c]","28380","27570"
"Leaver CS","2023","Unknown","G6/G7","G6","Female","145","[c]","69150","66290"
"Leaver CS","2023","Unknown","G6/G7","G6","Male","160","[c]","70970","68130"
"Leaver CS","2023","Unknown","G6/G7","G7","Female","330","[c]","57110","55500"
"Leaver CS","2023","Unknown","G6/G7","G7","Male","365","[c]","57220","55560"
"Leaver CS","2023","Unknown","SCS level","SCS level","Female","55","[c]","95330","85450"
"Leaver CS","2023","Unknown","SCS level","SCS level","Male","80","[c]","111760","95000"
"Leaver CS","2023","Unknown","SEO/HEO","HEO","Female","535","[c]","34020","33520"
"Leaver CS","2023","Unknown","SEO/HEO","HEO","Male","530","[c]","34050","33630"
"Leaver CS","2023","Unknown","SEO/HEO","SEO","Female","350","[c]","41630","41280"
"Leaver CS","2023","Unknown","SEO/HEO","SEO","Male","360","[c]","42530","41870"
"Leaver CS","2023","Unknown","Unknown","Unknown","Female","400","[c]","29870","28680"
"Leaver CS","2023","Unknown","Unknown","Unknown","Male","355","[c]","37680","34180"
"Leaver CS","2023","White","AA/AO","AA","Female","825","[c]","20610","19930"
"Leaver CS","2023","White","AA/AO","AA","Male","840","[c]","21270","20750"
"Leaver CS","2023","White","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","AA/AO","AO","Female","5155","[c]","22220","21690"
"Leaver CS","2023","White","AA/AO","AO","Male","3800","[c]","23580","21780"
"Leaver CS","2023","White","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","EO","EO","Female","3745","[c]","28120","28070"
"Leaver CS","2023","White","EO","EO","Male","2830","[c]","28740","27960"
"Leaver CS","2023","White","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","G6/G7","G6","Female","475","[c]","70770","68710"
"Leaver CS","2023","White","G6/G7","G6","Male","570","[c]","71320","69800"
"Leaver CS","2023","White","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","G6/G7","G7","Female","1100","[c]","55770","54620"
"Leaver CS","2023","White","G6/G7","G7","Male","1240","[c]","56930","55620"
"Leaver CS","2023","White","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","SCS level","SCS level","Female","225","[c]","95790","90990"
"Leaver CS","2023","White","SCS level","SCS level","Male","275","[c]","101710","93840"
"Leaver CS","2023","White","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","SEO/HEO","HEO","Female","1810","[c]","34340","33990"
"Leaver CS","2023","White","SEO/HEO","HEO","Male","1765","[c]","34990","34170"
"Leaver CS","2023","White","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","White","SEO/HEO","SEO","Female","1340","[c]","42070","41280"
