"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","150","150","39030","34670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","10","31620","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","10","10","53430","57240"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","25","25","49290","47060"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Economics","70","70","52420","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Operational Research","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Policy","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Social Research","25","25","49480","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Statistics","15","15","46390","39960"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Economics","85","85","50030","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Operational Research","95","90","47280","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Social Research","135","130","47050","45610"
"In post","2023","Analysis","Department for Education (excl. agencies)","Department for Education","Statistics","240","230","45140","43250"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Economics","135","135","49890","55370"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Other","15","15","42690","35910"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Policy","10","10","51940","47270"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Social Research","30","30","46780","41730"
"In post","2023","Analysis","Department for International Trade","Department for International Trade","Statistics","55","55","48140","45910"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Economics","60","55","49680","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Social Research","35","35","51790","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Statistics","160","155","46590","44180"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Economics","170","165","50880","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Operational Research","20","20","50190","51540"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Other","35","35","53330","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Social Research","50","50","52400","55190"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Statistics","75","75","45210","43750"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Economics","35","35","48430","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Knowledge and Information Management","15","15","37550","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Delivery","25","25","35380","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Research","25","20","47830","43880"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","50","45","39260","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Policy","200","190","47340","42720"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","10","10","37260","35700"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Social Research","45","45","47950","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Statistics","205","195","45760","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Economics","35","35","47780","54660"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Operational Research","25","25","48660","51830"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Other","20","20","46050","41950"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Social Research","20","20","52980","54690"
"In post","2023","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Statistics","65","60","50020","50830"
"In post","2023","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Operational Research","55","50","30720","29280"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Education and Skills Funding Agency","Department for Education","Statistics","25","25","39550","38070"
"In post","2023","Analysis","Estyn","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Estyn","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Economics","15","15","42440","41160"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Intelligence Analysis","15","15","34970","32700"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Social Research","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Food Standards Agency","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Economics","45","45","49550","47600"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","Chancellor's other departments","Other","185","175","72260","67770"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Government Legal Department","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","35","35","42070","37680"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Operational Research","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Statistics","10","10","44500","43650"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","Economics","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","HM Land Registry","Finance","25","25","43390","38410"
"In post","2023","Analysis","HM Prison and Probation Service","Ministry of Justice","Statistics","10","10","43580","42120"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Economics","150","150","47140","39790"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","30","30","39550","35160"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","105","100","49920","45560"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Social Research","135","125","50180","45170"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Statistics","325","315","49910","45560"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","10","10","44220","45050"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","25","20","54890","55740"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","Economics","170","170","45190","38850"
"In post","2023","Analysis","HM Treasury (excl. agencies)","HM Treasury","Statistics","10","10","39840","33630"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","Economics","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","Science and Engineering","40","35","43140","40840"
"In post","2023","Analysis","Health and Safety Executive","Department for Work and Pensions","Statistics","15","15","50100","59400"
"In post","2023","Analysis","Home Office","Home Office","Digital, Data and Technology","20","20","39240","36000"
"In post","2023","Analysis","Home Office","Home Office","Economics","110","110","49390","44170"
"In post","2023","Analysis","Home Office","Home Office","Intelligence Analysis","10","10","43900","43210"
"In post","2023","Analysis","Home Office","Home Office","Operational Delivery","60","60","39950","36310"
"In post","2023","Analysis","Home Office","Home Office","Operational Research","70","65","50710","46110"
"In post","2023","Analysis","Home Office","Home Office","Other","40","35","36690","36180"
"In post","2023","Analysis","Home Office","Home Office","Policy","25","25","54510","59290"
"In post","2023","Analysis","Home Office","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Home Office","Social Research","135","130","48200","44290"
"In post","2023","Analysis","Home Office","Home Office","Statistics","105","100","40460","36760"
"In post","2023","Analysis","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Economics","15","15","58780","61660"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","30","30","35060","31750"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","45","45","29450","27840"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","325","315","42600","40290"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","95","90","46720","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","75","70","46660","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","100","100","51510","51770"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Other","170","165","39060","35410"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","110","110","50770","48100"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","135","130","48470","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","Operational Research","10","10","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Chancellor's other departments","Other","20","20","51690","48470"
"In post","2023","Analysis","Office for Budget Responsibility","HM Treasury","Economics","40","40","53050","54810"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Social Research","45","45","45580","38490"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Statistics","125","120","41060","40640"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Economics","40","40","52330","54650"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","125","125","46090","40000"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","Economics","40","40","57150","55990"
"In post","2023","Analysis","Office of Rail and Road","Office of Rail and Road","Statistics","20","20","50040","50510"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","15","15","45510","41560"
"In post","2023","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Registers of Scotland","Scottish Government","Digital, Data and Technology","15","15","41310","39590"
"In post","2023","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","45","40","32040","30320"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Scottish Government","Statistics","5","5","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","Department for Education","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Economics","5","5","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","15","15","42510","42770"
"In post","2023","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Statistics","10","10","39330","37550"
"In post","2023","Analysis","UK Debt Management Office","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","UK Export Finance","Knowledge and Information Management","20","20","53170","51570"
"In post","2023","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Economics","180","180","36640","31560"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Operational Delivery","500","475","34180","31610"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Operational Research","30","30","36670","36120"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Social Research","635","605","39590","39190"
"In post","2023","Analysis","UK Statistics Authority","UK Statistics Authority","Statistics","575","555","45190","39300"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Knowledge and Information Management","15","15","40240","34910"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Operational Research","15","15","46210","43350"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Social Research","10","10","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","HM Revenue and Customs","Statistics","20","20","47630","41500"
"In post","2023","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Economics","45","45","60420","49600"
"In post","2023","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Welsh Revenue Authority","Welsh Government","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","15","15","38540","37950"
"In post","2023","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","40","35","35520","34460"
"In post","2023","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","20","15","31080","29720"
"In post","2023","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","25","25","36270","35040"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","85","85","51850","51290"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","10","10","46530","47140"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Finance","5","5","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","40","40","51390","56430"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Policy","40","35","50470","51290"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","20","20","46960","46280"
"In post","2023","Commercial","Central Civil Service Fast Stream","Cabinet Office","Commercial","90","90","30450","30130"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","15","15","45380","49400"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2023","Commercial","Competition and Markets Authority","Competition and Markets Authority","Commercial","5","5","[c]","[c]"
"In post","2023","Commercial","Crown Commercial Service","Cabinet Office","Commercial","340","330","37480","39860"
"In post","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Commercial","35","30","40620","38940"
"In post","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Crown Prosecution Service","Attorney General's Departments","Property","5","5","[c]","[c]"
"In post","2023","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Commercial","25","25","33530","34680"
"In post","2023","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Defence Equipment and Support","Ministry of Defence","Commercial","925","880","41990","42620"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","80","75","32460","30650"
"In post","2023","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","10","10","32310","28360"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","43370","42020"
"In post","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Commercial","20","20","54640","54980"
"In post","2023","Commercial","Department for Education (excl. agencies)","Department for Education","Commercial","230","225","42370","39090"
