"Status","Year","Age","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","65+","G6/G7","Female","285","230","63860","61920"
"In post","2023","65+","G6/G7","Male","775","610","64320","62280"
"In post","2023","65+","SCS level","Female","40","35","106280","92930"
"In post","2023","65+","SCS level","Male","75","60","118260","110750"
"In post","2023","65+","SEO/HEO","Female","855","660","38800","37560"
"In post","2023","65+","SEO/HEO","Male","1705","1365","41020","39780"
"In post","2023","65+","Unknown","Female","390","295","30820","29050"
"In post","2023","65+","Unknown","Male","310","250","35340","30840"
"In post","2023","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","Female","10","5","[c]","[c]"
"In post","2023","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","Female","90","[c]","22020","21780"
"Leaver CS","2023","16-19","AA/AO","Male","60","[c]","21170","21780"
"Leaver CS","2023","16-19","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","AA/AO","Female","2975","[c]","22270","21780"
"Leaver CS","2023","20-29","AA/AO","Male","2570","[c]","22520","21780"
"Leaver CS","2023","20-29","EO","Female","1445","[c]","28040","27960"
"Leaver CS","2023","20-29","EO","Male","1095","[c]","27850","27570"
"Leaver CS","2023","20-29","G6/G7","Female","200","[c]","54900","54450"
"Leaver CS","2023","20-29","G6/G7","Male","185","[c]","55800","54690"
"Leaver CS","2023","20-29","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SEO/HEO","Female","1205","[c]","35400","34260"
"Leaver CS","2023","20-29","SEO/HEO","Male","1125","[c]","35810","34370"
"Leaver CS","2023","20-29","Unknown","Female","460","[c]","25480","23640"
"Leaver CS","2023","20-29","Unknown","Male","180","[c]","28640","29860"
"Leaver CS","2023","30-39","AA/AO","Female","1485","[c]","22260","21780"
"Leaver CS","2023","30-39","AA/AO","Male","1470","[c]","23480","22150"
"Leaver CS","2023","30-39","EO","Female","975","[c]","28540","28120"
"Leaver CS","2023","30-39","EO","Male","885","[c]","28640","28120"
"Leaver CS","2023","30-39","G6/G7","Female","655","[c]","57910","55500"
"Leaver CS","2023","30-39","G6/G7","Male","785","[c]","58510","56140"
"Leaver CS","2023","30-39","SCS level","Female","40","[c]","81880","79160"
"Leaver CS","2023","30-39","SCS level","Male","45","[c]","80740","77950"
"Leaver CS","2023","30-39","SEO/HEO","Female","1185","[c]","37820","37700"
"Leaver CS","2023","30-39","SEO/HEO","Male","1175","[c]","38270","38460"
"Leaver CS","2023","30-39","Unknown","Female","335","[c]","35580","35120"
"Leaver CS","2023","30-39","Unknown","Male","165","[c]","39690","38090"
"Leaver CS","2023","40-49","AA/AO","Female","1095","[c]","22330","21690"
"Leaver CS","2023","40-49","AA/AO","Male","845","[c]","23350","21690"
"Leaver CS","2023","40-49","EO","Female","805","[c]","28590","28120"
"Leaver CS","2023","40-49","EO","Male","575","[c]","28440","27570"
"Leaver CS","2023","40-49","G6/G7","Female","610","[c]","60590","58510"
"Leaver CS","2023","40-49","G6/G7","Male","600","[c]","62630","61360"
"Leaver CS","2023","40-49","SCS level","Female","110","[c]","91010","84200"
"Leaver CS","2023","40-49","SCS level","Male","120","[c]","97880","93840"
"Leaver CS","2023","40-49","SEO/HEO","Female","765","[c]","38620","38560"
"Leaver CS","2023","40-49","SEO/HEO","Male","660","[c]","39190","38850"
"Leaver CS","2023","40-49","Unknown","Female","225","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Male","110","[c]","40050","38920"
"Leaver CS","2023","50-59","AA/AO","Female","1540","[c]","22170","21690"
"Leaver CS","2023","50-59","AA/AO","Male","1130","[c]","23740","21780"
"Leaver CS","2023","50-59","EO","Female","1090","[c]","28250","28120"
"Leaver CS","2023","50-59","EO","Male","940","[c]","29240","28080"
"Leaver CS","2023","50-59","G6/G7","Female","535","[c]","61920","60640"
"Leaver CS","2023","50-59","G6/G7","Male","545","[c]","62680","60490"
"Leaver CS","2023","50-59","SCS level","Female","110","[c]","97860","92070"
"Leaver CS","2023","50-59","SCS level","Male","120","[c]","112720","100040"
"Leaver CS","2023","50-59","SEO/HEO","Female","870","[c]","39120","38470"
"Leaver CS","2023","50-59","SEO/HEO","Male","900","[c]","40410","39890"
"Leaver CS","2023","50-59","Unknown","Female","215","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Male","160","[c]","46120","43000"
"Leaver CS","2023","60-64","AA/AO","Female","1125","[c]","21930","21690"
"Leaver CS","2023","60-64","AA/AO","Male","760","[c]","23770","21690"
"Leaver CS","2023","60-64","EO","Female","780","[c]","28390","28120"
"Leaver CS","2023","60-64","EO","Male","585","[c]","29810","28120"
"Leaver CS","2023","60-64","G6/G7","Female","305","[c]","62520","59780"
"Leaver CS","2023","60-64","G6/G7","Male","455","[c]","64440","63180"
"Leaver CS","2023","60-64","SCS level","Female","50","[c]","101600","99290"
"Leaver CS","2023","60-64","SCS level","Male","85","[c]","109480","99000"
"Leaver CS","2023","60-64","SEO/HEO","Female","635","[c]","38490","37700"
"Leaver CS","2023","60-64","SEO/HEO","Male","755","[c]","40870","40160"
"Leaver CS","2023","60-64","Unknown","Female","160","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","Male","115","[c]","52740","42620"
"Leaver CS","2023","65+","AA/AO","Female","1170","[c]","22190","21690"
"Leaver CS","2023","65+","AA/AO","Male","935","[c]","22720","21690"
"Leaver CS","2023","65+","EO","Female","615","[c]","28440","28120"
"Leaver CS","2023","65+","EO","Male","545","[c]","29260","28120"
"Leaver CS","2023","65+","G6/G7","Female","100","[c]","64280","62450"
"Leaver CS","2023","65+","G6/G7","Male","195","[c]","63240","60490"
"Leaver CS","2023","65+","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","65+","SCS level","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","65+","SEO/HEO","Female","275","[c]","38100","36300"
"Leaver CS","2023","65+","SEO/HEO","Male","500","[c]","40210","39570"
"Leaver CS","2023","65+","Unknown","Female","135","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","Male","105","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","AA/AO","Female","600","[c]","22460","21780"
"Leaver Dept.","2023","20-29","AA/AO","Male","405","[c]","22430","21780"
"Leaver Dept.","2023","20-29","EO","Female","785","[c]","28270","28120"
"Leaver Dept.","2023","20-29","EO","Male","550","[c]","28050","28120"
"Leaver Dept.","2023","20-29","G6/G7","Female","185","[c]","55530","54870"
"Leaver Dept.","2023","20-29","G6/G7","Male","155","[c]","55180","54700"
"Leaver Dept.","2023","20-29","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","SEO/HEO","Female","1425","[c]","34940","34060"
"Leaver Dept.","2023","20-29","SEO/HEO","Male","1030","[c]","35510","34310"
"Leaver Dept.","2023","20-29","Unknown","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","AA/AO","Female","360","[c]","22030","21780"
"Leaver Dept.","2023","30-39","AA/AO","Male","335","[c]","22700","21780"
"Leaver Dept.","2023","30-39","EO","Female","540","[c]","27990","28120"
"Leaver Dept.","2023","30-39","EO","Male","450","[c]","28240","27850"
"Leaver Dept.","2023","30-39","G6/G7","Female","600","[c]","57840","56030"
"Leaver Dept.","2023","30-39","G6/G7","Male","530","[c]","57420","56040"
"Leaver Dept.","2023","30-39","SCS level","Female","45","[c]","77980","76510"
"Leaver Dept.","2023","30-39","SCS level","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","SEO/HEO","Female","1015","[c]","37480","37590"
"Leaver Dept.","2023","30-39","SEO/HEO","Male","820","[c]","37040","36340"
"Leaver Dept.","2023","30-39","Unknown","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Unknown","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","AA/AO","Female","305","[c]","22070","21690"
"Leaver Dept.","2023","40-49","AA/AO","Male","190","[c]","22470","21690"
"Leaver Dept.","2023","40-49","EO","Female","405","[c]","28180","28120"
"Leaver Dept.","2023","40-49","EO","Male","270","[c]","28060","28120"
"Leaver Dept.","2023","40-49","G6/G7","Female","360","[c]","59640","58650"
"Leaver Dept.","2023","40-49","G6/G7","Male","320","[c]","60020","58760"
"Leaver Dept.","2023","40-49","SCS level","Female","90","[c]","86300","78670"
"Leaver Dept.","2023","40-49","SCS level","Male","85","[c]","91000","83170"
"Leaver Dept.","2023","40-49","SEO/HEO","Female","580","[c]","37430","37590"
"Leaver Dept.","2023","40-49","SEO/HEO","Male","410","[c]","38500","38470"
"Leaver Dept.","2023","40-49","Unknown","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","AA/AO","Female","255","[c]","22010","21690"
"Leaver Dept.","2023","50-59","AA/AO","Male","155","[c]","22390","21690"
"Leaver Dept.","2023","50-59","EO","Female","300","[c]","27900","28120"
"Leaver Dept.","2023","50-59","EO","Male","190","[c]","28280","28120"
"Leaver Dept.","2023","50-59","G6/G7","Female","205","[c]","58930","56650"
"Leaver Dept.","2023","50-59","G6/G7","Male","185","[c]","60840","59590"
"Leaver Dept.","2023","50-59","SCS level","Female","50","[c]","90780","89430"
"Leaver Dept.","2023","50-59","SCS level","Male","70","[c]","103170","96230"
"Leaver Dept.","2023","50-59","SEO/HEO","Female","310","[c]","37040","36050"
"Leaver Dept.","2023","50-59","SEO/HEO","Male","245","[c]","38300","38220"
"Leaver Dept.","2023","50-59","Unknown","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","AA/AO","Female","40","[c]","21980","21690"
"Leaver Dept.","2023","60-64","AA/AO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","EO","Female","30","[c]","28000","28120"
"Leaver Dept.","2023","60-64","EO","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","G6/G7","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","G6/G7","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","SEO/HEO","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","SEO/HEO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","AA/AO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","AA/AO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","EO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","SEO/HEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","EO","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","G6/G7","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","G6/G7","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SEO/HEO","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","AA/AO","Female","515","[c]","23230","22500"
"New entrant CS","2023","16-19","AA/AO","Male","470","[c]","22970","22520"
"New entrant CS","2023","16-19","EO","Female","55","[c]","26680","26750"
"New entrant CS","2023","16-19","EO","Male","65","[c]","25920","25750"
"New entrant CS","2023","16-19","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Unknown","Female","35","[c]","19640","19090"
"New entrant CS","2023","16-19","Unknown","Male","35","[c]","18070","17820"
"New entrant CS","2023","20-29","AA/AO","Female","6045","[c]","23800","22520"
"New entrant CS","2023","20-29","AA/AO","Male","5315","[c]","24240","22520"
"New entrant CS","2023","20-29","EO","Female","2570","[c]","27560","27650"
"New entrant CS","2023","20-29","EO","Male","2055","[c]","27390","27140"
"New entrant CS","2023","20-29","G6/G7","Female","175","[c]","54260","54100"
"New entrant CS","2023","20-29","G6/G7","Male","160","[c]","55710","54330"
"New entrant CS","2023","20-29","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","SCS level","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","SEO/HEO","Female","2400","[c]","34220","33830"
"New entrant CS","2023","20-29","SEO/HEO","Male","2120","[c]","34540","34170"
"New entrant CS","2023","20-29","Unknown","Female","1665","[c]","22810","23640"
"New entrant CS","2023","20-29","Unknown","Male","505","[c]","23050","23640"
"New entrant CS","2023","30-39","AA/AO","Female","3025","[c]","23620","22500"
"New entrant CS","2023","30-39","AA/AO","Male","2750","[c]","25200","23190"
"New entrant CS","2023","30-39","EO","Female","1385","[c]","27750","27650"
"New entrant CS","2023","30-39","EO","Male","1250","[c]","27750","27320"
"New entrant CS","2023","30-39","G6/G7","Female","620","[c]","57400","54680"
"New entrant CS","2023","30-39","G6/G7","Male","635","[c]","57860","55000"
"New entrant CS","2023","30-39","SCS level","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","30-39","SCS level","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","30-39","SEO/HEO","Female","1745","[c]","37250","37300"
"New entrant CS","2023","30-39","SEO/HEO","Male","1485","[c]","37530","37300"
"New entrant CS","2023","30-39","Unknown","Female","695","[c]","23470","23640"
"New entrant CS","2023","30-39","Unknown","Male","255","[c]","25690","23640"
"New entrant CS","2023","40-49","AA/AO","Female","2145","[c]","23370","22400"
"New entrant CS","2023","40-49","AA/AO","Male","1475","[c]","25160","22950"
"New entrant CS","2023","40-49","EO","Female","885","[c]","27670","27320"
"New entrant CS","2023","40-49","EO","Male","720","[c]","27690","27080"
"New entrant CS","2023","40-49","G6/G7","Female","565","[c]","59170","55500"
"New entrant CS","2023","40-49","G6/G7","Male","565","[c]","60300","57000"
"New entrant CS","2023","40-49","SCS level","Female","60","[c]","97960","89500"
"New entrant CS","2023","40-49","SCS level","Male","60","[c]","99490","90000"
"New entrant CS","2023","40-49","SEO/HEO","Female","1140","[c]","38340","37830"
"New entrant CS","2023","40-49","SEO/HEO","Male","995","[c]","38320","37830"
"New entrant CS","2023","40-49","Unknown","Female","420","[c]","24460","23640"
"New entrant CS","2023","40-49","Unknown","Male","230","[c]","26070","23640"
"New entrant CS","2023","50-59","AA/AO","Female","1785","[c]","22790","22400"
"New entrant CS","2023","50-59","AA/AO","Male","1410","[c]","24060","22520"
"New entrant CS","2023","50-59","EO","Female","665","[c]","28130","27760"
"New entrant CS","2023","50-59","EO","Male","785","[c]","28650","27140"
"New entrant CS","2023","50-59","G6/G7","Female","285","[c]","60210","56430"
"New entrant CS","2023","50-59","G6/G7","Male","440","[c]","60390","58130"
"New entrant CS","2023","50-59","SCS level","Female","40","[c]","108950","104740"
"New entrant CS","2023","50-59","SCS level","Male","65","[c]","110310","105000"
"New entrant CS","2023","50-59","SEO/HEO","Female","615","[c]","38450","37790"
"New entrant CS","2023","50-59","SEO/HEO","Male","725","[c]","39090","38800"
"New entrant CS","2023","50-59","Unknown","Female","305","[c]","24080","23640"
"New entrant CS","2023","50-59","Unknown","Male","215","[c]","28090","23640"
"New entrant CS","2023","60-64","AA/AO","Female","370","[c]","22370","22220"
"New entrant CS","2023","60-64","AA/AO","Male","405","[c]","23260","22400"
"New entrant CS","2023","60-64","EO","Female","90","[c]","28040","28080"
"New entrant CS","2023","60-64","EO","Male","175","[c]","29460","28480"
"New entrant CS","2023","60-64","G6/G7","Female","50","[c]","59500","57710"
"New entrant CS","2023","60-64","G6/G7","Male","75","[c]","58630","55130"
"New entrant CS","2023","60-64","SCS level","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","60-64","SCS level","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","60-64","SEO/HEO","Female","70","[c]","38120","37130"
"New entrant CS","2023","60-64","SEO/HEO","Male","170","[c]","38660","37720"
"New entrant CS","2023","60-64","Unknown","Female","50","[c]","23280","23090"
"New entrant CS","2023","60-64","Unknown","Male","60","[c]","26870","23640"
"New entrant CS","2023","65+","AA/AO","Female","90","[c]","22560","22400"
"New entrant CS","2023","65+","AA/AO","Male","135","[c]","22660","22150"
"New entrant CS","2023","65+","EO","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","65+","EO","Male","45","[c]","28940","28060"
"New entrant CS","2023","65+","G6/G7","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","G6/G7","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","65+","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","SCS level","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","SEO/HEO","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","65+","SEO/HEO","Male","60","[c]","40380","41380"
"New entrant CS","2023","65+","Unknown","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","65+","Unknown","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","AA/AO","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","EO","Female","45","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","EO","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","G6/G7","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","G6/G7","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","SEO/HEO","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","SEO/HEO","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
