"Status","Year","Disability","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Tax","London","45","40","42320","39790"
"In post","2023","Declared disabled","Asian","Tax","Outside London","85","80","35310","35000"
"In post","2023","Declared disabled","Asian","Unknown","London","70","65","38940","32960"
"In post","2023","Declared disabled","Asian","Unknown","Outside London","65","65","35160","33520"
"In post","2023","Declared disabled","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","London","65","55","31650","32520"
"In post","2023","Declared disabled","Black","Counter Fraud","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","London","40","40","46440","42050"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","Outside London","30","30","37440","34290"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","London","45","40","44630","43540"
"In post","2023","Declared disabled","Black","Human Resources","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","London","40","40","51680","54230"
"In post","2023","Declared disabled","Black","Legal","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Delivery","London","855","800","32770","32520"
"In post","2023","Declared disabled","Black","Operational Delivery","Outside London","565","515","28440","28120"
"In post","2023","Declared disabled","Black","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","London","135","130","41580","40570"
"In post","2023","Declared disabled","Black","Policy","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","London","60","60","46870","43750"
"In post","2023","Declared disabled","Black","Project Delivery","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Science and Engineering","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Statistics","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Tax","London","30","30","39680","39790"
"In post","2023","Declared disabled","Black","Tax","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","London","40","40","37820","35030"
"In post","2023","Declared disabled","Black","Unknown","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data and Technology","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data and Technology","Outside London","30","30","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Economics","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Outside London","35","35","39300","36050"
"In post","2023","Declared disabled","Mixed","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","International Trade","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","London","30","30","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Medicine","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Operational Delivery","London","205","190","34360","32520"
"In post","2023","Declared disabled","Mixed","Operational Delivery","Outside London","680","620","28740","28120"
"In post","2023","Declared disabled","Mixed","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Other","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Other","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Policy","London","110","110","44990","41360"
"In post","2023","Declared disabled","Mixed","Policy","Outside London","35","35","39310","34170"
"In post","2023","Declared disabled","Mixed","Policy","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Outside London","30","30","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Science and Engineering","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Statistics","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Tax","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Tax","Outside London","30","30","33660","34400"
"In post","2023","Declared disabled","Mixed","Unknown","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Outside London","50","50","38510","34110"
"In post","2023","Declared disabled","Mixed","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Commercial","London","[c]","[c]","[c]","[c]"
