"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Building Digital UK","Project Delivery","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","105","105","50840","56110"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Finance","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Human Resources","70","65","40960","37090"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Policy","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Security","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","165","160","43730","39240"
"In post","2023","Asian","Central Civil Service Fast Stream","Commercial","5","5","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Finance","5","5","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Project Delivery","25","25","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Statistics","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","110","110","30620","30130"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Legal","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Project Delivery","65","65","45560","34370"
"In post","2023","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Legal","25","25","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Operational Delivery","30","25","27930","28700"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Finance","20","20","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Human Resources","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Legal","390","365","53500","54100"
"In post","2023","Asian","Crown Prosecution Service","Operational Delivery","375","350","26440","24480"
"In post","2023","Asian","Crown Prosecution Service","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Policy","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Project Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Commercial","15","15","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Finance","25","25","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Operational Delivery","65","60","29000","25240"
"In post","2023","Asian","Defence Equipment and Support","Other","20","15","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Project Delivery","80","75","37770","34760"
"In post","2023","Asian","Defence Equipment and Support","Science and Engineering","115","110","39110","40080"
"In post","2023","Asian","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Other","10","10","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Project Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Science and Engineering","55","50","39410","39890"
"In post","2023","Asian","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","30","30","43550","34670"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","35","35","46970","42610"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","55","55","43000","37750"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","460","455","46330","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","75","75","47860","53030"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Commercial","25","25","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Communications","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Digital, Data and Technology","125","125","42210","37840"
"In post","2023","Asian","Department for Education (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Finance","70","70","38040","35500"
"In post","2023","Asian","Department for Education (excl. agencies)","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Human Resources","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Legal","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Operational Delivery","145","145","39340","37590"
"In post","2023","Asian","Department for Education (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Policy","170","165","43650","41440"
"In post","2023","Asian","Department for Education (excl. agencies)","Project Delivery","80","80","46620","42140"
"In post","2023","Asian","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Statistics","30","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","50","50","39190","37300"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","30","30","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","20","20","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","185","180","41930","37300"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Economics","20","20","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Finance","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Human Resources","20","20","[c]","[c]"
"In post","2023","Asian","Department for International Trade","International Trade","150","145","48030","41750"
"In post","2023","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Operational Delivery","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Other","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Policy","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Project Delivery","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Security","5","5","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Statistics","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","45","45","36290","34310"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","145","140","46050","39830"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","25","25","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
