"Status","Year","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Food Standards Agency","South East (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","45","40","53970","55850"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Government Actuary's Department","London","170","160","72380","67430"
"In post","2023","Analysis","Government Actuary's Department","Scotland","15","10","70680","70000"
"In post","2023","Analysis","Government Legal Department","London","5","5","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","London","40","40","49410","43650"
"In post","2023","Analysis","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","10","10","57230","59150"
"In post","2023","Analysis","HM Land Registry","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","HM Prison and Probation Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","London","410","395","53140","45960"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","20","20","41560","38240"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","315","300","44350","42140"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","20","20","48020","43100"
"In post","2023","Analysis","HM Treasury (excl. agencies)","London","165","165","45490","39050"
"In post","2023","Analysis","HM Treasury (excl. agencies)","North East (England)","20","20","39160","32790"
"In post","2023","Analysis","Health and Safety Executive","East Midlands (England)","30","25","43260","40840"
"In post","2023","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Health and Safety Executive","North West (England)","30","30","44460","40840"
"In post","2023","Analysis","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","London","475","465","46750","43700"
"In post","2023","Analysis","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","North West (England)","25","25","40600","39000"
"In post","2023","Analysis","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Yorkshire and The Humber","65","60","40050","39080"
"In post","2023","Analysis","Intellectual Property Office","London","10","10","56340","61660"
"In post","2023","Analysis","Intellectual Property Office","Wales","50","45","38820","33960"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","East of England","10","10","[c]","[c]"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","London","70","70","36010","28610"
"In post","2023","Analysis","Medicines and Healthcare Products Regulatory Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","East of England","10","10","41180","41200"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","London","140","140","46890","45750"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","South East (England)","80","80","38590","36540"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","South West (England)","75","70","40640","36990"
"In post","2023","Analysis","Ministry of Defence (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","20","20","38620","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","London","520","500","49020","43650"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","North East (England)","15","15","36310","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","North West (England)","25","20","37710","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Wales","25","25","40730","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","10","10","40620","37680"
"In post","2023","Analysis","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","65","65","40500","37680"
"In post","2023","Analysis","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Infrastructure Commission","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","London","25","25","50420","49180"
"In post","2023","Analysis","National Savings and Investments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","National Savings and Investments","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Budget Responsibility","London","40","40","53050","54810"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","London","35","30","48530","36330"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","North West (England)","10","10","44730","33130"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","South West (England)","105","95","41600","40640"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","15","15","35400","32800"
"In post","2023","Analysis","Office for Standards in Education, Children's Services and Skills","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Gas and Electricity Markets","London","110","110","49660","46250"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Scotland","55","55","43500","38500"
"In post","2023","Analysis","Office of Gas and Electricity Markets","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","London","30","30","58950","57140"
"In post","2023","Analysis","Office of Rail and Road","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","South West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Office of Rail and Road","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Analysis","Planning Inspectorate","South West (England)","20","15","45290","41560"
"In post","2023","Analysis","Registers of Scotland","Scotland","15","15","41310","39590"
"In post","2023","Analysis","Rural Payments Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","North East (England)","10","10","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","North West (England)","20","20","32770","30320"
"In post","2023","Analysis","Rural Payments Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","South West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Rural Payments Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Analysis","Scottish Courts and Tribunals Service","Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","Teaching Regulation Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","London","10","10","44380","39670"
"In post","2023","Analysis","The Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","South West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","The Insolvency Service","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Export Finance","London","20","20","53170","51570"
"In post","2023","Analysis","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Space Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","East of England","5","5","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","London","175","170","46930","41890"
"In post","2023","Analysis","UK Statistics Authority","North East (England)","85","85","33330","31560"
"In post","2023","Analysis","UK Statistics Authority","North West (England)","20","20","34230","31560"
"In post","2023","Analysis","UK Statistics Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Scotland","15","15","41650","38470"
"In post","2023","Analysis","UK Statistics Authority","South East (England)","520","490","39530","37760"
"In post","2023","Analysis","UK Statistics Authority","South West (England)","15","10","37540","38570"
"In post","2023","Analysis","UK Statistics Authority","Wales","1055","1015","38990","37760"
"In post","2023","Analysis","UK Statistics Authority","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Analysis","UK Statistics Authority","Yorkshire and The Humber","15","10","37950","38070"
"In post","2023","Analysis","Valuation Office Agency","London","20","20","50870","45420"
"In post","2023","Analysis","Valuation Office Agency","North East (England)","20","20","44880","41500"
"In post","2023","Analysis","Valuation Office Agency","North West (England)","5","5","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","South West (England)","10","10","39230","37730"
"In post","2023","Analysis","Valuation Office Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Valuation Office Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Water Services Regulation Authority","London","30","30","59140","48200"
"In post","2023","Analysis","Water Services Regulation Authority","West Midlands (England)","20","20","61820","54660"
"In post","2023","Analysis","Welsh Revenue Authority","Wales","5","5","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","East Midlands (England)","15","15","27540","25920"
"In post","2023","Commercial","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","South East (England)","20","20","40050","37360"
"In post","2023","Commercial","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Animal and Plant Health Agency","Wales","15","15","36820","37300"
"In post","2023","Commercial","Animal and Plant Health Agency","West Midlands (England)","15","15","34030","30750"
"In post","2023","Commercial","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","London","10","10","38450","35040"
"In post","2023","Commercial","Building Digital UK","North West (England)","10","10","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Building Digital UK","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","East of England","30","25","55550","52790"
"In post","2023","Commercial","Cabinet Office (excl. agencies)","London","105","105","53800","56430"
