"Status","Year","Ethnicity","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","75","75","39210","33020"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","Heterosexual / straight","35","35","32360","32960"
"In post","2023","Asian","Central Civil Service Fast Stream","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","Unknown","100","100","30070","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Outside London","Unknown","35","35","30630","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Heterosexual / straight","105","105","49330","38190"
"In post","2023","Asian","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Outside London","Heterosexual / straight","60","55","42280","37940"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Heterosexual / straight","330","310","41400","33450"
"In post","2023","Asian","Crown Prosecution Service","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","London","Unknown","40","35","41360","31610"
"In post","2023","Asian","Crown Prosecution Service","Outside London","Heterosexual / straight","390","365","38680","35280"
"In post","2023","Asian","Crown Prosecution Service","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Outside London","Unknown","55","45","39690","32520"
"In post","2023","Asian","Crown Prosecution Service","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","London","Heterosexual / straight","35","35","28490","25430"
"In post","2023","Asian","Defence Equipment and Support","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Outside London","Heterosexual / straight","265","255","37670","34190"
"In post","2023","Asian","Defence Equipment and Support","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Outside London","Heterosexual / straight","80","80","40550","39890"
"In post","2023","Asian","Defence Science and Technology Laboratory","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Heterosexual / straight","465","460","47670","41540"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Undeclared","35","35","46790","41540"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Heterosexual / straight","110","110","38320","37470"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Heterosexual / straight","95","95","49170","52900"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","London","Heterosexual / straight","220","215","45340","42010"
"In post","2023","Asian","Department for Education (excl. agencies)","London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Outside London","Heterosexual / straight","405","400","39530","37590"
"In post","2023","Asian","Department for Education (excl. agencies)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Heterosexual / straight","180","175","42950","40260"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Heterosexual / straight","120","120","39300","37300"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","Heterosexual / straight","240","235","45760","41550"
"In post","2023","Asian","Department for International Trade","London","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Heterosexual / straight","175","170","46520","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Heterosexual / straight","85","80","37420","37060"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","London","Heterosexual / straight","280","275","48370","43750"
"In post","2023","Asian","Department for Transport (excl. agencies)","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Outside London","Heterosexual / straight","40","40","41570","39430"
"In post","2023","Asian","Department for Transport (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","London","Heterosexual / straight","1810","1660","33690","32520"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","London","LGBO","35","30","34250","32520"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","London","Undeclared","155","130","31400","32520"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","London","Unknown","335","280","31230","32520"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Outside London","Heterosexual / straight","4430","4050","27820","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Outside London","LGBO","80","75","28000","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Outside London","Undeclared","285","250","26650","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Outside London","Unknown","650","535","26170","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","London","Heterosexual / straight","165","160","46190","41950"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","London","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Outside London","Heterosexual / straight","65","60","42280","38120"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Outside London","Heterosexual / straight","115","105","26080","22500"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","London","Heterosexual / straight","30","30","31810","31260"
"In post","2023","Asian","Driver and Vehicle Standards Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Outside London","Heterosexual / straight","95","90","29730","27450"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Education Scotland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","London","Heterosexual / straight","20","20","[c]","[c]"
