"Status","Year","Age","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Prison and Probation Service","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
