"Status","Year","Parent_department","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Policy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Policy","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","Heterosexual / straight","40","35","43630","37510"
"In post","2023","Attorney General's Departments","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","London","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","Heterosexual / straight","40","40","39230","38940"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Project Delivery","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Statistics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","London","Heterosexual / straight","475","470","78600","69490"
"In post","2023","Cabinet Office","Commercial","London","LGBO","35","35","72680","66530"
"In post","2023","Cabinet Office","Commercial","London","Undeclared","50","50","72190","62000"
"In post","2023","Cabinet Office","Commercial","London","Unknown","215","215","59990","57750"
"In post","2023","Cabinet Office","Commercial","Outside London","Heterosexual / straight","795","785","60420","58030"
"In post","2023","Cabinet Office","Commercial","Outside London","LGBO","40","40","51800","56000"
"In post","2023","Cabinet Office","Commercial","Outside London","Undeclared","55","55","56220","56000"
"In post","2023","Cabinet Office","Commercial","Outside London","Unknown","315","305","59340","56000"
"In post","2023","Cabinet Office","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","London","Heterosexual / straight","85","80","52220","54700"
"In post","2023","Cabinet Office","Communications","London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Communications","London","Unknown","45","45","50710","55790"
"In post","2023","Cabinet Office","Communications","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","Heterosexual / straight","505","500","54820","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","LGBO","80","80","52310","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","Undeclared","80","75","53980","56430"
"In post","2023","Cabinet Office","Digital, Data and Technology","London","Unknown","160","160","44480","41640"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","Heterosexual / straight","345","340","46420","41960"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","LGBO","35","35","41320","38260"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","Undeclared","30","30","45140","40540"
"In post","2023","Cabinet Office","Digital, Data and Technology","Outside London","Unknown","100","100","38890","30130"
"In post","2023","Cabinet Office","Digital, Data and Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Economics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","London","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Finance","London","Heterosexual / straight","85","80","57200","41870"
"In post","2023","Cabinet Office","Finance","London","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Finance","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Finance","London","Unknown","50","50","31780","30130"
"In post","2023","Cabinet Office","Finance","Outside London","Heterosexual / straight","115","115","45130","39660"
"In post","2023","Cabinet Office","Finance","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Finance","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Finance","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","London","Heterosexual / straight","280","270","51830","56430"
"In post","2023","Cabinet Office","Human Resources","London","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","London","Unknown","35","35","45230","38120"
"In post","2023","Cabinet Office","Human Resources","Outside London","Heterosexual / straight","470","435","36170","33020"
"In post","2023","Cabinet Office","Human Resources","Outside London","LGBO","30","30","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","Outside London","Undeclared","30","30","37890","35590"
"In post","2023","Cabinet Office","Human Resources","Outside London","Unknown","35","35","32430","33020"
"In post","2023","Cabinet Office","Human Resources","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Intelligence Analysis","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Intelligence Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","Heterosexual / straight","30","30","39900","35650"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","London","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","London","Heterosexual / straight","35","35","83250","81600"
"In post","2023","Cabinet Office","Legal","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Legal","London","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Legal","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Legal","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","London","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","Heterosexual / straight","120","120","41250","40620"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Operational Delivery","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Other","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Other","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Other","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Policy","London","Heterosexual / straight","165","165","51820","56430"
"In post","2023","Cabinet Office","Policy","London","LGBO","30","30","45530","41410"
"In post","2023","Cabinet Office","Policy","London","Undeclared","30","30","52210","56430"
"In post","2023","Cabinet Office","Policy","London","Unknown","60","60","56660","56430"
"In post","2023","Cabinet Office","Policy","Outside London","Heterosexual / straight","75","70","48010","51290"
"In post","2023","Cabinet Office","Policy","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","London","Heterosexual / straight","100","100","51150","35650"
"In post","2023","Cabinet Office","Project Delivery","London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","London","Unknown","125","125","32330","30130"
"In post","2023","Cabinet Office","Project Delivery","Outside London","Heterosexual / straight","65","65","44670","39460"
"In post","2023","Cabinet Office","Project Delivery","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","Outside London","Unknown","75","75","31150","28840"
"In post","2023","Cabinet Office","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","London","Heterosexual / straight","70","65","53000","56150"
"In post","2023","Cabinet Office","Property","London","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Property","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Property","London","Unknown","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Property","Outside London","Heterosexual / straight","130","130","50660","51020"
"In post","2023","Cabinet Office","Property","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Property","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Property","Outside London","Unknown","40","40","39310","30130"
"In post","2023","Cabinet Office","Psychology","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Psychology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","London","Unknown","60","60","29500","28840"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Security","London","Heterosexual / straight","85","85","56020","56430"
"In post","2023","Cabinet Office","Security","London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Security","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Security","London","Unknown","40","40","51960","48830"
"In post","2023","Cabinet Office","Security","Outside London","Heterosexual / straight","170","165","35320","34320"
"In post","2023","Cabinet Office","Security","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Security","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","Cabinet Office","Security","Outside London","Unknown","35","30","35780","34320"
"In post","2023","Cabinet Office","Security","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Social Research","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","London","Unknown","50","50","29830","30130"
"In post","2023","Cabinet Office","Statistics","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","London","Heterosexual / straight","1140","1115","49230","41870"
"In post","2023","Cabinet Office","Unknown","London","LGBO","135","135","47190","41870"
"In post","2023","Cabinet Office","Unknown","London","Undeclared","140","135","47620","43150"
