"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Inspector of Education and Training","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","London","London","10","10","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","London","London","150","140","35200","30500"
"In post","2023","Asian","Intelligence Analysis","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","London","London","60","60","47390","45840"
"In post","2023","Asian","Internal Audit","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Internal Audit","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","West Midlands (England)","Outside London","10","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","International Trade","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","London","London","125","120","48100","41750"
"In post","2023","Asian","International Trade","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","International Trade","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Overseas","Overseas","15","15","[c]","[c]"
"In post","2023","Asian","International Trade","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","International Trade","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","East of England","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","London","London","90","85","38840","35410"
"In post","2023","Asian","Knowledge and Information Management","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Legal","East Midlands (England)","Outside London","55","50","47820","49050"
"In post","2023","Asian","Legal","East of England","Outside London","45","40","50420","51580"
"In post","2023","Asian","Legal","London","London","605","565","54440","54100"
"In post","2023","Asian","Legal","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Legal","North West (England)","Outside London","95","90","46050","49050"
"In post","2023","Asian","Legal","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Scotland","Outside London","30","30","[c]","[c]"
"In post","2023","Asian","Legal","South East (England)","Outside London","35","30","46070","43710"
"In post","2023","Asian","Legal","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Wales","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Legal","West Midlands (England)","Outside London","120","110","43830","49050"
"In post","2023","Asian","Legal","Yorkshire and The Humber","Outside London","75","70","47130","49050"
"In post","2023","Asian","Medicine","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Medicine","East of England","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Medicine","London","London","60","55","79220","74840"
"In post","2023","Asian","Medicine","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Medicine","South West (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Wales","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Medicine","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Medicine","Yorkshire and The Humber","Outside London","10","5","[c]","[c]"
"In post","2023","Asian","Operational Delivery","East Midlands (England)","Outside London","1490","1335","26560","25830"
"In post","2023","Asian","Operational Delivery","East of England","Outside London","845","755","28540","27690"
"In post","2023","Asian","Operational Delivery","London","London","6415","5895","32820","31260"
"In post","2023","Asian","Operational Delivery","North East (England)","Outside London","380","345","25970","22520"
"In post","2023","Asian","Operational Delivery","North West (England)","Outside London","2145","1955","26760","25830"
"In post","2023","Asian","Operational Delivery","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Overseas","Overseas","5","5","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Scotland","Outside London","315","285","28380","23700"
"In post","2023","Asian","Operational Delivery","South East (England)","Outside London","950","860","29340","28120"
"In post","2023","Asian","Operational Delivery","South West (England)","Outside London","280","255","29350","28120"
"In post","2023","Asian","Operational Delivery","Unknown","Unknown","45","45","27400","28050"
"In post","2023","Asian","Operational Delivery","Wales","Outside London","315","295","26840","25190"
"In post","2023","Asian","Operational Delivery","West Midlands (England)","Outside London","3415","3140","27050","25910"
"In post","2023","Asian","Operational Delivery","Yorkshire and The Humber","Outside London","1985","1815","27150","26920"
"In post","2023","Asian","Operational Research","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","London","London","50","50","49340","44180"
"In post","2023","Asian","Operational Research","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Operational Research","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Other","East of England","Outside London","85","70","27090","25610"
"In post","2023","Asian","Other","London","London","375","360","37980","35410"
"In post","2023","Asian","Other","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Other","North West (England)","Outside London","75","70","28050","22330"
"In post","2023","Asian","Other","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Other","South East (England)","Outside London","30","30","27600","23430"
"In post","2023","Asian","Other","South West (England)","Outside London","35","30","37510","33550"
"In post","2023","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Wales","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Other","West Midlands (England)","Outside London","205","185","24400","21690"
"In post","2023","Asian","Other","Yorkshire and The Humber","Outside London","175","150","24460","21690"
"In post","2023","Asian","Planning","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","London","London","5","5","[c]","[c]"
"In post","2023","Asian","Planning","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","London","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Policy","East of England","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Policy","London","London","1880","1840","47390","43210"
"In post","2023","Asian","Policy","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Policy","North West (England)","Outside London","90","90","37760","37280"
"In post","2023","Asian","Policy","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Overseas","Overseas","110","110","50920","53970"
"In post","2023","Asian","Policy","Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Policy","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Policy","South West (England)","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Wales","Outside London","30","30","42910","39690"
"In post","2023","Asian","Policy","West Midlands (England)","Outside London","150","150","39140","37590"
"In post","2023","Asian","Policy","Yorkshire and The Humber","Outside London","70","65","38310","37300"
"In post","2023","Asian","Project Delivery","East Midlands (England)","Outside London","30","30","42840","42010"
"In post","2023","Asian","Project Delivery","East of England","Outside London","40","40","43240","38680"
"In post","2023","Asian","Project Delivery","London","London","625","615","46120","43210"
"In post","2023","Asian","Project Delivery","North East (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Project Delivery","North West (England)","Outside London","90","85","40400","37590"
"In post","2023","Asian","Project Delivery","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Project Delivery","South East (England)","Outside London","35","35","40400","34610"
"In post","2023","Asian","Project Delivery","South West (England)","Outside London","115","110","39910","35200"
"In post","2023","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","Wales","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Project Delivery","West Midlands (England)","Outside London","155","155","41720","39190"
"In post","2023","Asian","Project Delivery","Yorkshire and The Humber","Outside London","60","55","39160","37590"
"In post","2023","Asian","Property","East Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Property","East of England","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Property","London","London","135","130","38890","35410"
"In post","2023","Asian","Property","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Property","North West (England)","Outside London","30","25","[c]","[c]"
"In post","2023","Asian","Property","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Property","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","West Midlands (England)","Outside London","55","55","34610","30740"
"In post","2023","Asian","Property","Yorkshire and The Humber","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Psychology","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Psychology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","London","London","5","5","[c]","[c]"
"In post","2023","Asian","Psychology","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Psychology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Psychology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Science and Engineering","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Science and Engineering","East of England","Outside London","40","40","44890","41830"
"In post","2023","Asian","Science and Engineering","London","London","190","185","42950","41190"
"In post","2023","Asian","Science and Engineering","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Science and Engineering","North West (England)","Outside London","20","20","[c]","[c]"
