"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","35","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Department for International Trade","Department for International Trade","20","[c]","46610","43730"
"Leaver CS","2023","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","[c]","48910","42210"
"Leaver CS","2023","60-64","Department for Transport (excl. agencies)","Department for Transport","15","[c]","52360","51530"
"Leaver CS","2023","60-64","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1355","[c]","28180","27570"
"Leaver CS","2023","60-64","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","35","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Driver and Vehicle Licensing Agency","Department for Transport","45","[c]","31120","22170"
"Leaver CS","2023","60-64","Driver and Vehicle Standards Agency","Department for Transport","65","[c]","29560","27450"
"Leaver CS","2023","60-64","Education Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Education and Skills Funding Agency","Department for Education","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","FCDO Services","Foreign, Commonwealth and Development Office","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Food Standards Agency","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","60","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Forestry and Land Scotland","Scottish Government","10","[c]","37610","38210"
"Leaver CS","2023","60-64","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Government Commercial Organisation","Cabinet Office","15","[c]","65500","64500"
"Leaver CS","2023","60-64","Government Internal Audit Agency","HM Treasury","10","[c]","47380","44590"
"Leaver CS","2023","60-64","Government Legal Department","Attorney General's Departments","15","[c]","69280","72670"
"Leaver CS","2023","60-64","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","HM Courts and Tribunals Service","Ministry of Justice","210","[c]","27740","21780"
"Leaver CS","2023","60-64","HM Land Registry","HM Land Registry","75","[c]","35380","33840"
"Leaver CS","2023","60-64","HM Prison and Probation Service","Ministry of Justice","615","[c]","38080","29050"
"Leaver CS","2023","60-64","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","805","[c]","[c]","[c]"
"Leaver CS","2023","60-64","HM Treasury (excl. agencies)","HM Treasury","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Health and Safety Executive","Department for Work and Pensions","45","[c]","47020","46320"
"Leaver CS","2023","60-64","Home Office","Home Office","315","[c]","35020","29370"
"Leaver CS","2023","60-64","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Legal Aid Agency","Ministry of Justice","10","[c]","38030","34130"
"Leaver CS","2023","60-64","Maritime and Coastguard Agency","Department for Transport","20","[c]","47980","44890"
"Leaver CS","2023","60-64","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","15","[c]","65710","75030"
"Leaver CS","2023","60-64","Met Office","Department for Business, Energy and Industrial Strategy","10","[c]","41620","40590"
"Leaver CS","2023","60-64","Ministry of Defence (excl. agencies)","Ministry of Defence","650","[c]","35020","31870"
"Leaver CS","2023","60-64","Ministry of Justice (excl. agencies)","Ministry of Justice","45","[c]","44840","41300"
"Leaver CS","2023","60-64","National Crime Agency","National Crime Agency","50","[c]","48610","45480"
"Leaver CS","2023","60-64","National Records of Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","35","[c]","69810","77470"
"Leaver CS","2023","60-64","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Office of the Public Guardian","Ministry of Justice","10","[c]","24980","21780"
"Leaver CS","2023","60-64","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Registers of Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Royal Fleet Auxiliary","Ministry of Defence","30","[c]","46800","38420"
"Leaver CS","2023","60-64","Rural Payments Agency","Department for Environment, Food and Rural Affairs","30","[c]","27270","24030"
"Leaver CS","2023","60-64","Scottish Courts and Tribunals Service","Scottish Government","25","[c]","33700","25060"
"Leaver CS","2023","60-64","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Scottish Government (excl. agencies)","Scottish Government","75","[c]","51780","49860"
"Leaver CS","2023","60-64","Scottish Prison Service","Scottish Government","65","[c]","37230","37060"
"Leaver CS","2023","60-64","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Serious Fraud Office","Attorney General's Departments","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Social Security Scotland","Scottish Government","25","[c]","31270","23340"
"Leaver CS","2023","60-64","Student Awards Agency for Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Submarine Delivery Agency","Ministry of Defence","20","[c]","62270","47980"
"Leaver CS","2023","60-64","The Insolvency Service","Department for Business, Energy and Industrial Strategy","15","[c]","40770","40280"
"Leaver CS","2023","60-64","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Transport Scotland","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","UK Export Finance","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","UK Health Security Agency","Department of Health and Social Care","115","[c]","54190","41730"
"Leaver CS","2023","60-64","UK Hydrographic Office","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","60-64","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","UK Statistics Authority","UK Statistics Authority","95","[c]","27690","21200"
"Leaver CS","2023","60-64","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Valuation Office Agency","HM Revenue and Customs","45","[c]","38090","34000"
"Leaver CS","2023","60-64","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Welsh Government (excl. agencies)","Welsh Government","45","[c]","49030","47470"
"Leaver CS","2023","60-64","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","15","[c]","46200","44310"
"Leaver CS","2023","65+","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","35","[c]","30380","25920"
"Leaver CS","2023","65+","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Cabinet Office (excl. agencies)","Cabinet Office","30","[c]","35290","29200"
"Leaver CS","2023","65+","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Companies House","Department for Business, Energy and Industrial Strategy","15","[c]","25120","22740"
"Leaver CS","2023","65+","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Crown Office and Procurator Fiscal Service","Scottish Government","15","[c]","31670","24490"
"Leaver CS","2023","65+","Crown Prosecution Service","Attorney General's Departments","35","[c]","42490","35000"
"Leaver CS","2023","65+","Defence Electronics and Components Agency","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Defence Equipment and Support","Ministry of Defence","100","[c]","36690","36040"
"Leaver CS","2023","65+","Defence Science and Technology Laboratory","Ministry of Defence","30","[c]","40260","39890"
"Leaver CS","2023","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","15","[c]","42100","38020"
"Leaver CS","2023","65+","Department for Education (excl. agencies)","Department for Education","15","[c]","48560","51360"
"Leaver CS","2023","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","20","[c]","[c]","[c]"
"Leaver CS","2023","65+","Department for International Trade","Department for International Trade","10","[c]","52640","41110"
"Leaver CS","2023","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","Department for Transport (excl. agencies)","Department for Transport","15","[c]","45180","35810"
"Leaver CS","2023","65+","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1130","[c]","26190","26650"
"Leaver CS","2023","65+","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Driver and Vehicle Licensing Agency","Department for Transport","75","[c]","24270","21840"
"Leaver CS","2023","65+","Driver and Vehicle Standards Agency","Department for Transport","105","[c]","29140","27450"
"Leaver CS","2023","65+","Education Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Education and Skills Funding Agency","Department for Education","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Estyn","Estyn","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","FCDO Services","Foreign, Commonwealth and Development Office","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","Food Standards Agency","Food Standards Agency","15","[c]","31990","28090"
"Leaver CS","2023","65+","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","25","[c]","[c]","[c]"
"Leaver CS","2023","65+","Forestry and Land Scotland","Scottish Government","10","[c]","35530","29560"
"Leaver CS","2023","65+","Government Commercial Organisation","Cabinet Office","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Government Legal Department","Attorney General's Departments","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","HM Courts and Tribunals Service","Ministry of Justice","215","[c]","24200","21780"
"Leaver CS","2023","65+","HM Land Registry","HM Land Registry","50","[c]","33100","33840"
"Leaver CS","2023","65+","HM Prison and Probation Service","Ministry of Justice","570","[c]","31900","29050"
"Leaver CS","2023","65+","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","580","[c]","[c]","[c]"
"Leaver CS","2023","65+","HM Treasury (excl. agencies)","HM Treasury","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Health and Safety Executive","Department for Work and Pensions","20","[c]","43340","30340"
"Leaver CS","2023","65+","Home Office","Home Office","235","[c]","30070","26400"
"Leaver CS","2023","65+","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","[c]","34470","28750"
"Leaver CS","2023","65+","Legal Aid Agency","Ministry of Justice","10","[c]","26040","23450"
"Leaver CS","2023","65+","Maritime and Coastguard Agency","Department for Transport","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","15","[c]","58650","53830"
"Leaver CS","2023","65+","Met Office","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Ministry of Defence (excl. agencies)","Ministry of Defence","560","[c]","30260","26670"
"Leaver CS","2023","65+","Ministry of Justice (excl. agencies)","Ministry of Justice","30","[c]","39650","40010"
"Leaver CS","2023","65+","National Crime Agency","National Crime Agency","20","[c]","37390","37760"
"Leaver CS","2023","65+","National Records of Scotland","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","25","[c]","60240","52750"
"Leaver CS","2023","65+","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Office of the Public Guardian","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Planning Inspectorate","Department for Levelling Up, Housing and Communities","15","[c]","62640","60050"
"Leaver CS","2023","65+","Registers of Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Royal Fleet Auxiliary","Ministry of Defence","10","[c]","43850","33480"
"Leaver CS","2023","65+","Rural Payments Agency","Department for Environment, Food and Rural Affairs","25","[c]","24830","22150"
"Leaver CS","2023","65+","Scottish Courts and Tribunals Service","Scottish Government","25","[c]","26280","25060"
"Leaver CS","2023","65+","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Scottish Government (excl. agencies)","Scottish Government","40","[c]","40320","35150"
"Leaver CS","2023","65+","Scottish Prison Service","Scottish Government","50","[c]","36650","37060"
"Leaver CS","2023","65+","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Submarine Delivery Agency","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","The Insolvency Service","Department for Business, Energy and Industrial Strategy","15","[c]","34650","36060"
"Leaver CS","2023","65+","The National Archives","The National Archives","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","UK Health Security Agency","Department of Health and Social Care","45","[c]","56050","40560"
"Leaver CS","2023","65+","UK Hydrographic Office","Ministry of Defence","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","UK Statistics Authority","UK Statistics Authority","95","[c]","25730","21200"
"Leaver CS","2023","65+","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Valuation Office Agency","HM Revenue and Customs","35","[c]","37580","36000"
"Leaver CS","2023","65+","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Welsh Government (excl. agencies)","Welsh Government","50","[c]","41470","38160"
"Leaver CS","2023","65+","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","115","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","40","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","[c]","24970","23260"
"Leaver Dept.","2023","20-29","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Building Digital UK","Department for Digital, Culture, Media and Sport","15","[c]","37880","35620"
"Leaver Dept.","2023","20-29","Cabinet Office (excl. agencies)","Cabinet Office","395","[c]","35980","34550"
"Leaver Dept.","2023","20-29","Central Civil Service Fast Stream","Cabinet Office","420","[c]","31720","32000"
"Leaver Dept.","2023","20-29","Charity Commission","Charity Commission","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Companies House","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Competition and Markets Authority","Competition and Markets Authority","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Commercial Service","Cabinet Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Crown Prosecution Service","Attorney General's Departments","40","[c]","27080","26900"
"Leaver Dept.","2023","20-29","Defence Equipment and Support","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Defence Science and Technology Laboratory","Ministry of Defence","10","[c]","32860","30650"
"Leaver Dept.","2023","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","215","[c]","38610","34610"
"Leaver Dept.","2023","20-29","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","105","[c]","38450","35620"
"Leaver Dept.","2023","20-29","Department for Education (excl. agencies)","Department for Education","135","[c]","35910","34030"
"Leaver Dept.","2023","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","190","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Department for International Trade","Department for International Trade","95","[c]","34860","32120"
"Leaver Dept.","2023","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","170","[c]","35230","33210"
"Leaver Dept.","2023","20-29","Department for Transport (excl. agencies)","Department for Transport","100","[c]","36740","35400"
"Leaver Dept.","2023","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","700","[c]","29050","28120"
"Leaver Dept.","2023","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","155","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Driver and Vehicle Licensing Agency","Department for Transport","35","[c]","23850","22500"
"Leaver Dept.","2023","20-29","Driver and Vehicle Standards Agency","Department for Transport","25","[c]","25200","26130"
"Leaver Dept.","2023","20-29","Education and Skills Funding Agency","Department for Education","15","[c]","33340","30330"
"Leaver Dept.","2023","20-29","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Food Standards Agency","Food Standards Agency","15","[c]","33910","33320"
"Leaver Dept.","2023","20-29","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","50","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Commercial Organisation","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Internal Audit Agency","HM Treasury","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Government Legal Department","Attorney General's Departments","35","[c]","30670","28170"
"Leaver Dept.","2023","20-29","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Courts and Tribunals Service","Ministry of Justice","190","[c]","25020","21780"
"Leaver Dept.","2023","20-29","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Prison and Probation Service","Ministry of Justice","185","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","480","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","HM Treasury (excl. agencies)","HM Treasury","110","[c]","36900","33630"
"Leaver Dept.","2023","20-29","Health and Safety Executive","Department for Work and Pensions","15","[c]","25900","26370"
"Leaver Dept.","2023","20-29","Home Office","Home Office","450","[c]","33510","29890"
"Leaver Dept.","2023","20-29","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","[c]","28350","27380"
"Leaver Dept.","2023","20-29","Legal Aid Agency","Ministry of Justice","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","155","[c]","33640","33990"
"Leaver Dept.","2023","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","145","[c]","36280","35410"
"Leaver Dept.","2023","20-29","National Crime Agency","National Crime Agency","25","[c]","31490","30740"
"Leaver Dept.","2023","20-29","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Northern Ireland Office","Northern Ireland Office","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","15","[c]","33660","33130"
"Leaver Dept.","2023","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","35","[c]","30780","32340"
"Leaver Dept.","2023","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of Rail and Road","Office of Rail and Road","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of the Public Guardian","Ministry of Justice","20","[c]","23880","21780"
"Leaver Dept.","2023","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Registers of Scotland","Scottish Government","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","25","[c]","23150","22150"
"Leaver Dept.","2023","20-29","Scottish Courts and Tribunals Service","Scottish Government","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Scottish Government (excl. agencies)","Scottish Government","10","[c]","34550","34930"
"Leaver Dept.","2023","20-29","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","The Insolvency Service","Department for Business, Energy and Industrial Strategy","25","[c]","23820","22180"
"Leaver Dept.","2023","20-29","The National Archives","The National Archives","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Export Finance","UK Export Finance","5","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Health Security Agency","Department of Health and Social Care","50","[c]","33630","32790"
"Leaver Dept.","2023","20-29","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","UK Statistics Authority","UK Statistics Authority","90","[c]","30760","31060"
"Leaver Dept.","2023","20-29","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Valuation Office Agency","HM Revenue and Customs","25","[c]","26300","22520"
"Leaver Dept.","2023","20-29","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Welsh Government (excl. agencies)","Welsh Government","15","[c]","28220","26820"
"Leaver Dept.","2023","20-29","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
