"Status","Year","Region_ITL1","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","North West (England)","Cumbria","Outside London","Female","1435","1265","28730","25920"
"In post","2023","North West (England)","Cumbria","Outside London","Male","1030","1005","32180","28090"
"In post","2023","North West (England)","Greater Manchester","Outside London","Female","12005","11100","33140","28130"
"In post","2023","North West (England)","Greater Manchester","Outside London","Male","10300","10015","35370","32000"
"In post","2023","North West (England)","Lancashire","Outside London","Female","8720","7740","30130","28120"
"In post","2023","North West (England)","Lancashire","Outside London","Male","6200","5910","31980","28120"
"In post","2023","North West (England)","Merseyside","Outside London","Female","13735","12370","30090","27320"
"In post","2023","North West (England)","Merseyside","Outside London","Male","9180","8880","31880","28120"
"In post","2023","North West (England)","Merseyside","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland","Northern Ireland","Outside London","Female","2135","1965","31500","28090"
"In post","2023","Northern Ireland","Northern Ireland","Outside London","Male","2415","2350","30700","27650"
"In post","2023","Overseas","Overseas","Overseas","Female","1485","1475","53300","53750"
"In post","2023","Overseas","Overseas","Overseas","Male","2030","2025","53550","53630"
"In post","2023","Scotland","Eastern Scotland","Outside London","Female","11825","10940","37520","32510"
"In post","2023","Scotland","Eastern Scotland","Outside London","Male","9885","9570","38650","34700"
"In post","2023","Scotland","Highlands and Islands","Outside London","Female","1060","965","30820","28120"
"In post","2023","Scotland","Highlands and Islands","Outside London","Male","975","940","32110","29560"
"In post","2023","Scotland","North Eastern Scotland","Outside London","Female","960","870","35050","31120"
"In post","2023","Scotland","North Eastern Scotland","Outside London","Male","950","915","41990","36900"
"In post","2023","Scotland","Southern Scotland","Outside London","Female","3615","3200","31080","28120"
"In post","2023","Scotland","Southern Scotland","Outside London","Male","2600","2490","32800","28140"
"In post","2023","Scotland","West Central Scotland","Outside London","Female","11625","10570","32950","28120"
"In post","2023","Scotland","West Central Scotland","Outside London","Male","10005","9655","34790","30920"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","4815","4435","33790","30950"
"In post","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","4485","4365","37210","34170"
"In post","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Female","7925","7140","33170","29050"
"In post","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Male","7945","7560","36270","32920"
"In post","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","South East (England)","Kent","Outside London","Female","4610","4220","30580","28180"
"In post","2023","South East (England)","Kent","Outside London","Male","4470","4300","31730","30320"
"In post","2023","South East (England)","Surrey, East and West Sussex","Outside London","Female","5000","4480","32540","28730"
"In post","2023","South East (England)","Surrey, East and West Sussex","Outside London","Male","3785","3595","34460","30890"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","Outside London","Female","965","840","28480","28120"
"In post","2023","South West (England)","Cornwall and Isles of Scilly","Outside London","Male","765","730","29690","27470"
"In post","2023","South West (England)","Devon","Outside London","Female","4725","4170","31780","28120"
"In post","2023","South West (England)","Devon","Outside London","Male","4815","4625","35310","32730"
"In post","2023","South West (England)","Dorset and Somerset","Outside London","Female","2740","2460","30930","28120"
"In post","2023","South West (England)","Dorset and Somerset","Outside London","Male","2825","2720","33680","31240"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","14410","13315","36570","33690"
"In post","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","16145","15755","40950","38790"
"In post","2023","Unknown","Unknown","Unknown","Female","665","635","35910","32640"
"In post","2023","Unknown","Unknown","Unknown","Male","2050","2025","40910","38710"
"In post","2023","Wales","East Wales","Outside London","Female","11515","10565","34760","30610"
"In post","2023","Wales","East Wales","Outside London","Male","9755","9465","37200","32740"
"In post","2023","Wales","East Wales","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Wales","West Wales and The Valleys","Outside London","Female","10645","9375","29290","27260"
"In post","2023","Wales","West Wales and The Valleys","Outside London","Male","6740","6475","32320","28120"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","2320","2105","30150","28120"
"In post","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","1800","1735","31700","28880"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","Outside London","Female","5040","4630","32340","28120"
"In post","2023","West Midlands (England)","Shropshire and Staffordshire","Outside London","Male","4330","4175","35050","32060"
"In post","2023","West Midlands (England)","West Midlands","Outside London","Female","12380","11180","31790","28120"
"In post","2023","West Midlands (England)","West Midlands","Outside London","Male","8575","8295","34160","28520"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","Female","2615","2320","29210","28120"
"In post","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","Male","2460","2335","31310","28880"
"In post","2023","Yorkshire and The Humber","North Yorkshire","Outside London","Female","2505","2325","34230","30320"
"In post","2023","Yorkshire and The Humber","North Yorkshire","Outside London","Male","2300","2240","34840","30740"
"In post","2023","Yorkshire and The Humber","South Yorkshire","Outside London","Female","6470","5750","32510","28120"
"In post","2023","Yorkshire and The Humber","South Yorkshire","Outside London","Male","4855","4695","35090","32000"
"In post","2023","Yorkshire and The Humber","West Yorkshire","Outside London","Female","10900","9900","33680","28880"
"In post","2023","Yorkshire and The Humber","West Yorkshire","Outside London","Male","8750","8460","35170","31270"
"Leaver CS","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Female","730","[c]","30000","27570"
"Leaver CS","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Male","530","[c]","32830","28120"
"Leaver CS","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Female","400","[c]","26460","23130"
"Leaver CS","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Male","330","[c]","27770","26470"
"Leaver CS","2023","East Midlands (England)","Lincolnshire","Outside London","Female","155","[c]","26830","26780"
"Leaver CS","2023","East Midlands (England)","Lincolnshire","Outside London","Male","170","[c]","30390","27570"
"Leaver CS","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Female","320","[c]","32990","29290"
"Leaver CS","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Male","240","[c]","33160","29290"
"Leaver CS","2023","East of England","East Anglia","Outside London","Female","665","[c]","28920","26670"
"Leaver CS","2023","East of England","East Anglia","Outside London","Male","665","[c]","34390","28120"
"Leaver CS","2023","East of England","Essex","Outside London","Female","365","[c]","33050","29290"
"Leaver CS","2023","East of England","Essex","Outside London","Male","255","[c]","30560","27500"
"Leaver CS","2023","London","Inner London - East","London","Female","1155","[c]","41710","34260"
"Leaver CS","2023","London","Inner London - East","London","Male","955","[c]","47640","41750"
"Leaver CS","2023","London","Inner London - West","London","Female","3215","[c]","44060","39350"
"Leaver CS","2023","London","Inner London - West","London","Male","2825","[c]","47760","43000"
"Leaver CS","2023","London","Outer London - East and North East","London","Female","285","[c]","30880","31060"
"Leaver CS","2023","London","Outer London - East and North East","London","Male","205","[c]","31680","31060"
"Leaver CS","2023","London","Outer London - South","London","Female","485","[c]","36520","31520"
"Leaver CS","2023","London","Outer London - South","London","Male","405","[c]","39590","36000"
"Leaver CS","2023","London","Outer London - West and North West","London","Female","590","[c]","32400","31060"
"Leaver CS","2023","London","Outer London - West and North West","London","Male","420","[c]","34650","31060"
"Leaver CS","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Female","895","[c]","28040","22310"
"Leaver CS","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Male","670","[c]","32670","27570"
"Leaver CS","2023","North East (England)","Tees Valley and Durham","Outside London","Female","480","[c]","27540","22520"
"Leaver CS","2023","North East (England)","Tees Valley and Durham","Outside London","Male","395","[c]","29970","26750"
"Leaver CS","2023","North West (England)","Cheshire","Outside London","Female","225","[c]","30320","28120"
"Leaver CS","2023","North West (England)","Cheshire","Outside London","Male","175","[c]","34460","32540"
"Leaver CS","2023","North West (England)","Cumbria","Outside London","Female","110","[c]","27680","22150"
"Leaver CS","2023","North West (England)","Cumbria","Outside London","Male","100","[c]","33890","28120"
"Leaver CS","2023","North West (England)","Greater Manchester","Outside London","Female","1040","[c]","29290","25700"
"Leaver CS","2023","North West (England)","Greater Manchester","Outside London","Male","880","[c]","33370","27570"
"Leaver CS","2023","North West (England)","Lancashire","Outside London","Female","590","[c]","28150","23390"
"Leaver CS","2023","North West (England)","Lancashire","Outside London","Male","470","[c]","30710","26860"
"Leaver CS","2023","North West (England)","Merseyside","Outside London","Female","900","[c]","27970","25880"
"Leaver CS","2023","North West (England)","Merseyside","Outside London","Male","590","[c]","29750","26020"
"Leaver CS","2023","Northern Ireland","Northern Ireland","Outside London","Female","130","[c]","29590","22970"
"Leaver CS","2023","Northern Ireland","Northern Ireland","Outside London","Male","140","[c]","29470","25750"
"Leaver CS","2023","Overseas","Overseas","Overseas","Female","70","[c]","51350","48650"
"Leaver CS","2023","Overseas","Overseas","Overseas","Male","80","[c]","49690","44760"
"Leaver CS","2023","Scotland","Eastern Scotland","Outside London","Female","855","[c]","33630","28120"
"Leaver CS","2023","Scotland","Eastern Scotland","Outside London","Male","760","[c]","35710","31450"
"Leaver CS","2023","Scotland","Highlands and Islands","Outside London","Female","105","[c]","27960","26220"
"Leaver CS","2023","Scotland","Highlands and Islands","Outside London","Male","85","[c]","27470","26500"
"Leaver CS","2023","Scotland","North Eastern Scotland","Outside London","Female","65","[c]","31600","27840"
"Leaver CS","2023","Scotland","North Eastern Scotland","Outside London","Male","95","[c]","37610","31940"
"Leaver CS","2023","Scotland","Southern Scotland","Outside London","Female","250","[c]","27920","27570"
"Leaver CS","2023","Scotland","Southern Scotland","Outside London","Male","210","[c]","31390","27570"
"Leaver CS","2023","Scotland","West Central Scotland","Outside London","Female","735","[c]","29990","25880"
"Leaver CS","2023","Scotland","West Central Scotland","Outside London","Male","740","[c]","33070","28120"
"Leaver CS","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","585","[c]","33210","28120"
"Leaver CS","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","555","[c]","35360","30160"
"Leaver CS","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Female","875","[c]","29400","25120"
"Leaver CS","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Male","895","[c]","33520","28120"
"Leaver CS","2023","South East (England)","Kent","Outside London","Female","410","[c]","29680","29130"
"Leaver CS","2023","South East (England)","Kent","Outside London","Male","410","[c]","30670","27650"
"Leaver CS","2023","South East (England)","Surrey, East and West Sussex","Outside London","Female","600","[c]","29760","27570"
"Leaver CS","2023","South East (England)","Surrey, East and West Sussex","Outside London","Male","430","[c]","31480","27570"
"Leaver CS","2023","South West (England)","Cornwall and Isles of Scilly","Outside London","Female","75","[c]","27970","26670"
"Leaver CS","2023","South West (England)","Cornwall and Isles of Scilly","Outside London","Male","90","[c]","29890","26790"
"Leaver CS","2023","South West (England)","Devon","Outside London","Female","395","[c]","30370","27570"
"Leaver CS","2023","South West (England)","Devon","Outside London","Male","495","[c]","32990","27570"
"Leaver CS","2023","South West (England)","Dorset and Somerset","Outside London","Female","245","[c]","30080","27570"
"Leaver CS","2023","South West (England)","Dorset and Somerset","Outside London","Male","315","[c]","30910","27610"
"Leaver CS","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","1310","[c]","32930","28120"
"Leaver CS","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","1560","[c]","38300","33990"
"Leaver CS","2023","Unknown","Unknown","Unknown","Female","150","[c]","31540","28120"
"Leaver CS","2023","Unknown","Unknown","Unknown","Male","270","[c]","37660","33480"
"Leaver CS","2023","Wales","East Wales","Outside London","Female","750","[c]","31570","27410"
"Leaver CS","2023","Wales","East Wales","Outside London","Male","790","[c]","35750","30190"
"Leaver CS","2023","Wales","West Wales and The Valleys","Outside London","Female","785","[c]","25760","22500"
"Leaver CS","2023","Wales","West Wales and The Valleys","Outside London","Male","495","[c]","29130","22500"
"Leaver CS","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","245","[c]","26500","22220"
"Leaver CS","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","230","[c]","29190","27470"
"Leaver CS","2023","West Midlands (England)","Shropshire and Staffordshire","Outside London","Female","515","[c]","27750","25000"
"Leaver CS","2023","West Midlands (England)","Shropshire and Staffordshire","Outside London","Male","440","[c]","28840","27570"
"Leaver CS","2023","West Midlands (England)","West Midlands","Outside London","Female","1015","[c]","30390","26430"
"Leaver CS","2023","West Midlands (England)","West Midlands","Outside London","Male","685","[c]","33430","27570"
"Leaver CS","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","Female","205","[c]","27950","27470"
"Leaver CS","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","Male","195","[c]","29130","27520"
"Leaver CS","2023","Yorkshire and The Humber","North Yorkshire","Outside London","Female","220","[c]","31490","25920"
"Leaver CS","2023","Yorkshire and The Humber","North Yorkshire","Outside London","Male","200","[c]","32660","27570"
"Leaver CS","2023","Yorkshire and The Humber","South Yorkshire","Outside London","Female","400","[c]","30030","26650"
"Leaver CS","2023","Yorkshire and The Humber","South Yorkshire","Outside London","Male","345","[c]","33200","27570"
"Leaver CS","2023","Yorkshire and The Humber","West Yorkshire","Outside London","Female","910","[c]","33570","28120"
"Leaver CS","2023","Yorkshire and The Humber","West Yorkshire","Outside London","Male","805","[c]","36200","28120"
"Leaver Dept.","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Female","150","[c]","30780","28120"
"Leaver Dept.","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Male","95","[c]","33400","27570"
"Leaver Dept.","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Female","55","[c]","24950","21780"
"Leaver Dept.","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","East Midlands (England)","Lincolnshire","Outside London","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","East Midlands (England)","Lincolnshire","Outside London","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Female","40","[c]","31860","31280"
"Leaver Dept.","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Male","35","[c]","34930","34260"
"Leaver Dept.","2023","East of England","East Anglia","Outside London","Female","85","[c]","30680","28120"
"Leaver Dept.","2023","East of England","East Anglia","Outside London","Male","85","[c]","32200","28120"
"Leaver Dept.","2023","East of England","Essex","Outside London","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","East of England","Essex","Outside London","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","London","Inner London - East","London","Female","415","[c]","39920","33610"
"Leaver Dept.","2023","London","Inner London - East","London","Male","320","[c]","43150","35650"
"Leaver Dept.","2023","London","Inner London - West","London","Female","2910","[c]","44170","39960"
"Leaver Dept.","2023","London","Inner London - West","London","Male","2295","[c]","45990","40600"
"Leaver Dept.","2023","London","Outer London - East and North East","London","Female","50","[c]","30960","31060"
"Leaver Dept.","2023","London","Outer London - East and North East","London","Male","40","[c]","32670","32520"
"Leaver Dept.","2023","London","Outer London - South","London","Female","175","[c]","39440","32640"
"Leaver Dept.","2023","London","Outer London - South","London","Male","135","[c]","42670","36310"
"Leaver Dept.","2023","London","Outer London - West and North West","London","Female","100","[c]","33340","32520"
"Leaver Dept.","2023","London","Outer London - West and North West","London","Male","80","[c]","33760","32520"
"Leaver Dept.","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Female","375","[c]","30270","28120"
"Leaver Dept.","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Male","265","[c]","30580","27570"
"Leaver Dept.","2023","North East (England)","Tees Valley and Durham","Outside London","Female","135","[c]","32900","29800"
"Leaver Dept.","2023","North East (England)","Tees Valley and Durham","Outside London","Male","90","[c]","33520","28120"
"Leaver Dept.","2023","North West (England)","Cheshire","Outside London","Female","70","[c]","30390","27140"
"Leaver Dept.","2023","North West (England)","Cheshire","Outside London","Male","40","[c]","31500","28840"
"Leaver Dept.","2023","North West (England)","Cumbria","Outside London","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","North West (England)","Cumbria","Outside London","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","North West (England)","Greater Manchester","Outside London","Female","410","[c]","33380","29720"
"Leaver Dept.","2023","North West (England)","Greater Manchester","Outside London","Male","340","[c]","34090","30330"
"Leaver Dept.","2023","North West (England)","Lancashire","Outside London","Female","130","[c]","30930","28120"
"Leaver Dept.","2023","North West (England)","Lancashire","Outside London","Male","80","[c]","31570","28120"
"Leaver Dept.","2023","North West (England)","Merseyside","Outside London","Female","310","[c]","29150","27570"
"Leaver Dept.","2023","North West (England)","Merseyside","Outside London","Male","200","[c]","30200","27840"
"Leaver Dept.","2023","Northern Ireland","Northern Ireland","Outside London","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2023","Northern Ireland","Northern Ireland","Outside London","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2023","Overseas","Overseas","Overseas","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","Overseas","Overseas","Overseas","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Scotland","Eastern Scotland","Outside London","Female","255","[c]","31040","27570"
"Leaver Dept.","2023","Scotland","Eastern Scotland","Outside London","Male","185","[c]","33490","28120"
"Leaver Dept.","2023","Scotland","Highlands and Islands","Outside London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Scotland","Highlands and Islands","Outside London","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Scotland","North Eastern Scotland","Outside London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Scotland","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Scotland","Southern Scotland","Outside London","Female","75","[c]","26710","27570"
"Leaver Dept.","2023","Scotland","Southern Scotland","Outside London","Male","60","[c]","[c]","[c]"
"Leaver Dept.","2023","Scotland","West Central Scotland","Outside London","Female","300","[c]","28960","27570"
"Leaver Dept.","2023","Scotland","West Central Scotland","Outside London","Male","215","[c]","29120","27570"
"Leaver Dept.","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","75","[c]","32400","28200"
"Leaver Dept.","2023","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","65","[c]","33540","31280"
"Leaver Dept.","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Female","130","[c]","32650","31050"
"Leaver Dept.","2023","South East (England)","Hampshire and Isle of Wight","Outside London","Male","115","[c]","34640","33300"
"Leaver Dept.","2023","South East (England)","Kent","Outside London","Female","55","[c]","28300","29590"
"Leaver Dept.","2023","South East (England)","Kent","Outside London","Male","105","[c]","29430","29290"
"Leaver Dept.","2023","South East (England)","Surrey, East and West Sussex","Outside London","Female","80","[c]","31350","28120"
"Leaver Dept.","2023","South East (England)","Surrey, East and West Sussex","Outside London","Male","65","[c]","35610","30700"
"Leaver Dept.","2023","South West (England)","Cornwall and Isles of Scilly","Outside London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","South West (England)","Cornwall and Isles of Scilly","Outside London","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","South West (England)","Devon","Outside London","Female","90","[c]","28370","26530"
"Leaver Dept.","2023","South West (England)","Devon","Outside London","Male","55","[c]","30990","27300"
"Leaver Dept.","2023","South West (England)","Dorset and Somerset","Outside London","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2023","South West (England)","Dorset and Somerset","Outside London","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","315","[c]","37860","34300"
"Leaver Dept.","2023","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","230","[c]","41120","37490"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","Female","85","[c]","32710","32000"
"Leaver Dept.","2023","Unknown","Unknown","Unknown","Male","70","[c]","35520","32730"
"Leaver Dept.","2023","Wales","East Wales","Outside London","Female","325","[c]","33820","31060"
"Leaver Dept.","2023","Wales","East Wales","Outside London","Male","205","[c]","38230","31750"
"Leaver Dept.","2023","Wales","West Wales and The Valleys","Outside London","Female","205","[c]","29950","28120"
"Leaver Dept.","2023","Wales","West Wales and The Valleys","Outside London","Male","150","[c]","31900","28120"
"Leaver Dept.","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2023","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","West Midlands (England)","Shropshire and Staffordshire","Outside London","Female","125","[c]","26680","23430"
"Leaver Dept.","2023","West Midlands (England)","Shropshire and Staffordshire","Outside London","Male","70","[c]","29160","27570"
"Leaver Dept.","2023","West Midlands (England)","West Midlands","Outside London","Female","375","[c]","32170","28120"
"Leaver Dept.","2023","West Midlands (England)","West Midlands","Outside London","Male","270","[c]","34490","30190"
"Leaver Dept.","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Yorkshire and The Humber","North Yorkshire","Outside London","Female","75","[c]","34410","32000"
"Leaver Dept.","2023","Yorkshire and The Humber","North Yorkshire","Outside London","Male","55","[c]","37530","34020"
"Leaver Dept.","2023","Yorkshire and The Humber","South Yorkshire","Outside London","Female","165","[c]","33180","28120"
"Leaver Dept.","2023","Yorkshire and The Humber","South Yorkshire","Outside London","Male","125","[c]","35290","32160"
"Leaver Dept.","2023","Yorkshire and The Humber","West Yorkshire","Outside London","Female","350","[c]","34710","31990"
"Leaver Dept.","2023","Yorkshire and The Humber","West Yorkshire","Outside London","Male","265","[c]","33210","28120"
"New entrant CS","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Female","950","[c]","27320","23640"
"New entrant CS","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Male","655","[c]","28260","24070"
"New entrant CS","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Female","465","[c]","24460","22450"
"New entrant CS","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Male","350","[c]","26890","24070"
"New entrant CS","2023","East Midlands (England)","Lincolnshire","Outside London","Female","195","[c]","27230","23640"
"New entrant CS","2023","East Midlands (England)","Lincolnshire","Outside London","Male","195","[c]","29850","28880"
"New entrant CS","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Female","310","[c]","28020","24200"
"New entrant CS","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Male","230","[c]","30320","30740"
"New entrant CS","2023","East of England","East Anglia","Outside London","Female","775","[c]","26870","23640"
"New entrant CS","2023","East of England","East Anglia","Outside London","Male","690","[c]","29340","28120"
"New entrant CS","2023","East of England","Essex","Outside London","Female","270","[c]","26670","23640"
"New entrant CS","2023","East of England","Essex","Outside London","Male","215","[c]","27100","25750"
"New entrant CS","2023","London","Inner London - East","London","Female","1025","[c]","36670","32320"
"New entrant CS","2023","London","Inner London - East","London","Male","905","[c]","39540","34340"
"New entrant CS","2023","London","Inner London - West","London","Female","2875","[c]","36700","33800"
"New entrant CS","2023","London","Inner London - West","London","Male","2320","[c]","38590","34410"
"New entrant CS","2023","London","Outer London - East and North East","London","Female","165","[c]","30470","27640"
"New entrant CS","2023","London","Outer London - East and North East","London","Male","135","[c]","32670","32110"
"New entrant CS","2023","London","Outer London - South","London","Female","695","[c]","30460","26920"
"New entrant CS","2023","London","Outer London - South","London","Male","500","[c]","32890","29750"
"New entrant CS","2023","London","Outer London - West and North West","London","Female","580","[c]","31070","29750"
"New entrant CS","2023","London","Outer London - West and North West","London","Male","545","[c]","32080","29750"
"New entrant CS","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Female","980","[c]","27380","22520"
"New entrant CS","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Male","840","[c]","30090","25750"
"New entrant CS","2023","North East (England)","Tees Valley and Durham","Outside London","Female","815","[c]","27470","24070"
"New entrant CS","2023","North East (England)","Tees Valley and Durham","Outside London","Male","695","[c]","28950","28500"
"New entrant CS","2023","North West (England)","Cheshire","Outside London","Female","305","[c]","29910","28880"
"New entrant CS","2023","North West (England)","Cheshire","Outside London","Male","215","[c]","31210","28880"
"New entrant CS","2023","North West (England)","Cumbria","Outside London","Female","175","[c]","25170","22150"
"New entrant CS","2023","North West (England)","Cumbria","Outside London","Male","150","[c]","29630","23640"
"New entrant CS","2023","North West (England)","Greater Manchester","Outside London","Female","1360","[c]","29110","25750"
