"Status","Year","Age","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","EO","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","AA","5","5","[c]","[c]"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","AO","20","20","25540","22520"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","EO","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cumbria","AO","10","10","23560","22150"
"In post","2023","16-19","North West (England)","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","AO","35","35","23720","22520"
"In post","2023","16-19","North West (England)","Greater Manchester","EO","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Lancashire","AA","10","10","23070","23230"
"In post","2023","16-19","North West (England)","Lancashire","AO","10","10","24300","22220"
"In post","2023","16-19","North West (England)","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Merseyside","AO","45","40","22390","22400"
"In post","2023","16-19","North West (England)","Merseyside","EO","10","10","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Eastern Scotland","AA","20","20","22220","22180"
"In post","2023","16-19","Scotland","Eastern Scotland","AO","20","20","23990","24200"
"In post","2023","16-19","Scotland","Highlands and Islands","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Highlands and Islands","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Southern Scotland","AA","10","10","[c]","[c]"
"In post","2023","16-19","Scotland","Southern Scotland","AO","25","25","21440","22350"
"In post","2023","16-19","Scotland","West Central Scotland","AA","25","25","22550","22180"
"In post","2023","16-19","Scotland","West Central Scotland","AO","30","25","22530","22520"
"In post","2023","16-19","Scotland","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA","10","10","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AO","15","15","25360","25700"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","30","30","22620","22750"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","AA","10","10","21790","22220"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","AO","35","35","23480","22520"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","EO","10","10","[c]","[c]"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Kent","AA","5","5","[c]","[c]"
"In post","2023","16-19","South East (England)","Kent","AO","40","40","23570","22400"
"In post","2023","16-19","South East (England)","Kent","EO","10","10","26150","25750"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","AO","15","15","25910","25340"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","AA","10","10","19370","19480"
"In post","2023","16-19","South West (England)","Devon","AO","15","15","24470","22520"
"In post","2023","16-19","South West (England)","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","South West (England)","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Dorset and Somerset","AO","5","5","[c]","[c]"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA","15","15","21850","23230"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AO","125","125","20410","19460"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5","5","[c]","[c]"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","15","15","18410","18280"
"In post","2023","16-19","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Wales","East Wales","AA","10","10","18490","17810"
"In post","2023","16-19","Wales","East Wales","AO","45","45","22830","22520"
"In post","2023","16-19","Wales","East Wales","EO","5","5","[c]","[c]"
"In post","2023","16-19","Wales","West Wales and The Valleys","AA","40","35","19000","19000"
"In post","2023","16-19","Wales","West Wales and The Valleys","AO","50","50","22400","22500"
"In post","2023","16-19","Wales","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wales","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","AA","10","10","20980","23230"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","AO","10","10","26500","28880"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","West Midlands","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","West Midlands","AO","40","40","22610","21780"
"In post","2023","16-19","West Midlands (England)","West Midlands","EO","10","10","26940","25830"
"In post","2023","16-19","West Midlands (England)","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AO","10","10","27050","28880"
"In post","2023","16-19","Yorkshire and The Humber","North Yorkshire","AO","5","5","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","AO","10","10","22340","21730"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","AA","10","10","22900","23230"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","AO","65","60","23680","22520"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","EO","5","5","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","AA","75","75","22440","23230"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","AO","895","865","25070","22520"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","EO","615","605","27870","27890"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","G7","45","45","53930","54680"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","390","385","33590","34700"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","90","90","40630","41780"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","200","195","24810","23640"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","75","70","21400","19930"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","515","500","25130","22400"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","180","175","27980","28120"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","45","45","33480","33990"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","10","10","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","135","135","25680","24570"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","AA","45","45","22430","23230"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","AO","145","145","27790","28880"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","EO","65","65","28790","28120"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","HEO","30","30","32850","32640"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","SEO","5","5","[c]","[c]"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","Unknown","55","55","24000","23640"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","AA","55","50","22650","23230"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","AO","230","225","28720","30880"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","EO","180","175","29200","28200"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","G7","10","10","56740","57970"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","HEO","65","65","35040","34310"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","SEO","50","50","42940","44140"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","Unknown","95","90","26590","25300"
"In post","2023","20-29","East of England","East Anglia","AA","135","130","22420","23230"
"In post","2023","20-29","East of England","East Anglia","AO","710","690","27340","28880"
"In post","2023","20-29","East of England","East Anglia","EO","350","340","27810","27490"
"In post","2023","20-29","East of England","East Anglia","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","East of England","East Anglia","G7","20","20","51940","49550"
"In post","2023","20-29","East of England","East Anglia","HEO","195","195","32290","32020"
"In post","2023","20-29","East of England","East Anglia","SEO","60","60","39600","39890"
"In post","2023","20-29","East of England","East Anglia","Unknown","205","195","24790","24380"
"In post","2023","20-29","East of England","Essex","AA","30","25","23180","23230"
"In post","2023","20-29","East of England","Essex","AO","230","230","25830","25610"
"In post","2023","20-29","East of England","Essex","EO","190","190","28830","27560"
"In post","2023","20-29","East of England","Essex","G7","5","5","[c]","[c]"
"In post","2023","20-29","East of England","Essex","HEO","30","30","32920","32160"
"In post","2023","20-29","East of England","Essex","SEO","15","15","40420","40800"
"In post","2023","20-29","East of England","Essex","Unknown","125","125","25730","24570"
"In post","2023","20-29","London","Inner London - East","AA","20","20","25720","28400"
"In post","2023","20-29","London","Inner London - East","AO","445","440","28840","26920"
"In post","2023","20-29","London","Inner London - East","EO","1010","1000","31960","32520"
"In post","2023","20-29","London","Inner London - East","G6","20","20","67780","67490"
"In post","2023","20-29","London","Inner London - East","G7","295","290","57910","56430"
"In post","2023","20-29","London","Inner London - East","HEO","865","865","36630","35650"
"In post","2023","20-29","London","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","Inner London - East","SEO","335","330","44300","43650"
"In post","2023","20-29","London","Inner London - East","Unknown","230","225","29080","27640"
"In post","2023","20-29","London","Inner London - West","AA","100","95","25090","23500"
"In post","2023","20-29","London","Inner London - West","AO","750","740","28070","25610"
"In post","2023","20-29","London","Inner London - West","EO","2200","2180","29610","29400"
"In post","2023","20-29","London","Inner London - West","G6","225","225","67820","66700"
"In post","2023","20-29","London","Inner London - West","G7","3125","3115","56130","55190"
"In post","2023","20-29","London","Inner London - West","HEO","5985","5965","34950","35010"
"In post","2023","20-29","London","Inner London - West","SCS level","15","15","79570","74680"
"In post","2023","20-29","London","Inner London - West","SEO","3330","3320","42760","41950"
"In post","2023","20-29","London","Inner London - West","Unknown","50","50","30240","29300"
"In post","2023","20-29","London","Outer London - East and North East","AA","40","40","26470","26630"
"In post","2023","20-29","London","Outer London - East and North East","AO","245","245","30040","32110"
"In post","2023","20-29","London","Outer London - East and North East","EO","205","200","32520","32520"
"In post","2023","20-29","London","Outer London - East and North East","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","Outer London - East and North East","HEO","30","30","35850","35330"
"In post","2023","20-29","London","Outer London - East and North East","SEO","15","15","42460","42550"
"In post","2023","20-29","London","Outer London - East and North East","Unknown","75","75","29450","28580"
"In post","2023","20-29","London","Outer London - South","AA","15","10","23230","23000"
"In post","2023","20-29","London","Outer London - South","AO","360","350","26530","26400"
"In post","2023","20-29","London","Outer London - South","EO","560","555","30990","29980"
"In post","2023","20-29","London","Outer London - South","G6","10","10","72790","71080"
"In post","2023","20-29","London","Outer London - South","G7","90","90","61440","61530"
"In post","2023","20-29","London","Outer London - South","HEO","425","425","37240","36180"
"In post","2023","20-29","London","Outer London - South","SEO","130","130","44100","43680"
"In post","2023","20-29","London","Outer London - South","Unknown","65","65","29670","28580"
"In post","2023","20-29","London","Outer London - West and North West","AA","50","50","24110","23500"
"In post","2023","20-29","London","Outer London - West and North West","AO","325","320","28960","26400"
"In post","2023","20-29","London","Outer London - West and North West","EO","660","655","30640","29890"
"In post","2023","20-29","London","Outer London - West and North West","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","Outer London - West and North West","G7","5","5","[c]","[c]"
"In post","2023","20-29","London","Outer London - West and North West","HEO","230","230","34390","33650"
"In post","2023","20-29","London","Outer London - West and North West","SEO","85","85","41810","41160"
"In post","2023","20-29","London","Outer London - West and North West","Unknown","80","80","30310","28580"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","AA","5","5","[c]","[c]"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","AO","1195","1155","22150","22520"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","EO","990","980","27660","28120"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","G7","85","80","53500","53040"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","HEO","555","550","33700","34400"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","SEO","230","225","40590","41780"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","Unknown","130","130","25110","24570"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","AA","105","100","22840","23230"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","AO","810","780","26050","24070"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","EO","320","315","27390","28080"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","G7","30","30","51860","51360"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","HEO","205","205","31480","31270"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","SEO","65","65","38620","38050"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","Unknown","135","135","25200","23640"
"In post","2023","20-29","North West (England)","Cheshire","AA","30","30","23160","23230"
"In post","2023","20-29","North West (England)","Cheshire","AO","250","245","27010","28880"
"In post","2023","20-29","North West (England)","Cheshire","EO","190","190","31650","30740"
"In post","2023","20-29","North West (England)","Cheshire","G7","5","5","[c]","[c]"
"In post","2023","20-29","North West (England)","Cheshire","HEO","65","65","34290","33830"
"In post","2023","20-29","North West (England)","Cheshire","SEO","25","25","39880","37300"
"In post","2023","20-29","North West (England)","Cheshire","Unknown","65","60","24320","23640"
"In post","2023","20-29","North West (England)","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North West (England)","Cumbria","AO","160","160","23290","22150"
"In post","2023","20-29","North West (England)","Cumbria","EO","35","35","26720","25920"
"In post","2023","20-29","North West (England)","Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North West (England)","Cumbria","HEO","10","10","31880","30320"
"In post","2023","20-29","North West (England)","Cumbria","SEO","5","5","[c]","[c]"
"In post","2023","20-29","North West (England)","Cumbria","Unknown","50","50","27220","24570"
"In post","2023","20-29","North West (England)","Greater Manchester","AA","45","45","22100","23230"
"In post","2023","20-29","North West (England)","Greater Manchester","AO","1050","1030","23740","22520"
"In post","2023","20-29","North West (England)","Greater Manchester","EO","1110","1100","27250","27890"
"In post","2023","20-29","North West (England)","Greater Manchester","G6","5","5","[c]","[c]"
"In post","2023","20-29","North West (England)","Greater Manchester","G7","195","195","53470","52600"
"In post","2023","20-29","North West (England)","Greater Manchester","HEO","980","975","32990","33830"
"In post","2023","20-29","North West (England)","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North West (England)","Greater Manchester","SEO","390","390","40050","39190"
"In post","2023","20-29","North West (England)","Greater Manchester","Unknown","335","330","24590","23640"
"In post","2023","20-29","North West (England)","Lancashire","AA","60","60","22830","23230"
"In post","2023","20-29","North West (England)","Lancashire","AO","880","860","24630","22220"
"In post","2023","20-29","North West (England)","Lancashire","EO","490","480","28190","28120"
"In post","2023","20-29","North West (England)","Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","North West (England)","Lancashire","G7","15","15","51810","50160"
"In post","2023","20-29","North West (England)","Lancashire","HEO","120","120","33320","34170"
"In post","2023","20-29","North West (England)","Lancashire","SEO","40","40","40180","38470"
"In post","2023","20-29","North West (England)","Lancashire","Unknown","145","140","24990","23640"
"In post","2023","20-29","North West (England)","Merseyside","AA","35","35","19820","19500"
"In post","2023","20-29","North West (England)","Merseyside","AO","1535","1490","22640","22400"
"In post","2023","20-29","North West (England)","Merseyside","EO","1190","1175","26760","26020"
"In post","2023","20-29","North West (England)","Merseyside","G7","50","50","53890","54680"
"In post","2023","20-29","North West (England)","Merseyside","HEO","510","505","33040","32800"
"In post","2023","20-29","North West (England)","Merseyside","SEO","155","155","40280","40790"
"In post","2023","20-29","North West (England)","Merseyside","Unknown","185","180","24680","23640"
"In post","2023","20-29","Northern Ireland","Northern Ireland","AA","20","20","21890","22130"
"In post","2023","20-29","Northern Ireland","Northern Ireland","AO","290","275","22500","22520"
"In post","2023","20-29","Northern Ireland","Northern Ireland","EO","180","175","27220","27890"
"In post","2023","20-29","Northern Ireland","Northern Ireland","G7","5","5","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Northern Ireland","HEO","90","90","33880","34700"
"In post","2023","20-29","Northern Ireland","Northern Ireland","SEO","30","30","39240","38050"
"In post","2023","20-29","Overseas","Overseas","AO","10","10","[c]","[c]"
"In post","2023","20-29","Overseas","Overseas","EO","20","20","33670","34160"
"In post","2023","20-29","Overseas","Overseas","G7","45","45","53680","53530"
"In post","2023","20-29","Overseas","Overseas","HEO","210","210","35480","33540"
"In post","2023","20-29","Overseas","Overseas","SEO","50","50","45220","42160"
"In post","2023","20-29","Overseas","Overseas","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Scotland","Eastern Scotland","AA","390","380","23230","23340"
"In post","2023","20-29","Scotland","Eastern Scotland","AO","935","915","24400","24490"
"In post","2023","20-29","Scotland","Eastern Scotland","EO","980","970","30020","29100"
"In post","2023","20-29","Scotland","Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scotland","Eastern Scotland","G7","145","145","54100","52360"
"In post","2023","20-29","Scotland","Eastern Scotland","HEO","630","630","35210","34730"
"In post","2023","20-29","Scotland","Eastern Scotland","SEO","220","215","43170","42860"
"In post","2023","20-29","Scotland","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scotland","Highlands and Islands","AA","35","35","23040","22460"
"In post","2023","20-29","Scotland","Highlands and Islands","AO","95","95","24570","24490"
"In post","2023","20-29","Scotland","Highlands and Islands","EO","55","55","30070","29450"
"In post","2023","20-29","Scotland","Highlands and Islands","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scotland","Highlands and Islands","HEO","20","20","33550","32330"
"In post","2023","20-29","Scotland","Highlands and Islands","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scotland","North Eastern Scotland","AA","15","15","23380","22920"
"In post","2023","20-29","Scotland","North Eastern Scotland","AO","80","75","26460","25710"
"In post","2023","20-29","Scotland","North Eastern Scotland","EO","95","95","30850","29450"
"In post","2023","20-29","Scotland","North Eastern Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Scotland","North Eastern Scotland","HEO","35","35","35510","34730"
"In post","2023","20-29","Scotland","North Eastern Scotland","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Scotland","Southern Scotland","AA","25","25","22890","22460"
"In post","2023","20-29","Scotland","Southern Scotland","AO","440","430","23410","22520"
"In post","2023","20-29","Scotland","Southern Scotland","EO","235","230","28850","28540"
"In post","2023","20-29","Scotland","Southern Scotland","G7","35","35","52090","52360"
"In post","2023","20-29","Scotland","Southern Scotland","HEO","65","65","34670","34730"
"In post","2023","20-29","Scotland","Southern Scotland","SEO","25","25","40790","41650"
"In post","2023","20-29","Scotland","West Central Scotland","AA","400","385","22970","22920"
"In post","2023","20-29","Scotland","West Central Scotland","AO","1100","1070","23590","22520"
"In post","2023","20-29","Scotland","West Central Scotland","EO","940","930","28430","28120"
"In post","2023","20-29","Scotland","West Central Scotland","G6","5","5","[c]","[c]"
"In post","2023","20-29","Scotland","West Central Scotland","G7","85","85","52470","52360"
"In post","2023","20-29","Scotland","West Central Scotland","HEO","570","565","34270","34170"
"In post","2023","20-29","Scotland","West Central Scotland","SEO","160","160","42690","42140"
"In post","2023","20-29","Scotland","West Central Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA","60","60","22380","23230"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AO","530","520","28430","28410"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","310","305","29930","28540"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G7","10","10","[c]","[c]"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","HEO","155","150","33700","33830"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO","70","70","40640","40800"
