"Status","Year","Age","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Other ethnicity","EO","160","145","29780","29400"
"In post","2023","40-49","Other ethnicity","G6","50","50","71160","69700"
"In post","2023","40-49","Other ethnicity","G7","95","95","56650","55970"
"In post","2023","40-49","Other ethnicity","HEO","95","95","36640","35410"
"In post","2023","40-49","Other ethnicity","SCS level","25","25","[c]","[c]"
"In post","2023","40-49","Other ethnicity","SEO","95","95","43500","42470"
"In post","2023","40-49","Other ethnicity","Unknown","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","AA","75","65","22000","21760"
"In post","2023","40-49","Undeclared","AO","765","700","24450","22400"
"In post","2023","40-49","Undeclared","EO","1100","1035","29400","28120"
"In post","2023","40-49","Undeclared","G6","275","270","70650","70340"
"In post","2023","40-49","Undeclared","G7","640","625","57270","57130"
"In post","2023","40-49","Undeclared","HEO","750","730","35410","34850"
"In post","2023","40-49","Undeclared","SCS level","75","70","89500","82400"
"In post","2023","40-49","Undeclared","SEO","685","665","43600","42510"
"In post","2023","40-49","Undeclared","Unknown","155","145","35900","37910"
"In post","2023","40-49","Unknown","AA","580","535","22680","22740"
"In post","2023","40-49","Unknown","AO","3460","3170","24560","22520"
"In post","2023","40-49","Unknown","EO","3235","3070","28990","28120"
"In post","2023","40-49","Unknown","G6","785","750","70820","69750"
"In post","2023","40-49","Unknown","G7","1585","1530","57000","56180"
"In post","2023","40-49","Unknown","HEO","1910","1840","36170","34850"
"In post","2023","40-49","Unknown","SCS level","325","310","92710","85050"
"In post","2023","40-49","Unknown","SEO","1545","1495","43070","42510"
"In post","2023","40-49","Unknown","Unknown","1015","940","36120","33690"
"In post","2023","40-49","White","AA","1900","1755","22080","22130"
"In post","2023","40-49","White","AO","14865","13310","24560","22500"
"In post","2023","40-49","White","EO","18200","16940","28820","28120"
"In post","2023","40-49","White","G6","5460","5250","70500","69430"
"In post","2023","40-49","White","G7","11565","11135","56700","56000"
"In post","2023","40-49","White","HEO","13040","12520","35190","34400"
"In post","2023","40-49","White","SCS level","2320","2240","88980","81600"
"In post","2023","40-49","White","SEO","11860","11440","43190","42140"
"In post","2023","40-49","White","Unknown","3995","3725","35060","34000"
"In post","2023","50-59","Asian","AA","185","175","22450","22980"
"In post","2023","50-59","Asian","AO","1480","1300","23940","22520"
"In post","2023","50-59","Asian","EO","2030","1895","29910","29750"
"In post","2023","50-59","Asian","G6","205","205","72750","71300"
"In post","2023","50-59","Asian","G7","605","595","58820","57970"
"In post","2023","50-59","Asian","HEO","895","870","36570","36180"
"In post","2023","50-59","Asian","SCS level","90","85","103440","103260"
"In post","2023","50-59","Asian","SEO","725","715","44270","43650"
"In post","2023","50-59","Asian","Unknown","175","165","32020","29050"
"In post","2023","50-59","Black","AA","200","190","24020","23670"
"In post","2023","50-59","Black","AO","1090","1015","26020","25480"
"In post","2023","50-59","Black","EO","1725","1665","30800","30930"
"In post","2023","50-59","Black","G6","105","100","72150","70590"
"In post","2023","50-59","Black","G7","430","425","58770","57970"
"In post","2023","50-59","Black","HEO","825","815","37120","36400"
"In post","2023","50-59","Black","SCS level","65","65","95740","83980"
"In post","2023","50-59","Black","SEO","585","585","44750","43760"
"In post","2023","50-59","Black","Unknown","410","395","33760","30840"
"In post","2023","50-59","Mixed","AA","50","45","22290","22300"
"In post","2023","50-59","Mixed","AO","330","300","25180","22520"
"In post","2023","50-59","Mixed","EO","440","415","29670","28130"
"In post","2023","50-59","Mixed","G6","75","75","72980","71150"
"In post","2023","50-59","Mixed","G7","210","200","57290","56870"
"In post","2023","50-59","Mixed","HEO","250","245","36160","35410"
"In post","2023","50-59","Mixed","SCS level","45","45","93530","86840"
"In post","2023","50-59","Mixed","SEO","210","205","44650","43550"
"In post","2023","50-59","Mixed","Unknown","115","110","35980","35050"
"In post","2023","50-59","Other ethnicity","AA","15","15","[c]","[c]"
"In post","2023","50-59","Other ethnicity","AO","120","110","25310","23810"
"In post","2023","50-59","Other ethnicity","EO","170","160","30080","29660"
"In post","2023","50-59","Other ethnicity","G6","35","35","72120","69140"
"In post","2023","50-59","Other ethnicity","G7","65","65","57250","56360"
"In post","2023","50-59","Other ethnicity","HEO","80","75","36710","36150"
"In post","2023","50-59","Other ethnicity","SCS level","20","20","[c]","[c]"
"In post","2023","50-59","Other ethnicity","SEO","95","90","46420","44290"
"In post","2023","50-59","Other ethnicity","Unknown","35","30","34290","34820"
"In post","2023","50-59","Undeclared","AA","125","115","21690","21380"
"In post","2023","50-59","Undeclared","AO","1505","1360","24030","22400"
"In post","2023","50-59","Undeclared","EO","2040","1910","29710","28120"
"In post","2023","50-59","Undeclared","G6","325","320","73300","71550"
"In post","2023","50-59","Undeclared","G7","750","735","58140","57970"
"In post","2023","50-59","Undeclared","HEO","1175","1140","36100","35000"
"In post","2023","50-59","Undeclared","SCS level","70","70","93470","86540"
"In post","2023","50-59","Undeclared","SEO","965","940","44060","42900"
"In post","2023","50-59","Undeclared","Unknown","215","205","36390","33820"
"In post","2023","50-59","Unknown","AA","900","820","22740","22520"
"In post","2023","50-59","Unknown","AO","3465","3165","24170","22520"
"In post","2023","50-59","Unknown","EO","3165","2970","30060","28130"
"In post","2023","50-59","Unknown","G6","560","540","72760","71520"
"In post","2023","50-59","Unknown","G7","1185","1155","58160","57570"
"In post","2023","50-59","Unknown","HEO","1605","1550","36970","35000"
"In post","2023","50-59","Unknown","SCS level","250","245","104110","97960"
"In post","2023","50-59","Unknown","SEO","1245","1205","44110","42860"
"In post","2023","50-59","Unknown","Unknown","1090","1020","37820","35030"
"In post","2023","50-59","White","AA","4075","3780","21910","21380"
"In post","2023","50-59","White","AO","23065","20605","24250","22400"
"In post","2023","50-59","White","EO","27345","25335","29100","28120"
"In post","2023","50-59","White","G6","5480","5355","72260","71180"
"In post","2023","50-59","White","G7","11275","10975","57420","56730"
"In post","2023","50-59","White","HEO","16025","15440","35690","34740"
"In post","2023","50-59","White","SCS level","2220","2175","95940","86870"
"In post","2023","50-59","White","SEO","13510","13125","43820","42510"
"In post","2023","50-59","White","Unknown","3765","3565","34840","29110"
"In post","2023","60-64","Asian","AA","90","80","22510","22560"
"In post","2023","60-64","Asian","AO","510","430","24670","25480"
"In post","2023","60-64","Asian","EO","560","460","30570","30560"
"In post","2023","60-64","Asian","G6","30","30","72610","72050"
"In post","2023","60-64","Asian","G7","100","90","59780","59580"
"In post","2023","60-64","Asian","HEO","230","205","37620","37490"
"In post","2023","60-64","Asian","SCS level","20","15","[c]","[c]"
"In post","2023","60-64","Asian","SEO","130","120","45160","44770"
"In post","2023","60-64","Asian","Unknown","45","40","32700","27190"
"In post","2023","60-64","Black","AA","90","85","23600","23500"
"In post","2023","60-64","Black","AO","440","390","26040","25480"
"In post","2023","60-64","Black","EO","540","485","30650","30640"
"In post","2023","60-64","Black","G6","20","20","[c]","[c]"
"In post","2023","60-64","Black","G7","75","70","58900","58430"
"In post","2023","60-64","Black","HEO","185","175","36900","36290"
"In post","2023","60-64","Black","SCS level","10","10","[c]","[c]"
"In post","2023","60-64","Black","SEO","120","115","45840","44960"
"In post","2023","60-64","Black","Unknown","165","155","34490","33050"
"In post","2023","60-64","Mixed","AA","15","15","[c]","[c]"
"In post","2023","60-64","Mixed","AO","125","105","23930","22510"
"In post","2023","60-64","Mixed","EO","125","100","29760","28130"
"In post","2023","60-64","Mixed","G6","20","15","[c]","[c]"
"In post","2023","60-64","Mixed","G7","30","25","[c]","[c]"
"In post","2023","60-64","Mixed","HEO","65","50","36820","36280"
"In post","2023","60-64","Mixed","SCS level","5","5","[c]","[c]"
"In post","2023","60-64","Mixed","SEO","40","40","44300","43440"
"In post","2023","60-64","Mixed","Unknown","40","35","33450","30840"
"In post","2023","60-64","Other ethnicity","AA","10","10","[c]","[c]"
"In post","2023","60-64","Other ethnicity","AO","45","35","25650","25480"
"In post","2023","60-64","Other ethnicity","EO","55","45","29730","29430"
"In post","2023","60-64","Other ethnicity","G6","10","10","[c]","[c]"
"In post","2023","60-64","Other ethnicity","G7","20","20","[c]","[c]"
"In post","2023","60-64","Other ethnicity","HEO","30","25","[c]","[c]"
"In post","2023","60-64","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Other ethnicity","SEO","20","20","[c]","[c]"
"In post","2023","60-64","Other ethnicity","Unknown","10","10","[c]","[c]"
"In post","2023","60-64","Undeclared","AA","85","75","21440","21380"
"In post","2023","60-64","Undeclared","AO","545","445","23510","22400"
"In post","2023","60-64","Undeclared","EO","715","565","29460","28120"
"In post","2023","60-64","Undeclared","G6","65","55","74380","72920"
"In post","2023","60-64","Undeclared","G7","170","150","59150","59180"
"In post","2023","60-64","Undeclared","HEO","375","310","36550","35200"
"In post","2023","60-64","Undeclared","SCS level","25","20","[c]","[c]"
"In post","2023","60-64","Undeclared","SEO","250","215","44020","43640"
"In post","2023","60-64","Undeclared","Unknown","65","55","36580","34150"
"In post","2023","60-64","Unknown","AA","350","295","22450","22520"
"In post","2023","60-64","Unknown","AO","1215","1015","23900","22520"
"In post","2023","60-64","Unknown","EO","855","710","30360","29150"
"In post","2023","60-64","Unknown","G6","95","85","74450","72920"
"In post","2023","60-64","Unknown","G7","235","215","58440","57970"
"In post","2023","60-64","Unknown","HEO","400","345","36820","35740"
"In post","2023","60-64","Unknown","SCS level","40","35","103740","95780"
"In post","2023","60-64","Unknown","SEO","280","245","45740","44530"
"In post","2023","60-64","Unknown","Unknown","380","340","36160","33690"
"In post","2023","60-64","White","AA","2365","1965","21660","21380"
"In post","2023","60-64","White","AO","9230","7365","23620","22330"
"In post","2023","60-64","White","EO","9055","7185","29080","28120"
"In post","2023","60-64","White","G6","990","880","73050","71930"
"In post","2023","60-64","White","G7","2165","1875","58390","57970"
"In post","2023","60-64","White","HEO","4265","3570","35950","34970"
"In post","2023","60-64","White","SCS level","360","325","102090","95240"
"In post","2023","60-64","White","SEO","3125","2685","44370","43170"
"In post","2023","60-64","White","Unknown","1285","1120","33670","29050"
"In post","2023","65+","Asian","AA","65","55","23140","23500"
"In post","2023","65+","Asian","AO","330","255","25000","25610"
"In post","2023","65+","Asian","EO","260","195","30880","30940"
"In post","2023","65+","Asian","G6","10","10","[c]","[c]"
"In post","2023","65+","Asian","G7","25","20","[c]","[c]"
"In post","2023","65+","Asian","HEO","70","55","38100","38330"
"In post","2023","65+","Asian","SCS level","10","5","[c]","[c]"
"In post","2023","65+","Asian","SEO","45","35","47070","46470"
"In post","2023","65+","Asian","Unknown","15","10","[c]","[c]"
"In post","2023","65+","Black","AA","50","40","23470","23500"
"In post","2023","65+","Black","AO","170","145","25650","25480"
"In post","2023","65+","Black","EO","130","110","31360","32520"
"In post","2023","65+","Black","G6","5","5","[c]","[c]"
"In post","2023","65+","Black","G7","15","15","[c]","[c]"
"In post","2023","65+","Black","HEO","40","35","38870","37570"
"In post","2023","65+","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Black","SEO","25","20","[c]","[c]"
"In post","2023","65+","Black","Unknown","55","50","31660","29050"
"In post","2023","65+","Mixed","AA","10","10","[c]","[c]"
"In post","2023","65+","Mixed","AO","35","30","23920","22520"
"In post","2023","65+","Mixed","EO","50","40","29810","28660"
"In post","2023","65+","Mixed","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","G7","10","5","[c]","[c]"
"In post","2023","65+","Mixed","HEO","25","20","[c]","[c]"
"In post","2023","65+","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Mixed","SEO","10","10","[c]","[c]"
"In post","2023","65+","Mixed","Unknown","15","10","[c]","[c]"
"In post","2023","65+","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","AO","20","15","[c]","[c]"
"In post","2023","65+","Other ethnicity","EO","25","15","[c]","[c]"
"In post","2023","65+","Other ethnicity","G6","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","G7","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","HEO","10","10","[c]","[c]"
"In post","2023","65+","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","SEO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","AA","35","30","21670","21380"
"In post","2023","65+","Undeclared","AO","195","150","23710","22520"
"In post","2023","65+","Undeclared","EO","240","175","29590","28190"
"In post","2023","65+","Undeclared","G6","30","20","[c]","[c]"
"In post","2023","65+","Undeclared","G7","35","30","59530","59590"
"In post","2023","65+","Undeclared","HEO","120","95","36590","35300"
"In post","2023","65+","Undeclared","SCS level","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","SEO","60","50","46200","46120"
"In post","2023","65+","Undeclared","Unknown","25","20","[c]","[c]"
"In post","2023","65+","Unknown","AA","160","125","22100","22080"
"In post","2023","65+","Unknown","AO","400","315","23870","22520"
"In post","2023","65+","Unknown","EO","245","185","30060","29450"
"In post","2023","65+","Unknown","G6","30","25","70670","72110"
"In post","2023","65+","Unknown","G7","75","60","59340","59290"
"In post","2023","65+","Unknown","HEO","110","85","37150","36990"
"In post","2023","65+","Unknown","SCS level","10","10","[c]","[c]"
"In post","2023","65+","Unknown","SEO","115","90","46660","45700"
"In post","2023","65+","Unknown","Unknown","115","90","33690","29050"
"In post","2023","65+","White","AA","1125","850","21500","21380"
"In post","2023","65+","White","AO","3195","2445","23560","22330"
"In post","2023","65+","White","EO","2680","1960","29120","28120"
"In post","2023","65+","White","G6","250","195","75200","74320"
"In post","2023","65+","White","G7","565","450","59260","59290"
"In post","2023","65+","White","HEO","1165","910","36390","35190"
"In post","2023","65+","White","SCS level","90","75","111160","100780"
"In post","2023","65+","White","SEO","765","610","45460","44930"
"In post","2023","65+","White","Unknown","470","360","32470","29050"
"In post","2023","Unknown","Asian","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","G7","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","SEO","[c]","[c]","[c]","[c]"
