"Status","Year","Age","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Property","15","15","23420","22750"
"In post","2023","16-19","FCDO Services","Security","5","5","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Operational Delivery","25","25","22110","21780"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","305","300","26010","26350"
"In post","2023","16-19","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Finance","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","125","120","22920","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Tax","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Unknown","20","20","23120","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","130","120","23750","22400"
"In post","2023","16-19","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Other","5","5","[c]","[c]"
"In post","2023","16-19","Met Office","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Operational Delivery","10","10","22080","22220"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Operational Delivery","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Other","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Unknown","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Other","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Unknown","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Science and Engineering","15","15","18580","18280"
"In post","2023","16-19","The Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","10","10","24840","24840"
"In post","2023","16-19","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","15","15","21680","21200"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Property","15","15","23840","22520"
"In post","2023","16-19","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Human Resources","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Unknown","20","20","26630","24890"
"In post","2023","20-29","Active Travel England","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Planning","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Science and Engineering","5","5","[c]","[c]"
"In post","2023","20-29","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","50","50","27660","25160"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","405","400","26400","25920"
"In post","2023","20-29","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Science and Engineering","135","135","28270","29080"
"In post","2023","20-29","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Veterinarian","20","20","30920","30320"
"In post","2023","20-29","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Operational Research","10","10","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Other","20","20","35280","34380"
"In post","2023","20-29","Building Digital UK","Project Delivery","35","35","40820","35620"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Commercial","25","25","33630","33020"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Communications","35","35","40750","37390"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Digital, Data and Technology","175","175","45960","41870"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Economics","15","15","45180","35650"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Finance","20","20","34990","35650"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Human Resources","145","145","31330","28370"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Knowledge and Information Management","10","10","28060","28050"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Policy","125","125","44920","41870"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Project Delivery","15","15","40470","35650"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Security","45","45","34950","33020"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","20-29","Cabinet Office (excl. agencies)","Unknown","625","620","36370","35240"
"In post","2023","20-29","Central Civil Service Fast Stream","Commercial","80","80","30370","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Communications","10","10","33660","34250"
"In post","2023","20-29","Central Civil Service Fast Stream","Digital, Data and Technology","115","115","30610","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Finance","75","75","31120","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Project Delivery","225","225","30620","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Property","30","30","29660","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Science and Engineering","95","95","30290","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Statistics","100","100","31030","30130"
"In post","2023","20-29","Central Civil Service Fast Stream","Unknown","735","735","30630","30130"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","10","10","28000","25970"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","15","15","28020","25970"
"In post","2023","20-29","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","75","75","27030","25970"
"In post","2023","20-29","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","20-29","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Operational Delivery","55","50","27040","25300"
"In post","2023","20-29","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Counter Fraud","25","20","23680","21380"
"In post","2023","20-29","Companies House","Digital, Data and Technology","35","35","34830","35570"
"In post","2023","20-29","Companies House","Finance","15","15","27820","21380"
"In post","2023","20-29","Companies House","Human Resources","5","5","[c]","[c]"
"In post","2023","20-29","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Operational Delivery","55","55","22670","21380"
"In post","2023","20-29","Companies House","Other","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Companies House","Statistics","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Communications","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Digital, Data and Technology","15","15","44340","42920"
"In post","2023","20-29","Competition and Markets Authority","Economics","35","35","42470","34620"
"In post","2023","20-29","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Legal","25","20","40200","34460"
"In post","2023","20-29","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Competition and Markets Authority","Project Delivery","80","80","35240","34110"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Operational Delivery","45","45","24370","21780"
"In post","2023","20-29","Criminal Injuries Compensation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Commercial","55","55","32760","32110"
"In post","2023","20-29","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Digital, Data and Technology","20","20","36310","33470"
"In post","2023","20-29","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Operational Delivery","30","30","28960","26410"
"In post","2023","20-29","Crown Commercial Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Commercial Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","10","10","36060","36540"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Human Resources","20","20","31000","31280"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Legal","105","105","52540","52360"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Operational Delivery","420","415","26600","24490"
"In post","2023","20-29","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Crown Prosecution Service","Commercial","5","5","[c]","[c]"
"In post","2023","20-29","Crown Prosecution Service","Communications","20","20","33740","32660"
"In post","2023","20-29","Crown Prosecution Service","Digital, Data and Technology","20","20","33340","31180"
"In post","2023","20-29","Crown Prosecution Service","Finance","30","30","27460","26900"
"In post","2023","20-29","Crown Prosecution Service","Human Resources","35","35","30500","28200"
"In post","2023","20-29","Crown Prosecution Service","Knowledge and Information Management","10","10","31250","31180"
"In post","2023","20-29","Crown Prosecution Service","Legal","220","220","40190","40800"
"In post","2023","20-29","Crown Prosecution Service","Operational Delivery","865","855","25130","24480"
"In post","2023","20-29","Crown Prosecution Service","Other","5","5","[c]","[c]"
"In post","2023","20-29","Crown Prosecution Service","Policy","20","20","36490","33290"
