"Status","Year","Age","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Derbyshire and Nottinghamshire","Derby","Outside London","155","150","25910","24570"
"In post","2023","20-29","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","25","25","25680","24570"
"In post","2023","20-29","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","180","175","27950","28880"
"In post","2023","20-29","Derbyshire and Nottinghamshire","Nottingham","Outside London","1660","1625","28470","27890"
"In post","2023","20-29","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","140","135","29100","28880"
"In post","2023","20-29","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","145","145","29140","28880"
"In post","2023","20-29","Devon","Devon CC","Outside London","695","685","27710","28120"
"In post","2023","20-29","Devon","Plymouth","Outside London","400","395","27990","26520"
"In post","2023","20-29","Devon","Torbay","Outside London","25","25","25450","24570"
"In post","2023","20-29","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","80","80","25990","25300"
"In post","2023","20-29","Dorset and Somerset","Dorset","Outside London","260","255","28210","28880"
"In post","2023","20-29","Dorset and Somerset","Somerset CC","Outside London","280","275","27930","27610"
"In post","2023","20-29","East Anglia","Breckland and South Norfolk","Outside London","90","90","29030","28880"
"In post","2023","20-29","East Anglia","Cambridgeshire CC","Outside London","460","455","29390","28880"
"In post","2023","20-29","East Anglia","North and West Norfolk","Outside London","65","65","27200","28480"
"In post","2023","20-29","East Anglia","Norwich and East Norfolk","Outside London","280","270","27470","28120"
"In post","2023","20-29","East Anglia","Peterborough","Outside London","185","175","26530","23640"
"In post","2023","20-29","East Anglia","Suffolk CC","Outside London","595","580","27700","27890"
"In post","2023","20-29","East Wales","Cardiff and Vale of Glamorgan","Outside London","1885","1860","28850","27890"
"In post","2023","20-29","East Wales","Flintshire and Wrexham","Outside London","340","340","26770","28120"
"In post","2023","20-29","East Wales","Monmouthshire and Newport","Outside London","1100","1080","30850","31060"
"In post","2023","20-29","East Wales","Powys","Outside London","30","25","27730","26900"
"In post","2023","20-29","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","325","315","29060","28880"
"In post","2023","20-29","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","300","295","27200","28080"
"In post","2023","20-29","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","115","115","24510","23020"
"In post","2023","20-29","Eastern Scotland","Angus and Dundee City","Outside London","375","365","26000","23340"
"In post","2023","20-29","Eastern Scotland","City of Edinburgh","Outside London","2365","2340","31900","29450"
"In post","2023","20-29","Eastern Scotland","Clackmannanshire and Fife","Outside London","135","135","28810","28120"
"In post","2023","20-29","Eastern Scotland","East Lothian and Midlothian","Outside London","15","15","31500","29880"
"In post","2023","20-29","Eastern Scotland","Falkirk","Outside London","210","200","26820","24710"
"In post","2023","20-29","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","170","170","28610","28140"
"In post","2023","20-29","Eastern Scotland","West Lothian","Outside London","35","35","28240","28140"
"In post","2023","20-29","Essex","Essex Haven Gateway","Outside London","100","100","26490","25750"
"In post","2023","20-29","Essex","Essex Thames Gateway","Outside London","115","110","27630","25610"
"In post","2023","20-29","Essex","Heart of Essex","Outside London","240","235","28900","28880"
"In post","2023","20-29","Essex","Southend-on-Sea","Outside London","25","25","27090","25090"
"In post","2023","20-29","Essex","Thurrock","Outside London","75","75","24620","22400"
"In post","2023","20-29","Essex","West Essex","Outside London","70","70","27390","25880"
"In post","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","2665","2640","30350","30740"
"In post","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","1240","1220","30630","28840"
"In post","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Outside London","140","135","27430","28080"
"In post","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","45","45","29400","28120"
"In post","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","1310","1300","30420","30650"
"In post","2023","20-29","Greater Manchester","Greater Manchester North East","Outside London","145","145","27550","28120"
"In post","2023","20-29","Greater Manchester","Greater Manchester North West","Outside London","290","285","25400","23640"
"In post","2023","20-29","Greater Manchester","Greater Manchester South East","Outside London","120","120","25120","23640"
"In post","2023","20-29","Greater Manchester","Greater Manchester South West","Outside London","2060","2035","30420","28120"
"In post","2023","20-29","Greater Manchester","Manchester","Outside London","1500","1485","30950","28880"
"In post","2023","20-29","Hampshire and Isle of Wight","Central Hampshire","Outside London","770","765","31540","30650"
"In post","2023","20-29","Hampshire and Isle of Wight","Isle of Wight","Outside London","110","110","27960","29530"
"In post","2023","20-29","Hampshire and Isle of Wight","North Hampshire","Outside London","85","85","27750","27020"
"In post","2023","20-29","Hampshire and Isle of Wight","Portsmouth","Outside London","440","435","28380","27080"
"In post","2023","20-29","Hampshire and Isle of Wight","South Hampshire","Outside London","565","545","30150","31060"
"In post","2023","20-29","Hampshire and Isle of Wight","Southampton","Outside London","160","160","27790","26900"
"In post","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Outside London","45","45","27140","27080"
"In post","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","Outside London","125","120","25790","23640"
"In post","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Outside London","325","325","27560","28880"
"In post","2023","20-29","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","Outside London","25","25","29080","28140"
"In post","2023","20-29","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","125","120","26630","25060"
"In post","2023","20-29","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","30","30","27770","26600"
"In post","2023","20-29","Highlands and Islands","Na h-Eileanan Siar","Outside London","15","15","23230","21690"
"In post","2023","20-29","Highlands and Islands","Orkney Islands","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Highlands and Islands","Shetland Islands","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Inner London - East","Hackney and Newham","London","1050","1040","37390","32580"
"In post","2023","20-29","Inner London - East","Haringey and Islington","London","270","265","32730","33800"
"In post","2023","20-29","Inner London - East","Lambeth","London","450","445","36940","34820"
"In post","2023","20-29","Inner London - East","Lewisham and Southwark","London","185","180","29880","29100"
"In post","2023","20-29","Inner London - East","Tower Hamlets","London","1270","1260","37220","35000"
"In post","2023","20-29","Inner London - West","Camden and City of London","London","275","275","33390","30090"
"In post","2023","20-29","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","London","190","185","33710","33800"
"In post","2023","20-29","Inner London - West","Wandsworth","London","185","185","33340","33800"
"In post","2023","20-29","Inner London - West","Westminster","London","15115","15060","40440","37870"
"In post","2023","20-29","Kent","East Kent","Outside London","825","815","25820","25750"
"In post","2023","20-29","Kent","Kent Thames Gateway","Outside London","230","225","29330","30880"
"In post","2023","20-29","Kent","Medway","Outside London","225","225","30110","30880"
"In post","2023","20-29","Kent","Mid Kent","Outside London","135","135","28850","28880"
"In post","2023","20-29","Kent","West Kent","Outside London","10","10","32370","31940"
"In post","2023","20-29","Lancashire","Blackburn with Darwen","Outside London","45","45","25090","24110"
"In post","2023","20-29","Lancashire","Blackpool","Outside London","615","605","26610","28120"
"In post","2023","20-29","Lancashire","Chorley and West Lancashire","Outside London","285","280","29130","28880"
"In post","2023","20-29","Lancashire","East Lancashire","Outside London","50","50","26030","25300"
"In post","2023","20-29","Lancashire","Lancaster and Wyre","Outside London","190","190","26690","27080"
"In post","2023","20-29","Lancashire","Mid Lancashire","Outside London","565","550","25940","23640"
"In post","2023","20-29","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","375","365","25320","23640"
"In post","2023","20-29","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","315","310","27020","27240"
"In post","2023","20-29","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Outside London","85","85","24970","23020"
"In post","2023","20-29","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","185","180","26570","25830"
"In post","2023","20-29","Lincolnshire","Lincolnshire CC","Outside London","350","345","27320","28120"
"In post","2023","20-29","Merseyside","East Merseyside","Outside London","110","110","26870","26840"
"In post","2023","20-29","Merseyside","Liverpool","Outside London","2560","2515","26900","25750"
"In post","2023","20-29","Merseyside","Sefton","Outside London","770","755","26140","25750"
"In post","2023","20-29","Merseyside","Wirral","Outside London","220","215","25700","23390"
"In post","2023","20-29","North Eastern Scotland","Aberdeen City and Aberdeenshire","Outside London","230","225","30160","29100"
"In post","2023","20-29","North Yorkshire","North Yorkshire CC","Outside London","160","155","27670","27080"
"In post","2023","20-29","North Yorkshire","York","Outside London","475","470","29160","27320"
"In post","2023","20-29","Northern Ireland","Antrim and Newtownabbey","Outside London","15","15","26660","22130"
"In post","2023","20-29","Northern Ireland","Ards and North Down","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Belfast","Outside London","510","495","26480","22520"
"In post","2023","20-29","Northern Ireland","Causeway Coast and Glens","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Derry City and Strabane","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Fermanagh and Omagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Lisburn and Castlereagh","Outside London","60","60","27280","25750"
"In post","2023","20-29","Northern Ireland","Mid Ulster","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Mid and East Antrim","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northern Ireland","Newry, Mourne and Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Northumberland, and Tyne and Wear","Northumberland","Outside London","35","35","26240","24570"
"In post","2023","20-29","Northumberland, and Tyne and Wear","Sunderland","Outside London","370","355","25390","22520"
"In post","2023","20-29","Northumberland, and Tyne and Wear","Tyneside","Outside London","2790","2740","28530","27890"
"In post","2023","20-29","Outer London - East and North East","Barking & Dagenham and Havering","London","90","90","31000","32520"
"In post","2023","20-29","Outer London - East and North East","Bexley and Greenwich","London","290","290","31910","32520"
"In post","2023","20-29","Outer London - East and North East","Enfield","London","40","40","31370","32520"
"In post","2023","20-29","Outer London - East and North East","Redbridge and Waltham Forest","London","190","185","30070","29660"
"In post","2023","20-29","Outer London - South","Bromley","London","65","65","30300","32520"
"In post","2023","20-29","Outer London - South","Croydon","London","1515","1500","34790","32170"
"In post","2023","20-29","Outer London - South","Merton, Kingston upon Thames and Sutton","London","75","75","31910","32520"
"In post","2023","20-29","Outer London - West and North West","Barnet","London","310","300","32670","32520"
"In post","2023","20-29","Outer London - West and North West","Brent","London","100","100","31650","32520"
"In post","2023","20-29","Outer London - West and North West","Ealing","London","50","50","31280","32520"
"In post","2023","20-29","Outer London - West and North West","Harrow and Hillingdon","London","405","400","30150","29750"
"In post","2023","20-29","Outer London - West and North West","Hounslow and Richmond upon Thames","London","580","575","31840","31310"
"In post","2023","20-29","Overseas","Overseas","Overseas","340","340","38980","34880"
"In post","2023","20-29","Shropshire and Staffordshire","Shropshire","Outside London","85","85","27830","28480"
"In post","2023","20-29","Shropshire and Staffordshire","Staffordshire CC","Outside London","690","680","29530","28880"
"In post","2023","20-29","Shropshire and Staffordshire","Stoke-on-Trent","Outside London","210","200","24680","21780"
"In post","2023","20-29","Shropshire and Staffordshire","Telford and Wrekin","Outside London","260","255","31420","28120"
"In post","2023","20-29","South Yorkshire","Barnsley, Doncaster and Rotherham","Outside London","415","405","27950","28880"
"In post","2023","20-29","South Yorkshire","Sheffield","Outside London","1425","1405","29270","25900"
"In post","2023","20-29","Southern Scotland","Dumfries and Galloway","Outside London","70","70","28990","28800"
"In post","2023","20-29","Southern Scotland","East Ayrshire and North Ayrshire mainland","Outside London","115","115","26310","23700"
"In post","2023","20-29","Southern Scotland","Scottish Borders","Outside London","75","75","28310","27170"
"In post","2023","20-29","Southern Scotland","South Ayrshire","Outside London","20","20","28170","28140"
"In post","2023","20-29","Southern Scotland","South Lanarkshire","Outside London","545","530","27460","23950"
"In post","2023","20-29","Surrey, East and West Sussex","Brighton and Hove","Outside London","90","90","27350","28120"
"In post","2023","20-29","Surrey, East and West Sussex","East Surrey","Outside London","185","180","33030","34110"
"In post","2023","20-29","Surrey, East and West Sussex","East Sussex CC","Outside London","280","270","26760","28120"
"In post","2023","20-29","Surrey, East and West Sussex","West Surrey","Outside London","400","395","29610","29080"
"In post","2023","20-29","Surrey, East and West Sussex","West Sussex (North East)","Outside London","140","135","27000","26880"
"In post","2023","20-29","Surrey, East and West Sussex","West Sussex (South West)","Outside London","120","120","30050","28130"
"In post","2023","20-29","Tees Valley and Durham","Darlington","Outside London","330","325","31770","30510"
"In post","2023","20-29","Tees Valley and Durham","Durham","Outside London","1010","975","26760","27570"
"In post","2023","20-29","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Outside London","210","205","27410","28880"
"In post","2023","20-29","Tees Valley and Durham","South Teesside","Outside London","130","130","25230","23640"
"In post","2023","20-29","Unknown","Unknown","Unknown","545","540","31630","29860"
