"Status","Year","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","AA/AO","Heterosexual / straight","770","700","24250","22500"
"In post","2023","Undeclared","AA/AO","LGBO","90","85","25390","22520"
"In post","2023","Undeclared","AA/AO","Undeclared","2600","2370","24250","22400"
"In post","2023","Undeclared","AA/AO","Unknown","800","670","23160","21780"
"In post","2023","Undeclared","EO","Heterosexual / straight","935","865","29890","28130"
"In post","2023","Undeclared","EO","LGBO","80","75","29990","28120"
"In post","2023","Undeclared","EO","Undeclared","3125","2880","29230","28120"
"In post","2023","Undeclared","EO","Unknown","1015","885","30180","28120"
"In post","2023","Undeclared","G6/G7","Heterosexual / straight","380","370","60890","59370"
"In post","2023","Undeclared","G6/G7","LGBO","35","35","63260","59590"
"In post","2023","Undeclared","G6/G7","Undeclared","2030","1965","61610","59290"
"In post","2023","Undeclared","G6/G7","Unknown","660","635","60530","58970"
"In post","2023","Undeclared","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Undeclared","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Undeclared","SCS level","Undeclared","125","120","91780","83870"
"In post","2023","Undeclared","SCS level","Unknown","45","45","97930","90640"
"In post","2023","Undeclared","SEO/HEO","Heterosexual / straight","765","740","38770","38210"
"In post","2023","Undeclared","SEO/HEO","LGBO","75","75","37790","37300"
"In post","2023","Undeclared","SEO/HEO","Undeclared","4225","4045","39280","38480"
"In post","2023","Undeclared","SEO/HEO","Unknown","860","815","38840","39150"
"In post","2023","Undeclared","Unknown","Heterosexual / straight","145","130","32580","30750"
"In post","2023","Undeclared","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Undeclared","Unknown","Undeclared","460","430","36260","34180"
"In post","2023","Undeclared","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Unknown","AA/AO","Heterosexual / straight","1050","945","24700","22520"
"In post","2023","Unknown","AA/AO","LGBO","60","55","25330","22520"
"In post","2023","Unknown","AA/AO","Undeclared","350","310","24970","22520"
"In post","2023","Unknown","AA/AO","Unknown","24205","22595","24310","22520"
"In post","2023","Unknown","EO","Heterosexual / straight","750","700","29300","28120"
"In post","2023","Unknown","EO","LGBO","50","45","29760","28190"
"In post","2023","Unknown","EO","Undeclared","365","350","29250","28770"
"In post","2023","Unknown","EO","Unknown","17255","16505","28990","28120"
"In post","2023","Unknown","G6/G7","Heterosexual / straight","485","470","61000","57970"
"In post","2023","Unknown","G6/G7","LGBO","40","40","60730","59290"
"In post","2023","Unknown","G6/G7","Undeclared","660","635","58890","55580"
"In post","2023","Unknown","G6/G7","Unknown","7485","7270","60660","58630"
"In post","2023","Unknown","SCS level","Heterosexual / straight","45","40","92110","88140"
"In post","2023","Unknown","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Unknown","SCS level","Undeclared","50","50","94820","86450"
"In post","2023","Unknown","SCS level","Unknown","700","680","95230","85600"
"In post","2023","Unknown","SEO/HEO","Heterosexual / straight","980","935","39290","38140"
"In post","2023","Unknown","SEO/HEO","LGBO","75","75","39150","38120"
"In post","2023","Unknown","SEO/HEO","Undeclared","810","775","38500","38120"
"In post","2023","Unknown","SEO/HEO","Unknown","16320","15885","38420","37590"
"In post","2023","Unknown","Unknown","Heterosexual / straight","155","140","32270","30060"
"In post","2023","Unknown","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Undeclared","45","40","35400","33050"
"In post","2023","Unknown","Unknown","Unknown","5035","4730","32980","29050"
"In post","2023","White","AA/AO","Heterosexual / straight","70955","64065","24230","22500"
"In post","2023","White","AA/AO","LGBO","5005","4790","24600","22520"
"In post","2023","White","AA/AO","Undeclared","6430","5590","23650","22400"
"In post","2023","White","AA/AO","Unknown","8435","7050","24270","22520"
"In post","2023","White","EO","Heterosexual / straight","67565","62355","28880","28120"
"In post","2023","White","EO","LGBO","4730","4585","28740","28120"
"In post","2023","White","EO","Undeclared","5995","5420","28980","28120"
"In post","2023","White","EO","Unknown","6995","6125","29220","28120"
"In post","2023","White","G6/G7","Heterosexual / straight","45660","43985","60670","58430"
"In post","2023","White","G6/G7","LGBO","3300","3245","59890","57660"
"In post","2023","White","G6/G7","Undeclared","2995","2870","61240","59060"
"In post","2023","White","G6/G7","Unknown","3325","3135","61350","59690"
"In post","2023","White","SCS level","Heterosexual / straight","4750","4595","92030","83530"
"In post","2023","White","SCS level","LGBO","365","360","88310","80730"
"In post","2023","White","SCS level","Undeclared","275","260","91190","84160"
"In post","2023","White","SCS level","Unknown","325","315","94730","85200"
"In post","2023","White","SEO/HEO","Heterosexual / straight","85160","81655","38570","37940"
"In post","2023","White","SEO/HEO","LGBO","6415","6295","37750","36990"
"In post","2023","White","SEO/HEO","Undeclared","6475","6165","38830","38330"
"In post","2023","White","SEO/HEO","Unknown","6520","6215","37820","36990"
"In post","2023","White","Unknown","Heterosexual / straight","14555","13615","32320","29050"
"In post","2023","White","Unknown","LGBO","1175","1145","30140","26840"
"In post","2023","White","Unknown","Undeclared","800","735","34110","32210"
"In post","2023","White","Unknown","Unknown","130","125","34170","32500"
"Leaver CS","2023","Asian","AA/AO","Heterosexual / straight","625","[c]","22500","21780"
"Leaver CS","2023","Asian","AA/AO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","AA/AO","Undeclared","40","[c]","23500","23520"
"Leaver CS","2023","Asian","AA/AO","Unknown","250","[c]","22920","22180"
"Leaver CS","2023","Asian","EO","Heterosexual / straight","625","[c]","28800","28200"
"Leaver CS","2023","Asian","EO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Asian","EO","Undeclared","40","[c]","28980","28890"
"Leaver CS","2023","Asian","EO","Unknown","95","[c]","28840","28120"
"Leaver CS","2023","Asian","G6/G7","Heterosexual / straight","220","[c]","59580","57430"
"Leaver CS","2023","Asian","G6/G7","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","G6/G7","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","Heterosexual / straight","505","[c]","38410","37880"
"Leaver CS","2023","Asian","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","Asian","SEO/HEO","Unknown","115","[c]","37200","38700"
"Leaver CS","2023","Asian","Unknown","Heterosexual / straight","65","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","Heterosexual / straight","350","[c]","23250","23390"
"Leaver CS","2023","Black","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","AA/AO","Unknown","95","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","Heterosexual / straight","515","[c]","29500","29660"
"Leaver CS","2023","Black","EO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","Undeclared","35","[c]","[c]","[c]"
"Leaver CS","2023","Black","EO","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","Heterosexual / straight","105","[c]","57980","56290"
"Leaver CS","2023","Black","G6/G7","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Black","G6/G7","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","Heterosexual / straight","385","[c]","38200","37790"
"Leaver CS","2023","Black","SEO/HEO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Black","SEO/HEO","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Heterosexual / straight","140","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","Heterosexual / straight","230","[c]","22380","21780"
"Leaver CS","2023","Mixed","AA/AO","LGBO","35","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","AA/AO","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","EO","Heterosexual / straight","175","[c]","28500","28120"
"Leaver CS","2023","Mixed","EO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","EO","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","EO","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","Heterosexual / straight","90","[c]","57990","55430"
"Leaver CS","2023","Mixed","G6/G7","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","G6/G7","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SEO/HEO","Heterosexual / straight","170","[c]","38250","37610"
"Leaver CS","2023","Mixed","SEO/HEO","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SEO/HEO","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","SEO/HEO","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Heterosexual / straight","50","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","Heterosexual / straight","60","[c]","22300","21740"
"Leaver CS","2023","Other ethnicity","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","AA/AO","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","EO","Heterosexual / straight","55","[c]","28290","28100"
"Leaver CS","2023","Other ethnicity","EO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","EO","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","EO","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","G6/G7","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","Heterosexual / straight","45","[c]","37180","37050"
"Leaver CS","2023","Other ethnicity","SEO/HEO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","SEO/HEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","Heterosexual / straight","90","[c]","22810","21840"
"Leaver CS","2023","Undeclared","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","AA/AO","Undeclared","255","[c]","22740","21780"
"Leaver CS","2023","Undeclared","AA/AO","Unknown","145","[c]","22620","21690"
"Leaver CS","2023","Undeclared","EO","Heterosexual / straight","65","[c]","28970","28120"
"Leaver CS","2023","Undeclared","EO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","EO","Undeclared","215","[c]","28920","27650"
"Leaver CS","2023","Undeclared","EO","Unknown","90","[c]","29950","28120"
"Leaver CS","2023","Undeclared","G6/G7","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","G6/G7","Undeclared","130","[c]","60910","59510"
"Leaver CS","2023","Undeclared","G6/G7","Unknown","70","[c]","56890","54990"
"Leaver CS","2023","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SEO/HEO","Heterosexual / straight","45","[c]","38160","37590"
"Leaver CS","2023","Undeclared","SEO/HEO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","SEO/HEO","Undeclared","255","[c]","40100","40100"
"Leaver CS","2023","Undeclared","SEO/HEO","Unknown","105","[c]","38680","39730"
"Leaver CS","2023","Undeclared","Unknown","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Undeclared","50","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Heterosexual / straight","135","[c]","22010","21690"
"Leaver CS","2023","Unknown","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Undeclared","50","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","Unknown","4130","[c]","22740","22150"
"Leaver CS","2023","Unknown","EO","Heterosexual / straight","65","[c]","28690","28120"
"Leaver CS","2023","Unknown","EO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Undeclared","80","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","EO","Unknown","1610","[c]","28300","27780"
"Leaver CS","2023","Unknown","G6/G7","Heterosexual / straight","65","[c]","61320","59270"
"Leaver CS","2023","Unknown","G6/G7","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Undeclared","95","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","G6/G7","Unknown","835","[c]","61220","59290"
"Leaver CS","2023","Unknown","SCS level","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SCS level","Unknown","105","[c]","105250","92160"
"Leaver CS","2023","Unknown","SEO/HEO","Heterosexual / straight","90","[c]","38940","38820"
"Leaver CS","2023","Unknown","SEO/HEO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Undeclared","115","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","SEO/HEO","Unknown","1565","[c]","37240","36700"
"Leaver CS","2023","Unknown","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Unknown","740","[c]","36500","33690"
"Leaver CS","2023","White","AA/AO","Heterosexual / straight","7390","[c]","22460","21690"
"Leaver CS","2023","White","AA/AO","LGBO","640","[c]","22260","21690"
"Leaver CS","2023","White","AA/AO","Undeclared","660","[c]","22570","21690"
"Leaver CS","2023","White","AA/AO","Unknown","1925","[c]","22690","21690"
"Leaver CS","2023","White","EO","Heterosexual / straight","4745","[c]","28400","27760"
"Leaver CS","2023","White","EO","LGBO","420","[c]","28160","27570"
"Leaver CS","2023","White","EO","Undeclared","430","[c]","28440","28120"
"Leaver CS","2023","White","EO","Unknown","980","[c]","28300","28120"
"Leaver CS","2023","White","G6/G7","Heterosexual / straight","2465","[c]","61040","58650"
"Leaver CS","2023","White","G6/G7","LGBO","240","[c]","59360","56810"
"Leaver CS","2023","White","G6/G7","Undeclared","170","[c]","62800","59750"
"Leaver CS","2023","White","G6/G7","Unknown","510","[c]","59680","56820"
"Leaver CS","2023","White","SCS level","Heterosexual / straight","380","[c]","99910","92840"
"Leaver CS","2023","White","SCS level","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","White","SCS level","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","White","SCS level","Unknown","75","[c]","100700","96280"
"Leaver CS","2023","White","SEO/HEO","Heterosexual / straight","4575","[c]","38420","37710"
"Leaver CS","2023","White","SEO/HEO","LGBO","435","[c]","36950","36310"
"Leaver CS","2023","White","SEO/HEO","Undeclared","425","[c]","38660","38200"
"Leaver CS","2023","White","SEO/HEO","Unknown","1020","[c]","38340","38330"
"Leaver CS","2023","White","Unknown","Heterosexual / straight","1065","[c]","41220","35770"
"Leaver CS","2023","White","Unknown","LGBO","120","[c]","[c]","[c]"
"Leaver CS","2023","White","Unknown","Undeclared","65","[c]","[c]","[c]"
"Leaver CS","2023","White","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","AA/AO","Heterosexual / straight","155","[c]","22360","21780"
"Leaver Dept.","2023","Asian","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","AA/AO","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","AA/AO","Unknown","55","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","EO","Heterosexual / straight","375","[c]","28830","28120"
"Leaver Dept.","2023","Asian","EO","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","EO","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","EO","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","G6/G7","Heterosexual / straight","155","[c]","58720","56430"
"Leaver Dept.","2023","Asian","G6/G7","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","G6/G7","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","G6/G7","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","SCS level","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Asian","SEO/HEO","Heterosexual / straight","405","[c]","37070","35770"
