"Status","Year","Disability","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education","SEO/HEO","40","35","42090","43490"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","EO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions","SEO/HEO","50","45","38460","38470"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","G6/G7","30","30","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs","SEO/HEO","45","40","40190","39790"
"In post","2023","Declared disabled","Analysis","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","SEO/HEO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","G6/G7","100","95","52660","49260"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence","SEO/HEO","95","90","38110","39890"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice","SEO/HEO","55","55","38580","37680"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","G6/G7","30","30","54910","51460"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","UK Statistics Authority","SEO/HEO","155","150","35640","35170"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office","G6/G7","150","145","67610","66270"
"In post","2023","Declared disabled","Commercial","Cabinet Office","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cabinet Office","SEO/HEO","65","60","36120","38460"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Transport","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department for Work and Pensions","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Department of Health and Social Care","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Revenue and Customs","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Home Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","AA/AO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","EO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","G6/G7","40","40","58320","55940"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","SEO/HEO","130","125","38890","39890"
"In post","2023","Declared disabled","Commercial","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Ministry of Justice","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Attorney General's Departments","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cabinet Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
