"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","50-59","Declared disabled","Unknown","EO","25","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Unknown","HEO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Unknown","SEO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared disabled","Veterinarian","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","G7","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","SEO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Communications","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Communications","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Communications","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Communications","HEO","5","[c]","[c]","[c]"
