"Status","Year","Ethnicity","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","London","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Medicines and Healthcare Products Regulatory Agency","London","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence (excl. agencies)","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice (excl. agencies)","London","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Export Finance","London","40","40","49660","37000"
"In post","2023","Asian","Commercial","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Health Security Agency","London","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Central Civil Service Fast Stream","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Education (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department for Work and Pensions (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
