"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Building Digital UK","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","AO","80","70","22560","21720"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","EO","115","110","27360","28050"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","G6","65","65","67270","66530"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","G7","195","190","55710","56430"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","HEO","150","150","34770","34650"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","SCS level","45","45","87820","77560"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","SEO","140","135","41030","41410"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","HEO","320","320","30680","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","HEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","AO","45","35","23020","23240"
"In post","2023","Declared disabled","Companies House","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Companies House","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Companies House","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Companies House","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","SEO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","HEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","AO","65","60","23820","23700"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","G7","40","35","57480","55990"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","AO","205","190","23260","22870"
"In post","2023","Declared disabled","Crown Prosecution Service","EO","195","175","28560","28850"
"In post","2023","Declared disabled","Crown Prosecution Service","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","G7","350","320","58230","56450"
"In post","2023","Declared disabled","Crown Prosecution Service","HEO","85","80","33470","33100"
"In post","2023","Declared disabled","Crown Prosecution Service","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","SEO","65","65","40390","40080"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","AO","190","180","23180","22480"
"In post","2023","Declared disabled","Defence Equipment and Support","EO","90","85","27220","26820"
"In post","2023","Declared disabled","Defence Equipment and Support","G6","40","40","68530","69830"
"In post","2023","Declared disabled","Defence Equipment and Support","G7","130","125","54140","54510"
"In post","2023","Declared disabled","Defence Equipment and Support","HEO","315","305","33180","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","SEO","355","340","42280","42620"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","EO","40","40","24800","24630"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","G7","350","335","52090","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","HEO","180","175","30360","30650"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","SEO","230","225","39650","39890"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","35","35","29290","28740"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","65","60","68020","66790"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","190","185","56060","55120"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","105","105","34660","34670"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","150","150","41920","41360"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","60","60","54500","53030"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","70","65","36390","35620"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","EO","85","80","27610","26940"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","G6","70","70","66200","65780"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","G7","170","160","53580","51910"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","HEO","150","140","32160","31200"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","SEO","205","200","40130","38210"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","85","80","27460","26160"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","70","70","62440","62040"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","225","220","52080","50340"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","200","195","31980","30930"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","245","235","38800","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","EO","35","35","29470","29400"
"In post","2023","Declared disabled","Department for International Trade","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","G7","65","65","56100","55370"
"In post","2023","Declared disabled","Department for International Trade","HEO","60","60","34920","35010"
"In post","2023","Declared disabled","Department for International Trade","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SEO","65","65","41990","41550"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","50","50","28950","28850"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","40","40","66800","64970"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","105","105","53830","54630"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","95","90","34010","34310"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","80","80","40630","40590"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","G7","60","60","56130","55740"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","HEO","55","50","35390","35760"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","SEO","50","50","44610","43750"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","AA","70","60","21300","21250"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","AO","5265","4425","21990","21690"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","9010","7925","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","G6","115","110","70480","66860"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","G7","375","355","53240","50930"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","HEO","1610","1490","35240","34170"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","SCS level","35","30","90950","81090"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO","550","515","40220","38470"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","G7","50","50","54130","54660"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","HEO","45","45","33820","34190"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","SEO","55","50","40880","41950"
"In post","2023","Declared disabled","Disclosure Scotland","AA","15","15","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","AA","170","130","19040","19000"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","AO","315","260","22560","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","EO","100","90","27320","27390"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","HEO","45","40","32860","31940"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","SEO","35","35","43610","42180"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","AO","90","80","24670","22500"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","EO","240","205","28810","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","HEO","70","70","33190","32670"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","SEO","30","30","41790","41870"
"In post","2023","Declared disabled","Education Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","SEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6","10","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","G7","10","5","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","EO","35","35","28560","28090"
"In post","2023","Declared disabled","Food Standards Agency","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","HEO","30","30","32910","33000"
"In post","2023","Declared disabled","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SEO","45","45","39640","38670"
"In post","2023","Declared disabled","Food Standards Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Scotland","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AO","45","40","28350","28950"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","EO","65","65","31860","31680"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G6","60","60","69200","68840"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","G7","115","115","57510","57290"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","165","160","36960","36620"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","35","35","86430","79000"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","60","60","44230","44450"
"In post","2023","Declared disabled","Forestry and Land Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Forestry and Land Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Actuary's Department","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","G6","40","40","80040","76760"
"In post","2023","Declared disabled","Government Commercial Organisation","G7","95","95","63560","65500"
"In post","2023","Declared disabled","Government Commercial Organisation","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Government Internal Audit Agency","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Government Legal Department","EO","40","40","29870","28540"
"In post","2023","Declared disabled","Government Legal Department","G6","60","55","69420","67680"
"In post","2023","Declared disabled","Government Legal Department","G7","65","60","53700","52790"
