"Status","Year","Age","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","16-19","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","AA","Heterosexual / straight","85","80","21960","23230"
"In post","2023","16-19","Operational Delivery","AA","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","AA","Unknown","70","65","21960","23230"
"In post","2023","16-19","Operational Delivery","AO","Heterosexual / straight","315","310","24070","22520"
"In post","2023","16-19","Operational Delivery","AO","LGBO","35","30","24570","22520"
"In post","2023","16-19","Operational Delivery","AO","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","Operational Delivery","AO","Unknown","285","270","23860","22500"
"In post","2023","16-19","Operational Delivery","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Operational Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","EO","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Operational Delivery","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Operational Research","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Operational Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Other","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","AA","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Other","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Other","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Unknown","Unknown","30","30","19620","17650"
"In post","2023","16-19","Policy","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Policy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Property","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Psychology","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Psychology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AO","Unknown","40","40","19150","18280"
"In post","2023","16-19","Science and Engineering","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Security","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tax","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","Unknown","30","30","22400","22180"
"In post","2023","16-19","Unknown","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","AO","Heterosexual / straight","60","60","23310","22390"
"In post","2023","20-29","Commercial","AO","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AO","Unknown","35","35","24660","22320"
"In post","2023","20-29","Commercial","EO","Heterosexual / straight","135","135","27120","27110"
"In post","2023","20-29","Commercial","EO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","EO","Unknown","55","55","28000","27470"
"In post","2023","20-29","Commercial","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","G6","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","G7","Heterosexual / straight","50","50","58740","56000"
"In post","2023","20-29","Commercial","G7","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","G7","Unknown","35","35","61000","56200"
"In post","2023","20-29","Commercial","HEO","Heterosexual / straight","270","270","33540","33200"
"In post","2023","20-29","Commercial","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","HEO","Unknown","135","135","31770","31270"
"In post","2023","20-29","Commercial","SEO","Heterosexual / straight","140","140","40580","41000"
"In post","2023","20-29","Commercial","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Commercial","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","SEO","Unknown","40","40","42210","42620"
"In post","2023","20-29","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","20-29","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AO","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Communications","EO","Heterosexual / straight","105","105","28070","27840"
"In post","2023","20-29","Communications","EO","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Communications","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Communications","EO","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Communications","G7","Heterosexual / straight","35","35","55170","55270"
"In post","2023","20-29","Communications","G7","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","G7","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Communications","HEO","Heterosexual / straight","190","190","34800","34110"
"In post","2023","20-29","Communications","HEO","LGBO","35","35","34190","34150"
"In post","2023","20-29","Communications","HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Communications","HEO","Unknown","115","115","36210","35650"
"In post","2023","20-29","Communications","SEO","Heterosexual / straight","110","110","42520","41870"
"In post","2023","20-29","Communications","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Communications","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Communications","SEO","Unknown","60","60","43480","43650"
"In post","2023","20-29","Communications","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","Heterosexual / straight","175","175","23560","22520"
"In post","2023","20-29","Counter Fraud","AO","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AO","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Counter Fraud","EO","Heterosexual / straight","525","525","29120","28120"
"In post","2023","20-29","Counter Fraud","EO","LGBO","55","55","28790","28120"
"In post","2023","20-29","Counter Fraud","EO","Undeclared","30","30","[c]","[c]"
"In post","2023","20-29","Counter Fraud","EO","Unknown","140","140","28940","28120"
"In post","2023","20-29","Counter Fraud","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HEO","Heterosexual / straight","135","135","35200","34170"
"In post","2023","20-29","Counter Fraud","HEO","LGBO","20","20","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HEO","Unknown","45","45","36260","35000"
"In post","2023","20-29","Counter Fraud","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","AA","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","AO","Heterosexual / straight","95","95","23210","22500"
"In post","2023","20-29","Digital, Data and Technology","AO","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","AO","Unknown","40","40","23590","23910"
"In post","2023","20-29","Digital, Data and Technology","EO","Heterosexual / straight","540","530","28000","27890"
"In post","2023","20-29","Digital, Data and Technology","EO","LGBO","55","55","27600","27140"
"In post","2023","20-29","Digital, Data and Technology","EO","Undeclared","60","60","28260","27890"
"In post","2023","20-29","Digital, Data and Technology","EO","Unknown","240","235","28080","27890"
"In post","2023","20-29","Digital, Data and Technology","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","G6","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","G7","Heterosexual / straight","225","225","55060","55020"
"In post","2023","20-29","Digital, Data and Technology","G7","LGBO","30","30","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","G7","Undeclared","30","30","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","G7","Unknown","85","85","55100","55390"
"In post","2023","20-29","Digital, Data and Technology","HEO","Heterosexual / straight","630","625","34240","34170"
"In post","2023","20-29","Digital, Data and Technology","HEO","LGBO","110","110","33910","34000"
"In post","2023","20-29","Digital, Data and Technology","HEO","Undeclared","75","75","33620","33170"
"In post","2023","20-29","Digital, Data and Technology","HEO","Unknown","420","420","33920","34170"
"In post","2023","20-29","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","SEO","Heterosexual / straight","465","465","41360","41280"
"In post","2023","20-29","Digital, Data and Technology","SEO","LGBO","55","55","40720","41000"
"In post","2023","20-29","Digital, Data and Technology","SEO","Undeclared","45","45","41470","41440"
"In post","2023","20-29","Digital, Data and Technology","SEO","Unknown","235","235","42010","41820"
"In post","2023","20-29","Digital, Data and Technology","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","AO","Heterosexual / straight","40","40","22340","21200"
"In post","2023","20-29","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Economics","AO","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Economics","EO","Heterosexual / straight","85","85","27620","28720"
"In post","2023","20-29","Economics","EO","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Economics","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Economics","EO","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Economics","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","20-29","Economics","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Economics","G7","Heterosexual / straight","210","210","56630","55730"
"In post","2023","20-29","Economics","G7","LGBO","25","25","[c]","[c]"
"In post","2023","20-29","Economics","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Economics","G7","Unknown","45","45","57230","55740"
"In post","2023","20-29","Economics","HEO","Heterosexual / straight","340","340","35150","34670"
"In post","2023","20-29","Economics","HEO","LGBO","50","45","35160","35010"
"In post","2023","20-29","Economics","HEO","Undeclared","35","35","35960","35010"
"In post","2023","20-29","Economics","HEO","Unknown","135","135","35070","35240"
"In post","2023","20-29","Economics","SEO","Heterosexual / straight","120","120","42750","43430"
"In post","2023","20-29","Economics","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Economics","SEO","Undeclared","10","10","[c]","[c]"
