"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","30","25","22200","21670"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","180","165","26100","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Undeclared","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","Unknown","80","75","25430","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","35","35","57870","57400"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Heterosexual / straight","315","280","34000","32630"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","LGBO","25","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Undeclared","60","55","35100","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","Unknown","45","45","32930","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Heterosexual / straight","125","120","43940","43380"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Undeclared","20","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","655","610","22950","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","LGBO","75","75","23120","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Undeclared","80","75","23020","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","Unknown","130","120","23000","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","620","595","27250","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","LGBO","65","60","27220","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Undeclared","90","85","27470","26250"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","Unknown","55","50","27050","26850"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Heterosexual / straight","50","50","62700","62450"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Heterosexual / straight","150","145","51810","51250"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Undeclared","35","35","53660","54330"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G7","Unknown","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Heterosexual / straight","400","390","31750","30640"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","LGBO","30","30","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Undeclared","60","55","32250","32240"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","Unknown","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Heterosexual / straight","360","345","39520","38200"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Undeclared","75","70","40410","38660"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","Unknown","50","45","39760","37710"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","Heterosexual / straight","65","65","54090","53030"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","LGBO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","Heterosexual / straight","55","55","35160","35620"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","Heterosexual / straight","290","265","22470","21720"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","LGBO","30","30","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","AO","Unknown","75","70","22780","21830"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Heterosexual / straight","485","460","27150","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","LGBO","55","55","26090","24860"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Undeclared","45","45","27740","28370"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","EO","Unknown","170","170","27070","27430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","Heterosexual / straight","430","420","67120","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","LGBO","40","40","67300","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","Undeclared","50","50","67120","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G6","Unknown","100","95","67310","66530"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","Heterosexual / straight","1085","1055","56100","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","LGBO","150","150","55690","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","Undeclared","145","145","56260","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","G7","Unknown","265","260","56580","56430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","Heterosexual / straight","795","775","34680","34320"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","LGBO","90","90","34480","35240"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","Undeclared","70","70","34610","34430"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","HEO","Unknown","165","160","35150","35650"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Heterosexual / straight","300","290","95350","85000"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Undeclared","35","30","91910","81790"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Unknown","100","100","100060","89840"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","Heterosexual / straight","630","615","40940","41740"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","LGBO","65","65","41140","41870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","Undeclared","65","65","41520","41870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","SEO","Unknown","130","125","41550","41870"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","Heterosexual / straight","375","375","32520","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","LGBO","70","70","32120","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","Undeclared","50","50","32510","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","HEO","Unknown","1170","1165","29970","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","Unknown","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","55","50","26000","25970"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Unknown","80","70","25990","25920"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","Heterosexual / straight","45","45","49970","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","Unknown","50","50","50220","49400"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","Heterosexual / straight","80","75","30540","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","Unknown","90","85","30530","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","Heterosexual / straight","65","60","37940","37310"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","LGBO","5","5","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","Unknown","80","75","37800","37310"
"In post","2023","Charity Commission","Charity Commission","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","AO","Unknown","15","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","EO","Heterosexual / straight","55","50","25670","25300"
"In post","2023","Charity Commission","Charity Commission","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","EO","Unknown","55","50","25760","25300"
"In post","2023","Charity Commission","Charity Commission","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G7","Heterosexual / straight","35","30","52900","52240"
"In post","2023","Charity Commission","Charity Commission","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","G7","Unknown","20","20","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","HEO","Heterosexual / straight","100","95","30360","30170"
"In post","2023","Charity Commission","Charity Commission","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","HEO","Unknown","55","50","30720","30170"
"In post","2023","Charity Commission","Charity Commission","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SEO","Heterosexual / straight","70","65","39310","38800"
"In post","2023","Charity Commission","Charity Commission","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","SEO","Unknown","30","30","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","280","250","22670","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","LGBO","20","15","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","Undeclared","35","30","22770","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","AO","Unknown","100","85","22650","23240"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","215","205","27780","26060"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","EO","Unknown","45","40","29810","28070"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","55","55","54050","50930"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","G7","LGBO","[c]","[c]","[c]","[c]"
