"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Inner London - East","EO","4395","4155","32590","32520"
"In post","2023","Inner London - East","G6/G7","4155","4025","64730","64140"
"In post","2023","Inner London - East","SCS level","580","560","99500","94340"
"In post","2023","Inner London - East","SEO/HEO","5985","5825","41880","41480"
"In post","2023","Inner London - East","Unknown","1110","1060","35920","33050"
"In post","2023","Inner London - West","AA/AO","3645","3460","27590","25500"
"In post","2023","Inner London - West","EO","6350","6160","30540","30030"
"In post","2023","Inner London - West","G6/G7","23050","22325","61560","59370"
"In post","2023","Inner London - West","SCS level","3645","3520","91230","81800"
"In post","2023","Inner London - West","SEO/HEO","22260","21875","39690","40260"
"In post","2023","Inner London - West","Unknown","235","225","37090","34820"
"In post","2023","Kent","AA/AO","2825","2650","26500","25610"
"In post","2023","Kent","EO","3720","3455","29050","27650"
"In post","2023","Kent","G6/G7","300","290","62050","58910"
"In post","2023","Kent","SCS level","15","15","97350","99000"
"In post","2023","Kent","SEO/HEO","1630","1560","38120","37520"
"In post","2023","Kent","Unknown","585","545","29600","27530"
"In post","2023","Lancashire","AA/AO","5630","5015","23650","21690"
"In post","2023","Lancashire","EO","4525","4120","28440","28120"
"In post","2023","Lancashire","G6/G7","1105","1060","58740","56790"
"In post","2023","Lancashire","SCS level","55","50","86800","81000"
"In post","2023","Lancashire","SEO/HEO","2835","2675","37630","35580"
"In post","2023","Lancashire","Unknown","770","725","29700","26840"
"In post","2023","Leicestershire, Rutland and Northamptonshire","AA/AO","2605","2330","24130","21780"
"In post","2023","Leicestershire, Rutland and Northamptonshire","EO","1715","1580","28490","28120"
"In post","2023","Leicestershire, Rutland and Northamptonshire","G6/G7","265","255","59310","56160"
"In post","2023","Leicestershire, Rutland and Northamptonshire","SCS level","15","15","83480","78490"
"In post","2023","Leicestershire, Rutland and Northamptonshire","SEO/HEO","945","905","38270","37130"
"In post","2023","Leicestershire, Rutland and Northamptonshire","Unknown","650","610","30130","29050"
"In post","2023","Lincolnshire","AA/AO","1295","1205","24680","22220"
"In post","2023","Lincolnshire","EO","730","680","28770","28120"
"In post","2023","Lincolnshire","G6/G7","140","135","61560","57500"
"In post","2023","Lincolnshire","SCS level","5","5","[c]","[c]"
"In post","2023","Lincolnshire","SEO/HEO","655","630","38270","37300"
"In post","2023","Lincolnshire","Unknown","255","245","29720","26840"
"In post","2023","Merseyside","AA/AO","7620","6800","22490","22400"
"In post","2023","Merseyside","EO","6935","6410","27290","27750"
"In post","2023","Merseyside","G6/G7","1800","1740","59020","57720"
"In post","2023","Merseyside","SCS level","90","90","90490","81660"
"In post","2023","Merseyside","SEO/HEO","5560","5350","36730","35000"
"In post","2023","Merseyside","Unknown","910","865","29500","26840"
"In post","2023","North Eastern Scotland","AA/AO","520","475","27860","25060"
"In post","2023","North Eastern Scotland","EO","635","590","31200","29450"
"In post","2023","North Eastern Scotland","G6/G7","160","155","66820","65280"
"In post","2023","North Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","North Eastern Scotland","SEO/HEO","595","565","47600","40040"
"In post","2023","North Yorkshire","AA/AO","1230","1145","23990","22150"
"In post","2023","North Yorkshire","EO","1070","1015","27880","27430"
"In post","2023","North Yorkshire","G6/G7","695","670","57740","54030"
"In post","2023","North Yorkshire","SCS level","40","40","90660","85000"
"In post","2023","North Yorkshire","SEO/HEO","1500","1450","36290","35020"
"In post","2023","North Yorkshire","Unknown","270","250","30650","29050"
"In post","2023","Northern Ireland","AA/AO","1720","1600","22350","22520"
"In post","2023","Northern Ireland","EO","1170","1120","28040","27890"
"In post","2023","Northern Ireland","G6/G7","355","340","59740","57970"
"In post","2023","Northern Ireland","SCS level","15","10","81050","78250"
"In post","2023","Northern Ireland","SEO/HEO","1285","1245","37080","35000"
"In post","2023","Northumberland, and Tyne and Wear","AA/AO","8330","7085","22130","22520"
"In post","2023","Northumberland, and Tyne and Wear","EO","5925","5440","27930","28120"
"In post","2023","Northumberland, and Tyne and Wear","G6/G7","2430","2360","58460","57970"
"In post","2023","Northumberland, and Tyne and Wear","SCS level","105","100","90840","80220"
"In post","2023","Northumberland, and Tyne and Wear","SEO/HEO","6230","5960","37090","35000"
"In post","2023","Northumberland, and Tyne and Wear","Unknown","615","575","29800","29050"
"In post","2023","Outer London - East and North East","AA/AO","1620","1485","28010","25610"
"In post","2023","Outer London - East and North East","EO","1675","1535","32690","32520"
"In post","2023","Outer London - East and North East","G6/G7","90","85","66200","65780"
"In post","2023","Outer London - East and North East","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Outer London - East and North East","SEO/HEO","495","475","41440","39150"
"In post","2023","Outer London - East and North East","Unknown","365","345","34750","33050"
"In post","2023","Outer London - South","AA/AO","2085","1905","26120","26400"
"In post","2023","Outer London - South","EO","3480","3285","31320","30940"
"In post","2023","Outer London - South","G6/G7","2015","1950","66290","65230"
"In post","2023","Outer London - South","SCS level","125","125","90360","84020"
"In post","2023","Outer London - South","SEO/HEO","4285","4140","41100","39790"
"In post","2023","Outer London - South","Unknown","360","335","33850","33050"
"In post","2023","Outer London - West and North West","AA/AO","1940","1780","27230","26400"
"In post","2023","Outer London - West and North West","EO","3905","3600","31220","30710"
"In post","2023","Outer London - West and North West","G6/G7","665","640","61580","59370"
"In post","2023","Outer London - West and North West","SCS level","60","55","116960","110460"
"In post","2023","Outer London - West and North West","SEO/HEO","2255","2170","39370","38580"
"In post","2023","Outer London - West and North West","Unknown","395","370","34020","33050"
"In post","2023","Overseas","AA/AO","50","50","29640","26650"
