"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","Eastern Scotland","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Inner London - East","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Inner London - West","200","200","44290","36720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Greater Manchester","25","25","35020","31350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Wales","East Wales","55","50","38990","37350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","West Midlands","10","10","36180","36340"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","Inner London - West","120","120","51290","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Greater Manchester","15","15","44440","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","East Midlands (England)","Derbyshire and Nottinghamshire","20","15","46720","43250"
"In post","2023","Analysis","Department for Education","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","Inner London - West","225","215","50880","47230"
"In post","2023","Analysis","Department for Education","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","North East (England)","Northumberland, and Tyne and Wear","10","5","[c]","[c]"
"In post","2023","Analysis","Department for Education","North East (England)","Tees Valley and Durham","45","45","44200","43490"
"In post","2023","Analysis","Department for Education","North West (England)","Greater Manchester","65","65","39800","40730"
"In post","2023","Analysis","Department for Education","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","42410","43250"
"In post","2023","Analysis","Department for Education","West Midlands (England)","West Midlands","30","30","43130","41510"
"In post","2023","Analysis","Department for Education","Yorkshire and The Humber","South Yorkshire","145","140","45680","43690"
"In post","2023","Analysis","Department for Education","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East of England","East Anglia","345","325","36460","32080"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Cumbria","15","15","31460","30320"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Devon","10","10","32290","26630"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Dorset and Somerset","135","130","34820","30350"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","North Yorkshire","10","10","30800","28420"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","London","Inner London - West","245","240","49200","55370"
"In post","2023","Analysis","Department for International Trade","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","London","Inner London - West","210","205","49480","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","45520","42450"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","West Midlands (England)","West Midlands","25","25","38030","34180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","London","Inner London - West","320","310","51120","55270"
"In post","2023","Analysis","Department for Transport","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","34790","32950"
"In post","2023","Analysis","Department for Transport","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","West Midlands (England)","West Midlands","20","20","33890","31350"
"In post","2023","Analysis","Department for Transport","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport","Yorkshire and The Humber","West Yorkshire","30","30","34120","31660"
"In post","2023","Analysis","Department for Work and Pensions","East Midlands (England)","Derbyshire and Nottinghamshire","30","30","42960","40840"
"In post","2023","Analysis","Department for Work and Pensions","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Inner London - West","220","210","50320","43760"
"In post","2023","Analysis","Department for Work and Pensions","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","North East (England)","Northumberland, and Tyne and Wear","100","95","43280","38470"
"In post","2023","Analysis","Department for Work and Pensions","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","North West (England)","Greater Manchester","45","45","36190","34170"
"In post","2023","Analysis","Department for Work and Pensions","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","North West (England)","Merseyside","30","30","44230","40840"
"In post","2023","Analysis","Department for Work and Pensions","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Scotland","West Central Scotland","15","15","34890","34170"
"In post","2023","Analysis","Department for Work and Pensions","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions","Yorkshire and The Humber","South Yorkshire","125","115","48280","44510"
"In post","2023","Analysis","Department for Work and Pensions","Yorkshire and The Humber","West Yorkshire","65","60","41660","38470"
"In post","2023","Analysis","Department of Health and Social Care","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","London","Inner London - East","70","70","36470","28610"
"In post","2023","Analysis","Department of Health and Social Care","London","Inner London - West","80","75","51800","54690"
"In post","2023","Analysis","Department of Health and Social Care","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department of Health and Social Care","Yorkshire and The Humber","West Yorkshire","55","55","46250","50830"
"In post","2023","Analysis","Estyn","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Inner London - West","10","10","39220","33780"
"In post","2023","Analysis","Food Standards Agency","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Food Standards Agency","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","London","Inner London - West","45","40","53970","55850"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Foreign, Commonwealth and Development Office","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East Midlands (England)","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","London","Outer London - South","10","10","57230","59150"
"In post","2023","Analysis","HM Land Registry","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Land Registry","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","London","Inner London - East","205","200","50340","45560"
"In post","2023","Analysis","HM Revenue and Customs","London","Inner London - West","180","175","55160","48570"
"In post","2023","Analysis","HM Revenue and Customs","London","Outer London - South","45","40","57160","59180"
"In post","2023","Analysis","HM Revenue and Customs","North East (England)","Northumberland, and Tyne and Wear","40","40","43180","41500"
"In post","2023","Analysis","HM Revenue and Customs","North West (England)","Greater Manchester","210","200","44380","41780"
"In post","2023","Analysis","HM Revenue and Customs","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","North West (England)","Merseyside","110","105","44710","42140"
"In post","2023","Analysis","HM Revenue and Customs","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South West (England)","Devon","5","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","5","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","HM Revenue and Customs","Yorkshire and The Humber","West Yorkshire","20","20","48020","43100"
"In post","2023","Analysis","HM Treasury","London","Inner London - West","210","205","47050","43320"
"In post","2023","Analysis","HM Treasury","North East (England)","Tees Valley and Durham","20","20","39160","32790"
"In post","2023","Analysis","HM Treasury","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","London","Inner London - East","5","5","[c]","[c]"
"In post","2023","Analysis","Home Office","London","Inner London - West","355","350","48240","44170"
"In post","2023","Analysis","Home Office","London","Outer London - South","115","105","42860","37720"
"In post","2023","Analysis","Home Office","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","North West (England)","Merseyside","20","20","41300","39090"
"In post","2023","Analysis","Home Office","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Home Office","Yorkshire and The Humber","South Yorkshire","65","60","40040","39000"
"In post","2023","Analysis","Ministry of Defence","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","East of England","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","London","Inner London - West","140","140","46890","45750"
"In post","2023","Analysis","Ministry of Defence","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","37800","37650"
"In post","2023","Analysis","Ministry of Defence","South East (England)","Hampshire and Isle of Wight","605","580","44810","45690"
"In post","2023","Analysis","Ministry of Defence","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","580","565","43150","39890"
"In post","2023","Analysis","Ministry of Defence","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Defence","West Midlands (England)","Shropshire and Staffordshire","10","10","30190","30650"
"In post","2023","Analysis","Ministry of Justice","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","38580","37680"
"In post","2023","Analysis","Ministry of Justice","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ministry of Justice","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
