"Status","Year","Age","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","No function","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","No function","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Unknown","White","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","No function","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","No function","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","No function","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","No function","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Other ethnicity","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
