"Status","Year","Disability","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","London","Unknown","40","40","33420","31950"
"In post","2023","Declared disabled","Asian","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","North East (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","AO","120","100","22230","21690"
"In post","2023","Declared disabled","Asian","North West (England)","EO","110","100","27750","28120"
"In post","2023","Declared disabled","Asian","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","HEO","50","50","34120","34170"
"In post","2023","Declared disabled","Asian","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","North West (England)","SEO","35","35","41110","41510"
"In post","2023","Declared disabled","Asian","North West (England)","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","AA","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","AO","30","25","24690","22620"
"In post","2023","Declared disabled","Asian","South East (England)","EO","50","45","29720","30840"
"In post","2023","Declared disabled","Asian","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","HEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","AA","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","AO","200","170","22290","21780"
"In post","2023","Declared disabled","Asian","West Midlands (England)","EO","205","185","27790","28120"
"In post","2023","Declared disabled","Asian","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","G7","35","35","52420","51360"
"In post","2023","Declared disabled","Asian","West Midlands (England)","HEO","70","70","33650","34170"
"In post","2023","Declared disabled","Asian","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","West Midlands (England)","SEO","50","45","40780","39210"
"In post","2023","Declared disabled","Asian","West Midlands (England)","Unknown","30","30","32430","29930"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","AO","75","65","23050","22520"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","EO","120","115","27760","28120"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","HEO","40","35","33640","34170"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Yorkshire and The Humber","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","EO","30","30","27910","28120"
"In post","2023","Declared disabled","Black","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","HEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","East Midlands (England)","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","EO","40","40","30050","31280"
"In post","2023","Declared disabled","Black","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","East of England","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","London","AA","35","35","24690","23500"
"In post","2023","Declared disabled","Black","London","AO","250","225","26880","25610"
"In post","2023","Declared disabled","Black","London","EO","490","460","31750","32520"
"In post","2023","Declared disabled","Black","London","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","London","G7","120","115","58760","56430"
"In post","2023","Declared disabled","Black","London","HEO","200","200","37290","36740"
"In post","2023","Declared disabled","Black","London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","London","SEO","130","130","44480","43650"
"In post","2023","Declared disabled","Black","London","Unknown","175","170","35720","33820"
"In post","2023","Declared disabled","Black","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","EO","35","30","27760","28120"
"In post","2023","Declared disabled","Black","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","EO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","SEO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Black","South East (England)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","South West (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","AO","55","45","22680","21780"
"In post","2023","Declared disabled","Black","West Midlands (England)","EO","60","50","27940","28120"
"In post","2023","Declared disabled","Black","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","HEO","30","30","33540","34170"
"In post","2023","Declared disabled","Black","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","West Midlands (England)","Unknown","50","45","30860","29050"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","Yorkshire and The Humber","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","EO","35","30","27810","28120"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East Midlands (England)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","EO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","G7","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","East of England","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","London","AA","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","London","AO","50","50","26980","25760"
"In post","2023","Declared disabled","Mixed","London","EO","125","120","31630","32520"
"In post","2023","Declared disabled","Mixed","London","G6","30","30","71240","69220"
"In post","2023","Declared disabled","Mixed","London","G7","80","80","58280","56340"
"In post","2023","Declared disabled","Mixed","London","HEO","125","120","35790","35530"
"In post","2023","Declared disabled","Mixed","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","London","SEO","70","70","43300","42880"
"In post","2023","Declared disabled","Mixed","London","Unknown","40","40","34460","33050"
"In post","2023","Declared disabled","Mixed","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","AO","50","45","22660","21690"
"In post","2023","Declared disabled","Mixed","North West (England)","EO","55","50","27910","28120"
"In post","2023","Declared disabled","Mixed","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","HEO","35","35","33960","34350"
"In post","2023","Declared disabled","Mixed","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","North West (England)","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","EO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","HEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","AA","10","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","EO","45","40","29680","28120"
"In post","2023","Declared disabled","Mixed","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Mixed","South East (England)","HEO","25","25","[c]","[c]"
