"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Defence Science and Technology Laboratory","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Science and Engineering","AA/AO","25","25","21890","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","AA/AO","30","30","21810","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Other","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Policy","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","AA/AO","75","65","20560","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Education Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","FCDO Services","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Government Legal Department","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","Operational Delivery","AA/AO","25","25","22110","21780"
"In post","2023","16-19","HM Land Registry","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","AA/AO","270","270","26720","28880"
"In post","2023","16-19","HM Prison and Probation Service","Operational Delivery","Unknown","35","30","20180","19090"
"In post","2023","16-19","HM Prison and Probation Service","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Finance","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","AA/AO","120","115","22710","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Operational Research","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Tax","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","Unknown","AA/AO","20","20","23120","22520"
"In post","2023","16-19","HM Treasury (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Operational Delivery","AA/AO","105","95","23050","22400"
"In post","2023","16-19","Home Office","Operational Delivery","EO","25","25","26810","25750"
"In post","2023","16-19","Home Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Met Office","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Human Resources","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Operational Delivery","AA/AO","10","10","22080","22220"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","Operational Delivery","AA/AO","10","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Other","Unknown","30","30","19370","17400"
"In post","2023","16-19","Rural Payments Agency","Operational Delivery","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","Unknown","AA/AO","15","15","22760","22760"
"In post","2023","16-19","Scottish Prison Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Operational Delivery","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","Unknown","AA/AO","15","15","22720","22180"
"In post","2023","16-19","Student Awards Agency for Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Science and Engineering","Unknown","15","15","18580","18280"
"In post","2023","16-19","The Insolvency Service","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Economics","EO","10","10","24840","24840"
"In post","2023","16-19","UK Statistics Authority","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","AA/AO","10","10","20820","21200"
"In post","2023","16-19","UK Statistics Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Valuation Office Agency","Property","AA/AO","10","10","22960","22520"
"In post","2023","16-19","Valuation Office Agency","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Vehicle Certification Agency","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Welsh Government (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Unknown","AA/AO","10","10","22920","22180"
"In post","2023","20-29","Accountant in Bankruptcy","Unknown","EO","5","5","[c]","[c]"
"In post","2023","20-29","Accountant in Bankruptcy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Active Travel England","Science and Engineering","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Active Travel England","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","30","25","25270","25160"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","15","15","33490","32110"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","AA/AO","190","185","22880","22150"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","EO","140","140","27130","25920"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","75","75","33500","33830"
"In post","2023","20-29","Animal and Plant Health Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Science and Engineering","AA/AO","55","55","24690","25340"
"In post","2023","20-29","Animal and Plant Health Agency","Science and Engineering","EO","55","55","28860","29080"
"In post","2023","20-29","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","25","25","34240","33830"
"In post","2023","20-29","Animal and Plant Health Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Veterinarian","EO","10","10","[c]","[c]"
"In post","2023","20-29","Animal and Plant Health Agency","Veterinarian","SEO/HEO","10","10","35800","37300"
"In post","2023","20-29","Attorney General's Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Attorney General's Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Building Digital UK","Other","G6/G7","[c]","[c]","[c]","[c]"
