"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Department for Work and Pensions","EO","9080","7990","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","G6","130","120","70610","67700"
"In post","2023","Declared disabled","Department for Work and Pensions","G7","425","405","53770","53190"
"In post","2023","Declared disabled","Department for Work and Pensions","HEO","1675","1555","35200","34170"
"In post","2023","Declared disabled","Department for Work and Pensions","SCS level","35","35","92350","81640"
"In post","2023","Declared disabled","Department for Work and Pensions","SEO","665","625","41510","38470"
"In post","2023","Declared disabled","Department of Health and Social Care","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","EO","60","55","27440","27840"
"In post","2023","Declared disabled","Department of Health and Social Care","G6","50","50","68220","67690"
"In post","2023","Declared disabled","Department of Health and Social Care","G7","130","125","54480","54660"
"In post","2023","Declared disabled","Department of Health and Social Care","HEO","105","105","33130","33790"
"In post","2023","Declared disabled","Department of Health and Social Care","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care","SEO","100","100","41280","41640"
"In post","2023","Declared disabled","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G6","10","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","EO","35","35","28560","28090"
"In post","2023","Declared disabled","Food Standards Agency","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","HEO","30","30","32910","33000"
"In post","2023","Declared disabled","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Food Standards Agency","SEO","45","45","39640","38670"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","AO","60","60","27980","28950"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","EO","80","80","31510","31440"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","G6","60","60","69840","70100"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","G7","125","120","57620","57350"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","HEO","185","180","36880","36620"
