"Status","Year","Disability","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","300","280","27760","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","95","90","31910","29100"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","20","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","130","130","49820","51290"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","165","155","40050","38460"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Legal","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Policy","55","55","45110","41870"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Property","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Security","55","55","37360","34320"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","285","280","42040","38050"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Commercial","20","20","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Digital, Data and Technology","35","35","30680","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Finance","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Project Delivery","60","60","30680","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Property","10","10","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Statistics","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Cabinet Office","Unknown","145","145","30660","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","30","30","31820","30320"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Operational Delivery","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","15","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Finance","5","5","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","55","50","25450","23240"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","45","40","25310","25830"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Commercial","30","30","39220","39860"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","45","45","61720","58850"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","100","95","28420","24490"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Finance","30","30","27950","24480"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Human Resources","25","25","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Legal","410","380","56290","56450"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","400","370","28280","26900"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Policy","20","15","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Commercial","95","90","41190","42620"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","65","60","35750","33200"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Finance","40","35","37960","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Human Resources","30","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Operational Delivery","235","230","33340","31920"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Other","175","160","34440","31920"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Project Delivery","205","200","41040","39500"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Science and Engineering","275","265","41860","42620"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","Security","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","25","25","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","75","70","43720","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","60","60","42700","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Other","90","85","48050","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","65","60","41900","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","485","470","41940","39890"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Security","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","50","50","49530","41360"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","440","430","49050","50310"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Economics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Finance","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Other","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Policy","120","120","46600","41360"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
