"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Communications","G6/G7","G6","185","180","69280","68610"
"In post","2023","Declared non-disabled","Communications","G6/G7","G7","510","495","56610","56290"
"In post","2023","Declared non-disabled","Communications","SCS level","SCS level","85","85","91510","84210"
"In post","2023","Declared non-disabled","Communications","SEO/HEO","HEO","590","565","35090","34380"
"In post","2023","Declared non-disabled","Communications","SEO/HEO","SEO","705","675","42680","42140"
"In post","2023","Declared non-disabled","Communications","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","AA/AO","AA","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","AA/AO","AO","1500","1305","23190","22520"
"In post","2023","Declared non-disabled","Counter Fraud","EO","EO","4965","4565","29130","28120"
"In post","2023","Declared non-disabled","Counter Fraud","G6/G7","G6","230","220","72050","71300"
"In post","2023","Declared non-disabled","Counter Fraud","G6/G7","G7","665","635","58910","57970"
"In post","2023","Declared non-disabled","Counter Fraud","SCS level","SCS level","35","35","83060","80500"
"In post","2023","Declared non-disabled","Counter Fraud","SEO/HEO","HEO","2875","2745","35890","35000"
"In post","2023","Declared non-disabled","Counter Fraud","SEO/HEO","SEO","1150","1100","42960","42510"
"In post","2023","Declared non-disabled","Debt","AA/AO","AA","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","AA/AO","AO","3490","3095","22540","22520"
"In post","2023","Declared non-disabled","Debt","EO","EO","895","815","28800","28130"
"In post","2023","Declared non-disabled","Debt","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","G6/G7","G7","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","SEO/HEO","HEO","230","210","35130","34700"
"In post","2023","Declared non-disabled","Debt","SEO/HEO","SEO","70","65","42760","42510"
"In post","2023","Declared non-disabled","Digital, Data & Technology","AA/AO","AA","40","40","20230","19080"
"In post","2023","Declared non-disabled","Digital, Data & Technology","AA/AO","AO","485","465","22690","22220"
"In post","2023","Declared non-disabled","Digital, Data & Technology","EO","EO","2350","2230","28380","28120"
"In post","2023","Declared non-disabled","Digital, Data & Technology","G6/G7","G6","1300","1275","69020","67520"
"In post","2023","Declared non-disabled","Digital, Data & Technology","G6/G7","G7","3890","3805","55710","55720"
"In post","2023","Declared non-disabled","Digital, Data & Technology","SCS level","SCS level","255","255","94110","87400"
"In post","2023","Declared non-disabled","Digital, Data & Technology","SEO/HEO","HEO","3800","3690","34730","34300"
"In post","2023","Declared non-disabled","Digital, Data & Technology","SEO/HEO","SEO","4595","4470","42070","41780"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","Unknown","50","50","37060","33390"
"In post","2023","Declared non-disabled","Finance","AA/AO","AA","35","25","21610","22520"
"In post","2023","Declared non-disabled","Finance","AA/AO","AO","1075","925","22800","22520"
"In post","2023","Declared non-disabled","Finance","EO","EO","1305","1230","28330","28120"
"In post","2023","Declared non-disabled","Finance","G6/G7","G6","590","575","70020","70550"
"In post","2023","Declared non-disabled","Finance","G6/G7","G7","1445","1405","56050","55830"
"In post","2023","Declared non-disabled","Finance","SCS level","SCS level","245","235","90890","82560"
"In post","2023","Declared non-disabled","Finance","SEO/HEO","HEO","1840","1765","34930","34300"
"In post","2023","Declared non-disabled","Finance","SEO/HEO","SEO","1980","1910","42520","42140"
"In post","2023","Declared non-disabled","Finance","Unknown","Unknown","45","45","53910","48680"
"In post","2023","Declared non-disabled","Grants Management","AA/AO","AO","720","655","22130","22150"
"In post","2023","Declared non-disabled","Grants Management","EO","EO","375","355","26050","25920"
"In post","2023","Declared non-disabled","Grants Management","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","G6/G7","G7","50","45","52100","49970"
"In post","2023","Declared non-disabled","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","SEO/HEO","HEO","160","150","30850","30320"
"In post","2023","Declared non-disabled","Grants Management","SEO/HEO","SEO","85","80","38460","37300"
"In post","2023","Declared non-disabled","Human Resources","AA/AO","AA","40","35","21020","21380"
"In post","2023","Declared non-disabled","Human Resources","AA/AO","AO","680","630","22650","22220"
"In post","2023","Declared non-disabled","Human Resources","EO","EO","2180","2065","28540","28120"
"In post","2023","Declared non-disabled","Human Resources","G6/G7","G6","510","500","68710","67940"
"In post","2023","Declared non-disabled","Human Resources","G6/G7","G7","1365","1315","55620","55500"
"In post","2023","Declared non-disabled","Human Resources","SCS level","SCS level","185","175","90250","82400"
"In post","2023","Declared non-disabled","Human Resources","SEO/HEO","HEO","2385","2280","34640","34300"
"In post","2023","Declared non-disabled","Human Resources","SEO/HEO","SEO","1650","1580","42240","41670"
"In post","2023","Declared non-disabled","Human Resources","Unknown","Unknown","70","65","40130","38790"
"In post","2023","Declared non-disabled","Internal Audit","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","EO","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","G6/G7","G6","55","55","66400","64280"
"In post","2023","Declared non-disabled","Internal Audit","G6/G7","G7","100","95","54860","54930"
"In post","2023","Declared non-disabled","Internal Audit","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","SEO/HEO","HEO","85","80","35030","34300"
"In post","2023","Declared non-disabled","Internal Audit","SEO/HEO","SEO","200","185","45450","44460"
"In post","2023","Declared non-disabled","Legal","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","AA/AO","AO","1120","1025","23190","22870"
"In post","2023","Declared non-disabled","Legal","EO","EO","1470","1380","28780","28240"
"In post","2023","Declared non-disabled","Legal","G6/G7","G6","1325","1235","71570","70680"
"In post","2023","Declared non-disabled","Legal","G6/G7","G7","3480","3215","56840","55290"
"In post","2023","Declared non-disabled","Legal","SCS level","SCS level","375","360","89850","85000"
"In post","2023","Declared non-disabled","Legal","SEO/HEO","HEO","805","770","35490","35000"
"In post","2023","Declared non-disabled","Legal","SEO/HEO","SEO","465","445","41140","40800"
"In post","2023","Declared non-disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","AA/AO","AA","7575","6725","22030","23000"
"In post","2023","Declared non-disabled","No function","AA/AO","AO","57250","51380","24650","22500"
"In post","2023","Declared non-disabled","No function","EO","EO","58075","53220","28870","28120"
"In post","2023","Declared non-disabled","No function","G6/G7","G6","5820","5585","70330","68160"
"In post","2023","Declared non-disabled","No function","G6/G7","G7","14210","13800","57020","55770"
"In post","2023","Declared non-disabled","No function","SCS level","SCS level","2500","2405","89170","80500"
"In post","2023","Declared non-disabled","No function","SEO/HEO","HEO","29025","27800","35000","34700"
"In post","2023","Declared non-disabled","No function","SEO/HEO","SEO","18785","18110","43420","42140"
"In post","2023","Declared non-disabled","No function","Unknown","Unknown","13605","12730","31000","29050"
"In post","2023","Declared non-disabled","Project Delivery","AA/AO","AA","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","AA/AO","AO","195","185","23250","22520"
"In post","2023","Declared non-disabled","Project Delivery","EO","EO","1085","1015","28270","28120"
"In post","2023","Declared non-disabled","Project Delivery","G6/G7","G6","1455","1405","70170","69940"
"In post","2023","Declared non-disabled","Project Delivery","G6/G7","G7","3235","3130","55530","55780"
"In post","2023","Declared non-disabled","Project Delivery","SCS level","SCS level","490","475","93150","86040"
"In post","2023","Declared non-disabled","Project Delivery","SEO/HEO","HEO","2865","2720","34500","34400"
"In post","2023","Declared non-disabled","Project Delivery","SEO/HEO","SEO","3640","3510","41840","41800"
"In post","2023","Declared non-disabled","Project Delivery","Unknown","Unknown","1130","1105","44180","42200"
"In post","2023","Declared non-disabled","Property","AA/AO","AA","290","280","19540","18830"
"In post","2023","Declared non-disabled","Property","AA/AO","AO","635","580","22960","22520"
"In post","2023","Declared non-disabled","Property","EO","EO","990","925","28140","27740"
"In post","2023","Declared non-disabled","Property","G6/G7","G6","275","270","66560","66310"
"In post","2023","Declared non-disabled","Property","G6/G7","G7","845","825","56150","56060"
"In post","2023","Declared non-disabled","Property","SCS level","SCS level","75","75","90300","85410"
"In post","2023","Declared non-disabled","Property","SEO/HEO","HEO","1260","1215","34380","34300"
"In post","2023","Declared non-disabled","Property","SEO/HEO","SEO","1240","1180","43200","42640"
"In post","2023","Declared non-disabled","Property","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Security","AA/AO","AA","1475","1435","22120","21380"
"In post","2023","Declared non-disabled","Security","AA/AO","AO","1565","1520","33290","30700"
"In post","2023","Declared non-disabled","Security","EO","EO","850","825","32390","28190"
"In post","2023","Declared non-disabled","Security","G6/G7","G6","145","145","71490","69360"
"In post","2023","Declared non-disabled","Security","G6/G7","G7","355","350","57450","56520"
"In post","2023","Declared non-disabled","Security","SCS level","SCS level","50","50","93850","91230"
"In post","2023","Declared non-disabled","Security","SEO/HEO","HEO","860","835","37460","34970"
"In post","2023","Declared non-disabled","Security","SEO/HEO","SEO","495","490","43800","42510"
"In post","2023","Declared non-disabled","Security","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","AA","710","670","23790","23340"
"In post","2023","Declared non-disabled","Unknown","AA/AO","AO","1635","1540","26390","25620"
"In post","2023","Declared non-disabled","Unknown","EO","EO","2930","2800","30420","30610"
"In post","2023","Declared non-disabled","Unknown","G6/G7","G6","1190","1140","75080","76990"
"In post","2023","Declared non-disabled","Unknown","G6/G7","G7","2890","2770","58990","59870"
"In post","2023","Declared non-disabled","Unknown","SCS level","SCS level","405","395","90820","85200"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","HEO","3600","3440","37000","38330"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","SEO","3480","3350","46130","46660"
"In post","2023","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Analysis","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Undeclared","Analysis","EO","EO","25","25","[c]","[c]"
"In post","2023","Undeclared","Analysis","G6/G7","G6","30","30","71350","69550"
"In post","2023","Undeclared","Analysis","G6/G7","G7","115","110","57460","56340"
"In post","2023","Undeclared","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
