"Status","Year","Disability","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","AO","190","180","23180","22480"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","EO","90","85","27220","26820"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","G6","40","40","68530","69830"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","G7","130","125","54140","54510"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","HEO","315","305","33180","32500"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Ministry of Defence","SEO","355","340","42280","42620"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","EO","40","40","24800","24630"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","G7","350","335","52090","49260"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","HEO","180","175","30360","30650"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","SEO","230","225","39650","39890"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","35","35","29290","28740"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","65","60","68020","66790"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","190","185","56060","55120"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","HEO","105","105","34660","34670"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO","150","150","41920","41360"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G7","60","60","54500","53030"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","HEO","70","65","36390","35620"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","EO","85","80","27610","26940"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","G6","70","70","66200","65780"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","G7","170","160","53580","51910"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","HEO","150","140","32160","31200"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","SEO","205","200","40130","38210"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","85","80","27460","26160"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6","70","70","62440","62040"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G7","225","220","52080","50340"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","HEO","200","195","31980","30930"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO","245","235","38800","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","EO","35","35","29470","29400"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","G7","65","65","56100","55370"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","HEO","60","60","34920","35010"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","Department for International Trade","SEO","65","65","41990","41550"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","50","50","28950","28850"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6","40","40","66800","64970"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G7","105","105","53830","54630"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","HEO","95","90","34010","34310"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO","80","80","40630","40590"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","G7","60","60","56130","55740"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","HEO","55","50","35390","35760"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","SEO","50","50","44610","43750"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA","70","60","21300","21250"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","5265","4425","21990","21690"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","9010","7925","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6","115","110","70480","66860"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G7","375","355","53240","50930"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","HEO","1610","1490","35240","34170"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","35","30","90950","81090"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO","550","515","40220","38470"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G7","50","50","54130","54660"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","HEO","45","45","33820","34190"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO","55","50","40880","41950"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","AA","15","15","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Disclosure Scotland","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","AA","170","130","19040","19000"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","AO","315","260","22560","22500"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","EO","100","90","27320","27390"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","HEO","45","40","32860","31940"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","SEO","35","35","43610","42180"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","AO","90","80","24670","22500"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","EO","240","205","28810","27450"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","HEO","70","70","33190","32670"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","SEO","30","30","41790","41870"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education Scotland","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","Department for Education","SEO","30","30","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","G6","10","5","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Estyn","Estyn","SEO","[c]","[c]","[c]","[c]"
