"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Black","Communications","EO","EO","20","20","[c]","[c]"
"In post","2023","Black","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Black","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","SEO/HEO","HEO","45","45","36050","35580"
"In post","2023","Black","Communications","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2023","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","AA/AO","AO","140","120","24840","25610"
"In post","2023","Black","Counter Fraud","EO","EO","355","335","31400","32520"
"In post","2023","Black","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Black","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","SEO/HEO","HEO","155","155","37720","39150"
"In post","2023","Black","Counter Fraud","SEO/HEO","SEO","30","30","44850","45560"
"In post","2023","Black","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","AA/AO","AO","220","205","23660","22520"
"In post","2023","Black","Debt","EO","EO","45","40","31570","32390"
"In post","2023","Black","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Debt","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Black","Debt","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","EO","EO","150","145","28890","28370"
"In post","2023","Black","Digital, Data & Technology","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","G6/G7","G7","175","175","57300","56430"
"In post","2023","Black","Digital, Data & Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","SEO/HEO","HEO","250","250","35350","34700"
"In post","2023","Black","Digital, Data & Technology","SEO/HEO","SEO","265","260","42320","41880"
"In post","2023","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","AA/AO","AO","40","35","24910","25480"
"In post","2023","Black","Finance","EO","EO","85","80","29850","29730"
"In post","2023","Black","Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Black","Finance","G6/G7","G7","80","80","57730","55740"
"In post","2023","Black","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","SEO/HEO","HEO","135","130","36490","36270"
"In post","2023","Black","Finance","SEO/HEO","SEO","120","120","44340","43760"
"In post","2023","Black","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","AA/AO","AO","20","15","[c]","[c]"
"In post","2023","Black","Grants Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","AA/AO","AO","25","25","[c]","[c]"
"In post","2023","Black","Human Resources","EO","EO","110","105","29760","29660"
"In post","2023","Black","Human Resources","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Black","Human Resources","G6/G7","G7","55","50","56340","55910"
"In post","2023","Black","Human Resources","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Black","Human Resources","SEO/HEO","HEO","125","125","35540","35410"
"In post","2023","Black","Human Resources","SEO/HEO","SEO","85","85","43450","43400"
"In post","2023","Black","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Black","Internal Audit","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Black","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","AA/AO","AO","135","130","24190","24480"
"In post","2023","Black","Legal","EO","EO","165","160","29320","28540"
"In post","2023","Black","Legal","G6/G7","G6","30","30","72230","71750"
"In post","2023","Black","Legal","G6/G7","G7","240","235","57680","55290"
"In post","2023","Black","Legal","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Black","Legal","SEO/HEO","HEO","75","75","36340","35000"
"In post","2023","Black","Legal","SEO/HEO","SEO","30","30","41600","40800"
"In post","2023","Black","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","AA/AO","AA","455","425","24090","23500"
"In post","2023","Black","No function","AA/AO","AO","3050","2830","26550","25480"
"In post","2023","Black","No function","EO","EO","3930","3720","30450","30250"
"In post","2023","Black","No function","G6/G7","G6","105","100","69990","67570"
"In post","2023","Black","No function","G6/G7","G7","520","515","57250","55740"
"In post","2023","Black","No function","SCS level","SCS level","65","65","97200","86710"
"In post","2023","Black","No function","SEO/HEO","HEO","1580","1550","36170","35620"
"In post","2023","Black","No function","SEO/HEO","SEO","875","860","44130","43210"
"In post","2023","Black","No function","Unknown","Unknown","1305","1250","31990","29300"
"In post","2023","Black","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Black","Project Delivery","EO","EO","90","85","30410","30560"
"In post","2023","Black","Project Delivery","G6/G7","G6","45","45","70390","69490"
"In post","2023","Black","Project Delivery","G6/G7","G7","145","145","58350","56340"
"In post","2023","Black","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","SEO/HEO","HEO","215","210","35800","35000"
"In post","2023","Black","Project Delivery","SEO/HEO","SEO","200","200","42930","42370"
"In post","2023","Black","Project Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Property","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Black","Property","AA/AO","AO","20","15","[c]","[c]"
"In post","2023","Black","Property","EO","EO","40","35","30050","30490"
"In post","2023","Black","Property","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Black","Property","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Black","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","SEO/HEO","HEO","50","45","35450","35410"
"In post","2023","Black","Property","SEO/HEO","SEO","50","50","44860","43760"
"In post","2023","Black","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","AA/AO","AA","45","45","23850","24380"
"In post","2023","Black","Security","AA/AO","AO","25","25","[c]","[c]"
"In post","2023","Black","Security","EO","EO","35","35","31340","31070"
"In post","2023","Black","Security","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Black","Security","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Black","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2023","Black","Security","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2023","Black","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Black","Unknown","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Black","Unknown","EO","EO","50","50","29780","29100"
"In post","2023","Black","Unknown","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Black","Unknown","G6/G7","G7","30","30","[c]","[c]"
"In post","2023","Black","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","SEO/HEO","HEO","80","75","34670","33550"
"In post","2023","Black","Unknown","SEO/HEO","SEO","45","45","43750","43760"
"In post","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Mixed","Analysis","EO","EO","25","25","[c]","[c]"
"In post","2023","Mixed","Analysis","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Mixed","Analysis","G6/G7","G7","65","65","55720","55500"
"In post","2023","Mixed","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","SEO/HEO","HEO","85","85","33950","33630"
"In post","2023","Mixed","Analysis","SEO/HEO","SEO","60","60","42380","43210"
"In post","2023","Mixed","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","AA/AO","AO","10","5","[c]","[c]"
"In post","2023","Mixed","Commercial","EO","EO","20","20","[c]","[c]"
"In post","2023","Mixed","Commercial","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Mixed","Commercial","G6/G7","G7","25","25","[c]","[c]"
"In post","2023","Mixed","Commercial","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Mixed","Commercial","SEO/HEO","HEO","35","35","33000","33420"
"In post","2023","Mixed","Commercial","SEO/HEO","SEO","35","35","42110","42620"
"In post","2023","Mixed","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","EO","EO","20","20","[c]","[c]"
"In post","2023","Mixed","Communications","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Mixed","Communications","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Mixed","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","SEO/HEO","HEO","30","30","36290","35410"
"In post","2023","Mixed","Communications","SEO/HEO","SEO","30","30","42650","42420"
"In post","2023","Mixed","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","AA/AO","AO","50","45","24340","25610"
"In post","2023","Mixed","Counter Fraud","EO","EO","145","140","29820","28130"
"In post","2023","Mixed","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","G6/G7","G7","25","25","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","SEO/HEO","HEO","60","60","36510","35000"
"In post","2023","Mixed","Counter Fraud","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2023","Mixed","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","AA/AO","AO","85","75","22630","22520"
"In post","2023","Mixed","Debt","EO","EO","20","15","[c]","[c]"
"In post","2023","Mixed","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","EO","EO","55","50","28680","28120"
"In post","2023","Mixed","Digital, Data & Technology","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","G6/G7","G7","115","115","55320","55720"
"In post","2023","Mixed","Digital, Data & Technology","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","SEO/HEO","HEO","115","115","34440","34300"
"In post","2023","Mixed","Digital, Data & Technology","SEO/HEO","SEO","95","95","42160","42140"
"In post","2023","Mixed","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","AA/AO","AO","25","20","[c]","[c]"
"In post","2023","Mixed","Finance","EO","EO","40","40","28110","27190"
"In post","2023","Mixed","Finance","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Mixed","Finance","G6/G7","G7","45","45","56000","56430"
"In post","2023","Mixed","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","SEO/HEO","HEO","45","45","34530","34700"
"In post","2023","Mixed","Finance","SEO/HEO","SEO","50","50","42610","42130"
"In post","2023","Mixed","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","AA/AO","AO","25","20","[c]","[c]"
"In post","2023","Mixed","Grants Management","EO","EO","5","5","[c]","[c]"
"In post","2023","Mixed","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","AA/AO","AO","20","20","[c]","[c]"
"In post","2023","Mixed","Human Resources","EO","EO","75","70","28790","28120"
"In post","2023","Mixed","Human Resources","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Mixed","Human Resources","G6/G7","G7","50","45","55760","55780"
"In post","2023","Mixed","Human Resources","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Mixed","Human Resources","SEO/HEO","HEO","85","80","35210","34450"
