"Status","Year","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Barnsley, Doncaster and Rotherham","EO","Heterosexual / straight","605","530","29520","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","EO","LGBO","40","40","29740","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","EO","Undeclared","75","65","30440","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","EO","Unknown","140","120","30300","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","G6/G7","Heterosexual / straight","45","45","62420","59190"
"In post","2023","Barnsley, Doncaster and Rotherham","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","SEO/HEO","Heterosexual / straight","320","300","38980","37680"
"In post","2023","Barnsley, Doncaster and Rotherham","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","SEO/HEO","Undeclared","30","30","40370","39930"
"In post","2023","Barnsley, Doncaster and Rotherham","SEO/HEO","Unknown","35","35","37760","37300"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","Heterosexual / straight","270","250","30110","29050"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","Unknown","40","35","27530","26840"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Heterosexual / straight","1110","1035","24140","22400"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","LGBO","85","80","24650","24070"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Undeclared","110","100","24400","22230"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Unknown","395","375","23060","22220"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Heterosexual / straight","1005","945","28530","27470"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","LGBO","60","60","29020","28120"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Undeclared","115","105","28640","27650"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Unknown","180","170","27700","27080"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Heterosexual / straight","1915","1860","58680","56180"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","LGBO","50","50","57070","55350"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Undeclared","255","245","59030","56610"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Unknown","160","150","60040","56050"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Heterosexual / straight","135","130","100350","92170"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Unknown","15","10","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Heterosexual / straight","5230","5025","38410","38790"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","LGBO","200","200","37800","38790"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Undeclared","655","625","39490","40890"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Unknown","475","460","37430","37210"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Heterosexual / straight","1375","1325","42860","40270"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","LGBO","50","50","36040","32500"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Undeclared","160","150","45240","42620"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","170","165","37830","32550"
"In post","2023","Bedford","AA/AO","Heterosexual / straight","215","210","27620","30880"
"In post","2023","Bedford","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2023","Bedford","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2023","Bedford","AA/AO","Unknown","50","45","28250","30880"
"In post","2023","Bedford","EO","Heterosexual / straight","155","140","28490","28120"
"In post","2023","Bedford","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Bedford","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","Bedford","EO","Unknown","55","50","28170","28120"
"In post","2023","Bedford","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Bedford","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","G6/G7","Undeclared","10","5","[c]","[c]"
"In post","2023","Bedford","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedford","SEO/HEO","Heterosexual / straight","130","120","39050","38640"
"In post","2023","Bedford","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Bedford","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Bedford","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2023","Bedford","Unknown","Heterosexual / straight","90","80","29480","26840"
"In post","2023","Bedford","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Bedford","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Bedford","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Belfast","AA/AO","Heterosexual / straight","575","520","22420","22520"
"In post","2023","Belfast","AA/AO","LGBO","45","45","22490","22520"
"In post","2023","Belfast","AA/AO","Undeclared","40","35","22400","22520"
"In post","2023","Belfast","AA/AO","Unknown","415","375","22490","22520"
"In post","2023","Belfast","EO","Heterosexual / straight","595","565","28330","27890"
"In post","2023","Belfast","EO","LGBO","40","40","28040","27890"
"In post","2023","Belfast","EO","Undeclared","35","35","28720","28120"
"In post","2023","Belfast","EO","Unknown","235","225","28050","27890"
"In post","2023","Belfast","G6/G7","Heterosexual / straight","225","215","59530","57970"
"In post","2023","Belfast","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Belfast","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Belfast","G6/G7","Unknown","40","40","60510","57970"
"In post","2023","Belfast","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Belfast","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Belfast","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Belfast","SEO/HEO","Heterosexual / straight","740","710","37530","35000"
"In post","2023","Belfast","SEO/HEO","LGBO","40","40","35700","34700"
"In post","2023","Belfast","SEO/HEO","Undeclared","60","55","36090","35000"
"In post","2023","Belfast","SEO/HEO","Unknown","195","195","36750","35000"
"In post","2023","Berkshire","AA/AO","Heterosexual / straight","565","535","29080","25610"
"In post","2023","Berkshire","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Berkshire","AA/AO","Undeclared","90","85","30790","25610"
"In post","2023","Berkshire","AA/AO","Unknown","220","205","29480","27350"
"In post","2023","Berkshire","EO","Heterosexual / straight","495","465","32350","31280"
"In post","2023","Berkshire","EO","LGBO","30","30","31810","31280"
"In post","2023","Berkshire","EO","Undeclared","75","75","34360","31280"
"In post","2023","Berkshire","EO","Unknown","130","120","32670","31280"
"In post","2023","Berkshire","G6/G7","Heterosexual / straight","200","190","59720","56830"
"In post","2023","Berkshire","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Berkshire","G6/G7","Undeclared","30","30","59490","58480"
"In post","2023","Berkshire","G6/G7","Unknown","50","45","60750","59290"
"In post","2023","Berkshire","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Berkshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Berkshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Berkshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Berkshire","SEO/HEO","Heterosexual / straight","470","445","40560","39650"
"In post","2023","Berkshire","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Berkshire","SEO/HEO","Undeclared","60","55","38900","37410"
"In post","2023","Berkshire","SEO/HEO","Unknown","135","130","38900","38510"
"In post","2023","Berkshire","Unknown","Heterosexual / straight","165","155","31840","30810"
"In post","2023","Berkshire","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Berkshire","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Berkshire","Unknown","Unknown","45","40","25730","24570"
"In post","2023","Bexley and Greenwich","AA/AO","Heterosexual / straight","505","480","30800","32110"
"In post","2023","Bexley and Greenwich","AA/AO","LGBO","40","35","32080","33810"
"In post","2023","Bexley and Greenwich","AA/AO","Undeclared","50","50","29740","27830"
"In post","2023","Bexley and Greenwich","AA/AO","Unknown","255","245","30350","32110"
"In post","2023","Bexley and Greenwich","EO","Heterosexual / straight","375","350","33910","32520"
"In post","2023","Bexley and Greenwich","EO","LGBO","25","20","[c]","[c]"
"In post","2023","Bexley and Greenwich","EO","Undeclared","50","45","33600","32520"
"In post","2023","Bexley and Greenwich","EO","Unknown","95","85","33770","32520"
"In post","2023","Bexley and Greenwich","G6/G7","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Bexley and Greenwich","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","SEO/HEO","Heterosexual / straight","165","160","42900","41780"
"In post","2023","Bexley and Greenwich","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Bexley and Greenwich","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Bexley and Greenwich","SEO/HEO","Unknown","35","30","42970","43650"
"In post","2023","Bexley and Greenwich","Unknown","Heterosexual / straight","80","75","35250","33050"
"In post","2023","Bexley and Greenwich","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bexley and Greenwich","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Bexley and Greenwich","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Birmingham","AA/AO","Heterosexual / straight","2490","2265","22830","21780"
"In post","2023","Birmingham","AA/AO","LGBO","140","135","23520","22510"
"In post","2023","Birmingham","AA/AO","Undeclared","290","260","22370","21780"
"In post","2023","Birmingham","AA/AO","Unknown","1140","1035","22610","22180"
"In post","2023","Birmingham","EO","Heterosexual / straight","2445","2290","28120","28120"
"In post","2023","Birmingham","EO","LGBO","115","110","27990","28120"
"In post","2023","Birmingham","EO","Undeclared","270","240","28260","28120"
"In post","2023","Birmingham","EO","Unknown","780","720","27920","28120"
"In post","2023","Birmingham","G6/G7","Heterosexual / straight","1075","1040","58540","57320"
"In post","2023","Birmingham","G6/G7","LGBO","65","60","57230","55150"
"In post","2023","Birmingham","G6/G7","Undeclared","100","95","59610","57970"
"In post","2023","Birmingham","G6/G7","Unknown","235","225","59610","57970"
"In post","2023","Birmingham","SCS level","Heterosexual / straight","100","95","100900","95770"
"In post","2023","Birmingham","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Birmingham","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","Birmingham","SCS level","Unknown","20","20","[c]","[c]"
"In post","2023","Birmingham","SEO/HEO","Heterosexual / straight","2640","2550","37590","35330"
"In post","2023","Birmingham","SEO/HEO","LGBO","145","145","36690","35000"
"In post","2023","Birmingham","SEO/HEO","Undeclared","250","240","37850","35070"
"In post","2023","Birmingham","SEO/HEO","Unknown","785","755","36650","35000"
"In post","2023","Birmingham","Unknown","Heterosexual / straight","455","425","30590","29050"
"In post","2023","Birmingham","Unknown","LGBO","25","25","[c]","[c]"
"In post","2023","Birmingham","Unknown","Undeclared","50","45","31080","29050"
"In post","2023","Birmingham","Unknown","Unknown","150","130","28170","25300"
"In post","2023","Blackburn with Darwen","AA/AO","Heterosexual / straight","40","35","23040","21780"
"In post","2023","Blackburn with Darwen","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Blackburn with Darwen","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Blackburn with Darwen","EO","Heterosexual / straight","130","115","28120","28120"
"In post","2023","Blackburn with Darwen","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Blackburn with Darwen","EO","Undeclared","15","10","[c]","[c]"
"In post","2023","Blackburn with Darwen","EO","Unknown","30","30","28100","28120"
"In post","2023","Blackburn with Darwen","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Blackburn with Darwen","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","Blackburn with Darwen","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Blackburn with Darwen","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Blackburn with Darwen","Unknown","Heterosexual / straight","80","75","28690","25300"
"In post","2023","Blackburn with Darwen","Unknown","LGBO","5","5","[c]","[c]"
"In post","2023","Blackburn with Darwen","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Blackburn with Darwen","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Blackpool","AA/AO","Heterosexual / straight","1045","930","21660","21690"
"In post","2023","Blackpool","AA/AO","LGBO","85","80","21680","21690"
"In post","2023","Blackpool","AA/AO","Undeclared","100","90","21650","21690"
"In post","2023","Blackpool","AA/AO","Unknown","270","230","21620","21690"
"In post","2023","Blackpool","EO","Heterosexual / straight","1420","1290","28060","28120"
"In post","2023","Blackpool","EO","LGBO","80","80","28060","28120"
"In post","2023","Blackpool","EO","Undeclared","160","145","28090","28120"
"In post","2023","Blackpool","EO","Unknown","355","315","28070","28120"
"In post","2023","Blackpool","G6/G7","Heterosexual / straight","455","435","57430","53810"
"In post","2023","Blackpool","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Blackpool","G6/G7","Undeclared","40","40","58180","58840"
"In post","2023","Blackpool","G6/G7","Unknown","85","80","57950","56000"
"In post","2023","Blackpool","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Blackpool","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Blackpool","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Blackpool","SCS level","Unknown","[c]","[c]","[c]","[c]"
