"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","G6/G7","Male","30","30","66770","61880"
"In post","2023","Asian","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO/HEO","Female","30","25","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","Female","60","50","23330","22180"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","Male","30","30","22330","22180"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","Female","55","55","28040","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","Male","45","45","28330","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","Female","140","140","59140","55350"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","Male","110","110","59460","58120"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","265","260","38290","39250"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","220","220","39130","39710"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6/G7","Female","45","45","56980","54780"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","30","30","36840","35620"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","30","30","37140","35750"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","EO","Female","85","80","27800","26940"
"In post","2023","Asian","Department for Education","EO","Male","45","45","27490","26940"
"In post","2023","Asian","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","G6/G7","Female","150","145","56580","55020"
"In post","2023","Asian","Department for Education","G6/G7","Male","105","105","56310","55020"
"In post","2023","Asian","Department for Education","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Education","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","SEO/HEO","Female","280","270","36630","37590"
"In post","2023","Asian","Department for Education","SEO/HEO","Male","175","175","36660","37590"
"In post","2023","Asian","Department for Education","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","AA/AO","Female","65","60","23070","22150"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","AA/AO","Male","30","30","22860","22150"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","EO","Female","70","65","27790","29080"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","EO","Male","35","35","28040","29080"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","G6/G7","Female","55","55","56110","54330"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","G6/G7","Male","45","45","55250","54330"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","115","115","35850","34920"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","85","85","36600","36650"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","EO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","EO","Male","20","20","[c]","[c]"
"In post","2023","Asian","Department for International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","G6/G7","Female","45","45","58880","55500"
"In post","2023","Asian","Department for International Trade","G6/G7","Male","50","50","59390","56690"
"In post","2023","Asian","Department for International Trade","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","SEO/HEO","Female","95","95","38490","36620"
"In post","2023","Asian","Department for International Trade","SEO/HEO","Male","75","75","39830","40420"
"In post","2023","Asian","Department for International Trade","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","AA/AO","Female","10","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","EO","Female","25","25","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","EO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","G6/G7","Female","55","55","57860","54630"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","G6/G7","Male","45","45","57440","54630"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","Female","90","85","36460","35810"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","Male","65","65","36970","37060"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","AA/AO","Female","65","55","22380","22500"
"In post","2023","Asian","Department for Transport","AA/AO","Male","90","90","24300","22500"
"In post","2023","Asian","Department for Transport","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","EO","Female","50","45","29260","29970"
"In post","2023","Asian","Department for Transport","EO","Male","95","95","29640","30400"
"In post","2023","Asian","Department for Transport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","G6/G7","Female","65","65","61190","56740"
"In post","2023","Asian","Department for Transport","G6/G7","Male","80","80","60420","57950"
"In post","2023","Asian","Department for Transport","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Asian","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","SEO/HEO","Female","120","115","38620","37370"
"In post","2023","Asian","Department for Transport","SEO/HEO","Male","140","140","39690","38220"
"In post","2023","Asian","Department for Transport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","AA/AO","Female","1435","1125","22680","21690"
"In post","2023","Asian","Department for Work and Pensions","AA/AO","Male","885","830","22250","21690"
"In post","2023","Asian","Department for Work and Pensions","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","EO","Female","2630","2290","29880","28120"
"In post","2023","Asian","Department for Work and Pensions","EO","Male","1835","1795","29450","28120"
"In post","2023","Asian","Department for Work and Pensions","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","G6/G7","Female","85","85","58340","55150"
"In post","2023","Asian","Department for Work and Pensions","G6/G7","Male","110","110","58190","56500"
"In post","2023","Asian","Department for Work and Pensions","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","SEO/HEO","Female","490","465","38200","39150"
"In post","2023","Asian","Department for Work and Pensions","SEO/HEO","Male","410","405","39270","38470"
"In post","2023","Asian","Department for Work and Pensions","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","AA/AO","Female","65","55","23570","23980"
"In post","2023","Asian","Department of Health and Social Care","AA/AO","Male","30","30","22730","23150"
"In post","2023","Asian","Department of Health and Social Care","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","EO","Female","155","145","28190","28220"
"In post","2023","Asian","Department of Health and Social Care","EO","Male","55","55","27900","28210"
"In post","2023","Asian","Department of Health and Social Care","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","G6/G7","Female","180","170","59650","55210"
"In post","2023","Asian","Department of Health and Social Care","G6/G7","Male","100","95","61190","55640"
"In post","2023","Asian","Department of Health and Social Care","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","SCS level","Female","50","45","108560","108650"
"In post","2023","Asian","Department of Health and Social Care","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","SEO/HEO","Female","330","320","37730","38120"
"In post","2023","Asian","Department of Health and Social Care","SEO/HEO","Male","180","180","37960","38120"
"In post","2023","Asian","Department of Health and Social Care","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","EO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","EO","Female","50","45","31800","31470"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","EO","Male","35","35","31780","31300"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","G6/G7","Female","75","70","61130","58960"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","G6/G7","Male","70","70","61110","59770"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","Female","125","125","38320","38540"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","Male","80","80","38650","37720"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","AA/AO","Female","40","35","23730","23390"
"In post","2023","Asian","HM Land Registry","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Asian","HM Land Registry","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","EO","Female","50","40","29060","28080"
"In post","2023","Asian","HM Land Registry","EO","Male","30","30","28640","28080"
"In post","2023","Asian","HM Land Registry","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Asian","HM Land Registry","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Asian","HM Land Registry","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","SEO/HEO","Female","30","30","38330","38410"
"In post","2023","Asian","HM Land Registry","SEO/HEO","Male","30","30","38640","38410"
"In post","2023","Asian","HM Land Registry","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","AA/AO","Female","970","820","23330","22520"
"In post","2023","Asian","HM Revenue and Customs","AA/AO","Male","935","885","23000","22520"
"In post","2023","Asian","HM Revenue and Customs","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","EO","Female","735","680","29690","28130"
"In post","2023","Asian","HM Revenue and Customs","EO","Male","815","800","29040","28130"
"In post","2023","Asian","HM Revenue and Customs","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","G6/G7","Female","295","285","63370","63990"
"In post","2023","Asian","HM Revenue and Customs","G6/G7","Male","345","340","62570","61530"
"In post","2023","Asian","HM Revenue and Customs","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","SEO/HEO","Female","1010","970","38880","39450"
"In post","2023","Asian","HM Revenue and Customs","SEO/HEO","Male","1355","1335","38440","36030"
"In post","2023","Asian","HM Revenue and Customs","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Treasury","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Asian","HM Treasury","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Treasury","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Treasury","EO","Female","40","35","28140","28380"
"In post","2023","Asian","HM Treasury","EO","Male","10","10","[c]","[c]"
"In post","2023","Asian","HM Treasury","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Treasury","G6/G7","Female","70","70","57510","54650"
"In post","2023","Asian","HM Treasury","G6/G7","Male","45","45","59190","55950"
"In post","2023","Asian","HM Treasury","G6/G7","Unknown","[c]","[c]","[c]","[c]"
