"Status","Year","Ethnicity","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","EO","65","60","28010","28370"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","165","165","59590","56510"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","165","160","38330","38460"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","SEO/HEO","185","185","30800","30130"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","G6/G7","50","50","67040","61900"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","40","40","37250","35740"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","EO","10","10","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","25","25","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","AA/AO","235","215","23210","22870"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","EO","155","145","28470","28200"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","G6/G7","325","305","57380","55170"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","120","115","37240","38760"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","AA/AO","75","75","24540","24400"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","EO","25","25","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","G6/G7","40","35","60080","58950"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","SEO/HEO","200","190","37610","35090"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","30","30","53400","49260"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","50","50","33970","31130"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","55","50","28700","28720"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","225","225","59330","55880"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","340","340","38700","39400"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","EO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","G6/G7","60","55","56990","55100"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","SEO/HEO","50","50","37380","35770"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","AA/AO","10","5","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","EO","110","110","27790","26940"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","G6/G7","210","210","56770","55020"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","SEO/HEO","355","345","36530","37590"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","55","55","27600","26640"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","95","90","55910","54330"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","165","160","36250","35890"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","EO","30","30","29210","29280"
"In post","2023","Asian","Department for International Trade","Department for International Trade","G6/G7","95","95","59140","56140"
"In post","2023","Asian","Department for International Trade","Department for International Trade","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","SEO/HEO","170","170","39070","39450"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","35","35","29120","28850"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6/G7","90","90","57300","54630"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO/HEO","150","145","36610","36870"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","EO","35","35","31120","31210"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","G6/G7","120","120","60050","56680"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","180","180","39380","38830"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","2310","1950","22510","21690"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","4455","4065","29710","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","185","180","58310","55150"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","860","830","38040","38760"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","35","35","28180","28770"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","90","85","57090","54690"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","130","125","37520","38120"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Disclosure Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","100","85","21990","22500"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","EO","20","20","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","40","35","26080","24900"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","EO","85","80","29520","27960"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","35","30","35180","33350"
"In post","2023","Asian","Education Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","EO","5","5","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","Department for Education","SEO/HEO","70","65","37040","37590"
"In post","2023","Asian","Estyn","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","EO","20","20","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","EO","10","10","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Food Standards Agency","SEO/HEO","45","45","37180","37720"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","25","25","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","65","65","32260","31630"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","135","135","60910","58970"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","185","185","38420","38530"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Forestry and Land Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","EO","10","10","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","Chancellor's other departments","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","G6/G7","60","60","66770","66270"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Government Commercial Organisation","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","EO","10","10","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Internal Audit Agency","HM Treasury","SEO/HEO","55","50","40720","42700"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","EO","70","65","28030","27760"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","G6/G7","210","195","59080","53670"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","SCS level","10","5","[c]","[c]"
"In post","2023","Asian","Government Legal Department","Attorney General's Departments","SEO/HEO","40","35","38080","38860"
"In post","2023","Asian","Government Property Agency","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Property Agency","Cabinet Office","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","AA/AO","1030","895","22880","21780"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","EO","270","260","27890","29660"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","G6/G7","50","50","57400","55720"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","SEO/HEO","330","315","38470","37680"
"In post","2023","Asian","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","HM Land Registry","AA/AO","65","60","23850","23390"
"In post","2023","Asian","HM Land Registry","HM Land Registry","EO","80","75","28890","28080"
"In post","2023","Asian","HM Land Registry","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","HM Land Registry","SEO/HEO","65","60","38480","38410"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","AA/AO","750","720","29580","28880"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","EO","130","125","32830","31310"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","325","290","42630","40660"
"In post","2023","Asian","HM Prison and Probation Service","Ministry of Justice","Unknown","940","875","29500","27280"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","1830","1640","23150","22520"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","1485","1415","29320","28130"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","620","605","63000","62770"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","2280","2220","38540","39110"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","EO","40","35","27740","28380"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","G6/G7","90","90","57500","54440"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","HM Treasury (excl. agencies)","HM Treasury","SEO/HEO","90","90","35580","33820"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","EO","15","15","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Health and Safety Executive","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
