"Status","Year","Disability","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Commercial","London","Female","160","155","47110","41880"
"In post","2023","Unknown","Commercial","London","Male","185","185","54030","44740"
"In post","2023","Unknown","Commercial","Outside London","Female","605","580","39530","35150"
"In post","2023","Unknown","Commercial","Outside London","Male","550","545","41790","37590"
"In post","2023","Unknown","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Communications","London","Female","445","440","46240","42130"
"In post","2023","Unknown","Communications","London","Male","285","285","47780","43080"
"In post","2023","Unknown","Communications","Outside London","Female","215","200","37030","34300"
"In post","2023","Unknown","Communications","Outside London","Male","160","160","38610","34460"
"In post","2023","Unknown","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","London","Female","300","280","38240","34370"
"In post","2023","Unknown","Counter Fraud","London","Male","360","350","39610","39450"
"In post","2023","Unknown","Counter Fraud","Outside London","Female","890","820","31970","28130"
"In post","2023","Unknown","Counter Fraud","Outside London","Male","1000","965","33960","31620"
"In post","2023","Unknown","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Debt","London","Female","110","95","28320","26920"
"In post","2023","Unknown","Debt","London","Male","70","65","29060","26920"
"In post","2023","Unknown","Debt","Outside London","Female","850","760","23710","22520"
"In post","2023","Unknown","Debt","Outside London","Male","730","705","23650","22520"
"In post","2023","Unknown","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","London","Female","570","555","46780","43050"
"In post","2023","Unknown","Digital, Data & Technology","London","Male","870","860","48210","43180"
"In post","2023","Unknown","Digital, Data & Technology","Outside London","Female","1290","1245","39860","37060"
"In post","2023","Unknown","Digital, Data & Technology","Outside London","Male","2835","2805","41850","38510"
"In post","2023","Unknown","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Overseas","Male","10","10","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Finance","London","Female","350","335","46200","41950"
"In post","2023","Unknown","Finance","London","Male","355","350","52000","46470"
"In post","2023","Unknown","Finance","Outside London","Female","900","825","34370","28490"
"In post","2023","Unknown","Finance","Outside London","Male","765","745","35980","33640"
"In post","2023","Unknown","Finance","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Unknown","Finance","Overseas","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Grants Management","London","Female","15","15","[c]","[c]"
"In post","2023","Unknown","Grants Management","London","Male","10","10","[c]","[c]"
"In post","2023","Unknown","Grants Management","Outside London","Female","305","260","25530","22150"
"In post","2023","Unknown","Grants Management","Outside London","Male","280","275","26320","22150"
"In post","2023","Unknown","Human Resources","London","Female","345","340","45180","41460"
"In post","2023","Unknown","Human Resources","London","Male","155","155","43710","38600"
"In post","2023","Unknown","Human Resources","Outside London","Female","1080","1015","34440","31270"
"In post","2023","Unknown","Human Resources","Outside London","Male","775","765","35070","33110"
"In post","2023","Unknown","Human Resources","Overseas","Female","140","140","56230","56510"
"In post","2023","Unknown","Human Resources","Overseas","Male","55","55","62830","62780"
"In post","2023","Unknown","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","London","Female","10","10","[c]","[c]"
"In post","2023","Unknown","Internal Audit","London","Male","15","15","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Outside London","Female","45","40","41540","39590"
"In post","2023","Unknown","Internal Audit","Outside London","Male","35","30","44050","42700"
"In post","2023","Unknown","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","London","Female","660","620","50680","54040"
"In post","2023","Unknown","Legal","London","Male","340","335","52600","54100"
"In post","2023","Unknown","Legal","Outside London","Female","1080","1000","39940","37680"
"In post","2023","Unknown","Legal","Outside London","Male","510","500","42830","42520"
"In post","2023","Unknown","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","London","Female","7685","7440","42240","36830"
"In post","2023","Unknown","No function","London","Male","6215","6125","43910","39450"
"In post","2023","Unknown","No function","Outside London","Female","25260","23190","28840","25880"
"In post","2023","Unknown","No function","Outside London","Male","23025","22205","30590","27890"
"In post","2023","Unknown","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Overseas","Female","385","385","56180","55060"
"In post","2023","Unknown","No function","Overseas","Male","515","510","56660","55700"
"In post","2023","Unknown","No function","Unknown","Female","85","80","36180","28120"
"In post","2023","Unknown","No function","Unknown","Male","100","90","37990","34940"
"In post","2023","Unknown","Project Delivery","London","Female","970","940","50030","45750"
"In post","2023","Unknown","Project Delivery","London","Male","725","710","53470","50980"
"In post","2023","Unknown","Project Delivery","Outside London","Female","1515","1445","39110","37300"
"In post","2023","Unknown","Project Delivery","Outside London","Male","1600","1575","43170","41000"
"In post","2023","Unknown","Project Delivery","Overseas","Female","30","30","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","London","Female","90","90","42930","37630"
"In post","2023","Unknown","Property","London","Male","175","170","41830","37850"
"In post","2023","Unknown","Property","Outside London","Female","635","600","29240","26020"
"In post","2023","Unknown","Property","Outside London","Male","1005","990","32710","28840"
"In post","2023","Unknown","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Overseas","Male","10","10","[c]","[c]"
"In post","2023","Unknown","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Security","London","Female","160","160","44130","41950"
"In post","2023","Unknown","Security","London","Male","280","280","42290","38990"
"In post","2023","Unknown","Security","Outside London","Female","415","400","31470","27500"
"In post","2023","Unknown","Security","Outside London","Male","1795","1765","32890","28130"
"In post","2023","Unknown","Security","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Unknown","Security","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Unknown","Security","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Unknown","Security","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Unknown","Unknown","London","Female","525","520","36680","31060"
"In post","2023","Unknown","Unknown","London","Male","295","295","38140","30130"
"In post","2023","Unknown","Unknown","Outside London","Female","4395","4140","38530","33520"
"In post","2023","Unknown","Unknown","Outside London","Male","3820","3745","39700","34730"
"In post","2023","Unknown","Unknown","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Overseas","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Female","170","170","37910","36860"
"In post","2023","Unknown","Unknown","Unknown","Male","1530","1530","42390","40530"
"Leaver CS","2023","Declared disabled","Analysis","London","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Outside London","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Outside London","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Outside London","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Outside London","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Outside London","Female","60","[c]","27720","28120"
"Leaver CS","2023","Declared disabled","Counter Fraud","Outside London","Male","55","[c]","27400","28120"
"Leaver CS","2023","Declared disabled","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Outside London","Female","55","[c]","22480","21690"
"Leaver CS","2023","Declared disabled","Debt","Outside London","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Outside London","Female","50","[c]","36600","34170"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Outside London","Male","80","[c]","36060","33250"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Outside London","Female","40","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Outside London","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Grants Management","Outside London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Grants Management","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","London","Female","35","[c]","47510","41360"
"Leaver CS","2023","Declared disabled","Human Resources","London","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Outside London","Female","90","[c]","32740","28120"
"Leaver CS","2023","Declared disabled","Human Resources","Outside London","Male","60","[c]","32500","31480"
"Leaver CS","2023","Declared disabled","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","London","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","London","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Outside London","Female","40","[c]","37560","33300"
"Leaver CS","2023","Declared disabled","Legal","Outside London","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","London","Female","340","[c]","37070","32330"
"Leaver CS","2023","Declared disabled","No function","London","Male","235","[c]","40360","32520"
"Leaver CS","2023","Declared disabled","No function","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Outside London","Female","1910","[c]","27140","26180"
"Leaver CS","2023","Declared disabled","No function","Outside London","Male","1165","[c]","28700","27570"
"Leaver CS","2023","Declared disabled","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Outside London","Female","55","[c]","41710","39520"
"Leaver CS","2023","Declared disabled","Project Delivery","Outside London","Male","40","[c]","39060","40580"
"Leaver CS","2023","Declared disabled","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Outside London","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Outside London","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Outside London","Male","60","[c]","33260","31600"
"Leaver CS","2023","Declared disabled","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","London","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Outside London","Female","55","[c]","37150","28120"
"Leaver CS","2023","Declared disabled","Unknown","Outside London","Male","55","[c]","40900","37000"
"Leaver CS","2023","Declared disabled","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Analysis","London","Female","95","[c]","43890","42190"
"Leaver CS","2023","Declared non-disabled","Analysis","London","Male","115","[c]","42300","33670"
"Leaver CS","2023","Declared non-disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Analysis","Outside London","Female","80","[c]","32400","29270"
"Leaver CS","2023","Declared non-disabled","Analysis","Outside London","Male","100","[c]","32800","31920"
"Leaver CS","2023","Declared non-disabled","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","London","Female","55","[c]","52610","42000"
"Leaver CS","2023","Declared non-disabled","Commercial","London","Male","40","[c]","55770","42960"
"Leaver CS","2023","Declared non-disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Outside London","Female","95","[c]","38710","34650"
"Leaver CS","2023","Declared non-disabled","Commercial","Outside London","Male","105","[c]","46780","41500"
"Leaver CS","2023","Declared non-disabled","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","London","Female","100","[c]","47870","44140"
"Leaver CS","2023","Declared non-disabled","Communications","London","Male","75","[c]","49190","40910"
"Leaver CS","2023","Declared non-disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","Outside London","Female","65","[c]","39210","34610"
"Leaver CS","2023","Declared non-disabled","Communications","Outside London","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","London","Female","65","[c]","33670","32520"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","London","Male","75","[c]","37140","33100"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Outside London","Female","240","[c]","27310","28120"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Outside London","Male","185","[c]","28090","27570"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
