"Status","Year","Disability","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","EO","35","35","31330","31580"
"In post","2023","Declared disabled","Finance","London","G6/G7","75","75","63300","62250"
"In post","2023","Declared disabled","Finance","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","SEO/HEO","120","115","40640","39450"
"In post","2023","Declared disabled","Finance","Outside London","AA/AO","215","175","22460","22520"
"In post","2023","Declared disabled","Finance","Outside London","EO","170","165","27680","27890"
"In post","2023","Declared disabled","Finance","Outside London","G6/G7","155","150","57450","56810"
"In post","2023","Declared disabled","Finance","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","Outside London","SEO/HEO","445","420","37490","37300"
"In post","2023","Declared disabled","Finance","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Outside London","AA/AO","250","225","22140","22150"
"In post","2023","Declared disabled","Grants Management","Outside London","EO","85","80","26170","25920"
"In post","2023","Declared disabled","Grants Management","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Outside London","SEO/HEO","55","55","33270","31430"
"In post","2023","Declared disabled","Human Resources","London","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","London","EO","65","60","31060","30880"
"In post","2023","Declared disabled","Human Resources","London","G6/G7","150","145","62060","60300"
"In post","2023","Declared disabled","Human Resources","London","SCS level","25","25","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","London","SEO/HEO","205","195","40470","39250"
"In post","2023","Declared disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Outside London","AA/AO","150","135","22340","22220"
"In post","2023","Declared disabled","Human Resources","Outside London","EO","430","400","28300","28120"
"In post","2023","Declared disabled","Human Resources","Outside London","G6/G7","235","230","56020","54630"
"In post","2023","Declared disabled","Human Resources","Outside London","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Outside London","SEO/HEO","710","675","36980","35240"
"In post","2023","Declared disabled","Human Resources","Outside London","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","SEO/HEO","45","40","39940","38670"
"In post","2023","Declared disabled","Internal Audit","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","AA/AO","60","55","24470","24480"
"In post","2023","Declared disabled","Legal","London","EO","85","80","29850","30160"
"In post","2023","Declared disabled","Legal","London","G6/G7","250","235","63640","63740"
"In post","2023","Declared disabled","Legal","London","SCS level","30","30","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","SEO/HEO","55","55","39730","39790"
"In post","2023","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","AA/AO","180","165","22930","22870"
"In post","2023","Declared disabled","Legal","Outside London","EO","190","170","28290","28200"
"In post","2023","Declared disabled","Legal","Outside London","G6/G7","370","335","58550","56450"
"In post","2023","Declared disabled","Legal","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","SEO/HEO","150","140","36970","35000"
"In post","2023","Declared disabled","Legal","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","London","AA/AO","1080","980","26920","25610"
"In post","2023","Declared disabled","No function","London","EO","1830","1685","31700","32520"
"In post","2023","Declared disabled","No function","London","G6/G7","1190","1155","60850","59290"
"In post","2023","Declared disabled","No function","London","SCS level","175","170","91920","80780"
"In post","2023","Declared disabled","No function","London","SEO/HEO","1910","1860","40170","39790"
"In post","2023","Declared disabled","No function","London","Unknown","450","430","36260","33820"
"In post","2023","Declared disabled","No function","Outside London","AA/AO","12420","10795","23230","21780"
"In post","2023","Declared disabled","No function","Outside London","EO","11155","9965","28440","28120"
"In post","2023","Declared disabled","No function","Outside London","G6/G7","1255","1205","59190","56870"
"In post","2023","Declared disabled","No function","Outside London","SCS level","80","80","92040","83350"
"In post","2023","Declared disabled","No function","Outside London","SEO/HEO","5670","5370","37440","35000"
"In post","2023","Declared disabled","No function","Outside London","Unknown","3580","3325","30500","29050"
"In post","2023","Declared disabled","No function","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Overseas","G6/G7","45","45","60420","59770"
"In post","2023","Declared disabled","No function","Overseas","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Overseas","SEO/HEO","80","80","38040","35420"
"In post","2023","Declared disabled","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","EO","40","40","28340","28120"
"In post","2023","Declared disabled","No function","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","London","EO","50","45","31410","31940"
"In post","2023","Declared disabled","Project Delivery","London","G6/G7","200","190","64160","65230"
"In post","2023","Declared disabled","Project Delivery","London","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","London","SEO/HEO","235","225","39610","39790"
"In post","2023","Declared disabled","Project Delivery","Outside London","AA/AO","50","45","22270","22330"
"In post","2023","Declared disabled","Project Delivery","Outside London","EO","170","155","27610","28120"
"In post","2023","Declared disabled","Project Delivery","Outside London","G6/G7","460","445","56970","56180"
"In post","2023","Declared disabled","Project Delivery","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Outside London","SEO/HEO","970","925","37030","35990"
"In post","2023","Declared disabled","Project Delivery","Outside London","Unknown","195","190","41180","39500"
"In post","2023","Declared disabled","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Property","London","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Property","London","G6/G7","35","35","63910","65030"
"In post","2023","Declared disabled","Property","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Property","London","SEO/HEO","55","55","39960","40260"
"In post","2023","Declared disabled","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Outside London","AA/AO","135","130","22590","22520"
"In post","2023","Declared disabled","Property","Outside London","EO","110","105","27500","27170"
"In post","2023","Declared disabled","Property","Outside London","G6/G7","105","105","56690","56070"
"In post","2023","Declared disabled","Property","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Property","Outside London","SEO/HEO","290","280","37120","34970"
"In post","2023","Declared disabled","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","London","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Security","London","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Security","London","G6/G7","40","40","63590","63720"
"In post","2023","Declared disabled","Security","London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","London","SEO/HEO","65","65","41010","40250"
"In post","2023","Declared disabled","Security","Outside London","AA/AO","355","340","27670","22220"
"In post","2023","Declared disabled","Security","Outside London","EO","130","120","32110","28120"
"In post","2023","Declared disabled","Security","Outside London","G6/G7","35","35","56380","55110"
"In post","2023","Declared disabled","Security","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Outside London","SEO/HEO","160","160","37860","35250"
"In post","2023","Declared disabled","Security","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","G6/G7","45","45","61850","56100"
"In post","2023","Declared disabled","Unknown","London","SCS level","15","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","SEO/HEO","190","185","34300","32960"
"In post","2023","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Outside London","AA/AO","405","380","24610","24890"
"In post","2023","Declared disabled","Unknown","Outside London","EO","465","440","29980","29450"
"In post","2023","Declared disabled","Unknown","Outside London","G6/G7","485","460","61360","59890"
"In post","2023","Declared disabled","Unknown","Outside London","SCS level","30","30","90280","84420"
"In post","2023","Declared disabled","Unknown","Outside London","SEO/HEO","1030","985","39360","38520"
"In post","2023","Declared disabled","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","London","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","London","EO","195","190","29630","29660"
"In post","2023","Declared non-disabled","Analysis","London","G6/G7","1265","1215","64270","61530"
"In post","2023","Declared non-disabled","Analysis","London","SCS level","130","125","91070","83400"
"In post","2023","Declared non-disabled","Analysis","London","SEO/HEO","1170","1150","40480","39790"
"In post","2023","Declared non-disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Outside London","AA/AO","80","75","21930","21690"
"In post","2023","Declared non-disabled","Analysis","Outside London","EO","340","320","26530","25970"
"In post","2023","Declared non-disabled","Analysis","Outside London","G6/G7","1150","1090","56630","53720"
"In post","2023","Declared non-disabled","Analysis","Outside London","SCS level","35","35","80950","76070"
"In post","2023","Declared non-disabled","Analysis","Outside London","SEO/HEO","1900","1825","36400","37300"
"In post","2023","Declared non-disabled","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","London","AA/AO","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","London","EO","60","60","30670","31010"
"In post","2023","Declared non-disabled","Commercial","London","G6/G7","570","565","65620","65500"
"In post","2023","Declared non-disabled","Commercial","London","SCS level","120","120","120110","117800"
"In post","2023","Declared non-disabled","Commercial","London","SEO/HEO","380","375","41170","41550"
"In post","2023","Declared non-disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Outside London","AA/AO","155","140","22750","22260"
"In post","2023","Declared non-disabled","Commercial","Outside London","EO","360","335","27210","27140"
"In post","2023","Declared non-disabled","Commercial","Outside London","G6/G7","1035","1010","61870","59440"
"In post","2023","Declared non-disabled","Commercial","Outside London","SCS level","90","90","108150","101040"
"In post","2023","Declared non-disabled","Commercial","Outside London","SEO/HEO","1675","1620","37810","37680"
"In post","2023","Declared non-disabled","Commercial","Outside London","Unknown","110","110","44160","42620"
"In post","2023","Declared non-disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","London","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","London","EO","105","100","30450","30520"
"In post","2023","Declared non-disabled","Communications","London","G6/G7","460","445","61570","59570"
"In post","2023","Declared non-disabled","Communications","London","SCS level","70","70","94070","86260"
