"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Coventry","SEO/HEO","SEO","15","15","40470","39240"
"In post","2023","Commercial","Coventry","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Croydon","AA/AO","AO","10","10","28920","28180"
"In post","2023","Commercial","Croydon","EO","EO","20","20","31220","31310"
"In post","2023","Commercial","Croydon","G6/G7","G6","15","15","79270","77500"
"In post","2023","Commercial","Croydon","G6/G7","G7","20","20","64820","66140"
"In post","2023","Commercial","Croydon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Croydon","SEO/HEO","HEO","25","25","37180","36180"
"In post","2023","Commercial","Croydon","SEO/HEO","SEO","50","50","46810","46280"
"In post","2023","Commercial","Darlington","EO","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Darlington","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Darlington","G6/G7","G7","10","10","58890","56000"
"In post","2023","Commercial","Darlington","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Darlington","SEO/HEO","SEO","20","20","38900","39090"
"In post","2023","Commercial","Devon CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon CC","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Devon CC","G6/G7","G7","10","10","54810","49150"
"In post","2023","Commercial","Devon CC","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon CC","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Devon CC","SEO/HEO","SEO","20","20","39360","39170"
"In post","2023","Commercial","Dorset","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Durham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Durham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Durham","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Commercial","Durham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Durham","SEO/HEO","SEO","10","10","45050","44080"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","East Kent","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Kent","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Kent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Merseyside","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Merseyside","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Merseyside","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Commercial","East Merseyside","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Merseyside","SEO/HEO","SEO","10","10","41170","38470"
"In post","2023","Commercial","East Riding of Yorkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Riding of Yorkshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Surrey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Surrey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Surrey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Surrey","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Enfield","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Enfield","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Enfield","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex Haven Gateway","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex Haven Gateway","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","EO","EO","10","10","28660","28030"
"In post","2023","Commercial","Flintshire and Wrexham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Glasgow City","AA/AO","AO","10","10","24740","22280"
"In post","2023","Commercial","Glasgow City","EO","EO","35","35","27180","27080"
"In post","2023","Commercial","Glasgow City","G6/G7","G6","10","10","76630","76030"
"In post","2023","Commercial","Glasgow City","G6/G7","G7","30","25","60540","57050"
"In post","2023","Commercial","Glasgow City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Glasgow City","SEO/HEO","HEO","60","60","34270","33990"
"In post","2023","Commercial","Glasgow City","SEO/HEO","SEO","40","40","41540","42310"
"In post","2023","Commercial","Gloucestershire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North East","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South East","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South West","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South West","EO","EO","20","15","28140","28130"
"In post","2023","Commercial","Greater Manchester South West","G6/G7","G6","10","10","76780","72110"
"In post","2023","Commercial","Greater Manchester South West","G6/G7","G7","30","30","60990","57350"
"In post","2023","Commercial","Greater Manchester South West","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South West","SEO/HEO","HEO","15","15","33580","34400"
"In post","2023","Commercial","Greater Manchester South West","SEO/HEO","SEO","50","45","44210","42510"
"In post","2023","Commercial","Greater Manchester South West","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hackney and Newham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hackney and Newham","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Commercial","Hackney and Newham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Haringey and Islington","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Haringey and Islington","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Harrow and Hillingdon","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hartlepool and Stockton-on-Tees","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hartlepool and Stockton-on-Tees","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hartlepool and Stockton-on-Tees","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hartlepool and Stockton-on-Tees","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Heart of Essex","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Heart of Essex","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Heart of Essex","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Herefordshire, County of","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hertfordshire CC","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","AA/AO","AO","20","20","23800","23460"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","EO","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Hounslow and Richmond upon Thames","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverclyde, East Renfrewshire, and Renfrewshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inverness and Nairn, Moray, and Badenoch and Strathspey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Isle of Anglesey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kensington & Chelsea and Hammersmith & Fulham","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kent Thames Gateway","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kingston upon Hull, City of","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Kingston upon Hull, City of","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lambeth","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lambeth","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lambeth","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lambeth","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lancaster and Wyre","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lancaster and Wyre","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Lancaster and Wyre","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leeds","AA/AO","AO","15","15","21660","21690"
"In post","2023","Commercial","Leeds","EO","EO","20","20","26960","26710"
"In post","2023","Commercial","Leeds","G6/G7","G6","35","35","72320","70350"
"In post","2023","Commercial","Leeds","G6/G7","G7","100","95","60960","59590"
"In post","2023","Commercial","Leeds","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leeds","SEO/HEO","HEO","80","75","32730","31800"
"In post","2023","Commercial","Leeds","SEO/HEO","SEO","115","110","39660","38470"
"In post","2023","Commercial","Leicester","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leicester","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leicester","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Leicester","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
