"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","North West (England)","EO","Heterosexual / straight","185","175","27880","27440"
"In post","2023","Attorney General's Departments","North West (England)","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","EO","Unknown","35","35","28680","28850"
"In post","2023","Attorney General's Departments","North West (England)","G6/G7","Heterosexual / straight","330","310","55370","53750"
"In post","2023","Attorney General's Departments","North West (England)","G6/G7","LGBO","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","G6/G7","Unknown","90","80","59210","56450"
"In post","2023","Attorney General's Departments","North West (England)","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SEO/HEO","Heterosexual / straight","130","125","35840","38760"
"In post","2023","Attorney General's Departments","North West (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AA/AO","Heterosexual / straight","135","130","24050","24480"
"In post","2023","Attorney General's Departments","South East (England)","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","EO","Heterosexual / straight","120","110","28910","28200"
"In post","2023","Attorney General's Departments","South East (England)","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","EO","Unknown","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","G6/G7","Heterosexual / straight","240","225","60420","58240"
"In post","2023","Attorney General's Departments","South East (England)","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","G6/G7","Unknown","65","55","63660","63500"
"In post","2023","Attorney General's Departments","South East (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SEO/HEO","Heterosexual / straight","85","80","37680","36780"
"In post","2023","Attorney General's Departments","South East (England)","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","AA/AO","Heterosexual / straight","55","55","22200","22870"
"In post","2023","Attorney General's Departments","South West (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","EO","Heterosexual / straight","60","60","28020","27400"
"In post","2023","Attorney General's Departments","South West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","G6/G7","Heterosexual / straight","150","135","56340","55040"
"In post","2023","Attorney General's Departments","South West (England)","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","G6/G7","Unknown","50","40","57260","56450"
"In post","2023","Attorney General's Departments","South West (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SEO/HEO","Heterosexual / straight","45","40","36360","35000"
"In post","2023","Attorney General's Departments","South West (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","AA/AO","Heterosexual / straight","65","60","22930","22870"
"In post","2023","Attorney General's Departments","Wales","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","AA/AO","Unknown","10","10","[c]","[c]"
