"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Departments","55","55","21280","20980"
"In post","2023","16-19","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","20","20","23890","23300"
"In post","2023","16-19","No function","Department for International Trade","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","90","80","21340","22500"
"In post","2023","16-19","No function","Department for Work and Pensions","45","45","22970","21690"
"In post","2023","16-19","No function","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","100","100","23110","22520"
"In post","2023","16-19","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","130","120","23720","22400"
"In post","2023","16-19","No function","Ministry of Defence","115","115","19480","18780"
"In post","2023","16-19","No function","Ministry of Justice","345","335","25590","23640"
"In post","2023","16-19","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Government","20","20","23840","23700"
"In post","2023","16-19","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","10","10","21150","21200"
"In post","2023","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","25","25","19490","18780"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Foreign, Commonwealth and Development Office","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs","20","20","24270","22520"
"In post","2023","16-19","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Government","5","5","[c]","[c]"
"In post","2023","16-19","Security","Cabinet Office","10","10","25160","24470"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","45","45","19990","18660"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government","50","50","23060","22460"
"In post","2023","16-19","Unknown","Welsh Government","10","10","22670","22150"
"In post","2023","20-29","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","110","110","31430","30130"
"In post","2023","20-29","Analysis","Chancellor's other departments","50","50","39660","36490"
"In post","2023","20-29","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","35","35","42470","34620"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","155","155","35940","34670"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","70","70","44430","39620"
"In post","2023","20-29","Analysis","Department for Education","185","180","41640","43250"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","80","80","27240","25970"
"In post","2023","20-29","Analysis","Department for International Trade","130","130","41910","35010"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","115","115","41620","36380"
"In post","2023","20-29","Analysis","Department for Transport","170","165","41890","39430"
"In post","2023","20-29","Analysis","Department for Work and Pensions","225","220","37670","37380"
"In post","2023","20-29","Analysis","Department of Health and Social Care","75","75","36930","34190"
"In post","2023","20-29","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","20","20","37000","33990"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","20","20","39480","32400"
"In post","2023","20-29","Analysis","HM Land Registry","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","325","325","41270","39450"
"In post","2023","20-29","Analysis","HM Treasury","130","130","37050","35130"
"In post","2023","20-29","Analysis","Home Office","270","270","40450","37370"
"In post","2023","20-29","Analysis","Ministry of Defence","435","435","34810","32450"
"In post","2023","20-29","Analysis","Ministry of Justice","265","265","39980","35410"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","45","45","34390","33130"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","40","40","33240","33400"
"In post","2023","20-29","Analysis","Office of Rail and Road","15","15","37500","37550"
"In post","2023","20-29","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","680","675","34110","31560"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","20","20","36990","35330"
"In post","2023","20-29","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Cabinet Office","265","265","42430","32960"
"In post","2023","20-29","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","25","25","34260","31580"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","20","20","35430","34710"
"In post","2023","20-29","Commercial","Department for Education","55","55","33780","30710"
"In post","2023","20-29","Commercial","Department for Environment, Food and Rural Affairs","25","25","31620","30320"
"In post","2023","20-29","Commercial","Department for International Trade","15","15","36460","35010"
"In post","2023","20-29","Commercial","Department for Levelling Up, Housing and Communities","10","10","36790","40390"
"In post","2023","20-29","Commercial","Department for Transport","70","70","37450","35400"
"In post","2023","20-29","Commercial","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department of Health and Social Care","35","35","37010","34190"
"In post","2023","20-29","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Foreign, Commonwealth and Development Office","20","20","35740","34620"
"In post","2023","20-29","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","HM Revenue and Customs","35","35","33910","34400"
"In post","2023","20-29","Commercial","Home Office","15","15","36080","36000"
"In post","2023","20-29","Commercial","Ministry of Defence","445","445","31610","30650"
"In post","2023","20-29","Commercial","Ministry of Justice","50","50","36330","35970"
"In post","2023","20-29","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Scottish Government","15","15","29840","28490"
"In post","2023","20-29","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","UK Export Finance","60","60","40960","40340"
"In post","2023","20-29","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Attorney General's Departments","25","25","34000","32660"
"In post","2023","20-29","Communications","Cabinet Office","70","70","38790","35650"
"In post","2023","20-29","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Department for Business, Energy and Industrial Strategy","55","55","39010","39460"
"In post","2023","20-29","Communications","Department for Digital, Culture, Media and Sport","20","20","38250","37540"
"In post","2023","20-29","Communications","Department for Education","70","70","35540","34710"
"In post","2023","20-29","Communications","Department for Environment, Food and Rural Affairs","65","60","33650","33830"
"In post","2023","20-29","Communications","Department for International Trade","40","40","39970","41550"
"In post","2023","20-29","Communications","Department for Levelling Up, Housing and Communities","20","20","34800","31290"
"In post","2023","20-29","Communications","Department for Transport","50","50","34860","35400"
"In post","2023","20-29","Communications","Department for Work and Pensions","25","25","38960","40790"
"In post","2023","20-29","Communications","Department of Health and Social Care","40","40","36110","34190"
"In post","2023","20-29","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Food Standards Agency","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Foreign, Commonwealth and Development Office","35","35","39530","41240"
"In post","2023","20-29","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","HM Revenue and Customs","35","35","35540","34700"
"In post","2023","20-29","Communications","HM Treasury","15","15","34950","33560"
"In post","2023","20-29","Communications","Home Office","35","35","39040","38280"
"In post","2023","20-29","Communications","Ministry of Defence","90","90","35870","34160"
"In post","2023","20-29","Communications","Ministry of Justice","60","60","37860","35410"
"In post","2023","20-29","Communications","National Crime Agency","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Scottish Government","5","5","[c]","[c]"
"In post","2023","20-29","Communications","The National Archives","5","5","[c]","[c]"
"In post","2023","20-29","Communications","UK Export Finance","25","25","38790","38250"
"In post","2023","20-29","Communications","UK Statistics Authority","15","15","31460","31060"
"In post","2023","20-29","Communications","UK Supreme Court","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Attorney General's Departments","35","35","32020","29680"
"In post","2023","20-29","Counter Fraud","Cabinet Office","30","30","37000","35240"
"In post","2023","20-29","Counter Fraud","Department for Business, Energy and Industrial Strategy","30","25","25540","23680"
"In post","2023","20-29","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Department for Work and Pensions","750","745","29150","28120"
"In post","2023","20-29","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","HM Revenue and Customs","1145","1135","31580","28130"
"In post","2023","20-29","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Department for Work and Pensions","395","380","22520","21690"
"In post","2023","20-29","Debt","HM Revenue and Customs","1325","1285","23700","22520"
"In post","2023","20-29","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Attorney General's Departments","50","50","35100","32660"
"In post","2023","20-29","Digital, Data & Technology","Cabinet Office","325","320","38470","33020"
"In post","2023","20-29","Digital, Data & Technology","Charity Commission","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Competition and Markets Authority","15","15","44340","42920"
"In post","2023","20-29","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","385","385","29900","30930"
"In post","2023","20-29","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Department for Education","190","190","36280","33950"
"In post","2023","20-29","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","110","110","33630","30320"
"In post","2023","20-29","Digital, Data & Technology","Department for International Trade","55","55","42970","37450"
"In post","2023","20-29","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","40","40","42710","42340"
"In post","2023","20-29","Digital, Data & Technology","Department for Transport","140","140","33410","31660"
"In post","2023","20-29","Digital, Data & Technology","Department for Work and Pensions","440","440","35860","34170"
"In post","2023","20-29","Digital, Data & Technology","Department of Health and Social Care","95","95","37710","37920"
"In post","2023","20-29","Digital, Data & Technology","Food Standards Agency","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Foreign, Commonwealth and Development Office","75","75","34480","34390"
"In post","2023","20-29","Digital, Data & Technology","HM Land Registry","120","115","33490","32690"
"In post","2023","20-29","Digital, Data & Technology","HM Revenue and Customs","675","665","36710","34700"
"In post","2023","20-29","Digital, Data & Technology","HM Treasury","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Home Office","290","290","37910","36180"
"In post","2023","20-29","Digital, Data & Technology","Ministry of Defence","435","430","31610","30470"
"In post","2023","20-29","Digital, Data & Technology","Ministry of Justice","185","185","39120","37680"
"In post","2023","20-29","Digital, Data & Technology","National Crime Agency","40","40","34990","34340"
"In post","2023","20-29","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","15","15","33620","32800"
"In post","2023","20-29","Digital, Data & Technology","Office of Gas and Electricity Markets","35","35","34340","33400"
"In post","2023","20-29","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Scottish Government","40","40","33560","32510"
"In post","2023","20-29","Digital, Data & Technology","The National Archives","20","20","33040","30600"
"In post","2023","20-29","Digital, Data & Technology","UK Export Finance","10","10","51660","44000"
"In post","2023","20-29","Digital, Data & Technology","UK Statistics Authority","185","175","33480","31060"
"In post","2023","20-29","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Attorney General's Departments","30","30","30740","27760"
"In post","2023","20-29","Finance","Cabinet Office","95","95","32610","30130"
"In post","2023","20-29","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Department for Business, Energy and Industrial Strategy","40","40","36750","34670"
"In post","2023","20-29","Finance","Department for Digital, Culture, Media and Sport","15","15","42740","40410"
"In post","2023","20-29","Finance","Department for Education","90","90","35780","30930"
"In post","2023","20-29","Finance","Department for Environment, Food and Rural Affairs","50","50","34860","30980"
"In post","2023","20-29","Finance","Department for International Trade","10","10","[c]","[c]"
"In post","2023","20-29","Finance","Department for Levelling Up, Housing and Communities","15","15","42100","40300"
"In post","2023","20-29","Finance","Department for Transport","40","40","35610","29400"
"In post","2023","20-29","Finance","Department for Work and Pensions","220","215","34970","34170"
"In post","2023","20-29","Finance","Department of Health and Social Care","75","75","36520","34190"
"In post","2023","20-29","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Food Standards Agency","10","10","[c]","[c]"
"In post","2023","20-29","Finance","Foreign, Commonwealth and Development Office","125","125","32290","26840"
"In post","2023","20-29","Finance","HM Land Registry","5","5","[c]","[c]"
"In post","2023","20-29","Finance","HM Revenue and Customs","355","340","30450","27650"
"In post","2023","20-29","Finance","HM Treasury","20","20","38410","33630"
"In post","2023","20-29","Finance","Home Office","20","20","39900","36000"
"In post","2023","20-29","Finance","Ministry of Defence","370","365","31610","31020"
"In post","2023","20-29","Finance","Ministry of Justice","75","75","37120","35410"
"In post","2023","20-29","Finance","National Crime Agency","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Scottish Government","25","25","29570","29400"
"In post","2023","20-29","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2023","20-29","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Grants Management","Department for Environment, Food and Rural Affairs","410","400","23530","22150"
"In post","2023","20-29","Grants Management","Home Office","15","15","44830","43210"
"In post","2023","20-29","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Attorney General's Departments","60","60","31700","28540"
"In post","2023","20-29","Human Resources","Cabinet Office","155","150","30900","28370"
"In post","2023","20-29","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","50","50","36480","31240"
"In post","2023","20-29","Human Resources","Department for Digital, Culture, Media and Sport","15","15","35330","35040"
"In post","2023","20-29","Human Resources","Department for Education","40","40","29550","29230"
"In post","2023","20-29","Human Resources","Department for Environment, Food and Rural Affairs","35","35","35700","32490"
"In post","2023","20-29","Human Resources","Department for International Trade","40","40","36340","32570"
"In post","2023","20-29","Human Resources","Department for Levelling Up, Housing and Communities","25","25","37980","33210"
"In post","2023","20-29","Human Resources","Department for Transport","55","50","33810","31660"
"In post","2023","20-29","Human Resources","Department for Work and Pensions","155","155","33370","28120"
"In post","2023","20-29","Human Resources","Department of Health and Social Care","80","80","34120","31070"
"In post","2023","20-29","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Foreign, Commonwealth and Development Office","75","75","36180","34950"
"In post","2023","20-29","Human Resources","HM Land Registry","15","15","32440","28080"
"In post","2023","20-29","Human Resources","HM Revenue and Customs","210","205","33940","30130"
"In post","2023","20-29","Human Resources","HM Treasury","35","30","33920","29970"
"In post","2023","20-29","Human Resources","Home Office","50","50","41890","36180"
"In post","2023","20-29","Human Resources","Ministry of Defence","275","270","30040","27140"
"In post","2023","20-29","Human Resources","Ministry of Justice","150","150","33280","31270"
"In post","2023","20-29","Human Resources","National Crime Agency","25","25","32840","30740"
"In post","2023","20-29","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","10","10","28790","27010"
"In post","2023","20-29","Human Resources","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2023","20-29","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","Scottish Government","45","45","30190","29450"
"In post","2023","20-29","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","UK Export Finance","5","5","[c]","[c]"
"In post","2023","20-29","Human Resources","UK Statistics Authority","30","30","29880","31060"
"In post","2023","20-29","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","Foreign, Commonwealth and Development Office","15","15","34290","34950"
"In post","2023","20-29","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","HM Treasury","20","20","37300","35500"
"In post","2023","20-29","Internal Audit","Ministry of Defence","10","10","30040","27610"
"In post","2023","20-29","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Attorney General's Departments","1485","1470","30510","27400"
"In post","2023","20-29","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Competition and Markets Authority","30","25","42540","35850"
"In post","2023","20-29","Legal","Department for Business, Energy and Industrial Strategy","10","10","37660","37420"
"In post","2023","20-29","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","20-29","Legal","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2023","20-29","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Foreign, Commonwealth and Development Office","20","20","34970","28950"
"In post","2023","20-29","Legal","HM Land Registry","20","20","32290","28080"
