"Status","Year","Age","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","Overseas","Male","560","560","56300","54020"
"In post","2023","50-59","Unknown","Female","155","150","34260","29720"
"In post","2023","50-59","Unknown","Male","575","565","45830","42400"
"In post","2023","60-64","London","Female","3505","3065","39080","32520"
"In post","2023","60-64","London","Male","3195","2900","46170","39660"
"In post","2023","60-64","Outside London","Female","19200","15125","29700","27810"
"In post","2023","60-64","Outside London","Male","16710","14240","34410","29730"
"In post","2023","60-64","Overseas","Female","45","45","65520","56880"
"In post","2023","60-64","Overseas","Male","115","115","58060","53770"
"In post","2023","60-64","Unknown","Female","30","25","39330","34800"
"In post","2023","60-64","Unknown","Male","185","180","44120","40690"
"In post","2023","65+","London","Female","1360","1095","35540","30410"
"In post","2023","65+","London","Male","1370","1150","42250","34630"
"In post","2023","65+","Outside London","Female","5260","3805","27860","25610"
"In post","2023","65+","Outside London","Male","5785","4520","33190","28120"
"In post","2023","65+","Overseas","Female","5","5","[c]","[c]"
"In post","2023","65+","Overseas","Male","30","30","[c]","[c]"
"In post","2023","65+","Unknown","Female","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Male","45","40","40820","38760"
"In post","2023","Unknown","London","Female","5","5","[c]","[c]"
"In post","2023","Unknown","London","Male","5","5","[c]","[c]"
"In post","2023","Unknown","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Unknown","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","16-19","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Outside London","Female","85","[c]","21430","21780"
"Leaver CS","2023","16-19","Outside London","Male","60","[c]","21060","21730"
"Leaver CS","2023","16-19","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","London","Female","2000","[c]","32860","31060"
"Leaver CS","2023","20-29","London","Male","1425","[c]","34250","32520"
"Leaver CS","2023","20-29","Outside London","Female","4235","[c]","25670","23390"
"Leaver CS","2023","20-29","Outside London","Male","3670","[c]","26480","25160"
"Leaver CS","2023","20-29","Overseas","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Female","50","[c]","26160","28000"
"Leaver CS","2023","20-29","Unknown","Male","55","[c]","28000","28480"
"Leaver CS","2023","30-39","London","Female","1395","[c]","44230","41280"
"Leaver CS","2023","30-39","London","Male","1250","[c]","46950","43760"
"Leaver CS","2023","30-39","Outside London","Female","3235","[c]","31030","27570"
"Leaver CS","2023","30-39","Outside London","Male","3200","[c]","33720","29450"
"Leaver CS","2023","30-39","Overseas","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Overseas","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Male","55","[c]","37900","34380"
"Leaver CS","2023","40-49","London","Female","890","[c]","49360","43650"
"Leaver CS","2023","40-49","London","Male","695","[c]","56700","54700"
"Leaver CS","2023","40-49","Outside London","Female","2670","[c]","32750","27570"
"Leaver CS","2023","40-49","Outside London","Male","2170","[c]","36920","30460"
"Leaver CS","2023","40-49","Overseas","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Overseas","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","50-59","London","Female","670","[c]","47860","39450"
"Leaver CS","2023","50-59","London","Male","640","[c]","53540","44240"
"Leaver CS","2023","50-59","Outside London","Female","3660","[c]","32430","27570"
"Leaver CS","2023","50-59","Outside London","Male","3090","[c]","36240","29290"
"Leaver CS","2023","50-59","Overseas","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Overseas","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Unknown","Male","45","[c]","44230","39910"
"Leaver CS","2023","60-64","London","Female","410","[c]","45880","37180"
"Leaver CS","2023","60-64","London","Male","445","[c]","51090","45070"
"Leaver CS","2023","60-64","Outside London","Female","2635","[c]","30870","27570"
"Leaver CS","2023","60-64","Outside London","Male","2250","[c]","37720","32520"
"Leaver CS","2023","60-64","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Overseas","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","60-64","Unknown","Male","40","[c]","46110","39110"
"Leaver CS","2023","65+","London","Female","305","[c]","38550","30920"
"Leaver CS","2023","65+","London","Male","320","[c]","42670","33960"
"Leaver CS","2023","65+","Outside London","Female","2000","[c]","27550","24500"
"Leaver CS","2023","65+","Outside London","Male","1970","[c]","32070","27570"
"Leaver CS","2023","65+","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","65+","Overseas","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","65+","Unknown","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","Female","45","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Outside London","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Outside London","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","London","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","16-19","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","London","Female","1680","[c]","35530","33570"
"Leaver Dept.","2023","20-29","London","Male","1195","[c]","36340","34250"
"Leaver Dept.","2023","20-29","Outside London","Female","1320","[c]","27910","27570"
"Leaver Dept.","2023","20-29","Outside London","Male","925","[c]","27820","27570"
"Leaver Dept.","2023","20-29","Overseas","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Unknown","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","20-29","Unknown","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","London","Female","1130","[c]","47160","43650"
"Leaver Dept.","2023","30-39","London","Male","975","[c]","46810","43750"
"Leaver Dept.","2023","30-39","Outside London","Female","1440","[c]","32380","28120"
"Leaver Dept.","2023","30-39","Outside London","Male","1200","[c]","33090","30340"
"Leaver Dept.","2023","30-39","Overseas","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Overseas","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Unknown","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","30-39","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","London","Female","535","[c]","53360","52420"
"Leaver Dept.","2023","40-49","London","Male","410","[c]","56510","55120"
"Leaver Dept.","2023","40-49","Outside London","Female","1215","[c]","33900","29970"
"Leaver Dept.","2023","40-49","Outside London","Male","860","[c]","36980","32000"
"Leaver Dept.","2023","40-49","Overseas","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Overseas","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","40-49","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","London","Female","270","[c]","51230","49100"
"Leaver Dept.","2023","50-59","London","Male","255","[c]","60070","54370"
"Leaver Dept.","2023","50-59","Outside London","Female","855","[c]","32730","28120"
"Leaver Dept.","2023","50-59","Outside London","Male","585","[c]","37170","31270"
"Leaver Dept.","2023","50-59","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","Unknown","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2023","50-59","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","London","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","London","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Outside London","Female","95","[c]","32160","27570"
"Leaver Dept.","2023","60-64","Outside London","Male","85","[c]","31220","28120"
"Leaver Dept.","2023","60-64","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","60-64","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Outside London","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Outside London","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","65+","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Outside London","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2023","Unknown","Unknown","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","London","Female","55","[c]","26580","26400"
"New entrant CS","2023","16-19","London","Male","55","[c]","26150","26400"
"New entrant CS","2023","16-19","Outside London","Female","545","[c]","23040","22500"
"New entrant CS","2023","16-19","Outside London","Male","490","[c]","22950","22520"
"New entrant CS","2023","16-19","Unknown","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","16-19","Unknown","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","20-29","London","Female","2940","[c]","31370","29660"
"New entrant CS","2023","20-29","London","Male","2210","[c]","32090","29890"
"New entrant CS","2023","20-29","Outside London","Female","9865","[c]","25490","23640"
"New entrant CS","2023","20-29","Outside London","Male","7835","[c]","26280","25130"
"New entrant CS","2023","20-29","Overseas","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","20-29","Unknown","Female","40","[c]","26160","25480"
"New entrant CS","2023","20-29","Unknown","Male","115","[c]","23120","21780"
"New entrant CS","2023","30-39","London","Female","1105","[c]","39600","35060"
"New entrant CS","2023","30-39","London","Male","1025","[c]","40590","35410"
"New entrant CS","2023","30-39","Outside London","Female","6350","[c]","29110","25750"
"New entrant CS","2023","30-39","Outside London","Male","5315","[c]","30600","28120"
"New entrant CS","2023","30-39","Overseas","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Overseas","Male","10","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Unknown","Female","25","[c]","[c]","[c]"
"New entrant CS","2023","30-39","Unknown","Male","45","[c]","27490","24330"
"New entrant CS","2023","40-49","London","Female","670","[c]","41620","34190"
"New entrant CS","2023","40-49","London","Male","550","[c]","45230","37970"
"New entrant CS","2023","40-49","Outside London","Female","4525","[c]","30950","25750"
"New entrant CS","2023","40-49","Outside London","Male","3465","[c]","33600","28880"
"New entrant CS","2023","40-49","Overseas","Female","10","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Unknown","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","40-49","Unknown","Male","30","[c]","28970","24490"
"New entrant CS","2023","50-59","London","Female","435","[c]","38680","29750"
"New entrant CS","2023","50-59","London","Male","400","[c]","44890","34390"
"New entrant CS","2023","50-59","Outside London","Female","3250","[c]","29390","23640"
"New entrant CS","2023","50-59","Outside London","Male","3200","[c]","33050","27490"
"New entrant CS","2023","50-59","Overseas","Female","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Overseas","Male","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Unknown","Female","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Unknown","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","60-64","London","Female","70","[c]","40060","29750"
"New entrant CS","2023","60-64","London","Male","105","[c]","41280","34630"
"New entrant CS","2023","60-64","Outside London","Female","565","[c]","27100","22400"
"New entrant CS","2023","60-64","Outside London","Male","785","[c]","30270","25750"
"New entrant CS","2023","60-64","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","60-64","Unknown","Male","5","[c]","[c]","[c]"
"New entrant CS","2023","65+","London","Female","20","[c]","[c]","[c]"
"New entrant CS","2023","65+","London","Male","40","[c]","46400","34510"
"New entrant CS","2023","65+","Outside London","Female","115","[c]","26470","22400"
"New entrant CS","2023","65+","Outside London","Male","240","[c]","31210","24170"
"New entrant CS","2023","65+","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","65+","Unknown","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","London","Female","50","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","London","Male","25","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Outside London","Female","30","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Outside London","Male","20","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
